ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,matter_id,matter_file,matter_status,adopted,legistar_matter_url,signed_pdf_url,linkage_note
22-08,2022-08-16,2022-08-16,"Community Development Department presenting, for City Council action, a zone change application (File #REZ05042022, Brand Estates) submitted by Next Level Homes, requesting that 5.0 acres at 267 E. and 285 E. 11000 S. be rezoned to the R-1-10 and R-1-15 Zones.",https://sandyutah.legistar1.com/sandyutah/attachments/4283d0bb-19ec-4040-8978-526f55b22719.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-08-16_22-08.pdf,yes,,2022-08-16,3,high,5038,REZ05042022-6315 (CC Ord),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5038&GUID=51CCB226-16E7-4A78-A4C7-1C183E5993DD,https://sandyutah.legistar1.com/sandyutah/attachments/4283d0bb-19ec-4040-8978-526f55b22719.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2022-09-01,Woodhaven Estates Rezone  7635 S. 300 E. from R-2-8 to PUD (12)  [Community #3 - Sandy Woods],https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5056&GUID=BD0F6859-4D6C-4BAB-86EE-ADCAE12AB536,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5056,REZ06302022-6356 (PC),approved (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5056&GUID=BD0F6859-4D6C-4BAB-86EE-ADCAE12AB536,,not adopted by City Council; last action: approved (Planning Commission)
22-10,,2022-09-06,"Community Development Department presenting a General Plan amendment and Moderate Income Housing Report, for City Council action, to address Utah Code requirements associated with moderate-income housing.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5058&GUID=AF42AC17-E374-435D-B753-7457E32FBF81,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5058,GPA07272022-6366,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5058&GUID=AF42AC17-E374-435D-B753-7457E32FBF81,,not adopted by City Council; no history recorded
22-11,2022-10-04,2022-10-04,"Community Development Department presenting, for City Council action, a zone change application (File #REZ06302022-6356, Woodhaven Estates) submitted by Brandon Fry, requesting that 2.2 acres at approximately 7635 S. 300 E. be rezoned to the PUD (12) Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/ef001c21-e662-489f-ad5a-8c8942c7cc86.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-10-04_22-11.pdf,yes,,2022-10-04,2,high,5081,REZ06302022-6356 (CC Ord),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5081&GUID=150EFFCB-3121-45FE-97A1-03502912E0F4,https://sandyutah.legistar1.com/sandyutah/attachments/ef001c21-e662-489f-ad5a-8c8942c7cc86.pdf,exact ordinance number cited in the adopting motion on the adoption date
22-09,2022-10-18,2022-10-18,Staff presenting the Council with possible amendments to Title 14.8.1 which addresses the parking of commercial vehicles on public streets,https://sandyutah.legistar1.com/sandyutah/attachments/94e2eb0e-ac1b-454f-9563-addff78e5b51.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-10-18_22-09.pdf,no,,2022-10-18,7,high,5113,22-377,adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5113&GUID=5F5DE24E-F075-401A-9CF6-49E75F376F99,https://sandyutah.legistar1.com/sandyutah/attachments/94e2eb0e-ac1b-454f-9563-addff78e5b51.pdf,exact ordinance number cited in the adopting motion on the adoption date
22-13,2022-11-15,2022-11-15,Community Development Department proposing code amendments to Mobile Food and Street Vendor Businesses,https://sandyutah.legistar1.com/sandyutah/attachments/95fd1e45-30eb-44b5-8ad2-554179e43a30.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-11-15_22-13.pdf,no,,2022-11-15,1,low,5137,CA08112022-0006381 (CC),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5137&GUID=B3BE9010-8DA1-412E-B6D3-54B1F5917DC8,https://sandyutah.legistar1.com/sandyutah/attachments/95fd1e45-30eb-44b5-8ad2-554179e43a30.pdf,adoption meeting held; likely adopted on the Consent Calendar / no standalone numbered ordinance motion
,,2022-12-06,"Community Development presenting information on the proposed Bell Canyon Acres Code Amendment  Amend Title 21, Chapter 19, Section 34 SD(R-1-30A) Bell Canyon Acres, of the Sandy Municipal Code",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5160&GUID=E38F0FA1-6EA6-4F66-8626-D5BE5EE166AA,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5160,CA02092022-0006266 (CC-WS),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5160&GUID=E38F0FA1-6EA6-4F66-8626-D5BE5EE166AA,,not adopted by City Council; no history recorded
22-16,,2022-12-06,"Proposed Amendments Related to Water Efficient Landscaping Standards:  Amend Title 21, Chapter 25, Landscaping Standards, and Chapter 37, Definitions, of the Sandy Municipal Code  Amend portions of the Sandy City Standard Specifications and Details for Municipal Construction",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5161&GUID=1BCFAA60-0108-4C09-B0D9-E62D995EA454,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5161,CA04182022-0006307 (CC),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5161&GUID=1BCFAA60-0108-4C09-B0D9-E62D995EA454,,not adopted by City Council; no history recorded
22-14,,2022-12-06,Public Hearing: Administrative Services Department presenting for adoption  the Impact Fee Facilities Plan and Impact Fee Analysis,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5164&GUID=BD8D6BE5-7566-4D10-9869-3A7075875812,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,,,none,5164,22-430,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5164&GUID=BD8D6BE5-7566-4D10-9869-3A7075875812,,not adopted by City Council; no history recorded
22-18,2022-12-20,2022-12-20,"Community Development presenting an ordinance for the proposed Bell Canyon Acres Code Amendment  Amend Title 21, Chapter 19, Section 34 SD(R-1-30A) Bell Canyon Acres, of the Sandy Municipal Code",https://sandyutah.legistar1.com/sandyutah/attachments/4d1eb22c-f986-463f-850c-d957be40834c.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2022-12-20_22-18.pdf,yes,,2022-12-20,1,high,5162,CA02092022-0006266 (CC),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5162&GUID=D86DBC3B-8485-45CA-A6A9-76F37670C2A3,https://sandyutah.legistar1.com/sandyutah/attachments/4d1eb22c-f986-463f-850c-d957be40834c.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-01,2023-01-31,2023-01-31,"Community Development Department presenting a General Plan amendment and revisions to the 2022 Moderate Income Housing Report, for City Council action, to add detail to the Implementation Plan of the Moderate Income Housing Element.",https://sandyutah.legistar1.com/sandyutah/attachments/5e084deb-e632-4ec3-bcc7-4cd245a05ebc.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-01-31_23-01.pdf,yes,,2023-01-31,1,low,5229,GPA01052023-6462 (CC-1st&Ord),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5229&GUID=21D596EA-E412-4BBC-9AB2-1CCD26B7C291,https://sandyutah.legistar1.com/sandyutah/attachments/5e084deb-e632-4ec3-bcc7-4cd245a05ebc.pdf,adoption meeting held; likely adopted on the Consent Calendar / no standalone numbered ordinance motion
23-02,2023-02-21,2023-02-21,"Division of Animal Services presenting an amendment to the Sandy City Municipal Code Title 12, ""Animal Service"", Chapter 12-2, ""Hobby License"", relating to the requirements of a Horse Hobby License",https://sandyutah.legistar1.com/sandyutah/attachments/c75ab3e6-1942-4664-bf3e-046e3deba58b.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-02-21_23-02.pdf,no,,2023-02-21,3,high,5272,23-075,adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5272&GUID=52F99E59-4559-4752-82B4-70A29E915531,https://sandyutah.legistar1.com/sandyutah/attachments/c75ab3e6-1942-4664-bf3e-046e3deba58b.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-03,2023-03-07,2023-03-07,"Amendments related to Temporary Signs:  Amend Title 21, Chapter 26, Signage and Outdoor Advertising, Section 8, Temporary Signs, of the Sandy Municipal Code",https://sandyutah.legistar1.com/sandyutah/attachments/78fdc477-608a-4235-b87b-a79ac555b3b3.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-03-07_23-03.pdf,yes,,2023-03-07,7,high,5274,CA01172023-0006470 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5274&GUID=534E0E51-EBDC-4AFC-A2A3-ED53D7D35F5E,https://sandyutah.legistar1.com/sandyutah/attachments/78fdc477-608a-4235-b87b-a79ac555b3b3.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-04,,2023-03-07,Administrative Services recommending adoption of Community Development fee amendments and related ordinance cleanup,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5290&GUID=BA1B9D5C-B9CF-4D5A-AFB1-1925B51D6287,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,,,none,5290,23-094,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5290&GUID=BA1B9D5C-B9CF-4D5A-AFB1-1925B51D6287,,not adopted by City Council; no history recorded
23-05,2023-03-21,2023-03-21,"Community Development Department presenting a zone change application (File #REZ01062023-6463, Larson) submitted by Ron Larson, requesting that 2.5 acres at approximately 963 E. 8600 S. be rezoned to the SD(R-1-7) Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/8d1102db-d74e-4266-8943-eeeda82c650d.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-03-21_23-05.pdf,yes,,2023-03-21,2,high,5295,REZ01062023-6463 (CC Ord),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5295&GUID=EB10376C-2E7F-47C2-B864-4442C608E6EF,https://sandyutah.legistar1.com/sandyutah/attachments/8d1102db-d74e-4266-8943-eeeda82c650d.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-06,,2023-03-21,Second Reading: Council Member D'Sousa presenting a proposal to implement a survey approval team,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5313&GUID=EFF0351A-B869-417A-86E3-6D05EDE908BB,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,no,,,,none,5313,23-117,no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5313&GUID=EFF0351A-B869-417A-86E3-6D05EDE908BB,,not adopted by City Council; no history recorded
23-06,2023-04-04,2023-04-04,Second Reading: Council Member D'Sousa presenting a proposal to implement a survey approval team,https://sandyutah.legistar1.com/sandyutah/attachments/54e46694-fe56-4703-91d7-d746690c28d5.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-04-04_23-06.pdf,no,,2023-04-04,2,high,5329,23-133,adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5329&GUID=118A4E06-5049-456B-8FB9-12493B0C4428,https://sandyutah.legistar1.com/sandyutah/attachments/54e46694-fe56-4703-91d7-d746690c28d5.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-08,2023-07-18,2023-07-18,Amendments to Title 21 of the Land Development Code related to Improvement Completion Guarantees (Bonding),https://sandyutah.legistar1.com/sandyutah/attachments/c2f05f6d-3cae-405e-a61a-4a771267512d.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-07-18_23-08.pdf,yes,,2023-07-18,1,high,5434,CA10262022-0006429 (CC),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5434&GUID=539E8FCF-6717-4628-98A8-5324FB08E89F,https://sandyutah.legistar1.com/sandyutah/attachments/c2f05f6d-3cae-405e-a61a-4a771267512d.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-15,,2023-08-03,"Brand Estates Rezone  285 East 11000 South  [Crescent, #11]",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5489&GUID=8D5311AD-562E-4F86-AA12-E2F763FEED09,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5489,23-335,approved (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5489&GUID=8D5311AD-562E-4F86-AA12-E2F763FEED09,,not adopted by City Council; last action: approved (Planning Commission)
23-10,2023-08-08,2023-08-08,Amendments to Title 21 of the Land Development Code related to Major Sports Venue Sign Theme,https://sandyutah.legistar1.com/sandyutah/attachments/047a08c6-2e58-4e97-bc0a-09a8e2603cc5.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-08-08_23-10.pdf,yes,,2023-08-08,2,high,5458,CA06282023-0006555 (CC),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5458&GUID=58B48602-F4BD-40CB-990F-77F047EB843A,https://sandyutah.legistar1.com/sandyutah/attachments/047a08c6-2e58-4e97-bc0a-09a8e2603cc5.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-11,,2023-08-29,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5470&GUID=B9548417-8ACA-42C0-8D5A-3AE19D4CC1AE,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5470,CA05252023-0006537 (CC),denied (City Council),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5470&GUID=B9548417-8ACA-42C0-8D5A-3AE19D4CC1AE,,not adopted by City Council; last action: denied (City Council)
23-13,2023-08-29,2023-08-29,"Public Utility Easement Vacation (Rainbow Oaks P.U.D. Amended)  11489 S Oberland Road  [Bell Canyon, Community #27]",https://sandyutah.legistar1.com/sandyutah/attachments/adb4667d-e5d4-4eee-86b7-7ba8ae8c0818.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-08-29_23-13.pdf,yes,,2023-08-29,10,high,5499,MSC07262023-006573 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5499&GUID=67B8EF6B-A6A0-4950-97BE-A58BCC6DA3A7,https://sandyutah.legistar1.com/sandyutah/attachments/adb4667d-e5d4-4eee-86b7-7ba8ae8c0818.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-15,2023-08-29,2023-08-29,"Brand Estates Rezone #2  285 East 11000 South  Crescent, Community #11",https://sandyutah.legistar1.com/sandyutah/attachments/69ab6079-7938-43a0-a3bc-4a0ece4b9571.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-08-29_23-15.pdf,yes,,2023-08-29,7,high,5518,REZ06142023-006552 (CC),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5518&GUID=71DE7858-D1E1-44EF-9BE4-7AB10016E939,https://sandyutah.legistar1.com/sandyutah/attachments/69ab6079-7938-43a0-a3bc-4a0ece4b9571.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-14,2023-08-29,2023-08-29,"Sophie Lane (Street Vacation)  285 East 11000 South  Crescent, Community #11",https://sandyutah.legistar1.com/sandyutah/attachments/f5c1ae0a-de74-492a-a18d-d19f7ed3e8f2.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-08-29_23-14.pdf,yes,,2023-08-29,9,high,5519,MSC06142023-006551 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5519&GUID=EB5C282D-018B-411E-A9FE-A5C35EE53044,https://sandyutah.legistar1.com/sandyutah/attachments/f5c1ae0a-de74-492a-a18d-d19f7ed3e8f2.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-17,,2023-09-19,"Amendment to Title 21, of the Land Development Code to the definition of a ""Transitional Housing Facility""",https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5542&GUID=54CE4CE9-2321-447C-BFC0-337E839C1B79,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5542,CA07282023-0006578 (CC),no recorded action,no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5542&GUID=54CE4CE9-2321-447C-BFC0-337E839C1B79,,not adopted by City Council; no history recorded
23-18,2023-10-03,2023-10-03,"Amendments to Title 21 of the Land Development Code related to Violations, Enforcement and Penalties in the Sensitive Area Overlay Zone",https://sandyutah.legistar1.com/sandyutah/attachments/46a32d33-dd8c-47e8-a246-787cde3bfd9f.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-10-03_23-18.pdf,yes,,2023-10-03,3,high,5540,CA08252023-0006593 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5540&GUID=042E3087-9637-4F4B-B874-BFEE1D22893A,https://sandyutah.legistar1.com/sandyutah/attachments/46a32d33-dd8c-47e8-a246-787cde3bfd9f.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-17,2023-10-03,2023-10-03,"Amendment to Title 21, of the Land Development Code to the definition of a ""Transitional Housing Facility""",https://sandyutah.legistar1.com/sandyutah/attachments/3847cf5a-f17a-4025-85d3-7745190700fd.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-10-03_23-17.pdf,yes,,2023-10-03,6,high,5564,CA07282023-0006578(CC2),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5564&GUID=474DC7FF-7F95-4B71-B6B1-0262D44D597C,https://sandyutah.legistar1.com/sandyutah/attachments/3847cf5a-f17a-4025-85d3-7745190700fd.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-16,2023-10-03,2023-10-03,"OneTen Apartments (Code Amendment)  Amendments to Title 21 of the Land Development Code, Chapter 8 - Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District  109 W. 11000 S.  [Commercial Area, #9]",https://sandyutah.legistar1.com/sandyutah/attachments/e5903ea9-e2e5-4e49-a280-0445500bfba9.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-10-03_23-16.pdf,yes,,2023-10-03,4,high,5578,CA07252023-0006572 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5578&GUID=064B4F12-14AD-43EA-B45C-461370E2269B,https://sandyutah.legistar1.com/sandyutah/attachments/e5903ea9-e2e5-4e49-a280-0445500bfba9.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-21,2023-11-28,2023-11-28,"Amendments to Title 21 of the Land Development Code, Chapter 19, Special Development (SD) Districts, Section 20, SD (Carnation) -10600 S. 1000 E.",https://sandyutah.legistar1.com/sandyutah/attachments/9a89d602-e226-41d0-a41e-55b74cc3983c.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-11-28_23-21.pdf,yes,,2023-11-28,3,high,5627,CA09062023-0006605 (CC),adopted (approved),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5627&GUID=22CDE6CB-A143-485F-8B37-0133F5E071E0,https://sandyutah.legistar1.com/sandyutah/attachments/9a89d602-e226-41d0-a41e-55b74cc3983c.pdf,exact ordinance number cited in the adopting motion on the adoption date | signed-ordinance PDF link returned 404; retained the unsigned adopted-ordinance PDF attachment instead
23-20,2023-11-28,2023-11-28,Olsen Farms Annexation (R-1-10 Zone)  10216S. 10250 S. and 10254 S. Dimple Dell Road  Community #29,https://sandyutah.legistar1.com/sandyutah/attachments/56885bb2-7460-4fc8-82d5-8818df055b85.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-11-28_23-20.pdf,yes,,2023-11-28,1,high,5634,ANEX08292023-006598(CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5634&GUID=E0EAA9E2-EE65-4A5A-B6ED-548676477F00,https://sandyutah.legistar1.com/sandyutah/attachments/56885bb2-7460-4fc8-82d5-8818df055b85.pdf,exact ordinance number cited in the adopting motion on the adoption date
23-22,2023-12-19,2023-12-19,"Amendments to Title 21, Chapter 8 of the Land Development Code related to Limiting Transitional Housing Facilities in the City",https://sandyutah.legistar1.com/sandyutah/attachments/1d4d2269-8b37-4e2d-8e1e-48ad19a2cff3.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2023-12-19_23-22.pdf,yes,,2023-12-19,3,high,5655,CA09212023-0006626 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5655&GUID=E421FDA4-18EE-4178-9A37-404A7E55CCB7,https://sandyutah.legistar1.com/sandyutah/attachments/1d4d2269-8b37-4e2d-8e1e-48ad19a2cff3.pdf,exact ordinance number cited in the adopting motion on the adoption date
24-01,2024-01-09,2024-01-09,Amendments to Title 21 of the Land Development Code related to Subdivision Review Standards,https://sandyutah.legistar1.com/sandyutah/attachments/1e4b279b-460c-4fb6-ad23-22cb6f719498.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2024-01-09_24-01.pdf,yes,,2024-01-09,4,high,5654,CA09272023-0006628 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5654&GUID=64AD8DF9-42C2-4F38-AA26-C95443D60BC4,https://sandyutah.legistar1.com/sandyutah/attachments/1e4b279b-460c-4fb6-ad23-22cb6f719498.pdf,exact ordinance number cited in the adopting motion on the adoption date
24-02,2024-01-30,2024-01-30,"Community Development Department requesting action regarding the Meek Rezone Application (File #REZ10182023-6641), submitted by Robert Meek, requesting that two parcels (0.53 acres) at 3761 E. and 3771 E. Little Cottonwood Lane be rezoned from the R-1-15 Zone to the R-1-8 Zone.",https://sandyutah.legistar1.com/sandyutah/attachments/5e0fe39f-73e2-427c-98c8-87994a1a8999.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2024-01-30_24-02.pdf,yes,,2024-01-30,3,high,5715,REZ10182023-6641 (CC Ord),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5715&GUID=A57E7076-1401-492C-8271-23121D3EDDEB,https://sandyutah.legistar1.com/sandyutah/attachments/5e0fe39f-73e2-427c-98c8-87994a1a8999.pdf,exact ordinance number cited in the adopting motion on the adoption date
,,2024-02-01,Amendments to Title 21 of the Land Development Code related to Mixed Use Development,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5712&GUID=FDC7A1FF-6D6B-4E1A-8FE5-487BA25D22C8,2026-07-05,json,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/api/matters_ordinances.json,yes,,,,none,5712,CA09082023-0006607_2nd,approved (Planning Commission),no,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5712&GUID=FDC7A1FF-6D6B-4E1A-8FE5-487BA25D22C8,,not adopted by City Council; last action: approved (Planning Commission)
24-03,2024-02-27,2024-02-27,Amendments to Title 21 of the Land Development Code related to Mixed Use Development,https://sandyutah.legistar1.com/sandyutah/attachments/eaeb324f-c435-42f2-b5b0-97869945950f.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2024-02-27_24-03.pdf,yes,,2024-02-27,2,medium,5748,CA09082023-0006607 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5748&GUID=2E5E8022-EF5E-4D99-AAAB-D7D9095AD932,https://sandyutah.legistar1.com/sandyutah/attachments/eaeb324f-c435-42f2-b5b0-97869945950f.pdf,"date+subject match; Legistar enacted ordinance is #24-03 but the meeting's ordinance motion in all_votes.csv cites #23-04 — number differs (possible minutes typo/OCR, or a sibling ordinance adopted the same meeting); spot-check | signed-ordinance PDF link returned 404; retained the unsigned adopted-ordinance PDF attachment instead"
24-04,2024-03-19,2024-03-19,"Community Development Department presenting a General Plan Amendment (File #GPA02202024-006718) for City Council Action, on behalf of the Parks and Recreation Department, requesting that an updated Parks, Trails and Recreation Master Plan be adopted.",https://sandyutah.legistar1.com/sandyutah/attachments/b695cc9b-ccbd-414e-899e-7059e693ff83.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2024-03-19_24-04.pdf,yes,,2024-03-19,2,high,5790,GPA02202024-006718 (CC Ord),adopted (adopted as amended),yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5790&GUID=6889F937-BE64-4D20-B560-56664AAF7845,https://sandyutah.legistar1.com/sandyutah/attachments/b695cc9b-ccbd-414e-899e-7059e693ff83.pdf,exact ordinance number cited in the adopting motion on the adoption date
24-05,2024-03-26,2024-03-26,"Amendments to Title 21, Chapter 11 Section 5 of the Land Development Code related to Home Occupations",https://sandyutah.legistar1.com/sandyutah/attachments/48e96ed1-73ba-4c62-8a7f-73631abbe126.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2024-03-26_24-05.pdf,yes,,2024-03-26,2,high,5776,CA02262024-0006721 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5776&GUID=14FD30CE-AF27-475E-8868-B395BB12028B,https://sandyutah.legistar1.com/sandyutah/attachments/48e96ed1-73ba-4c62-8a7f-73631abbe126.pdf,exact ordinance number cited in the adopting motion on the adoption date
24-06,2024-04-16,2024-04-16,Amendments to Title 21 of the Land Development Code related to Subdivision Review Standards and Public Notice Requirements,https://sandyutah.legistar1.com/sandyutah/attachments/3576bdee-d0bb-4549-8f7e-f88deb86ae9c.pdf,2026-07-05,text,legistar web api (matters/histories/attachments) — MatterTypeId 53,raw/ordinances/2024-04-16_24-06.pdf,yes,,2024-04-16,7,high,5814,CA02292024-0006725 (CC),adopted,yes,https://sandyutah.legistar.com/LegislationDetail.aspx?ID=5814&GUID=0E747F22-1612-43A4-A8B1-39C3FDD730ED,https://sandyutah.legistar1.com/sandyutah/attachments/3576bdee-d0bb-4549-8f7e-f88deb86ae9c.pdf,exact ordinance number cited in the adopting motion on the adoption date
