ordinance_no,adoption_date,month_year,date_kind,method,title,note
18-72,2018-12-10,2018-12,passed,ocr,"AN ORDINANCE OF THE MILLCREEK CITY COUNCIL ADOPTING AN OFFICIAL PLAN FOR THE OLYMPUS HILLS COMMUNITY REINVESTMENT PROJECT AREA, AS APPROVED BY THE MILLCREEK COMMUNITY REINVESTMENT AGENCY AND DIRECTING",
18-73,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT 4284 SOUTH 900 EAST FROM THE R-1-8 (SINGLE-FAMILY RESIDENTIAL) TO THE R-1-21 (SINGLE-FAMILY RESIDENTIAL),
18-74,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT 1136 EAST 3300 SOUTH FROM THE C-2 (COMMERCIAL) AND R-1-8 (SINGLE-FAMILY RESIDENTIAL) TO THE R-M ZONE (MULTI-FAMILY RESIDENTIAL),
18-75,,,,ocr,"AN ORDINANCE AMENDING CHAPTERS 19.04, 19.44, AND 19.60 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO REGULATING LICENSED MASSAGE PRACTICES IN MILLCREEK",
19-01,2019-01-14,2019-01,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING MILLCREEK’S 2019 REGULAR MEETINGS SCHEDULE,
19-02,2019-01-14,2019-01,passed,ocr+ocrL,AN ORDINANCE AMENDING CHAPTER 5.21 OF THE MILLCREEK CODE OF ORDINANCES RELATING TO BUSINESS LICENSING OF TOBACCO SPECIALTY BUSINESSES,
19-03,2019-01-14,2019-01,passed,ocr,AN ORDINANCE TO AMEND THE 2018-2019 FISCAL YEAR BUDGET,
19-04,2019-02-11,2019-02,meeting,ocr,"AN ORDINANCE OF MILLCREEK ADOPTING CODE SECTION 11.20.040 BUS ZONES, A PARKING REGULATION PROHIBITING PARKING IN BUS LOADING AREAS",
19-05,,2019-02,monthyear_garbled,ocr+ocrL,AN ORDINANCE AMENDING SECTION 18.24.170 OF THE MILLCREEK CODE OF ORDINANCES RELATING TO BONDS,
19-06,2019-02-11,2019-02,passed,ocr+ocrAll,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING THE MILLCREEK TOGETHER GENERAL PLAN AND MAP,
19-07,2019-03-11,2019-03,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING MILLCREEK’S 2019 AMENDED REGULAR MEETINGS SCHEDULE,
19-08,,2019-03,monthyear,ocr+ocrL,,
19-10,2019-03-25,2019-03,passed,ocr+ocrL,AN ORDINANCE AMENDING TITLE 2 AND TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO NOTICING REQUIREMENTS FOR PUBLIC HEARINGS AND PUBLIC MEETINGS,
19-11,2019-04-08,2019-04,passed,ocr,AN ORDINANCE TO AMEND THE 2018-2019 FISCAL YEAR BUDGET,
19-12,2019-04-08,2019-04,passed,pdftext+ocrAll,"AN ORDINANCE OF THE MILLCREEK CITY COUNCIL ADOPTING AN OFFICIAL PLAN FOR THE MILLCREEK CENTER COMMUNITY REINVESTMENT PROJECT AREA, AS APPROVED BY THE MILLCREEK COMMUNITY REINVESTMENT AGENCY AND DIRECT",
19-13,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3590 SOUTH 900 EAST FROM THE R-2-6.5 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE R-M ZONE (RESIDENTIAL ZONE),
19-14,2019-04-08,2019-04,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR AN AMENDMENT OF THE CAPRI PARK HOMES CONDOMINIUM PLAT ADDING 40 CONDOMINIUM UNITS TO THE CAPRI PARK HOMES DEVELOPMENT LOCATE,
19-15,2019-04-08,2019-04,passed,pdftext+ocrL,AN ORDINANCE AMENDING VARIOUS SECTIONS OF TITLE 5 OF THE MILLCREEK CODE OF ORDINANCES RELATED TO APPEALS (CHANGING FROM THE CITY COUNCIL TO AN APPEAL AUTHORITY),
19-16,2019-05-13,2019-05,meeting,ocr,"AN ORDINANCE OF MILLCREEK TO APPROVE A MONETARY CONTRIBUTION OF $6,000 TO THE MILLCREEK ARTS COUNCIL",
19-17,2019-05-13,2019-05,passed,ocr+ocrL,AN ORDINANCE ADOPTING CHAPTER 18.30 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO CONDOMINIUM CONVERSIONS AND CONDOMINIUM DEVELOPMENTS,
19-18,2019-05-28,2019-05,meeting,ocr,AN ORDINANCE OF MILLCREEK ADDING MILLCREEK CODE OF ORDINANCES CHAPTER 2.11 REGARDING AN ELECTION CODE,
19-19,2019-05-28,2019-05,meeting,ocr,,
19-21,2019-06-10,2019-06,passed,ocr+ocrL,"AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT 3244 S., 3260 S., 3261 S., 3273 S., 3280 S. AND 3290 S. 1000 E. FROM THE C-2 (COMMERCIAL) TO R-1- 6 (SINGLE-FAMILY RESIDENTIAL)",
19-22,2019-06-10,2019-06,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 534 EAST DELNO DRIVE & 3999 SOUTH 500 EAST FROM THE R-2-10 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE R-1-3 ZONE (SINGLE FAMILY RESIDENTIA,
19-23,2019-06-10,2019-06,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A SINGLE FAMILY PROJECT WITH 6 UNITS WITH RESPECT TO APPROXIMATELY 0.52 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 534 ,
19-24,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3923 SOUTH 500 EAST FROM THE R-2-10 ZONE (MEDIUM DENSITY RESIDENTIAL) TO THE R-M ZONE (R-M RESIDENTIAL),
19-25,2019-06-10,2019-06,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MIXED-USE PROJECT LIMITED TO ONE DWELLING UNIT AND OFFICE ON FIRST FLOOR WITH RESPECT TO APPROXIMATELY 0.2 ACRES OF REAL P,
19-27,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT 3608 E. JUPITER DRIVE FROM THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL) TO THE C-2 ZONE (COMMERCIAL),
19-28,2019-06-24,2019-06,passed,ocr,AN ORDINANCE TO AMEND THE 2018-2019 FISCAL YEAR BUDGET,
19-29,2019-06-24,2019-06,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT 3975 SOUTH AND 3999 SOUTH MAIN STREET FROM THE M (LIGHT MANUFACTURING) AND C-3 (COMMERCIAL) ZONES TO MD (MIXED USE) ZONE,
19-30,2019-06-24,2019-06,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MIXED USE PROJECT WITH RESPECT TO APPROXIMATELY 1.92 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 3975 AND 3999 SOUTH M,
19-31,2019-06-24,2019-06,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4277 SOUTH 500 EAST FROM THE R-2-10 ZONE (MEDIUM DENSITY) TO THE R-1-5 ZONE (SINGLE FAMILY),
19-32,2019-06-24,2019-06,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3125 SOUTH 2300 EAST FROM THE R-1-8 ZONE (SINGLE FAMILY RESIDENTIAL) TO THE R-1-6 ZONE (SINGLE FAMILY RESIDENTIAL),
19-33,2019-06-24,2019-06,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A FLAG LOT SUBDIVISION FOR TWO SINGLE FAMILY HOMES WITH RESPECT TO APPROXIMATELY .45 ACRES OF REAL PROPERTY LOCATED AT APPRO,
19-34,2019-07-08,2019-07,meeting,ocr,,
19-35,,,,ocr,"AN ORDINANCE OF THE MILLCREEK CITY COUNCIL REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS OR USE ANY IGNITION SOURCE INCLUDING LIGHTERS, MATCHES, SKY LANTERNS, AND SMOKING MATERIALS WI",
19-36,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4236/4248 SOUTH 900 EAST FROM R-1-8 (SINGLE-FAMILY RESIDENTIAL) TO R-1-5 (SINGLE-FAMILY RESIDENTIAL),
19-37,2019-07-04,2019-07,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR AN 8-UNIT PLANNED UNIT DEVELOPMENT WITH RESPECT TO APPROXIMATELY 1.18 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 4236/4,
19-38,2019-08-12,2019-08,passed,ocr+ocrL,AN ORDINANCE OF MILLCREEK AMENDING THE FINANCIAL ADMINISTRATIVE ORDINANCE CREATING A DIRECTOR OF FINANCE,
19-39,2019-08-26,2019-08,passed,ocr+ocrL,AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO NOTICING AND HEARING REQUIREMENTS FOR LAND USE HEARINGS,
19-40,2019-09-23,2019-09,passed,ocr,AN ORDINANCE TO AMEND THE 2019-2020 FISCAL YEAR BUDGET,
19-41,,2019-10,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3419 SOUTH 1300 EAST FROM R-1-8 (SINGLE FAMILY RESIDENTIAL) TO R-2-8 (MEDIUM DENSITY RESIDENTIAL),
19-42,,2019-10,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR DEVELOPMENT OF A SINGLE DUPLEX LOCATED AT 3419 SOUTH 1300 EAST,
19-43,,,,pdftext,,
19-44,2019-10-28,2019-10,passed,ocr+ocrL,,
19-45,2019-10-09,2019-10,monthyear,ocr+ocrL,AN ORDINANCE AMENDING THE MILLCREEK TOGETHER GENERAL PLAN BY CHANGING THE FUTURE LAND USE MAP IN THE AREA OF 4000 SOUTH AND 700 WEST FROM NEIGHBORHOOD 2 TO NEIGHBORHOOD 1,
19-46,2019-11-12,2019-11,passed,ocr+ocrL,AN ORDINANCE AMENDING SECTION 2.04.130 OF MILLCREEK CODE OF,
19-47,2019-11-12,2019-11,passed,ocr+ocrL,AN ORDINANCE AMENDING SECTION 14.12.027 OF THE MILLCREEK CODE OF ORDINANCES TO ADD CURB AND/OR GUTTER TO THE PROVISION THAT PROVIDE FOR CITY FINANCIAL PARTICIPATION WITH RESPECT TO RESIDENTIAL PROPERT,
19-48,2019-11-12,2019-11,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3898 EAST THOUSAND OAKS CIRCLE FROM R-1-21 (SINGLE- FAMILY RESIDENTIAL) TO R-1-10 (SINGLE-FAMILY RESIDENTIAL),
19-49,2019-11-12,2019-11,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3898 EAST THOUSAND OAKS CIRCLE FROM FCOZ (FOOTHILLS AND CANYON OVERLAY ZONE) TO RCOZ (RESIDENTIAL COMPATIBILITY OVERLAY ZONE),
19-50,2019-11-12,2019-11,passed,ocr+ocrL,AN ORDINANCE APPLYING A ZONE CONDITION TO CERTAIN PROPERTY LOCATED AT APPROXIMATELY 3898 EAST THOUSAND OAKS CIRCLE THAT LIMITS THE DENSITY TO A MAXIMUM OF FIVE LOTS,
19-51,2019-11-12,2019-11,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A REZONE TO ACCOMMODATE A 5-LOT SUBDIVISION WITH RESPECT TO APPROXIMATELY 2.7 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATEL,
19-52,,,,ocr,,
19-53,,2019-12,monthyear_garbled,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING MILLCREEK’S 2020 REGULAR MEETINGS SCHEDULE,
19-54,,,,ocr,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 1643-1647 EAST WOODLAND AVENUE FROM R-1-8 (SINGLE- FAMILY RESIDENTIAL) TO R-1-6 (SINGLE-FAMILY RESIDENTIAL),
19-55,2019-12-09,2019-12,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT LOCATED AT APPROXIMATELY 1643-1647 EAST WOODLAND AVENUE FOR A 2-LOT FLAG LOT SUBDIVISION WITH RESPECT TO APPROXIMATELY .38 ACRES,
19-56,2019-12-16,2019-12,passed,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 828 E. 4125 S. FROM R-2-10 (WEDIUM DENSITY RESIDENTIAL) TO R-1-5 (SINGLE FAMILY RESIDENTIAL),
19-58,,,,ocr,AN ORDINANCE AMENDING CHAPTER 2.22 OF THE MILLCREEK CODE OF ORDINANCES TO ADOPT A PORTION OF THE UTAH PROCUREMENT CODE WITH RESPECT TO CONSTRUCTION MANAGERS/GENERAL CONTRACTORS AND INCREASING THE THRE,
20-01,2020-01-13,2020-01,passed,ocr,AN ORDINANCE AMENDING THE 2019-2020 FISCAL YEAR BUDGET,
20-02,2020-01-01,2020-01,passed,pdftext,AN ORDINANCE ADOPTING CHAPTER 14.50 TO THE MILLCREEK CODE ENTITLED DEDICATION OF PRIVATE STREETS TO PUBLIC OWNERSHIP,
20-03,2020-01-27,2020-01,meeting,ocr,"AN ORDINANCE TO APPROVE A MONETARY CONTRIBUTION OF $2,000 TO THE MILLCREEK SENIOR CENTER ADVISORY COMMITTEE",
20-04,,2020-02,monthyear_garbled,ocr+ocrL,AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 1470 E. 3900 S. FROM R-M (MULTI-FAMILY RESIDENTIAL) TO R-2-6.5 (MEDIUM DENSITY RESIDENTIAL),
20-05,2020-02-10,2020-02,passed,ocr+ocrL,AN ORDINANCE ADDING CHAPTER 11.48 TO THE MILLCREEK CODE OF ORDINANCES RELATED TO IDLING OF VEHICLES IN MILLCREEK,
20-06,,,,pdftext,,
20-07,,,,pdftext,,
20-08,2020-03-09,2020-03,passed,ocr,AN ORDINANCE AMENDING THE 2019-2020 FISCAL YEAR BUDGET,
20-09,2020-03-09,2020-03,passed,ocr,AN ORDINANCE REPEALING CHAPTER 2.73 OF THE MILLCREEK CODE OF ORDINANCES ENTITLED “LOBBYIST DISCLOSURE”,
20-10,,,,pdftext,,
20-11,,,,ocr,AN ORDINANCE RATIFYING AND CONFIRMING THE MAYOR’S EMERGENCY PROCLAMATION NO. 1 OF 2020 DECLARING A LOCAL STATE OF EMERGENCY,
20-12,2020-03-23,2020-03,passed,ocr+ocrL,AN ORDINANCE AMENDING CHAPTER 2.86 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO EMERGENCY RESPONSE AND RECOVERY TO UPDATE REFERENCES AND OTHER RELATED MATTERS,
20-13,,,,ocr,"AN ORDINANCE ADOPTING NEW DEFINITIONS IN CHAPTER 19.04 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO 19.04.103, 19.04.306, 19.04.307 AND ADOPTING CHAPTER 19.63 INSTITUTIONAL FACILITIES ZONE",
20-14,2020-03-23,2020-03,passed,ocr+ocrL,"AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 1200 E., 1120 E., 1140 E., 1160 E., 1250 E., & 3900 S. FROM RM (RESIDENTIAL MULTI-FAMILY) & C-1 (COMMERCIAL) TO IF (INSTITUTIONAL FACILI",
20-15,2020-10-30,2020-10,monthyear,pdftext,,
20-16,,,,ocr,AN ORDINANCE establishing general standards and requirements for residential short- term rentals is needed,
20-17,2020-04-27,2020-04,passed,ocr+ocrL,AN ORDINANCE AMENDING TITLES 11 AND 19 OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO THE DEFINITION OF COMMERCIAL VEHICLES,
20-18,,,,ocr,,
20-19,,,,ocr,,
20-20,2020-04-27,2020-04,passed,ocr,AN ORDINANCE OF THE MILLCREEK COUNCIL AMENDING A DEVELOPMENT AGREEMENT FOR OPUS GREEN MIXED USE DEVELOPMENT WITH RESPECT TO APPROXIMATELY 7.05 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 4186 S. M,
20-21,2020-05-11,2020-05,passed,ocr+ocrL,"AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 4372 & 4356-4358 S. 900 E. FROM R-1-8, R-1-5 (RESIDENTIAL",
20-22,,2020-05,monthyear_garbled,ocr+ocrL,AN ORDINANCE AMENDING THE MILLCREEK TOGETHER GENERAL PLAN BY CHANGING THE FUTURE LAND USE MAP IN THE AREA OF 4372 S. 900 E. FROM NEIGHBORHOOD 1 TO RETAIL/OFFICE,
20-23,2020-05-26,2020-05,passed,ocr+ocrL,AN ORDINANCE AMENDING TITLE 11 OF THE MILLCREEK CODE OF ORDINANCES PROHIBITING PARKING IN BIKE LANES,
20-24,2020-06-22,2020-06,passed,ocr,AN ORDINANCE AMENDING THE 2019-2020 FISCAL YEAR BUDGET,
20-25,,,,ocr,"AN ORDINANCE ANNEXING TERRITORY LOCATED SOUTH OF MURRAY HOLLADAY ROAD, WEST OF 1300 EAST, EAST OF 900 EAST, AND NORTH OF VAN WINKLE EXPRESSWAY COMPRISING APPROXIMATELY 62 ACRES INTO MILLCREEK",
20-26,2020-06-22,2020-06,passed,ocr+ocrAll,"AN ORDINANCE OF THE MILLCREEK COUNCIL REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS WITHIN CERTAIN AREAS OF THE CITY",
20-27,,2020-06,monthyear_garbled,ocr+ocrL,AN ORDINANCE AMENDING TITLE 1 OF THE MILLCREEK CODE OF ORDINANCES REGARDING ADMINISTRATIVE CITATIONS AND DEFAULT HEARINGS,
20-28,2020-06-22,2020-06,passed,ocr+ocrL,AN ORDINANCE AMENDING TITLE 17 CHAPTER 24 OF THE MILLCREEK CODE OF ORDINANCES ENTITLED FLOOD DAMAGE PREVENTION REGARDING THE DEFINITION OF SUBSTANTIAL IMPROVEMENTS,
20-29,2020-06-22,2020-06,passed,ocr,AN ORDINANCE AMENDING TITLE 5 OF THE MILLCREEK CODE OF,
20-31,2020-07-13,2020-07,passed,pdftext,,
20-32,2020-07-13,2020-07,passed,pdftext,AN ORDINANCE OF THE CITY COUNCIL OF MILLCREEK APPROVING A NON- EXCLUSIVE LICENSE AGREEMENT BETWEEN MILLCREEK AND GOOGLE FIBER UTAH LLC FOR THE INSTALLATION OF NETWORK FACILITIES IN THE CITY PUBLIC RIG,
20-33,2020-07-13,2020-07,passed,pdftext,AN ORDINANCE AMENDING TITLE 2 0F THE MILLCREEK CODE OF ORDINANCES REGARDING SURPLUS OF PERSONAL PROPERTY,
20-34,2020-07-13,2020-07,passed,pdftext,AN ORDINANCE OF MILLCREEK AMENDING SECTION 2.24.060 0F THE MILLCREEK CODE OF ORDINANCES TO ADD REIMBURSEMENTS TO THE CONSOLIDATED FEE SCHEDULE,
20-35,2020-07-27,2020-07,passed,pdftext+ocrL,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE THAT WOULD PROHIBIT MIXED USE DEVELOPMENTS WHICH IS DEFINED AS GENERAL RETAIL, OFFICE, AND RESIDENTIAL USES SHARING THE SAME BUILDING IN THE C-",
20-36,2020-07-27,2020-07,passed,pdftext,AN ORDINANCE AMENDING TITLE 2 0F THE MILLCREEK CODE OF ORDINANCES REGARDING SURPLUS OF PERSONAL PROPERTY,
20-37,2020-07-27,2020-07,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 755 EAST 2910 SOUTH FROM R-1-6 (RESIDENTIAL) TO R-1-5 (RESIDENTIAL),
20-38,2020-07-27,2020-07,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR PROPERTY BEING REZONED FROM R-1-6 TO R-1-5 WITH RESPECT TO APPROXIMATELY 1.18 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATEL,
20-40,2020-08-10,2020-08,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 3646 SOUTH VIEWCREST CIRCLE FROM R-I-10 & R-1-21 (RESIDENTIAL SINGLE-F AMILY) TO ONLY R-1-21 (RESIDENTIAL SINGLE- FAMILY) WITH TWO ZONE,
20-41,2020-08-10,2020-08,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 3500 SOUTH HILLSIDE LANE FROM R-1-8 & R-1-21 (RESIDENTIAL SINGLE-FAMILY) TO ONLY R-1-8 (RESIDENTIAL SINGLE- FAMILY),
20-42,2020-08-10,2020-08,passed,pdftext+ocrL,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 4524 SOUTH 785 EAST FROM R-l-10 (RESIDENTIAL) TO R-1-5 (RESIDENTIAL),
20-44,2020-08-10,2020-08,passed,pdftext+ocrL,AN ORDINANCE AMENDING TITLE 5 0F THE MILLCREEK CODE OF ORDINANCES ESTABLISHING GENERAL STANDARDS AND REQUIREMENTS FOR RESIDENTIAL SHORT-TERM RENT ALS,
20-45,,2020-08,passed,pdftext,"AN ORDINANCE AMENDING TITLE 5 0F THE MILLCREEK CODE OF ORDINANCES BY AMENDING THE BUSINESS LICENSE FEE SCHEDULE, ADDING A DISPROPORTION FEE SCHEDULE, AND OTHER RELATED MATTERS",
20-46,2020-08-24,2020-08,passed,text-layer(oversize),AN ORDINANCE ADOPTING THE MILLCREEK TRANSPORTATION MASTER PLAN,
20-47,,,,ocr,,
20-48,2020-09-14,2020-09,passed,pdftext+ocrL,AN ORDINANCE AMENDING VARIOUS SECTIONS OF THE MILLCREEK CODE OF ORDINANCES CHAPTER 14.16 EXCAV ATIONS RELATED TO SIDEWALK CLOSURES,
20-49,2020-09-28,2020-09,passed,pdftext+ocrL,"AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO MIXED USE DEVELOPMENTS IN COMMERCIAI, ZONES",
20-50,2020-09-28,2020-09,passed,pdftext,"AN ORDINANCE DECLARING APPROXIMATELY .38 ACRES OF REAL PROPERTY LOCATED AT OR NEAR 3216 HIGHLAND DRIVE, MILLCREEK, SALT LAKE COUNTY, UTAH, AS SURPLUS",
20-51,2020-09-28,2020-09,passed,pdftext,"AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE THAT WOULD AMEND THE DEFINITIONS OF HOTEL, TOURIST COURT, AND RESORT HOTEL AND ADD SPECIFIC USE STANDARDS FOR HOTELS",
20-52,2020-10-26,2020-10,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL Al)OPTING MILLCREEK'S 2021 REGULAR MEETINGS SCHEDULE,
20-53,,,,ocr,AN ORDINANCE AMENDING TITLE 6 OF THE MILLCREEK CODE OF ORDINANCES ESTABLISHING CITY PARK RESTRICTIONS,
20-55,,,,pdftext,,
20-56,,,,pdftext,,
20-57,2020-12-21,2020-12,passed,ocr+ocrL,"AN ORDINANCE REZONING CERTAIN PROPERTY LOCATED AT APPROXIMATELY 857 E 4315 S FROM R-1-8, R-1-5, & R-1-21 (RESIDENTIAL SINGLE-FAMILY) TO R-1-5 (RESIDENTIAL SINGLE-FAMILY ON A 5,000 SQUARE FOOT LOT)",
21-01,2021-01-01,2021-01,passed,pdftext,AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO HOTELS IN COMMERCIAL ZONES,
21-02,2021-02-08,2021-02,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 4396 SOUTH GARDEN DRIVE FROM THE R-I-10 ZONE TO THE R-1-5 ZONE,
21-03,2021-01-25,2021-01,passed,pdftext+ocrL,AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE THAT WOULD AMEND THE R-M RESIDENTIAL ZONE AND PLANNED UNIT DEVELOPMENTS,
21-05,2021-02-08,2021-02,passed,pdftext,AN ORDINANCE OF THE CITY COtJNCIL OF MILLCREEK APPROVING A DEVELOPMENT AGREEMENT FOR OPUS GREEN FOR PROPERTY LOCATED AT OR NEAR 4186 SOUTH MAIN STREET,
21-06,2021-02-08,2021-02,passed,pdftext,AN ORDINANCE ADOPTING THE MILLCREEK CITY CENTER URBAN FORESTRY PLAN AS AN ELEMENT OF THE MILLCREEK GENERAL PLAN,
21-07,2021-03-22,2021-03,passed,pdftext,"AN ORDINANCE AMENDING TITLE 8, ENTITLED ANIMALS, OF THE MILLCREEK CODE OF ORDINANCES TO ADOPT TITLE 8 0F THE SALT LAKE COUNTY CODE AS IT EXISTED ON FEBRUARY 8, 2021 AS THE LOCAL LAW WITHIN THE INCORPO",
21-08,2021-03-22,2021-03,passed,pdftext,"AN ORDINANCE OF MILLCREEK AJ'PROVING A MONET ARY CONTRIBUTION OF $41,000 TO PIK2AR (P ACIFIC ISLAND KNOWLEDGE 2 ACTION RESOURCES)",
21-09,2021-03-22,2021-03,passed,pdftext,AN ORDINANCE AMENDING THE 2020-2021 FISCAL YEAR BUDGET,
21-10,2021-03-22,2021-03,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 1411 EAST ELM LEAF COVE FROM R-2-10 (MEDIUM DENSITY RESIDENTIAL ZONE) TO R-1-21 (SINGLE-F AMILY RESIDENTIAL ZONE),
21-12,2021-03-22,2021-03,passed,pdftext,"AN ORDINANCE DECLARING THREE PARCELS OF REAL PROPERTY OF APPROXIMATELY O.5 ACRES LOCATED AT 1321 EAST 3300 SOUTH O.59 ACRES LOCATED AT 1329-1333 EAST 3300 SOUTH, AND O.77 ACRES LOCATED AT 1341-1363 EA",
21-13,2021-04-12,2021-04,passed,pdftext,"AN ORDINANCE TO AJ'PROVE A MONETARY CONTRIBUTION OF NOT TO EXCEED $10,000 TO UTAH RIVERS COUNCIL FOR THE RAIN BARREL PROGRAM",
21-14,2021-04-12,2021-04,passed,pdftext,AN ORDINANCE ADOPTING THE COMMUNITY REINVESTMENT PROJECT AREA PLAN FOR THE MEDTECH COMMUNITY REINVESTMENT PROJECT AREA,
21-15,2021-04-12,2021-04,passed,pdftext+ocrL,AN ORDINANCE AMENDING TITLE 14 CHAPTER 12 SECTION 130 0F THE MILLCREEK CODE OF ORDINANCES ENTITLED PRIV ATE ROADWAYS TO PROVIDE A MINIMUM WIDTH OF TWENTY - FIVE FEET,
21-16,2021-04-26,2021-04,passed,pdftext,AN ORDINANCE AMENDING TITLE 19 OF THE MILLCREEK CODE OF ORDINANCES BY AMENDING CHAPTER 19.86 HISTORIC PRESERVATION,
21-17,,2021-04,passed,pdftext,"AN ORDINANCE APPROVING AN AMENDED DEVELOPMENT AGREEMENT FOR VILLAS AT MILLCREEK, LLC, AND HAN/SOL co., LLC, FOR REAL PROPERTY LOCATED AT OR NEAR 3098 SOUTH RICHMOND STREET",
21-18,2021-05-10,2021-05,passed,pdftext,AN ORDINANCE ADOPTING CHAPTER 15.44 0F THE MILLCREEK CODE RELATING TO THE MAINTENANCE OF PROPERTY,
