title,chapter,chapter_title,section,heading,path,source_url,chapter_xml_url,retrieved_date,doc_class
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-908,Identical plan review -- Process -- Indexing of plans -- Prohibitions.,text/10-20/10-20-908.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S908.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-909,Fees collected for construction approval -- Approval of plans.,text/10-20/10-20-909.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S909.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-910,Provisions applicable to a provider of culinary or secondary water.,text/10-20/10-20-910.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S910.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-911,Exactions -- Requirement to offer to original owner property acquired by exaction -- Exaction for right-of-way improvements -- Improvement completion assurance requirements.,text/10-20/10-20-911.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S911.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-912,Exactions for water rights.,text/10-20/10-20-912.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S912.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1001,Enforcement -- Limitations on a municipality's ability to enforce an ordinance by withholding a permit or certificate.,text/10-20/10-20-1001.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1001.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1002,Penalties -- Notice.,text/10-20/10-20-1002.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1002.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1003,Nonconforming uses and noncomplying structures.,text/10-20/10-20-1003.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1003.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1101,Appeal authority required -- Condition precedent to judicial review -- Appeal authority duties.,text/10-20/10-20-1101.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1101.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1102,Variances.,text/10-20/10-20-1102.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1102.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1103,Appealing a land use authority's decision -- Panel of experts for appeals of geologic hazard decisions.,text/10-20/10-20-1103.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1103.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1104,Time to appeal.,text/10-20/10-20-1104.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1104.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1105,Burden of proof.,text/10-20/10-20-1105.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1105.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1106,Due process.,text/10-20/10-20-1106.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1106.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1107,Scope of review of factual matters on appeal -- Appeal authority requirements.,text/10-20/10-20-1107.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1107.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1108,Final decision.,text/10-20/10-20-1108.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1108.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1109,No district court review until administrative remedies exhausted -- Time for filing -- Tolling of time -- Standards governing court review -- Record on review -- Staying of decision.,text/10-20/10-20-1109.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1109.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 10,10-20,"Municipal Land Use, Development, and Management Act",10-20-1110,Consent agreement.,text/10-20/10-20-1110.txt,https://le.utah.gov/xcode/Title10/Chapter20/10-20-S1110.html,https://le.utah.gov/xcode/Title10/Chapter20/C10-20_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-101,Purposes -- General land use authority -- Limitations.,text/17-79/17-79-101.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S101.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-102,Definitions.,text/17-79/17-79-102.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S102.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-103,County standards.,text/17-79/17-79-103.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S103.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-201,Required notice.,text/17-79/17-79-201.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S201.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-202,Applicant notice -- Waiver of requirements.,text/17-79/17-79-202.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S202.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-203,Notice of intent to prepare a general plan or comprehensive general plan amendments in certain counties.,text/17-79/17-79-203.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S203.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-204,Notice of public hearings and public meetings to consider general plan or modifications.,text/17-79/17-79-204.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S204.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-205,Notice of public hearings and public meetings on adoption or modification of land use regulation.,text/17-79/17-79-205.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S205.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-206,Third party notice -- High priority transportation corridor notice.,text/17-79/17-79-206.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S206.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-207,Notice for an amendment to a subdivision -- Notice for vacation of or change to street.,text/17-79/17-79-207.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S207.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-208,Hearing and notice for petition to vacate a public street.,text/17-79/17-79-208.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S208.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-209,Notice challenge.,text/17-79/17-79-209.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S209.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-210,Notice to county when a private institution of higher education is constructing student housing.,text/17-79/17-79-210.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S210.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-211,Canal owner or operator -- Notice to county.,text/17-79/17-79-211.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S211.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-212,Notice for an amendment to public improvements in a subdivision or development.,text/17-79/17-79-212.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S212.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-213,Hearing and notice procedures for modifying sign regulations.,text/17-79/17-79-213.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S213.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-301,Ordinance establishing planning commission required -- Exception -- Ordinance requirements -- Planning advisory area planning commission -- Compensation.,text/17-79/17-79-301.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S301.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-302,Planning commission powers and duties -- Training requirements.,text/17-79/17-79-302.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S302.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-303,Planning advisory areas -- Notice of hearings.,text/17-79/17-79-303.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S303.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-304,Entrance upon land.,text/17-79/17-79-304.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S304.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-305,"Other entities required to conform to county's land use ordinances -- Exceptions -- School districts, charter schools, home-based microschools, and micro-education entities -- Submission of development plan and schedule.",text/17-79/17-79-305.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S305.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-306,State and federal property.,text/17-79/17-79-306.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S306.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-401,General plan required -- Content -- Resource management plan -- Provisions related to radioactive waste facility.,text/17-79/17-79-401.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S401.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-402,Specific provisions for general plan.,text/17-79/17-79-402.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S402.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-403,General plan preparation.,text/17-79/17-79-403.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S403.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-404,Public hearing by planning commission on proposed general plan or amendment -- Notice -- Revisions to general plan or amendment -- Adoption or rejection by legislative body.,text/17-79/17-79-404.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S404.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-405,Effect of general plan -- Coordination with federal government.,text/17-79/17-79-405.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S405.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-406,Public uses to conform to general plan.,text/17-79/17-79-406.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S406.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-407,Effect of official maps.,text/17-79/17-79-407.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S407.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-408,Mountainous planning district.,text/17-79/17-79-408.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S408.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-501,Enactment of land use regulation.,text/17-79/17-79-501.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S501.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-502,Preparation and adoption of land use regulation.,text/17-79/17-79-502.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S502.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-503,Zoning district or land use regulation amendments.,text/17-79/17-79-503.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S503.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-504,Temporary land use regulations.,text/17-79/17-79-504.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S504.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-505,Zoning districts.,text/17-79/17-79-505.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S505.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-506,Conditional uses.,text/17-79/17-79-506.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S506.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-507,Classification of new and unlisted business uses.,text/17-79/17-79-507.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S507.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-508,Development agreements.,text/17-79/17-79-508.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S508.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-601,Limit on single family designation.,text/17-79/17-79-601.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S601.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-602,Private maintenance of public access amenities prohibited.,text/17-79/17-79-602.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S602.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-603,Transferable development rights.,text/17-79/17-79-603.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S603.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-604,Termination of a billboard and associated rights.,text/17-79/17-79-604.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S604.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-605,County's acquisition of billboard by eminent domain -- Removal without providing compensation -- Limit on allowing nonconforming billboard to be rebuilt or replaced -- Validity of county permit after issuance of state permit.,text/17-79/17-79-605.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S605.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-606,Regulation of amateur radio antennas.,text/17-79/17-79-606.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S606.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-607,Regulation of residential facilities for persons with disabilities.,text/17-79/17-79-607.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S607.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-608,Wetlands.,text/17-79/17-79-608.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S608.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-609,Refineries.,text/17-79/17-79-609.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S609.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-610,Cannabis production establishments and medical cannabis pharmacies.,text/17-79/17-79-610.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S610.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-611,Changes to rental dwelling units -- Egress windows.,text/17-79/17-79-611.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S611.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-612,Utility service connections.,text/17-79/17-79-612.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S612.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-613,Infrastructure improvements involving roadways.,text/17-79/17-79-613.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S613.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-614,Regulation of building design elements prohibited -- Regulation of parking spaces prohibited -- Exceptions.,text/17-79/17-79-614.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S614.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-615,Water wise landscaping -- County landscaping regulations.,text/17-79/17-79-615.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S615.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-616,Land use compatibility with military use.,text/17-79/17-79-616.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S616.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-617,Residential rear setback limitations.,text/17-79/17-79-617.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S617.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-618,Operation of a tower crane.,text/17-79/17-79-618.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S618.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-619,Digital asset mining -- Zoning restrictions.,text/17-79/17-79-619.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S619.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-620,High tunnels -- Exemption from county regulation.,text/17-79/17-79-620.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S620.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-621,Structure height.,text/17-79/17-79-621.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S621.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-701,Enactment of subdivision ordinance.,text/17-79/17-79-701.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S701.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-702,Planning commission preparation and recommendation of subdivision ordinance -- Adoption or rejection by legislative body.,text/17-79/17-79-702.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S702.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-703,"Plat required when land is subdivided -- Approval of plat -- Owner acknowledgment, surveyor certification, and verification of plat -- Recording plat.",text/17-79/17-79-703.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S703.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-704,Subdivision plat approval procedure -- Effect of not complying.,text/17-79/17-79-704.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S704.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-705,Process for subdivision review and approval.,text/17-79/17-79-705.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S705.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-706,Review of subdivision  applications and subdivision improvement plans.,text/17-79/17-79-706.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S706.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-707,Subdivision plat recording or development activity before required infrastructure is completed -- Improvement completion assurance -- Improvement warranty.,text/17-79/17-79-707.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S707.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-708,Exemptions from plat requirement.,text/17-79/17-79-708.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S708.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-709,Common area parcels on a plat -- No separate ownership -- Ownership interest equally divided among other parcels on plat and included in description of other parcels.,text/17-79/17-79-709.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S709.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-710,Dedication by plat of public streets and other public places.,text/17-79/17-79-710.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S710.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-711,Subdivision amendments.,text/17-79/17-79-711.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S711.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-712,Land use authority approval of vacation or amendment of plat -- Recording the amended plat.,text/17-79/17-79-712.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S712.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-713,Petition to vacate a public street.,text/17-79/17-79-713.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S713.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-714,Restrictions for solar and other energy devices.,text/17-79/17-79-714.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S714.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-715,Prohibited acts.,text/17-79/17-79-715.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S715.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-716,Notice.,text/17-79/17-79-716.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S716.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
