candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
Craig W Buttars,County Executive,2018,2018-10-17,Pre-General,c_and_e_report,0,0,,0,,,,,,,,0,0,raw/2018/2018_cc_Craig_W_Buttars.pdf,cache_county|c544188ec960|raw/2018/2018_cc_Craig_W_Buttars.pdf,high,"Only the CUMULATIVE column is filled, each box written '-0-'."
Craig W Buttars,County Executive,2018,2018-12-03,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2018/2018_cc_Craig_W_Buttars_final.pdf,cache_county|8e092c60804d|raw/2018/2018_cc_Craig_W_Buttars_final.pdf,high,"⚠ The office line again names TWO offices ('Executive / Surveyor'); office_std records the first-named County Executive and the verbatim string is retained. LAST- and THIS-REPORT boxes are written '-0-'; the whole CUMULATIVE column is struck through with a single vertical pen stroke and holds no figures — recorded blank, not zero.; one transcription applied to 2 index rows (identical bytes)"
Craig W Buttars,County Executive,2018,2018,,c_and_e_report,,,,,,,,,,,,0,0,raw/2018/2018_st_Buttars_Craig_W.pdf,cache_county|8e092c60804d|raw/2018/2018_st_Buttars_Craig_W.pdf,high,"⚠ The office line again names TWO offices ('Executive / Surveyor'); office_std records the first-named County Executive and the verbatim string is retained. LAST- and THIS-REPORT boxes are written '-0-'; the whole CUMULATIVE column is struck through with a single vertical pen stroke and holds no figures — recorded blank, not zero.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
D Chad Jensen,Sheriff,2018,2018-12-05,Final / Year-End Summary,c_and_e_report,0,,,933.19,,,,,,,,0,0,raw/2018/2018_cc_D_Chad_Jensen_final.pdf,cache_county|98ac58fe847a|raw/2018/2018_cc_D_Chad_Jensen_final.pdf,medium,"Line 3 CUMULATIVE holds a crossed-out mark rather than a figure — recorded blank, not zero. Zeros elsewhere are hand-drawn crossed-O glyphs.; one transcription applied to 2 index rows (identical bytes)"
D. Chad ( ) Jensen,Sheriff,2018,2018,,c_and_e_report,0,,,933.19,,,,,,,,0,0,raw/2018/2018_st_Jensen_D_Chad_2.pdf,cache_county|98ac58fe847a|raw/2018/2018_st_Jensen_D_Chad_2.pdf,medium,"Line 3 CUMULATIVE holds a crossed-out mark rather than a figure — recorded blank, not zero. Zeros elsewhere are hand-drawn crossed-O glyphs.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
D. Chad Jensen,Sheriff,2018,2018,,c_and_e_report,0,933.19,,933.19,,,,,,,,0,0,raw/2018/2018_st_Jensen_D_Chad.pdf,cache_county|747734cf98d7|raw/2018/2018_st_Jensen_D_Chad.pdf,medium,Zeros on lines 1-2 are hand-drawn slashed-O glyphs; line 3 LAST-REPORT reads 'N/A'.
,,2020,2020,,c_and_e_report,,,,,,,,,,,,0,0,raw/2020/2020_st_Scan_3.pdf,cache_county|060a42a54f55|raw/2020/2020_st_Scan_3.pdf,low,"vision read the page but recovered no stated totals (form_read=other); ORPHAN FORM-B PAGE: a detached page 3 of some 2020 filing, published on the state site as '2020_st_Scan_3.pdf'. Seven itemized expenditure lines are legible (5/18/20 Cache Valley Media Group / Digital Advertising / 600.-; 5/20/20 Badger Screen Printing / Signs / 909.50; 5/21/20 Post Card Mania / Mailer / 1805.30; 6/4/20 Cache Valley Media Group / Radio Ads / 1088.00; 6/18/20 Cache Valley Media Group / Radio Ads / 544.-; 6/29/20 Textedly / Texting Service / 140.-; 4/8-6/30/20 Facebook Ads / Social Media Ads / 3436.87). They are recorded here as a description only — this tranche transcribes stated totals, not itemized rows, and no cover page exists to attribute them. Scope stays UNDETERMINED: matching this page to a filer would be an inference, not a page reading. COORDINATOR FOLLOW-UP: pair this page against the 2020 filings' Form-B pages at the source. || 2026-08-02 RE-READ (this pass): the single page was re-rendered at 200 dpi / 1800 px and read again. Nothing new is recoverable — the sheet still carries NO stated-totals section of any kind (Form 'B' is a pure itemization grid with no printed TOTAL line at its foot), so `stated.basis` correctly remains 'none' and scope remains 'undetermined'. The seven itemized lines re-read identically to the 2026-08-01 pass, with one legibility caveat now recorded: the 5/20/20 Badger Screen Printing amount is handwritten and its first cents/hundreds glyph is ambiguous between '909.50' and '969.50' — the earlier reading '909.50' is retained but should be treated as MEDIUM confidence if that row is ever promoted to a data layer. Original transcription pass: vision-transcribed(claude-opus-5; 2026-08-01 totals tranche); this file preserves it verbatim above and only appends."
Howell,Assessor,2020,2020,,c_and_e_report,0,523.28,,,,,,,,,,0,0,raw/2020/2020_st_Howell.pdf,cache_county|6dcd1ab21bb8|raw/2020/2020_st_Howell.pdf,high,"Only the CUMULATIVE column is filled, and line 4 is blank there too. The received stamp is very faint."
Howell,Assessor,2020,2020,Final / Year-End Summary,c_and_e_report,0,523.28,,523.28,,,,,,,,0,0,raw/2020/2020_st_Howell_summary.pdf,cache_county|d05c4eda8fb6|raw/2020/2020_st_Howell_summary.pdf,high,cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Kathleen Howell,Assessor,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,0,523.28,,523.28,,,,,,,,0,0,raw/2020/2020_cc_Kathleen_Howell.pdf,cache_county|d05c4eda8fb6|raw/2020/2020_cc_Kathleen_Howell.pdf,high,one transcription applied to 2 index rows (identical bytes)
,County Council,2020,2020,,c_and_e_report,25.00,8523.67,,0,,,,,,,,0,0,raw/2020/2020_st_Scan_2.pdf,cache_county|857ca03902cf|raw/2020/2020_st_Scan_2.pdf,medium,LAST-REPORT column written 'NA' on all four lines; zeros elsewhere are hand-drawn slashed-O glyphs. The clerk's file label ('2020_st_Scan_2') carries no candidate name — the name here is read from the form face.
Abbott,County Council,2020,2020,Final / Year-End Summary,c_and_e_report,0,112.75,,112.75,,,,,,,,0,0,raw/2020/2020_st_Abbott_summary.pdf,cache_county|39802b39224c|raw/2020/2020_st_Abbott_summary.pdf,medium,Faint scan; zeros are hand-drawn glyphs.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Adam K S Tripp.pdf,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2020/2020_cc_Adam_K_S_Tripp_pdf.pdf,cache_county|1a71c3e75050|raw/2020/2020_cc_Adam_K_S_Tripp_pdf.pdf,medium,Addressed to 'Jess Bradfield' — the successor County Clerk/Auditor. Only the THIS-REPORT column is filled; LAST-REPORT and CUMULATIVE are blank on every line. Line 2 reads '25.00' or '26.00' (the digit is ambiguous) — recorded 25.00 at medium confidence.; one transcription applied to 2 index rows (identical bytes)
Barbara Tidwell,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,575.00,659.32,,659.32,,,,,,,,0,0,raw/2020/2020_cc_Barbara_Tidwell.pdf,cache_county|9de63f4c9ba3|raw/2020/2020_cc_Barbara_Tidwell.pdf,medium,Heavily speckled scan. LAST-REPORT boxes carry crossed-O zero glyphs. Line 4 repeats the line-3 expense figure without a minus sign — retained as filed.
David Erickson,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,500.00,497.95,,2.05,,,,,,,,0,0,raw/2020/2020_cc_David_Erickson.pdf,cache_county|879420e1d79a|raw/2020/2020_cc_David_Erickson.pdf,medium,Zeros are hand-drawn slashed-O glyphs.
ERICKSON,County Council,2020,2020,,c_and_e_report,500.00,497.95,,2.05,,,,,,,,0,0,raw/2020/2020_st_CAMPAIGN_FINANCE_ERICKSON.pdf,cache_county|85833e3d800f|raw/2020/2020_st_CAMPAIGN_FINANCE_ERICKSON.pdf,medium,'Rebublican' is transcribed as the filer wrote it. Zeros are hand-drawn slashed-O glyphs.
Erica Abbott,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,0,112.75,,112.75,,,,,,,,0,0,raw/2020/2020_cc_Erica_Abbott.pdf,cache_county|39802b39224c|raw/2020/2020_cc_Erica_Abbott.pdf,medium,Faint scan; zeros are hand-drawn glyphs.; one transcription applied to 2 index rows (identical bytes)
Gunnell,County Council,2020,2020,Final / Year-End Summary,c_and_e_report,0,3665.03,,3665.03,,,,,,,,0,0,raw/2020/2020_st_Gunnell_summary.pdf,cache_county|86f7945b4ece|raw/2020/2020_st_Gunnell_summary.pdf,medium,"The filer repeated 3665.03 across all three columns of lines 3-4 — internally inconsistent as filed, retained verbatim.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Karl Ward,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,4850.00,4409.05,,440.95,,,,,,,,0,0,raw/2020/2020_cc_Karl_Ward.pdf,cache_county|f820e72d307f|raw/2020/2020_cc_Karl_Ward.pdf,medium,Line 1 THIS-REPORT is written over a struck-through '$' and reads as a NEGATIVE '-471.00'. Lines 3-4 are filled only in the CUMULATIVE column. Cents are superscript.; one transcription applied to 2 index rows (identical bytes)
Marilyn Meacham,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,0,112.75,,0,,,,,,,,0,0,raw/2020/2020_cc_Marilyn_Meacham.pdf,cache_county|47f677dc56bf|raw/2020/2020_cc_Marilyn_Meacham.pdf,medium,"Heavily speckled scan. The page carries TWO clerk received stamps (Oct 29 and Dec 2, 2020) — both are recorded. Only the CUMULATIVE column is filled.; one transcription applied to 2 index rows (identical bytes)"
Mecham,County Council,2020,2020,Final / Year-End Summary,c_and_e_report,0,112.75,,0,,,,,,,,0,0,raw/2020/2020_st_Mecham_summary.pdf,cache_county|47f677dc56bf|raw/2020/2020_st_Mecham_summary.pdf,medium,"Heavily speckled scan. The page carries TWO clerk received stamps (Oct 29 and Dec 2, 2020) — both are recorded. Only the CUMULATIVE column is filled.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Mecham,County Council,2020,2020,,c_and_e_report,0,112.75,,0,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_Mecham.pdf,cache_county|5e5a935b448c|raw/2020/2020_st_campaign_finance_Mecham.pdf,medium,Only the CUMULATIVE column is filled; zeros are hand-drawn open-O glyphs.
Nolan Gunnell,County Council,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,0,3665.03,,3665.03,,,,,,,,0,0,raw/2020/2020_cc_Nolan_Gunnell.pdf,cache_county|86f7945b4ece|raw/2020/2020_cc_Nolan_Gunnell.pdf,medium,"The filer repeated 3665.03 across all three columns of lines 3-4 — internally inconsistent as filed, retained verbatim.; one transcription applied to 2 index rows (identical bytes)"
Ward,County Council,2020,2020,Final / Year-End Summary,c_and_e_report,4850.00,4409.05,,440.95,,,,,,,,0,0,raw/2020/2020_st_Ward_summary.pdf,cache_county|f820e72d307f|raw/2020/2020_st_Ward_summary.pdf,medium,Line 1 THIS-REPORT is written over a struck-through '$' and reads as a NEGATIVE '-471.00'. Lines 3-4 are filled only in the CUMULATIVE column. Cents are superscript.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Ward,County Council,2020,2020,,c_and_e_report,5321.00,4121.94,,1199.06,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_Ward.pdf,cache_county|dc8ce20206a4|raw/2020/2020_st_campaign_finance_Ward.pdf,high,"Line 1 CUMULATIVE was written, struck through, and rewritten above as '5271.00' — the standing value is transcribed and the struck one is not. Cents are superscript."
abbott,County Council,2020,2020,,c_and_e_report,0,112.75,,112.75,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_abbott.pdf,cache_county|3fa22bf2ceff|raw/2020/2020_st_campaign_finance_abbott.pdf,medium,Line 3 THIS-REPORT is written '$112.75' with a struck-through mark; the standing figure is 112.75.
gunnell,County Council,2020,2020,,c_and_e_report,0,3665.03,,3665.03,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_gunnell.pdf,cache_county|4c485a7c7416|raw/2020/2020_st_campaign_finance_gunnell.pdf,high,"The filer repeated 3,665.03 across all three columns of lines 3-4, as in his November report — retained verbatim."
tidwell,County Council,2020,2020,,c_and_e_report,575.00,659.32,,659.32,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_tidwell.pdf,cache_county|897cd500a227|raw/2020/2020_st_campaign_finance_tidwell.pdf,medium,LAST-REPORT boxes carry crossed-O zero glyphs. Line 4 repeats the line-3 expense figure without a minus sign — retained as filed.
tripp,County Council,2020,2020,,c_and_e_report,,,,,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_tripp.pdf,cache_county|b90f70b08b39|raw/2020/2020_st_campaign_finance_tripp.pdf,medium,"Only the THIS-REPORT column is filled. Line 2 reads '25.00' or '26.00' (ambiguous digit) — recorded 25.00 at medium confidence, as on the filer's November report."
tripp,County Council,2020,2020,Final / Year-End Summary,c_and_e_report,,,,,,,,,,,,0,0,raw/2020/2020_st_tripp_summary.pdf,cache_county|1a71c3e75050|raw/2020/2020_st_tripp_summary.pdf,medium,Addressed to 'Jess Bradfield' — the successor County Clerk/Auditor. Only the THIS-REPORT column is filled; LAST-REPORT and CUMULATIVE are blank on every line. Line 2 reads '25.00' or '26.00' (the digit is ambiguous) — recorded 25.00 at medium confidence.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Andersen,Recorder,2020,2020,Final / Year-End Summary,c_and_e_report,2859.77,2859.77,,0,,,,,,,,0,0,raw/2020/2020_st_Andersen_summary.pdf,cache_county|fb929f77b85f|raw/2020/2020_st_Andersen_summary.pdf,high,"This is the same filer's DECEMBER report on the handwritten Carr form; his October report used the typed 'CAMPAIGN FINANCIAL REPORT: 2020' variant, which stated a single un-split contributions figure of 2,859.77. Here the same total is split 2,754.77 (>$50) + 105.00 (<=$50) — the split is the filer's own, recorded as written.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
D andersen,Recorder,2020,2020,,c_and_e_report,2859.77,2859.77,,0,,,,,,,,0,0,raw/2020/2020_st_campaign_finance_D_andersen.pdf,cache_county|74c87ecca439|raw/2020/2020_st_campaign_finance_D_andersen.pdf,high,"⚠ A THIRD, TYPED form variant — 'CAMPAIGN FINANCIAL REPORT: 2020', still citing Cache County Code 2.21, with only THREE totals lines (1. Total contributions from ALL donors, 2. Total Campaign Expenditures, 3. Ending Balance) in the same Last/This/Cumulative columns. It does NOT split contributions at $50, so the whole contributions figure is recorded in the contrib_over_50 slot and contrib_50_or_less is left BLANK (not zero) — the form printed no such line. Report type is a checked box: the Oct 20-27 pre-general report."
Devron Anderson,Recorder,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,2859.77,2859.77,,0,,,,,,,,0,0,raw/2020/2020_cc_Devron_Anderson.pdf,cache_county|fb929f77b85f|raw/2020/2020_cc_Devron_Anderson.pdf,high,"This is the same filer's DECEMBER report on the handwritten Carr form; his October report used the typed 'CAMPAIGN FINANCIAL REPORT: 2020' variant, which stated a single un-split contributions figure of 2,859.77. Here the same total is split 2,754.77 (>$50) + 105.00 (<=$50) — the split is the filer's own, recorded as written.; one transcription applied to 2 index rows (identical bytes)"
Mansell,Recorder,2020,2020,,c_and_e_report,200,1032.76,,0,,,,,,,,0,0,raw/2020/2020_st_Mansell.pdf,cache_county|917e27087edc|raw/2020/2020_st_Mansell.pdf,medium,Line 1 figures are written as a looping '200' with a struck-through appearance; zeros on line 2 and line 4 are hand-drawn open-O glyphs. The 'Utah 84' box has a struck-out digit group before '321'.
Craig McCallister,Treasurer,2020,2020-12-17,Final / Year-End Summary,c_and_e_report,0,488.55,,488.55,,,,,,,,0,0,raw/2020/2020_cc_Craig_McCallister.pdf,cache_county|b7662f2e04c0|raw/2020/2020_cc_Craig_McCallister.pdf,medium,Zeros are hand-drawn slashed-O glyphs. Line 3 CUMULATIVE (488.55) does not follow from its own LAST+THIS boxes (both zero) — retained as filed.; one transcription applied to 2 index rows (identical bytes)
McAllister,Treasurer,2020,2020,,c_and_e_report,0,488.55,,488.55,,,,,,,,0,0,raw/2020/2020_st_McAllister.pdf,cache_county|3cb6bc475ae0|raw/2020/2020_st_McAllister.pdf,medium,Zeros are hand-drawn slashed-O glyphs.
McAllister,Treasurer,2020,2020,Final / Year-End Summary,c_and_e_report,0,488.55,,488.55,,,,,,,,0,0,raw/2020/2020_st_McAllister_summary.pdf,cache_county|b7662f2e04c0|raw/2020/2020_st_McAllister_summary.pdf,medium,Zeros are hand-drawn slashed-O glyphs. Line 3 CUMULATIVE (488.55) does not follow from its own LAST+THIS boxes (both zero) — retained as filed.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Jess W. Bradfield,Clerk/Auditor,2022,2022,,c_and_e_report,1309.80,1123.88,0,185.92,,,,,,,,0,0,raw/2022/2022_cc_Jess_W_Bradfield.pdf,cache_county|c1009fa134f9|raw/2022/2022_cc_Jess_W_Bradfield.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Born-digital typed form with a blank Office box. Stated totals are fully legible.; one transcription applied to 2 index rows (identical bytes)
Jess W. Bradfield,Clerk/Auditor,2022,2022,,c_and_e_report,0,0,185.92,185.92,,,,,,,,0,0,raw/2022/2022_cc_Jess_W_Bradfield_22G.pdf,cache_county|41de98de7750|raw/2022/2022_cc_Jess_W_Bradfield_22G.pdf,high,"Typed/word-processed entries on a scanned Cache County Candidate Financial Disclosure (cache_cfd), 4 pages: cover p1, Schedule A p2, Schedule B p3, Summary p4.

COVER (p1): Name of Candidate 'Jess W. Bradfield'. The Address, City, and State/Zip fields are REDACTED - blacked out with heavy marker in the source scan (not an extraction failure; the redaction is on the filed document as scanned), so residence_city is recorded as empty. Office box BLANK. Phone Number '435-757-5629'. Email field BLANK. Type of Report: the 'X'-in-circle mark is on '30 Days after the General Election'; the other two options ('30 Days after elimination', 'Seven days preceding the General Election') are unmarked. Is this report an amendment? 'No' is marked with an X-in-circle. Affirmation printed name 'Jess W Bradfield' (no period after the W here, unlike the header). Handwritten signature present. Date '12-5-2022'. Date of Report '12-5-2022'. Page '1'. Office Use Only: neither 'Logged' nor 'Transmitted' bullet is filled, but a rubber-stamp impression reads 'CLERK/AUDITOR RCVD 2022 DEC 7 PM12:23' - the final digit of the time is degraded in the scan and could be a 3 or an 8, so the stamp is recorded at medium confidence.

SCHEDULE A (p2): no itemized rows. A single typed line under the column headers reads 'No expenditures since last filing' - note the wording says EXPENDITURES on the CONTRIBUTIONS schedule; that is the filer's own wording, recorded as-is, not corrected. Subtotal for this page: a hand-drawn open O glyph after the printed '$', transcribed '0' at medium confidence per protocol rule 3. Total Contributions Received: same hand-drawn open O glyph, transcribed '0' at medium confidence. Footer: 'Jess W. Bradfield', Date of Report '12/05/2022' (slash form here vs hyphen form on the other pages), Page '2'.

SCHEDULE B (p3): no itemized rows. Typed line 'No Expenditures since last filing'. Subtotal for this page: hand-drawn open O glyph = '0' (medium). Total Expenditures Made: hand-drawn open O glyph = '0' (medium). Footer: 'Jess W. Bradfield', '12-5-2022', Page '3'.

SUMMARY (p4, typed - high confidence): Box A '$185.92'. Box B '0'. Box C '1309.80'. Box D '0'. Box E '1123.88'. Box F '$185.92'. Balance at Close of Reporting Period '$185.92'. Note the mixed formatting on the page itself: boxes A, F and the closing balance carry a '$', boxes B-E do not. Values recorded exactly as printed. Footer: 'Jess W. Bradfield', '12-5-2022', Page '4'.

No arithmetic problems observed: with B=0 and D=0, F=A and close=F-D=$185.92 as printed. Boxes C and E are year-to-date figures carried forward from prior filings in the cycle and are not derivable from this document's own schedules (both of which are zero) - that is expected for a final/30-days-after report and is not a contradiction.

LEDGER CHECK: the ledger's candidate value 'Jess W. Bradfield' MATCHES the page evidence exactly. The ledger's scope_status='county_confirmed' is NOT supported by anything on these four page images - the Office line is blank and no office is stated anywhere in the document. Scope is recorded here as 'undetermined' per protocol. Whatever confirmed the county scope in the ledger came from outside this PDF (filename token, index, or an external roster), not from the filing itself. Flagging for the caller.; one transcription applied to 2 index rows (identical bytes)"
Jess W. Bradfield,Clerk/Auditor,2022,2022,,c_and_e_report,1309.80,1123.88,0,185.92,,,,,,,,0,0,raw/2022/2022_wb_Jess_W_Bradfield.pdf,cache_county|c1009fa134f9|raw/2022/2022_wb_Jess_W_Bradfield.pdf,high,This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Born-digital typed form with a blank Office box. Stated totals are fully legible.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)
Jess W. Bradfield,Clerk/Auditor,2022,2022,Pre-General,c_and_e_report,0,0,185.92,185.92,,,,,,,,0,0,raw/2022/2022_wb_Jess_W_Bradfield_22G.pdf,cache_county|41de98de7750|raw/2022/2022_wb_Jess_W_Bradfield_22G.pdf,high,"Typed/word-processed entries on a scanned Cache County Candidate Financial Disclosure (cache_cfd), 4 pages: cover p1, Schedule A p2, Schedule B p3, Summary p4.

COVER (p1): Name of Candidate 'Jess W. Bradfield'. The Address, City, and State/Zip fields are REDACTED - blacked out with heavy marker in the source scan (not an extraction failure; the redaction is on the filed document as scanned), so residence_city is recorded as empty. Office box BLANK. Phone Number '435-757-5629'. Email field BLANK. Type of Report: the 'X'-in-circle mark is on '30 Days after the General Election'; the other two options ('30 Days after elimination', 'Seven days preceding the General Election') are unmarked. Is this report an amendment? 'No' is marked with an X-in-circle. Affirmation printed name 'Jess W Bradfield' (no period after the W here, unlike the header). Handwritten signature present. Date '12-5-2022'. Date of Report '12-5-2022'. Page '1'. Office Use Only: neither 'Logged' nor 'Transmitted' bullet is filled, but a rubber-stamp impression reads 'CLERK/AUDITOR RCVD 2022 DEC 7 PM12:23' - the final digit of the time is degraded in the scan and could be a 3 or an 8, so the stamp is recorded at medium confidence.

SCHEDULE A (p2): no itemized rows. A single typed line under the column headers reads 'No expenditures since last filing' - note the wording says EXPENDITURES on the CONTRIBUTIONS schedule; that is the filer's own wording, recorded as-is, not corrected. Subtotal for this page: a hand-drawn open O glyph after the printed '$', transcribed '0' at medium confidence per protocol rule 3. Total Contributions Received: same hand-drawn open O glyph, transcribed '0' at medium confidence. Footer: 'Jess W. Bradfield', Date of Report '12/05/2022' (slash form here vs hyphen form on the other pages), Page '2'.

SCHEDULE B (p3): no itemized rows. Typed line 'No Expenditures since last filing'. Subtotal for this page: hand-drawn open O glyph = '0' (medium). Total Expenditures Made: hand-drawn open O glyph = '0' (medium). Footer: 'Jess W. Bradfield', '12-5-2022', Page '3'.

SUMMARY (p4, typed - high confidence): Box A '$185.92'. Box B '0'. Box C '1309.80'. Box D '0'. Box E '1123.88'. Box F '$185.92'. Balance at Close of Reporting Period '$185.92'. Note the mixed formatting on the page itself: boxes A, F and the closing balance carry a '$', boxes B-E do not. Values recorded exactly as printed. Footer: 'Jess W. Bradfield', '12-5-2022', Page '4'.

No arithmetic problems observed: with B=0 and D=0, F=A and close=F-D=$185.92 as printed. Boxes C and E are year-to-date figures carried forward from prior filings in the cycle and are not derivable from this document's own schedules (both of which are zero) - that is expected for a final/30-days-after report and is not a contradiction.

LEDGER CHECK: the ledger's candidate value 'Jess W. Bradfield' MATCHES the page evidence exactly. The ledger's scope_status='county_confirmed' is NOT supported by anything on these four page images - the Office line is blank and no office is stated anywhere in the document. Scope is recorded here as 'undetermined' per protocol. Whatever confirmed the county scope in the ledger came from outside this PDF (filename token, index, or an external roster), not from the filing itself. Flagging for the caller.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
John D Luthy,County Attorney,2022,2022,,c_and_e_report,,,0,0,,,,,,,,0,0,raw/2022/2022_cc_John_D_Luthy_22G.pdf,cache_county|e9f5e76c0bfe|raw/2022/2022_cc_John_D_Luthy_22G.pdf,medium,"⚠ EVERY summary box is a WORDED entry, not a bare number: B and C read '$219.83 In-Kind', D and E read '0 cash expenditure, $219.83 in use of in-kind contributions', F reads '$219.83 In-Kind'; A and the Balance-at-Close box hold a hand-drawn slashed-O. The verbatim strings are preserved here; the builder's money() parser will read the leading '$219.83' out of B/C/F and the leading '0' out of D/E and will NOT attempt to net the in-kind commentary. Candidate address redacted on the published PDF by the county.; one transcription applied to 2 index rows (identical bytes)"
John D. Luthy,County Attorney,2022,2022,,c_and_e_report,,,0,0,,,,,,,,0,0,raw/2022/2022_wb_John_D_Luthy.pdf,cache_county|ea3bc6e3440e|raw/2022/2022_wb_John_D_Luthy.pdf,medium,"Handwritten entries on a scanned Cache County Candidate Financial Disclosure (cache_cfd), 4 pages: cover p1, Schedule A p2, Schedule B p3 (blank), Summary p4.

COVER (p1): Name of Candidate 'JOHN D. LUTHY' (block capitals). Address '650 S. 100 E., Apt. H104, Logan, UT 84321' - the filer wrote the whole address across the Address/City/State/Zip fields as one continuous line; residence city read as 'Logan'. Office 'Cache County Attorney'. Phone '435-890-2465'. Email 'jdluthy72@gmail.com'. Type of Report: the filled bullet is on 'Seven days preceding the General Election'; '30 Days after elimination' and '30 Days after the General Election' are unmarked. Is this report an amendment? 'No' bullet is filled. Affirmation printed name 'John D. Luthy'. Signature present. Date '10/31/22'. Date of Report '10/31/22'. Page '1'. Office Use Only: neither 'Logged' nor 'Transmitted' bullet is filled; rubber stamp reads 'CLERK/AUDITOR RCVD 2022 OCT 31 PM4:15'.

SCHEDULE A (p2): 2 itemized rows, both IN-KIND and both from the same contributor. Row 1: 'March 18, 2022 | Terryl Warner | 623 Anderson Ave. Hyrum, UT 84319 | In-kind contribution of 10 yard signs. Value - $187.57'. Row 2: 'March 24, 2022 | Terryl Warner | 623 Anderson Ave. Hyrum, UT 84319 | In-kind contribution of table decorations, tools, and snacks. Value - $32.26'. The contributor surname is written 'Warnes'/'Warner' with an ambiguous final letter on row 1 and clearly 'Warner' on row 2. Subtotal for this page '$219.83 In kind'. Total Contributions Received '$219.83 In Kind'. The filer appended the words 'In kind'/'In Kind' to the printed dollar totals - recorded verbatim, not stripped, because the qualifier is part of what the filing states. Footer 'John D. Luthy', '10/31/22', Page '2'.

SCHEDULE B (p3): COMPLETELY EMPTY - no itemized rows, and BOTH the 'Subtotal for this page $' and 'Total Expenditures Made $' lines are BLANK (nothing written after the preprinted '$', not even a zero). Recorded as empty strings, not as zero. Footer 'John D. Luthy', '10/31/22', Page '3'.

SUMMARY (p4): Box A contains a single hand-drawn SLASHED/CROSSED O glyph used as a zero - transcribed '0' at medium confidence per protocol rule 3. Box B '$219.83 In-kind'. Box C '$219.83 In-kind'. Box D is BLANK (nothing written). Box E is BLANK (nothing written). Box F contains the same hand-drawn slashed O glyph - transcribed '0' at medium confidence. Balance at Close of Reporting Period contains the same hand-drawn slashed O glyph - transcribed '0' at medium confidence. Footer 'John D. Luthy', '10/31/22', Page '4'.

OBSERVATION (recorded, not corrected): the filer reports $219.83 of contributions in boxes B and C but writes 0 in box F ('Subtotal Before Expenditures = Box A + Box B'), which by the form's own instruction would be $219.83. This is presumably because both contributions were in-kind and never entered a cash account, but the page does not say so. Recorded exactly as printed; no reconciliation performed.

LEDGER CHECK: the ledger's candidate value 'John D. Luthy' MATCHES the page evidence. The ledger's scope_status='county_confirmed' is CONFIRMED by the page: the Office box reads 'Cache County Attorney' in the filer's own hand. Mapped to office_std 'County Attorney'."
