project,spans_both_bodies,date,body,stage,result,dissenters,motion,source
RATIFY,no,2024-02-21,PlanningCommission,PC final action,Approved 4-3,,"RATIFY the Steep Slope Conditional Use Permit Final Action Letter, as approved by a majority of the Planning Commission by a 4-to-3 vote on February 14, 2024. F",
Restated Black Diamond,yes,2023-03-22,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation for City Council’s consideration on April 4, 2023 for the First Restated Black Diamond Plat, based on the Findings of Fact, Co",
Restated Black Diamond,yes,2023-04-04,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance 2023-15, an ordinance approving the First Restated Black Diamond Plat, located at 2280 Deer Valley Drive, Park ",
Signatures Recording,yes,2020-02-12,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for the proposed amendment to the LMC 15-7.1-7, Signatures and Recording of the Plat, for the City Council",
Signatures Recording,yes,2020-03-05,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-15, amending Land Management Code § 15-7.1-7, Signatures and Recording of the Plat",
Silver Bird,yes,2021-06-09,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council consideration on June 24, 2021, for the Silver Bird Condominiums at Deer Valley Third Amendment Plat Amendmen",
Silver Bird,yes,2021-06-24,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance 2021-29, an ordinance approving the Silver Bird Condominiums at Deer Valley Third Amendment, amending Unit 26, ",
Snow Flower,yes,2022-06-09,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2022-17, an ordinance approving the Snow Flower Condominiums Fourth Amended Plat amending Unit 75, located ",
Snow Flower,yes,2023-09-14,Council,Council vote,4-0 Pass,,"Council Member Dickey moved to approve Ordinance No. 2023-44, an ordinance approving the Snow Flower Condominiums Fifth Amended Plat amending Unit 70 Plat Amend",
Snow Flower,yes,2023-11-29,PlanningCommission,PC final action,Approved unanimous,,"APPROVE 401 Silver King Drive – Snow Flower Condominiums Sixth Amended, Unit 36 – Plat Amendment, based on the Findings of Fact, Conclusions of Law, and Conditi",
Snow Park Residences,no,2020-05-14,Council,Council vote,5-0 Continued,,"Council Member Joyce moved to continue an ordinance approving the Snow Park Residences Condominium Plat at 2290 Deer Valley Drive East, Park City, Utah, to June",
Snow Park Residences,no,2020-06-11,Council,Council vote,5-0 Pass,,"Council Member Joyce moved to approve Ordinance 2020-23, an ordinance approving the Snow Park Residences Condominium Plat at 2290 Deer Valley Drive East, Park C",
Snow Park Residences,no,2023-09-28,Council,Council vote,5-0 Pass,,"Council Member Rubell moved to approve Ordinance 2023-46, an ordinance approving the Supplemental Snow Park Residences Condominium Plat, located at 2310 Deer Va",
Sommet Blanc,yes,2022-07-13,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council consideration on September 1, 2022, for 9300 Marsac Avenue, Sommet Blanc Condominiums Plat, based on the Find",
Sommet Blanc,yes,2022-09-01,Council,Council vote,4-0 Pass,,"Council Member Doilney moved to approve Ordinance 2022-33, an ordinance approving the Sommet Blanc Condominiums Plat, located at 9300 Marsac Avenue",
Sommet Blanc,yes,2023-09-14,Council,Council vote,4-0 Pass,,"Council Member Doilney moved to approve Ordinance 2023-41, an Ordinance approving an extension of City Council's September 1, 2022, approval of Ordinance No. 20",
Southeast Quinn's Junction,yes,2021-10-18,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to accept the Southeast Quinn's Junction Annexation Petition, proposing annexation of approximately 1,200 acres in the Richardson F",
Southeast Quinn's Junction,yes,2022-05-25,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council’s consideration on June 16, 2022, on the Southeast Quinn’s Junction Annexation Petition as outlined in the Dr",
Stag Lodge,yes,2022-08-10,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for Stag Lodge Condominium Plat Amendment for City Council’s consideration on September 1, 2022, based on the Findings of Fact",
Stag Lodge,yes,2022-09-01,Council,Council vote,4-0 Pass,,"Council Member Rubell moved to approve Ordinance 2022-31, an ordinance approving The Stag Lodge Phase 1 Fourth Amended Condominium Plat amending Unit 7, located",
Stag Lodge,yes,2022-09-01,Council,Council vote,4-0 Pass,,"Council Member Doilney moved to approve Ordinance 2022-32, an ordinance approving Stag Lodge Phase IV Third Amended Condominium Plat amending Unit 50, located a",
Stag Lodge Unit,no,2022-07-13,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council consideration on September 1, 2022, for 8200 Royal Street Stag Lodge Unit 50 Condominium Plat Amendment, base",
Stag Lodge Unit,no,2022-07-13,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council's consideration on September 1, 2022, for 8200 Royal Street Stag Lodge Unit 7 Condominium Plat Amendment, bas",
Village Base Area,no,2023-03-16,Council,Council vote,4-0 Continued,,Council Member Gerber moved to continue Deer Valley Development Company petition for the City to vacate portions of right-of-way on Deer Valley Drive West and S,
Village Base Area,no,2023-07-06,Council,Council vote,5-0 Continued,,Council Member Gerber moved to continue the Deer Valley Development Company Petition for the City to vacate portions of right-of-way on Deer Valley Drive West a,
Village Base Area,no,2023-08-29,Council,Council vote,5-0 Continued,,Council Member Dickey moved to continue Deer Valley Development Company's petition for the City to vacate portions of right-of-way on Deer Valley Drive West and,
Village Base Area,no,2023-09-28,Council,Council vote,5-0 Continued,,Council Member Gerber moved to continue Deer Valley Development Company's petition for the City to vacate portions of right-of-way on Deer Valley Drive West and,
Village Base Area,no,2023-11-02,Council,Council vote,5-0 Continued,,Council Member Doilney moved to continue the Deer Valley Development Company's petition for the City to vacate portions of right-of-way on Deer Valley Drive Wes,
Village Base Area,no,2023-11-16,Council,Council vote,5-0 Continued,,Council Member Doilney moved to continue the Deer Valley Development Company's petition for the City to vacate portions of right-of-way on Deer Valley Drive Wes,
Woodside,yes,2020-06-10,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a POSITIVE recommendation to the City Council for the 1162 Woodside plat amendment, based on the Findings of Fact, Conclusions of Law, and Conditions of",
Woodside,yes,2020-06-18,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance 2020-28, an ordinance approving the 1162 Woodside Plat Amendment Located at 1162 Woodside Avenue",
Woodside,yes,2021-06-09,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation to the City Council for their consideration on July 1, 2021, concerning the 909 Woodside Plat Amendment subject to the followi",
Woodside,yes,2021-07-15,Council,Council vote,5-0 Pass,,"Council Member Henney moved to approve Ordinance 2021-32, an ordinance approving an extension of City Council’s December 5, 2019 approval of Ordinance No. 2019-",
Woodside,yes,2022-02-03,Council,Council vote,5-0 Pass,,"Council Member Rubell moved to approve an encroachment agreement, as required by the extension of City Council’s December 5, 2019 approval of Ordinance No. 2019",
Woodside,yes,2022-10-06,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance 2022-39, an extension of city council's July 15, 2021 approval of Ordinance No. 2021-32, an ordinance approving",
Woodside Avenue,yes,2020-04-16,Council,Council vote,5-0 Pass,,"Council Member Worel moved to approve Ordinance No. 2020-20, an ordinance approving the 962 Woodside Avenue Plat Amendment located at 962 Woodside Avenue and 96",
Woodside Avenue,yes,2021-07-01,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance 2021-30, an ordinance approving 909 Woodside Avenue Plat Amendment, located at 909 Woodside Avenue",
Woodside Avenue,yes,2021-07-15,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance No. 2021-33, an ordinance approving an extension of City Council's June 18, 2020 approval of Ordinance No. 202",
Woodside Avenue,yes,2022-04-27,PlanningCommission,PC continued,Continued unanimous,,"CONTINUE 316 Woodside Avenue Steep Slope Conditional Use Permit to May 25, 2022",
Woodside Avenue,yes,2022-05-25,PlanningCommission,PC continued,Continued unanimous,,continue 316 Woodside Avenue-Steep Slope Conditional Use Permit to a date uncertain,
Woodside Avenue,yes,2022-06-22,PlanningCommission,PC recommendation,Positive recommendation unanimous,,"forward a positive recommendation for City Council’s consideration on July 21, 2022 for the 405 Woodside Avenue-Subdivision, based on the Findings of Fact, Conc",
Woodside Avenue,yes,2022-07-21,Council,Council vote,5-0 Pass,,"Council Member Rubell moved to approve Ordinance No. 2022-27, an ordinance approving the 405 Woodside Avenue Subdivision Plat, located at 405 Woodside Avenue, P",
Woodside Avenue,yes,2022-10-06,Council,Council vote,5-0 Pass,,"Council Member Gerber moved to approve Ordinance No. 2022-40, an ordinance approving an extension of City Council's June 18, 2020 approval of Ordinance No. 2020",
Woodside Avenue,yes,2023-08-22,Council,Council vote,5-0 Pass,,"Council Member Doilney moved to approve Ordinance No. 2023-39, an ordinance 33 approving the 958 Woodside Avenue Plat Amendment, located at 958 Woodside 34 Aven",
Woodside Avenue,yes,2023-11-16,Council,Council vote,5-0 Pass,,"Council Member Dickey moved to approve Ordinance No. 2023-52, an ordinance approving the 902 Woodside Avenue Plat Amendment, located at 902 Woodside Avenue, Sum",
