path,pages,bytes,text_layer_fonts,pdftotext_chars,listing_candidate,listing_office,listing_label,folder_year,folder_period,n_listing_anchors,doc_kind,form_family,doc_candidate,doc_office_verbatim,doc_report_type_boxes,doc_signature_date_verbatim,index_candidate,candidate_basis,index_date,date_basis,index_office,index_seat,office_basis,index_filing_type,filing_type_basis,schedule_a_inspection,flags
raw/globalassets/2016_disclosures__2016_year_end__sim-gill_redacted.pdf,5,429873,0,0,Sim Gill,District Attorney,2016 Summary Report,2016,2016_year_end,1,fdr,2016,Sim Gill,District Attorney,Year-End (Jan 31),1/27/17,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-27,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/sim-gill_redacted.pdf,9,796797,0,0,Sim Gill,District Attorney,2017 Summary Report,2017,(root),1,fdr,2017,Sim Gill,District Attorney,Year-End (Jan 31),1/31/18,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-31,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2018_disclosures__2018_year_end__sim-gill_redacted.pdf,8,569004,0,0,Sim Gill,District Attorney,October,2018,2018_year_end,2,fdr,2018,Sim Gill,District Attorney,Year-End (Jan 31),1/31/19,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-31,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,"the same URL is listed twice, as 'October' and as '2018 Summary Report'; the form says Year-End"
raw/globalassets/2018_disclosures__april__sim-gill.pdf,10,854668,0,0,Sim Gill,District Attorney,April,2018,april,1,fdr,2017,Sim Gill,District Attorney,April 5,4/5/18,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2018-04-05,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,form-year 2017 on an April-2018 filing
raw/globalassets/2018_disclosures__june__sim-gill_redacted.pdf,9,1052837,0,0,Sim Gill,District Attorney,June,2018,june,1,fdr,2018,Sim Gill,District Attorney,Seven days before a primary election,6/19/18,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2018-06-19,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,campaign email printed in the clear on the cover
raw/globalassets/2018_disclosures__september__gill-sim---d.a.1.pdf,13,1532183,0,0,Sim Gill,District Attorney,September,2018,september,1,fdr,2018,Sim Gill,District Attorney,September 15,9/15/18,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2018-09-15,form-signature,District Attorney,,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/sim-gill-redacted.pdf,7,568120,0,0,Sim Gill,District Attorney,2019 Year End Report,2019,(root),1,fdr,2019,Sim Gill,District Attorney,Year-End (Jan 31),1/31/20,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-31,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/forms__sim-gill_redacted.pdf,8,763795,0,0,Sim Gill,District Attorney,2020 Year End Report,2020,forms,1,fdr,2020,Sim Gill,District Attorney,Year-End (Jan 31),1/31/21,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2021-01-31,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,digitally signed 2021-02-01
raw/globalassets/gill-sim-2021ye.pdf,9,2006443,0,0,Sim Gill,District Attorney,2021 Year End Report,2021,(root),1,fdr,2021,Sim Gill,District Attorney,Year-End (Jan 31),1/31/22,Sim Gill,"form cover 'Name of Candidate or Officeholder', verbatim",2022-01-31,form-signature,District Attorney,,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,digitally signed 2022-01-31
raw/globalassets/2015_disclosures__2015_year_end__steve_nelson2015ye_dissolution.pdf,5,681060,0,0,Steve Nelson,District Attorney,2015 Summary Report/Dissolution,2015,2015_year_end,1,fdr,untitled-year,Steve Nelson,Salt Lake County District Attorney,Final / Dissolution Report,2/1/16,Steve Nelson,"form cover 'Name of Candidate or Officeholder', verbatim",2016-02-01,form-signature,District Attorney,,document,final,checked box -- FINAL / DISSOLUTION REPORT: Final / Dissolution Report,county-schedule-a-observed,untitled-year form (SHERRIE SWENSEN header); the Final box is marked with a typed X
raw/globalassets/2015_disclosures__2015_year_end__steve_debry2015ye_fd.pdf,4,761702,0,0,Steven L. DeBry,Council #5,2015 Summary Report,2015,2015_year_end,1,fdr,untitled-year,Steven L. DeBry,County Council #5,Year-End (Jan 31),1-27-16,Steven L. DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-27,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,candidate phone number printed in the clear beside the redaction bar
raw/globalassets/2016_disclosures__2016_year_end__steven-debry_redacted.pdf,4,798027,0,0,Steven L. DeBry,Council #5,2016 Summary Report,2016,2016_year_end,1,fdr,untitled-year,Steven L. DeBry,County Council #5,Year-End (Jan 31),"Jan. 24, 2017",Steven L. DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2017-01-24,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/steven-debry_redacted.pdf,4,830255,0,0,Steven L. DeBry,Council #5,2017 Summary Report,2017,(root),1,fdr,untitled-year,Steven L. DeBry,County Council #5,Year-End (Jan 31),"Jan. 28, 2018",Steven L. DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2018-01-28,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/steven-debry---amendment_redacted.pdf,4,671133,0,0,Steven L. DeBry,Council #5,Amendment to 2017 Summary Report,2017,(root),1,fdr,2017,Steven L. DeBry,County Council 5,Year-End (Jan 31) + amendment Yes (date of report Jan. 28 2018),2/6/18,Steven L. DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2018-02-06,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2018_disclosures__2018_year_end__steve-debry_redacted.pdf,4,822267,0,0,Steven L. DeBry,Council #5,2018 Summary Report,2018,2018_year_end,1,fdr,untitled-year,Steven L DeBry,County Council #5,Year-End (Jan 31),"Jan. 27, 2019",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2019-01-27,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,
raw/globalassets/2018_disclosures__april__steve-debry.pdf,4,654795,17,1164,Steven L. DeBry,Council #5,"Through March 31, 2018",2018,april,1,fdr,untitled-year,Steven L DeBry,County Council #5,April 5,"March 29, 2018",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2018-03-29,form-signature,County Council,District 5,document,interim,checked box -- INTERIM REPORTS: April 5,county-schedule-a-observed,"listing label 'Through March 31, 2018'"
raw/globalassets/2018_disclosures__june__steve-debry_redacted.pdf,4,869102,0,0,Steven L. DeBry,Council #5,June,2018,june,1,fdr,untitled-year,Steven L DeBry,County Council #5,Seven days before a primary election,"June 15, 2018",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2018-06-15,form-signature,County Council,District 5,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,county-schedule-a-observed,listing label 'June'
raw/globalassets/2018_disclosures__october__steve-debry-10-30_redacted.pdf,4,841783,0,0,Steven L. DeBry,Council #5,October,2018,october,1,fdr,untitled-year,Steven L DeBry,County Council #5,Seven days before a general election,"Oct. 29, 2018",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2018-10-29,form-signature,County Council,District 5,document,interim,checked box -- INTERIM REPORTS: Seven days before a general election,county-schedule-a-observed,listing label 'October'
raw/globalassets/2018_disclosures__september__debry-steven-council-51.pdf,4,798427,0,0,Steven L. DeBry,Council #5,September,2018,september,1,fdr,untitled-year,Steven L DeBry,County Council #5,September 15,"September 13, 2018",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2018-09-13,form-signature,County Council,District 5,document,interim,checked box -- INTERIM REPORTS: September 15,county-schedule-a-observed,
raw/globalassets/steve-debry---redacted.pdf,4,792022,0,0,Steven L. DeBry,Council #5,2019 Year End Report,2019,(root),2,fdr,untitled-year,Steven L DeBry,County Council #5,Year-End (Jan 31),"Jan. 26, 2020",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2020-01-26,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,"the same URL is listed twice, as '2019 Year End Report' AND as '2020 Year End Report'; the form + RECEIVED JAN 28 2020 make it the 2019 year-end - the second listing anchor is WRONG"
raw/globalassets/debry-steve-2021ye.pdf,4,680124,0,0,Steven L. DeBry,Council #5,2021 Year End Report,2021,(root),1,fdr,untitled-year,Steven L DeBry,County Council #5,Year-End (Jan 31),"Jan. 25, 2022",Steven L DeBry,"form cover 'Name of Candidate or Officeholder', verbatim",2022-01-25,form-signature,County Council,District 5,document,year-end,checked box -- YEAR-END REPORT: Year-End (Jan 31),county-schedule-a-observed,two overlapping RECEIVED stamps (JAN 25 2022 and NOV 03 2021)
raw/globalassets/forms__staggs-dissolution_redacted.pdf,1,2241501,0,0,Trent Staggs,Mayor,Dissolution Report,,forms,1,dissolution-notice,dissolution-notice,Trent Staggs,County Mayor,(dissolution notice - no Type-of-Report box),1-20-21,Trent Staggs,'Name of County Office Candidate' on the Statement of Campaign Dissolution (the PDF holds no FDR cover),2021-01-20,form-signature,Mayor,,document,,no Type-of-Report block to read -- dissolution notice - no Type-of-Report box,no-schedule-a-page-in-the-document,the notice says 'Attached is a final summary financial report' but the PDF is ONE page - the attached final report is NOT in this file
raw/globalassets/2020_disclosures__june__staggs-mayor_redacted.pdf,12,1941295,4,15529,Trent Staggs,Mayor,June 2020,2020,june,2,fdr,2020,Trent Staggs,SL County Mayor,Seven days before a primary election,6-23-20,Trent Staggs,"form cover 'Name of Candidate or Officeholder', verbatim",2020-06-23,form-signature,Mayor,,document,interim,checked box -- INTERIM REPORTS: Seven days before a primary election,not-inspected (the Schedule A page was not among the pages read),the only globalassets file with a real born-digital text layer (Producer www.ilovepdf.com); listing 'June 2020'
raw/globalassets/2015_disclosures__2015_year_end__wanda_amann-2015ye_diss.pdf,4,263029,0,0,Wanda Amann,Clerk,2015 Summary Report/Dissolution,2015,2015_year_end,1,fdr,2015,Wanda Amann,Clerk,Year-End (Jan 31) AND Final/Dissolution,1/31/16,Wanda Amann,"form cover 'Name of Candidate or Officeholder', verbatim",2016-01-31,form-signature,Clerk,,document,final,checked box -- YEAR-END REPORT: Year-End (Jan 31) + FINAL / DISSOLUTION REPORT: Final/Dissolution (final/dissolution governs),not-inspected (the Schedule A page was not among the pages read),"faxed; the fax footer clock reads 04/26/2002 (machine clock wrong); address cells left blank by the filer, not redacted"
