date,year,title,body,body_slug,motion_no,motion,motion_type,result,mover,seconder,member,vote,source
2015-12-03,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,,,Pass,,Hanson,Henrie,Nay,land_use/minutes/2015/2015-12-03_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,change the setback to 50 feet for naturally occurring still bodies of water and 100 feet for naturally occurring streams and rivers,,Pass,Vernon,Clyde,Henrie,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,"leave in the sentence which says to ""promote and preserve natural resource areas.""  MOTION FAILED (2-4) Chair Ure, Commissioner Willoughby, Commissioner Vernon, and Commissioner Hanson against",,Fail,Clyde,Henrie,Ure,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,"leave in the sentence which says to ""promote and preserve natural resource areas.""  MOTION FAILED (2-4) Chair Ure, Commissioner Willoughby, Commissioner Vernon, and Commissioner Hanson against",,Fail,Clyde,Henrie,Willoughby,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,"leave in the sentence which says to ""promote and preserve natural resource areas.""  MOTION FAILED (2-4) Chair Ure, Commissioner Willoughby, Commissioner Vernon, and Commissioner Hanson against",,Fail,Clyde,Henrie,Vernon,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,add “to protect and preserve open space” to the end of the paragraph of Letter A,,Fail,Hanson,Clyde,Willoughby,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,add “to protect and preserve open space” to the end of the paragraph of Letter A,,Fail,Hanson,Clyde,Ure,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,add “to protect and preserve open space” to the end of the paragraph of Letter A,,Fail,Hanson,Clyde,Vernon,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,they delete the sentence in question,,Pass,Willoughby,Hanson,Clyde,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,they delete the sentence in question,,Pass,Willoughby,Hanson,Henrie,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,,,Pass,,Henrie,Ure,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2015-12-17,2015,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,,,Pass,,Henrie,Vernon,Nay,land_use/minutes/2015/2015-12-17_eastern_summit_pc.md
2016-01-07,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,table the preliminary discussion on the Master Plan Development and the Village Overlay zone until the Commission completes Chapter 3 and Chapter 4,,Pass,Wharton,Willoughby,Clyde,Nay,land_use/minutes/2016/2016-01-07_eastern_summit_pc.md
2016-01-07,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,table the preliminary discussion on the Master Plan Development and the Village Overlay zone until the Commission completes Chapter 3 and Chapter 4,,Pass,Wharton,Willoughby,Henrie,Nay,land_use/minutes/2016/2016-01-07_eastern_summit_pc.md
2016-01-12,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the plat combination amendment of The Residences at Blackstone Units 1 and 2 with the following Findings of Facts, Conclusions of Law, and Conditions of Approval: FINDINGS OF FACT: 1",,Pass,DeFord,Lawson,Peck,Nay,land_use/minutes/2016/2016-01-12_snyderville_basin_pc.md
2016-01-12,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the plat combination amendment of The Residences at Blackstone Units 1 and 2 with the following Findings of Facts, Conclusions of Law, and Conditions of Approval: FINDINGS OF FACT: 1",,Pass,DeFord,Lawson,Harte,Nay,land_use/minutes/2016/2016-01-12_snyderville_basin_pc.md
2016-02-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"table to a date uncertain the MPD, the RR zone, the RS zone, the RC zone, and the amendments to the Use Chart",,Pass,Wharton,Vernon,Clyde,Nay,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md
2016-02-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"table to a date uncertain the MPD, the RR zone, the RS zone, the RC zone, and the amendments to the Use Chart",,Pass,Wharton,Vernon,Henrie,Nay,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md
2016-02-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,density can be transferred between differing base-line zones as long as the parcel is commonly owned property and contiguous,,Pass,Willoughby,Vernon,Clyde,Nay,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md
2016-02-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,density can be transferred between differing base-line zones as long as the parcel is commonly owned property and contiguous,,Pass,Willoughby,Vernon,Henrie,Nay,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md
2016-02-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,approve the minutes as corrected,,Pass,Willoughby,Henrie,Wharton,Abstain,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md
2016-02-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,Planner Milliner said the ESAP requirements have been listed as a condition of approval,,Pass,,,Wharton,Abstain,land_use/minutes/2016/2016-02-04_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"add office space (with four employees or less) to the Use Chart with the following conditions: low impact in every zone except Commercial, Light Industrial, and Industrial",,Fail,Ure,,Willoughby,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"add office space (with four employees or less) to the Use Chart with the following conditions: low impact in every zone except Commercial, Light Industrial, and Industrial",,Fail,Ure,,Vernon,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"add office space (with four employees or less) to the Use Chart with the following conditions: low impact in every zone except Commercial, Light Industrial, and Industrial",,Fail,Ure,,Henrie,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"add office space (with four employees or less) to the Use Chart with the following conditions: low impact in every zone except Commercial, Light Industrial, and Industrial",,Fail,Ure,,Clyde,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"add office space (with four employees or less) to the Use Chart with the following conditions: low impact in every zone except Commercial, Light Industrial, and Industrial",,Fail,Ure,,Hanson,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,send a positive recommendation to the County Council with the facts and findings for the map with the recommendation to the County Council to have an outside consultant look at the map,,Fail,Ure,Wharton,Hanson,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,send a positive recommendation to the County Council with the facts and findings for the map with the recommendation to the County Council to have an outside consultant look at the map,,Fail,Ure,Wharton,Wharton,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,send a positive recommendation to the County Council with the facts and findings for the map with the recommendation to the County Council to have an outside consultant look at the map,,Fail,Ure,Wharton,Vernon,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,send a positive recommendation to the County Council with the facts and findings for the map with the recommendation to the County Council to have an outside consultant look at the map,,Fail,Ure,Wharton,Clyde,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,send a positive recommendation to the County Council with the facts and findings for the map with the recommendation to the County Council to have an outside consultant look at the map,,Fail,Ure,Wharton,Willoughby,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,send a positive recommendation to the County Council with the facts and findings for the map with the recommendation to the County Council to have an outside consultant look at the map,,Fail,Ure,Wharton,Henrie,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Willoughby,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Vernon,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Wharton,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Ure,Aye,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Henrie,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Hanson,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-02-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council with the proposed zoning map with the facts and findings,,Pass,Ure,Willoughby,Clyde,Nay,land_use/minutes/2016/2016-02-18_eastern_summit_pc.md
2016-04-07,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as corrected,,Pass,Wharton,Clyde,Hanson,Abstain,land_use/minutes/2016/2016-04-07_eastern_summit_pc.md
2016-04-12,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,approve the minutes as corrected,,Pass,Klingenstein,Franklin,Collins,Abstain,land_use/minutes/2016/2016-04-12_snyderville_basin_pc.md
2016-04-12,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,approve the minutes as written,,Pass,Klingenstein,Lawson,Franklin,Abstain,land_use/minutes/2016/2016-04-12_snyderville_basin_pc.md
2016-05-05,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,approve the minutes as corrected,,Pass,Willoughby,Henrie,Hanson,Abstain,land_use/minutes/2016/2016-05-05_eastern_summit_pc.md
2016-05-19,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the plat amendment to the Cherry Hills Lot 2 Amended Subdivision plat according to the following: FINDINGS OF FACTS: 1,,Pass,Henrie,Wharton,Hanson,Nay,land_use/minutes/2016/2016-05-19_eastern_summit_pc.md
2016-05-19,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,approve the plat amendment to the Cherry Hills Lot 2 Amended Subdivision plat according to the following: FINDINGS OF FACTS: 1,,Pass,Henrie,Wharton,Sonntag,Nay,land_use/minutes/2016/2016-05-19_eastern_summit_pc.md
2016-05-19,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,approve the minutes as corrected,,Pass,Wharton,Henrie,Willoughby,Abstain,land_use/minutes/2016/2016-05-19_eastern_summit_pc.md
2016-06-28,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the conditional use permit per the findings of facts, conclusions of law, and conditions of approval as outlined in the Staff Report with the exception of Findings of Facts #11 and #12",,Pass,Franklin,Klingenstein,Collins,Nay,land_use/minutes/2016/2016-06-28_snyderville_basin_pc.md
2016-06-28,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,approve the minutes as corrected,,Pass,Klingenstein,Franklin,DeFord,Abstain,land_use/minutes/2016/2016-06-28_snyderville_basin_pc.md
2016-08-04,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,approve the minutes as written,,Pass,Wharton,Willoughby,Ure,Abstain,land_use/minutes/2016/2016-08-04_eastern_summit_pc.md
2016-08-09,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,approve the minutes as written,,Pass,Franklin,Harte,DeFord,Abstain,land_use/minutes/2016/2016-08-09_snyderville_basin_pc.md
2016-08-18,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,approve the minutes as written,,Pass,Ure,Willoughby,Wharton,Abstain,land_use/minutes/2016/2016-08-18_eastern_summit_pc.md
2016-09-13,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,"deny the application, based on the following findings and conclusions: 1",,Pass,Harte,Collins,Lawson,Nay,land_use/minutes/2016/2016-09-13_snyderville_basin_pc.md
2016-09-15,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,approve the minutes as written,,Pass,Clyde,Willoughby,Ure,Abstain,land_use/minutes/2016/2016-09-15_eastern_summit_pc.md
2016-09-15,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,approve the minutes as written,,Pass,Clyde,Willoughby,Ure,Abstain,land_use/minutes/2016/2016-09-15_eastern_summit_pc.md
2016-10-20,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,approve the minutes as corrected,,Pass,Willoughby,Henrie,Clyde,Abstain,land_use/minutes/2016/2016-10-20_eastern_summit_pc.md
2016-10-25,2016,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,approve the minutes as corrected,,Pass,Collins,Lawson,Klingenstein,Abstain,land_use/minutes/2016/2016-10-25_snyderville_basin_pc.md
2016-11-03,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council of the amendments to the Section 11‐2‐4 with the distance requirements as proposed by Staff,,Pass,Sonntag,Ure,Clyde,Nay,land_use/minutes/2016/2016-11-03_eastern_summit_pc.md
2016-11-03,2016,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,send a positive recommendation to the County Council of the amendments to the Section 11‐2‐4 with the distance requirements as proposed by Staff,,Pass,Sonntag,Ure,Ure,Nay,land_use/minutes/2016/2016-11-03_eastern_summit_pc.md
2017-01-05,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,forward a positive recommendation to the Community Development Director for the Red Onion Subdivision according to the Findings of Fact and Conclusions of Law found in the Staff Report,,Pass,Henrie,Wharton,Ure,Nay,land_use/minutes/2017/2017-01-05_eastern_summit_pc.md
2017-01-05,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,accept the minutes after changes are made,,Pass,Willoughby,Ure,Wharton,Abstain,land_use/minutes/2017/2017-01-05_eastern_summit_pc.md
2017-01-05,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,5,for Commissioner Ure to be the Pro Tem Chair for the February 2nd meeting,,,Wharton,Willoughby,Ure,Nay,land_use/minutes/2017/2017-01-05_eastern_summit_pc.md
2017-01-10,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"forward a positive recommendation to the Summit County Manager for the Discovery Core final plat and associated final site plan according to the Findings of Fact, Conclusions of Law, and Conditions of Approval as outlined in the Staff Report of January 10, 2017 with the modification of Condition #7 as discussed",,Pass,Klingenstein,Franklin,Lawson,Nay,land_use/minutes/2017/2017-01-10_snyderville_basin_pc.md
2017-01-19,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,do away with the Family Estate,,Pass,Ure,Henrie,Hanson,Nay,land_use/minutes/2017/2017-01-19_eastern_summit_pc.md
2017-02-28,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,approve the minutes as written,,Pass,Franklin,Harte,Cooke,Abstain,land_use/minutes/2017/2017-02-28_snyderville_basin_pc.md
2017-03-02,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,"approve the Minutes with changes stated for November 17, 2016",,Pass,Willoughby,Henrie,Sargent,Abstain,land_use/minutes/2017/2017-03-02_eastern_summit_pc.md
2017-03-02,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,3,"approve the Minutes with changes stated for December 1, 2016",,Pass,Willoughby,Sonntag,Sargent,Abstain,land_use/minutes/2017/2017-03-02_eastern_summit_pc.md
2017-03-14,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,approve the minutes as written,,Pass,Klingenstein,,Stevens,Abstain,land_use/minutes/2017/2017-03-14_snyderville_basin_pc.md
2017-03-14,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,4,approve the minutes as written,,Pass,Klingenstein,DeFord,Stevens,Abstain,land_use/minutes/2017/2017-03-14_snyderville_basin_pc.md
2017-04-25,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,send a positive recommendation to the County Council on Option 2,,Pass,DeFord,,Peck,Nay,land_use/minutes/2017/2017-04-25_snyderville_basin_pc.md
2017-04-25,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,send a positive recommendation to the County Council on Option 2,,Pass,DeFord,,Harte,Nay,land_use/minutes/2017/2017-04-25_snyderville_basin_pc.md
2017-06-13,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"forward a positive recommendation to the County Manager for the proposed final site plan subdivision plat pursuant to the Findings of Fact, Conclusions of Law, and Conditions of approval as recorded in the Staff Report with the addition of a condition that the applicant work with the Public Snyderville Basin Planning Commission June 13, 2017 Page 15 of 34 Works Department to ensure that crosswalks are adequate for safety and enhanced for safety",,Pass,Harte,Fine,Klingenstein,Nay,land_use/minutes/2017/2017-06-13_snyderville_basin_pc.md
2017-07-11,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,6,approve the minutes as corrected,,Pass,Cooke,Klingenstein,Stevens,Abstain,land_use/minutes/2017/2017-07-11_snyderville_basin_pc.md
2017-08-22,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,A motion was made by Commissioner Klingenstein to forward a positive recommendation to the County Council regarding Chapter 10 Engineering Standards to the Snyderville Basin Development Code as written,,Pass,,Fine,Harte,Aye,land_use/minutes/2017/2017-08-22_snyderville_basin_pc.md
2017-08-22,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,A motion was made by Commissioner Klingenstein to forward a positive recommendation to the County Council regarding Chapter 10 Engineering Standards to the Snyderville Basin Development Code as written,,Pass,,Fine,Fine,Aye,land_use/minutes/2017/2017-08-22_snyderville_basin_pc.md
2017-08-22,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,A motion was made by Commissioner Klingenstein to forward a positive recommendation to the County Council regarding Chapter 10 Engineering Standards to the Snyderville Basin Development Code as written,,Pass,,Fine,Klingenstein,Aye,land_use/minutes/2017/2017-08-22_snyderville_basin_pc.md
2017-09-07,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"approve the Conditional Use Permit for the Harris Barn according to the Findings of Fact, Conclusions of Law and Conditions of Approval in the Staff Report",,Pass,Sonntag,Willoughby,Clyde,Nay,land_use/minutes/2017/2017-09-07_eastern_summit_pc.md
2017-09-12,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,approve the Fox Meadow Ranch Horse boarding facility,,Pass,Klingenstein,Peck,Cooke,Nay,land_use/minutes/2017/2017-09-12_snyderville_basin_pc.md
2017-09-26,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,5,"continue the public hearing until July 25, 2017",,Pass,Peck,Fine,Stevens,Abstain,land_use/minutes/2017/2017-09-26_snyderville_basin_pc.md
2017-11-02,2017,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"forward a positive recommendation to County Council on Village Overlay Zone provisions as drafted in the Staff Report, according to the revised Findings of Fact and Conclusions of Law as well as the amendments to section B-2 as revised by Staff and read into record, as well as section Eastern Summit County Planning Commission November 2, 2017 Page 13 of 14 3-B-a and section 3-B-3-iv",,Pass,Sargent,Sonntag,Willoughby,Nay,land_use/minutes/2017/2017-11-02_eastern_summit_pc.md
2017-12-12,2017,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,"approve the Colby School project as proposed in the Staff Report dated December 12, 2017, with the addition of Findings of Facts and Conditions of Approval as outlined by Attorney Thomas, and including a Snyderville Basin Planning Commission December 12, 2017 Page 24 of 33 condition there be no secondary access",,Pass,Peck,Fine,Klingenstein,Nay,land_use/minutes/2017/2017-12-12_snyderville_basin_pc.md
2018-03-27,2018,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,continue to approve the minutes as written,,Pass,Cooke,Fine,Dickey,Abstain,land_use/minutes/2018/2018-03-27_snyderville_basin_pc.md
2018-03-29,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,not reduce to the 0.5-acre lot size unless the home can be on a public or community culinary and sewer system,,Pass,Rydalch,Wilde,Wheaton,Nay,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md
2018-03-29,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,2,not reduce to the 0.5-acre lot size unless the home can be on a public or community culinary and sewer system,,Pass,Rydalch,Wilde,Clyde,Nay,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md
2018-03-29,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,"have child care family of 9 to 16 children in a Residential 2.5-acre zone be a conditional use, with all other zones being a low-impact use",,Pass,Sargent,Wilde,Wheaton,Nay,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md
2018-03-29,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,8,allow seasonal plant and agricultural product sales in the Residential 2.5-acre zone as an allowed use,,Pass,Rydalch,Sargent,Wheaton,Nay,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md
2018-03-29,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,9,strike solar as an allowed use in the Residential 2.5-acre zone and change wind power generation facilities 45 feet in height to be a conditional use in the 2.5-acre zone,,Pass,Sargent,Wilde,Wheaton,Nay,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md
2018-03-29,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,10,have a parcel only in the 5-acre zone to be eligible for rezoning to the Residential 2.5-acre zone,,Pass,Sargent,Wheaton,Sonntag,Nay,land_use/minutes/2018/2018-03-29_eastern_summit_pc.md
2018-04-05,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,4,approve the minutes as corrected,,Pass,Sargent,Wilde,Wheaton,Abstain,land_use/minutes/2018/2018-04-05_eastern_summit_pc.md
2018-04-05,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,7,approve the River Run plat amendment removing the building pads,,Pass,Hanson,Sonntag,Clyde,Nay,land_use/minutes/2018/2018-04-05_eastern_summit_pc.md
2018-05-03,2018,Eastern Summit County Planning Commission,Eastern Summit County Planning Commission,eastern_summit_pc,1,"accept the following Findings of Fact and Conclusions of Law, with Findings of Fact 16 and 20 stricken",,Pass,Sonntag,Wilde,Clyde,Nay,land_use/minutes/2018/2018-05-03_eastern_summit_pc.md
2018-05-22,2018,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,1,forward a positive recommendation to the Summit County Council to rezone the Lincoln Station property from Rural Residential to Community Commercial,,Pass,Harte,Fine,Dickey,Nay,land_use/minutes/2018/2018-05-22_snyderville_basin_pc.md
2018-06-12,2018,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,send a positive recommendation to the Cou nty Manager for the Silver Creek Village Center Lot 2 preliminary subdivision plat as outlined in the Staff Report,,Pass,Stevens,Dickey,Harte,Nay,land_use/minutes/2018/2018-06-12_snyderville_basin_pc.md
2018-06-12,2018,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,2,send a positive recommendation to the Cou nty Manager for the Silver Creek Village Center Lot 2 preliminary subdivision plat as outlined in the Staff Report,,Pass,Stevens,Dickey,Fine,Nay,land_use/minutes/2018/2018-06-12_snyderville_basin_pc.md
2018-06-12,2018,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,send a positive recommendation to the County Manager for the Silver Creek Village Center Lot 5 preliminary subdivision plat as outlined in the Staff Report,,Pass,Stevens,Dickey,Harte,Nay,land_use/minutes/2018/2018-06-12_snyderville_basin_pc.md
2018-06-12,2018,Snyderville Basin Planning Commission,Snyderville Basin Planning Commission,snyderville_basin_pc,3,send a positive recommendation to the County Manager for the Silver Creek Village Center Lot 5 preliminary subdivision plat as outlined in the Staff Report,,Pass,Stevens,Dickey,Fine,Nay,land_use/minutes/2018/2018-06-12_snyderville_basin_pc.md
