ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,case_no
21-04,2021-02-09,2021-02-09,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-10-2020, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO ALLOW OUTDOOR EVENT CENTERS IN CONJUNCTION WITH A REGIONAL SHOPPING MALL AS A CONDITIONAL USE IN THE C-2 ZONE",west_valley_city_council/meeting_minutes/minutes/2021/2021-02-08/2021-02-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-02-09,2,within_source,
21-05,2021-02-09,2021-02-09,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-8-2020, FILED BY WEST VALLEY CITY, REQUESTING A GENERAL PLAN CHANGE FROM VERY HIGH DENSITY RESIDENTIAL (OVER 20 UNITS/ACRE) TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM CC (CITY CENTER) TO RM (MULTIPLE UNIT DWELLING RESIDENT",west_valley_city_council/meeting_minutes/minutes/2021/2021-02-08/2021-02-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-02-09,3,within_source,GPZ-8-2020
21-06,2021-02-09,2021-02-09,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-8-2020, FILED BY WEST VALLEY CITY, REQUESTING A GENERAL PLAN CHANGE FROM VERY HIGH DENSITY RESIDENTIAL (OVER 20 UNITS/ACRE) TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM CC (CITY CENTER) TO RM (MULTIPLE UNIT DWELLING RESIDENT",west_valley_city_council/meeting_minutes/minutes/2021/2021-02-08/2021-02-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-02-09,4,within_source,GPZ-8-2020
21-07,2021-02-09,2021-02-09,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-8-2020, FILED BY WEST VALLEY CITY, REQUESTING A GENERAL PLAN CHANGE FROM VERY HIGH DENSITY RESIDENTIAL (OVER 20 UNITS/ACRE) TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM CC (CITY CENTER) TO RM (MULTIPLE UNIT DWELLING RESIDENT",west_valley_city_council/meeting_minutes/minutes/2021/2021-02-08/2021-02-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-02-09,5,within_source,GPZ-8-2020
21-08,2021-03-02,2021-03-02,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-1-2021, FILED BY ROCKWORTH COMPANIES, LLC, REQUESTING FINAL PLAT APPROVAL FOR THE DECKER LAKE SUBDIVISION LOCATED AT 3100 SOUTH DECKER LAKER DRIVE",west_valley_city_council/meeting_minutes/minutes/2021/2021-03-01/2021-03-02_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-03-02,2,within_source,
21-09,2021-03-09,2021-03-09,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-1-2021, FILED BY ALEX WINDER, REQUESTING A GENERAL PLAN CHANGE FROM COMMERCIAL/OFFICE AND OFFICE/EDUCATION TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO LI (LIGHT INDUSTRIAL) FOR PROPERTY LOCATED AT 5718 WEST 3500 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-03-08/2021-03-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-03-09,2,within_source,GPZ-1-2021
21-10,2021-03-09,2021-03-09,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-1-2021, FILED BY ALEX WINDER, REQUESTING A GENERAL PLAN CHANGE FROM COMMERCIAL/OFFICE AND OFFICE/EDUCATION TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO LI (LIGHT INDUSTRIAL) FOR PROPERTY LOCATED AT 5718 WEST 3500 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-03-08/2021-03-09_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-03-09,3,within_source,GPZ-1-2021
21-11,2021-04-06,2021-04-06,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2020-2021 BUDGET,west_valley_city_council/meeting_minutes/minutes/2021/2021-04-05/2021-04-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2021-04-06,2,within_source,
21-12,2021-04-06,2021-04-06,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2020-2021 BUDGET,west_valley_city_council/meeting_minutes/minutes/2021/2021-04-05/2021-04-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2021-04-06,3,within_source,
21-13,2021-04-13,2021-04-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SV-1-2021, FILED BY KEN MILNE, REQUESTING A STREET VACATION OF 6655 WEST AT FUELNER DRIVE (3635 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-12/2021-04-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-13,2,within_source,
21-14,2021-04-13,2021-04-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-1-2021, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO AMEND RESIDENTIAL LANDSCAPING AND RECREATION SPACE STANDARDS IN TITLE 7 AND 9",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-12/2021-04-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-13,3,within_source,
21-15,2021-04-13,2021-04-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-1-2021, FILED BY EMANUEL AND LETICIA MORENO, REQUESTING A ZONE TEXT CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO M (MANUFACTURING) FOR PROPERTY LOCATED AT 7041 AND 7055 WEST GATES AVENUE",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-12/2021-04-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-13,4,within_source,Z-1-2021
21-16,2021-04-20,2021-04-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-2-2021, FILED BY WEST VALLEY CITY, REQUESTING FINAL PLAT APPROVAL FOR THE CABCO 5600 WEST SUBDIVISION- 3RD AMENDMENT LOCATED AT 2530 SOUTH ANNA CAROLINE DRIVE",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-19/2021-04-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-20,2,within_source,
21-17,2021-04-20,2021-04-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-3-2021, FILED BY WEST VALLEY CITY, REQUESTING FINAL PLAT APPROVAL FOR THE ANNA CAROLINE DRIVE SUBDIVISION- AMENDED LOCATED AT 2450 SOUTH ANNA CAROLINE DRIVE",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-19/2021-04-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-20,3,within_source,
21-18,2021-04-20,2021-04-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-3-2021, FILED BY WEST VALLEY CITY, REQUESTING FINAL PLAT APPROVAL FOR THE ANNA CAROLINE DRIVE SUBDIVISION- AMENDED LOCATED AT 2450 SOUTH ANNA CAROLINE DRIVE",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-19/2021-04-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-20,4,within_source,
21-19,2021-04-27,2021-04-27,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-2-2021, FILED BY MATHEW IDEMA, REQUESTING A GENERAL PLAN AMENDMENT FROM LARGE LOT RESIDENTIAL (2-3 UNITS/ACRE) TO LOW DENSITY RESIDENTIAL (3-4 UNITS/ACRE) AND A ZONE CHANGE AMENDMENT FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RS (RESIDENTIAL SUSTAI",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-26/2021-04-27_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-27,2,within_source,GPZ-2-2021
21-20,2021-04-27,2021-04-27,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-2-2021, FILED BY MATHEW IDEMA, REQUESTING A GENERAL PLAN AMENDMENT FROM LARGE LOT RESIDENTIAL (2-3 UNITS/ACRE) TO LOW DENSITY RESIDENTIAL (3-4 UNITS/ACRE) AND A ZONE CHANGE AMENDMENT FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RS (RESIDENTIAL SUSTAI",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-26/2021-04-27_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-27,3,within_source,GPZ-2-2021
21-21,2021-04-27,2021-04-27,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-3-2021, FILED BY ARCADIA SP, INC., REQUESTING A GENERAL PLAN AMENDMENT FROM RURAL RESIDENTIAL (1-2 UNITS/ACRE) TO MEDIUM DENSITY RESIDENTIAL (7-12 UNITS/ACRE) AND A ZONE CHANGE AMENDMENT FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RM (MULTIPLE UNIT",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-26/2021-04-27_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-27,5,within_source,GPZ-3-2021
21-22,2021-04-27,2021-04-27,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-3-2021, FILED BY ARCADIA SP, INC., REQUESTING A GENERAL PLAN AMENDMENT FROM RURAL RESIDENTIAL (1-2 UNITS/ACRE) TO MEDIUM DENSITY RESIDENTIAL (7-12 UNITS/ACRE) AND A ZONE CHANGE AMENDMENT FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RM (MULTIPLE UNIT",west_valley_city_council/meeting_minutes/minutes/2021/2021-04-26/2021-04-27_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-04-27,6,within_source,GPZ-3-2021
21-23,2021-05-18,2021-05-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2021, FILED BY GREG LARSEN, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) AND LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMU",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-17/2021-05-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-05-18,6,within_source,GPZ-6-2021
21-24,2021-05-18,2021-05-18,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2021, FILED BY GREG LARSEN, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) AND LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMU",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-17/2021-05-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-05-18,7,within_source,GPZ-6-2021
21-25,2021-05-11,2021-05-11,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2021, FILED BY GREG LARSEN, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) AND LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-10/2021-05-11_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-05-11,6,within_source,GPZ-6-2021
21-26,2021-05-11,2021-05-11,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2021, FILED BY GREG LARSEN, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) AND LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-10/2021-05-11_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-05-11,7,within_source,GPZ-6-2021
21-27,2021-05-18,2021-05-18,"ACCEPT PUBLIC INPUT REGARDING AN IMPACT FEE FACILITIES PLAN AND IMPACT FEE ANALAYSIS AND AN UPDATE TO DRAINAGE, PARK, ROAD, FIRE, AND POLICE IMPACT FEES",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-17/2021-05-18_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2021-05-18,3,within_source,
21-28,2021-06-01,2021-06-01,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2020-2021 BUDGET,west_valley_city_council/meeting_minutes/minutes/2021/2021-05-31/2021-06-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2021-06-01,2,within_source,
21-29,2021-06-01,2021-06-01,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-3-2021, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO ENACT PART 17-2-1200P REGULATING LODGING FACILITIES",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-31/2021-06-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-01,3,within_source,
21-30,2021-06-01,2021-06-01,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-4-2021, FILED BY WEST VALLEY CITY, REQUESTING AMENDMENTS TO THE GENERAL PLAN AND REZONING OF CERTAIN PROPERTIES IN WEST VALLEY CITY",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-31/2021-06-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-01,4,within_source,GPZ-4-2021
21-31,2021-06-01,2021-06-01,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-4-2021, FILED BY WEST VALLEY CITY, REQUESTING AMENDMENTS TO THE GENERAL PLAN AND REZONING OF CERTAIN PROPERTIES IN WEST VALLEY CITY",west_valley_city_council/meeting_minutes/minutes/2021/2021-05-31/2021-06-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-01,5,within_source,GPZ-4-2021
21-32,2021-06-08,2021-06-08,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-5-2021, FILED BY JASON KELLEY, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO M (MANUFACTURING) FOR PROPERTY LOCATED AT 3536 SOUTH 1950 WEST",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-07/2021-06-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-08,4,within_source,GPZ-5-2021
21-33,2021-06-08,2021-06-08,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-5-2021, FILED BY JASON KELLEY, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO M (MANUFACTURING) FOR PROPERTY LOCATED AT 3536 SOUTH 1950 WEST",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-07/2021-06-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-08,5,within_source,GPZ-5-2021
21-34,2021-06-08,2021-06-08,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-7-2021, FILED BY UTAH AUTO BROKERS, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM R-1-12 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 12,000 SQ. FT.) TO C-2 (GENERAL",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-07/2021-06-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-08,7,within_source,GPZ-7-2021
21-35,2021-06-08,2021-06-08,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-7-2021, FILED BY UTAH AUTO BROKERS, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM R-1-12 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 12,000 SQ. FT.) TO C-2 (GENERAL",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-07/2021-06-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-08,8,within_source,GPZ-7-2021
21-36,2021-06-22,2021-06-22,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-3-2020, FILED BY JOE SALISBURY, REQUESTING A GENERAL PLAN CHANGE FROM COMMERCIAL/LIGHT MANUFACTURING TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) AND M (MANUFACTURING) TO RM (MULTIPLE U",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-21/2021-06-22_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-22,2,within_source,GPZ-3-2020
21-37,2021-06-22,2021-06-22,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-3-2020, FILED BY JOE SALISBURY, REQUESTING A GENERAL PLAN CHANGE FROM COMMERCIAL/LIGHT MANUFACTURING TO HIGH DENSITY RESIDENTIAL (12 TO 20 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) AND M (MANUFACTURING) TO RM (MULTIPLE U",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-21/2021-06-22_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-22,3,within_source,GPZ-3-2020
21-38,2021-06-22,2021-06-22,"ACCEPT PUBLIC INPUT REGARDING Z-2-2021, FILED BY NORTHROP GRUMMAN INNOVATION SYSTEMS LLC, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RE (RESIDENTIAL ESTATE) AND R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) FOR PROPERTY LOCATED AT 6865",west_valley_city_council/meeting_minutes/minutes/2021/2021-06-21/2021-06-22_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-06-22,5,within_source,Z-2-2021
21-39,2021-07-06,2021-07-06,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-8-2021, FILED BY MOORE HOMES, LC, REQUESTING A GENERAL PLAN CHANGE FROM COMMUNITY USE TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPER",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-05/2021-07-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-06,2,within_source,GPZ-8-2021
21-40,2021-07-06,2021-07-06,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-8-2021, FILED BY MOORE HOMES, LC, REQUESTING A GENERAL PLAN CHANGE FROM COMMUNITY USE TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPER",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-05/2021-07-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-06,3,within_source,GPZ-8-2021
21-41,2021-07-06,2021-07-06,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-2-2021, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO ADD REGULATIONS FOR INTERNAL ACCESSORY DWELLING UNITS",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-05/2021-07-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-06,5,within_source,
21-42,2021-07-06,2021-07-06,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-4-2021, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO AMEND STANDARDS FOR SINGLE UNIT DWELLINGS AND TWO UNIT DWELLINGS",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-05/2021-07-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-06,6,within_source,
21-43,2021-08-17,2021-08-17,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-9-2021, FILED BY RUSSELL PLATT, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO HIGH DENSITY RESIDENTIAL (12-20 UNITS/ACRE) AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED AT 235",west_valley_city_council/meeting_minutes/minutes/2021/2021-08-16/2021-08-17_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-08-17,10,within_source,GPZ-9-2021
21-44,2021-08-17,2021-08-17,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-9-2021, FILED BY RUSSELL PLATT, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO HIGH DENSITY RESIDENTIAL (12-20 UNITS/ACRE) AND A ZONE CHANGE FROM C-2 (GENERAL COMMERCIAL) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED AT 235",west_valley_city_council/meeting_minutes/minutes/2021/2021-08-16/2021-08-17_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-08-17,11,within_source,GPZ-9-2021
21-45,2021-07-13,2021-07-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-4-2020, FILED BY UDOT, REQUESTING FINAL PLAT APPROVAL FOR THE HUNTER COVE MOUNTAIN VIEW CORRIDOR SUBDIVISION LOCATED AT 5920 WEST 4165 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-12/2021-07-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-13,5,within_source,
21-46,2021-07-13,2021-07-13,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-4-2021, FILED BY WINCO FOODS LLC, REQUESTING FINAL PLAT APPROVAL FOR THE WEST VALLEY PAVILION SUBDIVISION- LOT 1 AMENDED LOCATED AT 2616 SOUTH 5600 WEST",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-12/2021-07-13_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-13,6,within_source,
21-47,2021-07-20,2021-07-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-4-2021, FILED BY GREG WILSON, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO BRP (BUSINESS/RESEARCH PARK) FOR PROPERTY LOCATED AT 1078 WEST PARKWAY AVENUE",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-19/2021-07-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-20,2,within_source,Z-4-2021
21-48,2021-07-27,2021-07-27,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-12-2021, FILED BY MARCO DIAZ, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO MEDIUM DENSTIY",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-26/2021-07-27_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-27,2,within_source,GPZ-12-2021
21-49,2021-07-27,2021-07-27,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-12-2021, FILED BY MARCO DIAZ, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO MEDIUM DENSTIY",west_valley_city_council/meeting_minutes/minutes/2021/2021-07-26/2021-07-27_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-07-27,3,within_source,GPZ-12-2021
21-50,2021-08-17,2021-08-17,"ACCEPT PUBLIC INPUT REGARDING APPLICATION S-2-2021, FILED BY SHAUN JOHNSON, REQUESTING FINAL PLAT APPROVAL FOR WESTON FIELDS SUBDIVISION- PHASE 1, LOCATED AT 6840 WEST 4100 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-08-16/2021-08-17_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-08-17,2,within_source,
21-51,2021-09-07,2021-09-07,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-13- 2021, FILED BY BRIAN PITCHER, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) TO M (MANUFAC",west_valley_city_council/meeting_minutes/minutes/2021/2021-09-06/2021-09-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-09-07,7,within_source,GPZ-13-2021
21-52,2021-08-24,2021-08-24,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-13- 2021, FILED BY BRIAN PITCHER, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) TO LIGHT MANUFACTURING AND A ZONE CHANGE FROM R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) TO M (MANUFAC",west_valley_city_council/meeting_minutes/minutes/2021/2021-08-23/2021-08-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-08-24,4,within_source,GPZ-13-2021
21-53,2021-09-07,2021-09-07,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-10- 2021, FILED BY ADAM MAHER, REQUESTING A GENERAL PLAN CHANGE FROM NON-RETAIL COMMERCIAL TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM RB (RESIDENTIAL BUSINESS) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCAT",west_valley_city_council/meeting_minutes/minutes/2021/2021-09-06/2021-09-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-09-07,2,within_source,GPZ-10-2021
