date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,district,filer_type,in_election_results,date_precision
2025-11-12,Sergio Sotelo,Council,2025,interim,,Primary Report- Amended,https://ecf-api.easyvoteapp.com/documents/1897CDF0-B091-41C2-905A-66781923AABC/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_Primary-Report-Amended_1897CDF0.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-11-21,Sergio Sotelo,Council,2025,summary,,Post-General Election Report,https://ecf-api.easyvoteapp.com/documents/49DBF976-0DA8-4C4B-932B-1B5252D01D36/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Sotelo_Post-General-Election-Report_49DBF976.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2025-12-30,Sergio Sotelo,Council,2025,interim,,General Election 7 Day Report,https://ecf-api.easyvoteapp.com/documents/146B8D19-0BB7-48CB-9731-4138E6630802/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Sotelo_General-Election-7-Day-Report_146B8D19.pdf,easyvote,At-Large,Unsuccessful Candidate,yes,day
2026-01-01,Annette Harris,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Annette-Harris.pdf,2026-07-03,text,pdftotext -layout,raw/city/202601_Harris-Annette_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-03,Annette Harris,Council,,statement,,Annual Report 2026,https://ecf-api.easyvoteapp.com/documents/426FDF13-550B-48AD-B002-D65D68E51EBE/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2026_Harris_Annual-Report-2026_426FDF13.pdf,easyvote,,New Candidate,,day
2024-04-12,Bob Bedore,Council,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/5F9E5792-0F1E-4ADA-96F5-398912E7003A/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2024_Bedore_2024-Annual-Financial-Disclosure_5F9E5792.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Bob Bedore,Council,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Bob-Bedore-signed.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Bedore-Bob_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-03,Bob Bedore,Council,,statement,,2025 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/0810CDD2-D279-4774-B190-74BB2CACD9E9/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Bedore_2025-Annual-Financial-Disclosure_0810CDD2.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Bob Bedore,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Bob-Bedore.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202601_Bedore-Bob_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-03-30,Bob Bedore,Council,,statement,,2026 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/59C65897-2A08-4BB5-93F1-92F942C26611/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2026_Bedore_2026-Annual-Financial-Disclosure_59C65897.pdf,easyvote,,Current Elected Official,,day
2024-04-11,Chad Lamb,Council,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/9206812C-FEBA-4375-B565-AE1E9879F278/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2024_Lamb_2024-Annual-Financial-Disclosure_9206812C.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Chad Lamb,Council,,statement,,2024/2025 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/Chad-Lamb-2025-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-fillable-Chad-Lamb-1.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Lamb-Chad_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-23,Chad Lamb,Council,,statement,,2025 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/6F728FFA-CD8B-48B9-8ABE-695955384892/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Lamb_2025-Annual-Financial-Disclosure_6F728FFA.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Chad Lamb,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/Chad-Lamb-2026-Elected-Official-Disclosure-signed.pdf,2026-07-03,text,pdftotext -layout,raw/city/202601_Lamb-Chad_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-03,Chad Lamb,Council,,statement,,2026 Annual Financial Report,https://ecf-api.easyvoteapp.com/documents/88B0EF62-326C-458B-892D-F3909B3B5142/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2026_Lamb_2026-Annual-Financial-Report_88B0EF62.pdf,easyvote,,Current Elected Official,,day
2022-06-01,Chris McConnehey,Council,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-Chris-McConnehey_Redacted.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202206_McConnehey-Chris_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-03-15,Chris McConnehey,Council,,statement,,2023 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/D9E7EF90-F09D-4167-99B1-60FB3E934305/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_McConnehey_2023-Annual-Financial-Disclosure_D9E7EF90.pdf,easyvote,,Unsuccessful Candidate,,day
2022-06-01,David Pack,Council,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-David-Pack_Redacted.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202206_Pack-David_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-03-16,David Pack,Council,,statement,,2023 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/D4D69513-9FD2-4CEA-9A0C-1C69D4CC2827/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Pack_2023-Annual-Financial-Disclosure_D4D69513.pdf,easyvote,,Unsuccessful Candidate,,day
2022-06-01,Dirk Burton,Mayor,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-Dirk-Burton_Redacted.pdf,2026-07-03,text,pdftotext -layout,raw/city/202206_Burton-Dirk_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-03-31,Dirk Burton,Mayor,,statement,,2023 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/68C9F52A-04AF-47C8-98E5-47A298E1CFC7/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Burton_2023-Annual-Financial-Disclosure_68C9F52A.pdf,easyvote,,Current Elected Official,,day
2024-04-19,Dirk Burton,Mayor,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/4E15ECEB-18C7-45B8-9B58-D4DB723AD322/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2024_Burton_2024-Annual-Financial-Disclosure_4E15ECEB.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Dirk Burton,Mayor,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Dirk-Burton-Signed.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Burton-Dirk_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-15,Dirk Burton,Mayor,,statement,,2025 Annual Financial Report,https://ecf-api.easyvoteapp.com/documents/FA29F676-6B7E-4BE3-9A0E-67563AD648FF/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Burton_2025-Annual-Financial-Report_FA29F676.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Dirk Burton,Mayor,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Dirk-Burton-1.pdf,2026-07-03,text,pdftotext -layout,raw/city/202601_Burton-Dirk_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-06,Dirk Burton,Mayor,,statement,,2026 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/923920C7-EFDC-45AA-B81C-367E1EE1DB3F/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2026_Burton_2026-Annual-Financial-Disclosure_923920C7.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Jessica Wignall,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-elected-Officials-Annual-Conflict-of-Interest-Disclosures-Jessica-Wignall.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202601_Wignall-Jessica_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-03,Jessica Wignall,Council,,statement,,Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/0CE152E1-8645-492F-A5FF-A9DF214B5F25/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2026_Wignall_Annual-Financial-Disclosure_0CE152E1.pdf,easyvote,,New Candidate,,day
2022-06-01,Kayleen Whitelock,Council,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-Kayleen-Whitelock_Redacted.pdf,2026-07-03,text,pdftotext -layout,raw/city/202206_Whitelock-Kayleen_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-05-02,Kayleen Whitelock,Council,,statement,,2023 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/142C8387-E924-4074-939C-D5591F9B10AB/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Whitelock_2023-Annual-Financial-Disclosure_142C8387.pdf,easyvote,,Current Elected Official,,day
2024-04-22,Kayleen Whitelock,Council,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/6F8F24C9-8C41-4A15-90C4-EB974DD6D636/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2024_Whitelock_2024-Annual-Financial-Disclosure_6F8F24C9.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Kayleen Whitelock,Council,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Kayleen-Whitelock-Signed.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Whitelock-Kayleen_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-04,Kayleen Whitelock,Council,,statement,,2025 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/78ED8627-8BE9-4767-8E4B-6AC41A20C5A2/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Whitelock_2025-Annual-Financial-Disclosure_78ED8627.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Kayleen Whitelock,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Kayleen-Whitelock.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202601_Whitelock-Kayleen_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-01,Kayleen Whitelock,Council,,statement,,Annual Report 2026,https://ecf-api.easyvoteapp.com/documents/F068A996-06D9-43E2-8876-AA1479A31C02/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2026_Whitelock_Annual-Report-2026_F068A996.pdf,easyvote,,Current Elected Official,,day
2022-06-01,Kelvin Green,Council,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-Kelvin-Green_Redacted.pdf,2026-07-03,text,pdftotext -layout,raw/city/202206_Green-Kelvin_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-03-01,Kelvin Green,Council,,statement,,2023 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2023/03/2023-Annual-Financial-Disclosure-V2_Redacted-1Green.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202303_Green-Kelvin_2023-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-03-25,Kelvin Green,Council,,statement,,2023 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/E1961C26-9C8A-4520-B763-8810FDB8C6D4/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2023_Green_2023-Annual-Financial-Disclosure_E1961C26.pdf,easyvote,,Current Elected Official,,day
2024-04-15,Kelvin Green,Council,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/378C1A4B-C420-4201-9FD6-7C16F1EAC2C9/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2024_Green_2024-Annual-Financial-Disclosure_378C1A4B.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Kelvin Green,Council,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Kelvin-Green-Signed.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Green-Kelvin_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-31,Kelvin Green,Council,,statement,,2025 Annual Financial Report,https://ecf-api.easyvoteapp.com/documents/FDC84C0C-58E7-4E33-A7AB-BB0CE2FD49E5/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Green_2025-Annual-Financial-Report_FDC84C0C.pdf,easyvote,,Current Elected Official,,day
2024-05-10,Kent Shelton,Council,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/FA1CE25C-6CB9-42C0-97D4-395CCE2A09EB/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2024_Shelton_2024-Annual-Financial-Disclosure_FA1CE25C.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Kent Shelton,Council,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Kent-Shelton-signed-v2.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202501_Shelton-Kent_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-27,Kent Shelton,Council,,statement,,2025 Annual Financial Disclosure - Amended,https://ecf-api.easyvoteapp.com/documents/BB77B879-CC0A-4856-AE6C-9052A687A24D/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2025_Shelton_2025-Annual-Financial-Disclosure-Amended_BB77B879.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Kent Shelton,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Kent-Shelton.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202601_Shelton-Kent_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-04,Kent Shelton,Council,,statement,,2026 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/F28FBB73-A089-4D62-95FD-9F8665D0EC52/viewfinalredactedpdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/easyvote/2026_Shelton_2026-Annual-Financial-Disclosure_F28FBB73.pdf,easyvote,,Current Elected Official,,day
2022-06-01,Melissa Worthen,Council,,statement,,2021 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2021-Annual-Finacial-Disclosure-Melissa-Worthen_Redacted.pdf,2026-07-03,scanned,ocr:tesseract --psm 6,raw/city/202206_Worthen-Melissa_2021-Annual-Financial-Disclosure.pdf,city_website,,,,month
2022-06-01,Pamela Bloom,Council,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-Pamela-Bloom_Redacted.pdf,2026-07-03,text,pdftotext -layout,raw/city/202206_Bloom-Pamela_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2025-01-01,Pamela Bloom,Council,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Pamela-Bloom.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Bloom-Pamela_2024-Conflict-of-Interest.pdf,city_website,,,,month
2022-06-01,Zach Jacob,Council,,statement,,2022 Annual Financial Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/2022-Annual-Financial-Disclosure-Zach-Jacob_Redacted.pdf,2026-07-03,text,pdftotext -layout,raw/city/202206_Jacob-Zach_2022-Annual-Financial-Disclosure.pdf,city_website,,,,month
2023-04-01,Zach Jacob,Council,,statement,,2023 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/DFF34B06-B3C1-41EE-9ACC-9AB7904DF98B/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2023_Jacob_2023-Annual-Financial-Disclosure_DFF34B06.pdf,easyvote,,Current Elected Official,,day
2024-04-11,Zach Jacob,Council,,statement,,2024 Annual Financial Disclosure,https://ecf-api.easyvoteapp.com/documents/CAF85CDD-7339-4288-BA55-5BD07748957A/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2024_Jacob_2024-Annual-Financial-Disclosure_CAF85CDD.pdf,easyvote,,Current Elected Official,,day
2025-01-01,Zach Jacob,Council,,statement,,2024 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2025/01/2024-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Form-Zach-Jacob-signed.pdf,2026-07-03,text,pdftotext -layout,raw/city/202501_Jacob-Zach_2024-Conflict-of-Interest.pdf,city_website,,,,month
2025-03-24,Zach Jacob,Council,,statement,,April 2025 annual disclosure,https://ecf-api.easyvoteapp.com/documents/300E78CD-59ED-44E0-994E-B68F01A1FF35/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2025_Jacob_April-2025-annual-disclosure_300E78CD.pdf,easyvote,,Current Elected Official,,day
2026-01-01,Zach Jacob,Council,,statement,,2026 Elected Official Annual Conflict of Interest Disclosure,https://www.westjordan.utah.gov/wp-content/uploads/2026/01/2026-Elected-Official-Annual-Conflict-of-Interest-Disclosure-Zach-Jacob-signed-1.pdf,2026-07-03,text,pdftotext -layout,raw/city/202601_Jacob-Zach_2026-Conflict-of-Interest.pdf,city_website,,,,month
2026-04-03,Zach Jacob,Council,,statement,,2026 Annual Finacial Report,https://ecf-api.easyvoteapp.com/documents/CA3325EF-E14C-46AB-88AF-5731FD9E3CA3/viewfinalredactedpdf,2026-07-03,text,pdftotext -layout,raw/easyvote/2026_Jacob_2026-Annual-Finacial-Report_CA3325EF.pdf,easyvote,,Current Elected Official,,day
