ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,n_motion_events,independent_source,minutes_source,linkage_note
2021-23,2021-06-01,2021-06-01,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a grows increase of$458,450 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$458,450 as detailed in the body ofthis ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-06-01,7,within_source,1,,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,
2021-24,2021-06-01,2021-06-01,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a grows increase of$2,300,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$2,300,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-06-01,9,within_source,1,,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,
2021-25,2021-06-01,2021-06-01,"An ordinance of Ogden City amending the FY 2021-2025 Capital Improvement Plan by adding projects in certain City parks, the Ogden-Hinckley Airport, and the Ogden Archway Sign; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-06-01,11,within_source,1,,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,
2021-26,2021-06-01,2021-06-01,An ordinance of the Ogden City Council adopting the tentative budget for Fiscal Year 2021-2022.,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-06-01,13,within_source,1,,meeting_minutes/minutes/2021/2021-05-31/2021-06-01_city-council-meeting-2.md,
2021-27,2021-06-15,2021-06-15,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2020 to June 30, 2021 by increasing the anticipated revenues for a gross increase of$1,110,785 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$1,110,785 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-06-14/2021-06-15_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-06-15,5,within_source,1,,meeting_minutes/minutes/2021/2021-06-14/2021-06-15_city-council-meeting-2.md,
2021-28,2021-06-22,2021-06-22,"An ordinance of Ogden City, Utah, approving the Capital Improvement Plan for Ogden City for the Fiscal years 2022-2026, and providing that this ordinance shall become effective umnediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,3-0 Pass,2021-06-22,9,within_source,1,,meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,
2021-29,2021-06-22,2021-06-22,"An ordinance of Ogden City, Utah, adopting salary schedules for all employees of the City; and providing that this ordinance will be effective on July 1, 2021.",meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,3-0 Pass,2021-06-22,11,within_source,1,,meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,
2021-30,2021-06-22,2021-06-22,"An ordinance of Ogden City, Utah, adopting the budget for Ogden City for the Fiscal Year from July 1, 2021 to June 30, 2022; and providing that this ordinance shall take effect immediately upon its adoption and deposit with the City Recorder.",meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-0 Pass,2021-06-22,13,within_source,1,,meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,
2021-31,2021-06-22,2021-06-22,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsections 4-1-6.B.l9 and 9-l-6.A.l to address changes to annual inflation adjustments to utility fees; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-0 Pass,2021-06-22,7,within_source,1,,meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,
2021-32,2021-07-06,2021-07-06,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Sections 10-5-6, 10-6- 1, and 10-6-4 to amend fees related to parking violations; and by providing that this ordinance shall become effective immediately upon; posting after fmal passage.",meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2021-07-06,7,within_source,1,,meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,
2021-33,2021-07-06,2021-07-06,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 4-6-l.A.2 to amend costs of recording subdivision documents; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2021-07-06,8,within_source,1,,meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,
2021-34,2021-06-22,2021-06-22,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 2-2-3 to amend provisions for the Mayor's compensation; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-0 Pass,2021-06-22,14,within_source,1,,meeting_minutes/minutes/2021/2021-06-21/2021-06-22_city-council-meeting-2.md,
2021-36,2021-07-06,2021-07-06,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-2-2 to amend defmitions of accessory apartment(s); by amending Subsection 15-6-3 .G to address reuse of single- family dwelling buildings in nonresidential zones; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2021-07-06,5,within_source,1,,meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,
2021-37,2021-07-06,2021-07-06,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-21-2 to revise uses and standards in the MRD zone; amending Section 15-23-4 by adopting a new Subsection J and renumbering Subsection K to revise uses and standards for buildings adjacent to 1200 West; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2021-07-06,6,within_source,1,,meeting_minutes/minutes/2021/2021-07-05/2021-07-06_city-council-meeting.md,
2021-39,2021-07-13,2021-07-13,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2021 to June 30, 2022 by increasing the anticipated revenues for a gross increase of$275,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$275,000 as detailed in the body ofthis ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-07-12/2021-07-13_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-0 Pass,2021-07-13,5,within_source,1,,meeting_minutes/minutes/2021/2021-07-12/2021-07-13_city-council-special-meeting.md,
2021-40,2021-08-03,2021-08-03,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 3-22-2 to reorganize the Trails Network Committee; amending Section 3-22-5 to extend the sunset date for the Trails Network Committee to June 30, 2024; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-08-02/2021-08-03_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2021-08-03,1,within_source,1,,meeting_minutes/minutes/2021/2021-08-02/2021-08-03_city-council-meeting-2.md,
2021-43,2021-08-17,2021-08-17,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as multiple family residential zone/conditional (R-4) property heretofore classified as professional/institutional zone (PI), generally located at 1117 Country Hills Drive, and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2021-08-17,8,within_source,1,,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,
2021-44,2021-08-17,2021-08-17,"An ordinance of the City Council of the City of Ogden, State of Utah, terminating and dissolving certain redevelopment project areas.",meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-0 Pass,2021-08-17,9,within_source,1,,meeting_minutes/minutes/2021/2021-08-16/2021-08-17_city-council-meeting.md,
2021-45,2021-12-21,2021-12-21,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as multiple-family residential zone/conditional overlay zone (R-3/CO) property heretofore classified as single-family residential zone (R-1-6), generally located at 5 51 East 900 North, and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-20/2021-12-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-0 Pass,2021-12-21,4,within_source,1,,meeting_minutes/minutes/2021/2021-12-20/2021-12-21_city-council-meeting.md,
2021-46,2021-10-19,2021-10-19,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-21-2 and Section 15-23-8 to allow warehouse buildings larger than 50,000 square feet in the BEl Zone and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2021-10-19,11,within_source,1,,meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,
2021-47,2021-10-05,2021-10-05,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-7-9 to allow director approval of minor amendments to conditional use permits; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-10-04/2021-10-05_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-0 Pass,2021-10-05,6,within_source,1,,meeting_minutes/minutes/2021/2021-10-04/2021-10-05_city-council-meeting-2.md,
2021-48,2021-10-19,2021-10-19,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2021 to June 30, 2022 by increasing the anticipated revenues for a gross increase of$2,484,100 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$2,484,100 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-10-19,3,within_source,1,,meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,
2021-51,2021-10-19,2021-10-19,"An ordinance of Ogden City, Utah amending the Ogden City General Plan by amending the Southeast Ogden Community Plan to remove the requirement for the vehicular connection of Navajo Drive at approximately 1500 East Navajo Drive; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2021-10-19,9,within_source,1,,meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,
2021-52,2021-10-19,2021-10-19,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 7-2-13 .C to allow restaurants to serve alcohol in sidewalk dining areas not directly connected to the building; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-1 Pass,2021-10-19,10,within_source,1,,meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,
2021-53,2021-10-19,2021-10-19,"An ordinance of Ogden City, Utah, adopting salary schedules for sworn public safety employees with the Police Deparhnent; and providing that this ordinance will be effective on November 13, 2021.",meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-10-19,4,within_source,1,,meeting_minutes/minutes/2021/2021-10-18/2021-10-19_city-council-meeting.md,
2021-54,2021-11-09,2021-11-09,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as single-family residential zone (R-1-6) property heretofore classified as community commercial zone (CP-2), generally located at 1698 Kiesel Avenue, and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-11-08/2021-11-09_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-0 Pass,2021-11-09,4,within_source,1,,meeting_minutes/minutes/2021/2021-11-08/2021-11-09_city-council-meeting-2.md,
2021-55,2021-11-09,2021-11-09,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 2-6-9 .G to revise total remuneration provisions; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-11-08/2021-11-09_city-council-meeting-2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,4-0 Pass,2021-11-09,6,within_source,1,,meeting_minutes/minutes/2021/2021-11-08/2021-11-09_city-council-meeting-2.md,
2021-56,2021-11-16,2021-11-16,"An ordinance of Ogden City, Utah, amending Section 3-31-7 of the Ogden Municipal Code to extend the sunset provision for the Ogden Natural Resources and Sustainability Stewardship Committee to December 31, 2024; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-11-16,4,within_source,1,,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,
2021-57,2021-11-16,2021-11-16,"An ordinance of Ogden City, Utah, adopting the Flagship Community Reinvestment Project Area Plan dated November 16, 2021,",meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-11-16,6,within_source,1,,meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council-meeting.md,
2021-58,2021-12-07,2021-12-07,"An ordinance of Ogden City, Utah, vacating a portion of the twenty-four foot wide alley in block 2 of the Riverside Addition to Ogden City; quit claiming the property within the vacated portion of said alley to the abutting property owners; reserving a right-of-way for all utilities that may now exist in said portion of such alley; directing the City Recorder to record this ordinance in the office of the County Recorder; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-06/2021-12-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-0 Pass,2021-12-07,3,within_source,1,,meeting_minutes/minutes/2021/2021-12-06/2021-12-07_city-council-meeting.md,
2021-59,2021-12-14,2021-12-14,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-2-13 to adopt a defmition oflive-work space; by amending Section 15-39-8 by adopting new Subsections C and D to designate uses allowed in the Capitol Square MU Zone between 24 111 Street and 25th Street, and Quincy Avenue and Monroe Boulevard; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2021-12-14,8,within_source,1,,meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,
2021-60,2021-12-14,2021-12-14,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Mixed-Use Zone (MU) property heretofore classified as Neighborhood Commercial Zone (NC-2), generally located between Monroe Boulevard and Quincy Avenue, and 24 111 Street and 25°' Street and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2021-12-14,9,within_source,1,,meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,
2021-61,2021-12-07,2021-12-07,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Sections 15-15-2.B, 15-35-S.B, and 15-36-S.B to allow the painting ofbrick in the East Central Community; and by providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-06/2021-12-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-12-07,5,within_source,1,,meeting_minutes/minutes/2021/2021-12-06/2021-12-07_city-council-meeting.md,
2021-62,2021-12-14,2021-12-14,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2021 to June 30, 2022 by increasing the anticipated revenues for a gross increase of $1,722,700 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of$1,722,700 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-12-14,3,within_source,1,,meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,
2021-63,2021-12-14,2021-12-14,"An ordinance of Ogden City approving public art projects for Ogden City for Fiscal Year 2022, and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2021-12-14,6,within_source,1,,meeting_minutes/minutes/2021/2021-12-13/2021-12-14_city-council-special-meeting.md,
2021-64,2021-12-21,2021-12-21,"An ordinance of Ogden City, Utah, adopting salary schedules for Council members of the City; and providing that this ordinance shall become effective immediately upon posting after fmal passage.",meeting_minutes/minutes/2021/2021-12-20/2021-12-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,4-1 Pass,2021-12-21,3,within_source,1,,meeting_minutes/minutes/2021/2021-12-20/2021-12-21_city-council-meeting.md,
2022-01,2022-01-11,2022-01-11,"An ordinance of Ogden, Utah, enacted pursuant to the authority of Section 20A-14-201 Utah Code Annotated, as amended, establishing representative districts for the Board of Education of the Ogden School District; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-01-10/2022-01-11_city-council-special-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-01-11,3,within_source,1,,meeting_minutes/minutes/2022/2022-01-10/2022-01-11_city-council-special-meeting.md,
2022-02,2022-02-01,2022-02-01,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Regional Commercial Zone/Conditional Overlay Zone (C-3/CO) property heretofore classified as Community Commercial Zone (C-2), generally located at 975 Washington Boulevard, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-02-01,4,within_source,1,,meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,
2022-03,2022-02-01,2022-02-01,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Regional Commercial Zone/Conditional Overlay Zone (C-3/CO) property heretofore classified as Single-Family Residential Zone (R-1-6), generally located at 3432 Ogden Avenue, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-02-01,5,within_source,1,,meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,
2022-04,2022-02-01,2022-02-01,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-13-39 to revise standards for an Accessory Dwelling Unit; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-02-01,6,within_source,1,,meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,
2022-05,2022-02-01,2022-02-01,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-13-37 to revise provisions regarding mobile food trucks and mobile food trailers; amending Subsection 15-34-2.A to amend uses in the Intensive District; amending Subsection 15-38-4.A to revise special regulations regarding mobile food trailers; amending Subsection 15-38-5.M to revise general uses; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-02-01,7,within_source,1,,meeting_minutes/minutes/2022/2022-01-31/2022-02-01_city-council-meeting.md,
2022-06,2022-03-01,2022-03-01,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 2-3-2 to revise Council member qualifications; amending Section 2-3-4 to revise provisions related to Council meetings; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-02-28/2022-03-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-03-01,2,within_source,1,,meeting_minutes/minutes/2022/2022-02-28/2022-03-01_city-council-meeting.md,
2022-07,2022-03-15,2022-03-15,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Mixed Use Zone (MU) property heretofore classified as Multiple Family Residential East Central (R-3EC), generally located at the Southeast Corner of 25",meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2022-03-15,4,within_source,1,,meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,
2022-08,2022-03-15,2022-03-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-39-8 to modify regulations applicable to the Ogden River Redevelopment MU Zone; adopting a new Section 15-39-9 to establish regulations for the MU Zone at the Southeast Corner of 25",meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2022-03-15,5,within_source,1,,meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,
2022-09,2022-03-15,2022-03-15,"An Ordinance amending the Ogden Municipal Code by amending Section 1-7-2 to revise the four municipal districts of Ogden City; adopting the official municipal district boundary map of the City of Ogden, Weber County, Utah depicting the municipal districts; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-1 Pass,2022-03-15,6,within_source,1,,meeting_minutes/minutes/2022/2022-03-14/2022-03-15_city-council-meeting.md,
2022-10,2022-04-05,2022-04-05,"An ordinance of Ogden City, Utah, adopting salary scheduled for sworn fire employees, merit employees, and non-merit employees of the City; and providing that this ordinance will be effective on April 2, 2022.",meeting_minutes/minutes/2022/2022-04-04/2022-04-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-04-05,7,within_source,1,,meeting_minutes/minutes/2022/2022-04-04/2022-04-05_city-council-meeting.md,
2022-11,2022-04-05,2022-04-05,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2021 to June 30, 2022 by increasing the anticipated revenues for a gross increase of $765,675 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $765,675 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-04-04/2022-04-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-04-05,8,within_source,1,,meeting_minutes/minutes/2022/2022-04-04/2022-04-05_city-council-meeting.md,
2022-12,2022-04-05,2022-04-05,An ordinance of Ogden City amending the FY 2022-2026 Capital Improvement Plan by amending project ARO14 for additional work to the terminal at the Ogden Hinckley Airport; and providing that this ordinance shall become effective immediately upon posting after final passage.,meeting_minutes/minutes/2022/2022-04-04/2022-04-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2022-04-05,10,within_source,1,,meeting_minutes/minutes/2022/2022-04-04/2022-04-05_city-council-meeting.md,
