ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,adoption_date_source,linkage_note
1513,2022-01-18,2022-01-18,Ordinance #1513 — amending the official Land Use Map of Draper City for the Concord Lane Land Use Amendment,https://www.utah.gov/pmn/files/803639.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1513_n730087_f803639.pdf,yes,4-0 Pass,2022-01-18,2,high,730087,https://www.utah.gov/pmn/sitemap/notice/730087.html,pmn-notice+posted-year,
1514,2021-11-16,2021-11-16,Ordinance #1514 — repealing 3-5- 090 of the Draper City Municipal Code,../meeting_minutes/minutes/2021/2021-11-15/2021-11-16_city-council.md,2026-07-13,na,,,no,Unanimous (voice/tally-only),2021-11-16,12,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1515,2022-01-18,2022-01-18,"Ordinance #1515 — amending the Draper City Municipal Code, Title 15, Chapter 4, Special Events",https://www.utah.gov/pmn/files/803635.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1515_n730089_f803635.pdf,no,4-0 Pass,2022-01-18,3,high,730089,https://www.utah.gov/pmn/sitemap/notice/730089.html,pmn-notice+posted-year,
1516,2021-12-14,2021-12-14,Ordinance #1516 — amending the text of the Land Use and Development Cod of the Draper City Municipal Code,https://www.utah.gov/pmn/sitemap/notice/723369.html,2026-07-13,html,html-strip,raw/pmn/notice_723369.html,yes,5-0 Pass,2021-12-14,4,high,723369,https://www.utah.gov/pmn/sitemap/notice/723369.html,pmn-notice+posted-year,no PDF attachment on PMN — HTML notice only
1519,2021-12-14,2021-12-14,Ordinance #1519 — approving the Big Willow Creek 4th Amended Development Agreement,https://www.utah.gov/pmn/files/793727.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1519_n723371_f793727.pdf,yes,5-0 Pass,2021-12-14,8,high,723371,https://www.utah.gov/pmn/sitemap/notice/723371.html,pmn-notice+posted-year,
1520,2021-12-14,2021-12-14,Ordinance #1520,https://www.utah.gov/pmn/files/793737.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1520_n723375_f793737.pdf,yes,5-0 Pass,2021-12-14,5,medium,723375,https://www.utah.gov/pmn/sitemap/notice/723375.html,pmn-notice,Recorder number/body error corrected (see build_index.py NOTICE_NUM_OVERRIDES); motion printed the erroneous number the Recorder later corrected (CITE_REMAPS) — number linkage imperfect
1523,2022-01-11,2022-01-11,"Ordinance #1523 — amending Title 3 sections 3-5-020, 3-5-030 and 3-5-050 of the Draper City Municipal Code",https://www.utah.gov/pmn/files/800561.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1523_n728271_f800561.pdf,no,5-0 Pass,2022-01-11,2,high,728271,https://www.utah.gov/pmn/sitemap/notice/728271.html,pmn-notice+posted-year,
1524,2022-02-01,2022-02-01,"Ordinance #1524 — amending the official zoning map of Draper City, otherwise known as the McClure Zoning Map Amendment",https://www.utah.gov/pmn/files/809109.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1524_n733081_f809109.pdf,yes,5-0 Pass,2022-02-01,3,high,733081,https://www.utah.gov/pmn/sitemap/notice/733081.html,pmn-notice,
1525,2022-02-01,2022-02-01,"Ordinance #1525 — amending the official zoning map of Draper City, otherwise known as the Reynold's Home Zoning Map Amendment",https://www.utah.gov/pmn/files/809113.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi,raw/pmn/ord1525_n733083_f809113.pdf,yes,5-0 Pass,2022-02-01,4,high,733083,https://www.utah.gov/pmn/sitemap/notice/733083.html,pmn-notice,
1526,2022-03-01,2022-03-01,"Ordinance #1526 — amending the official zoning map of Draper City, otherwise known as the Airborne-Alcatraz Zoning Map Amendment",https://www.utah.gov/pmn/sitemap/notice/739667.html,2026-07-13,html,html-strip,raw/pmn/notice_739667.html,yes,4-0 Pass,2022-03-01,5,high,739667,https://www.utah.gov/pmn/sitemap/notice/739667.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1527,2022-03-01,2022-03-01,"Ordinance #1527 — amending Chapter 6-4 of the Draper City Municipal Code, pertaining to Alcoholic Beverages Licenses - Reception Center Licenses and Single Event Permits",https://www.utah.gov/pmn/files/820217.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1527_n739669_f820217.pdf,no,4-0 Pass,2022-03-01,2,high,739669,https://www.utah.gov/pmn/sitemap/notice/739669.html,pmn-notice,
1528,2022-03-01,2022-03-01,"Ordinance #1528 — the official zoning map of Draper City, otherwise known as the Draper Galena Park Office Zoning Map Amendment",https://www.utah.gov/pmn/files/820219.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1528_n739671_f820219.pdf,yes,4-0 Pass,2022-03-01,4,high,739671,https://www.utah.gov/pmn/sitemap/notice/739671.html,pmn-notice,
1529,2022-03-01,2022-03-01,"Ordinance #1529 — the official land use map of Draper City, otherwise known as the Draper Galena Park Office Land Use Amendment",https://www.utah.gov/pmn/files/820221.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1529_n739673_f820221.pdf,yes,4-0 Pass,2022-03-01,4,high,739673,https://www.utah.gov/pmn/sitemap/notice/739673.html,pmn-notice,
1530,2022-04-12,2022-04-12,Ordinance #1530 — amending Draper City Municipal Code 2-4-060 'Constitutional Taking Issues',https://www.utah.gov/pmn/files/835323.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1530_n748411_f835323.pdf,no,5-0 Pass,2022-04-12,8,high,748411,https://www.utah.gov/pmn/sitemap/notice/748411.html,pmn-notice,
1534,2022-04-12,2022-04-12,Ordinance #1534 — amending Draper City Municipal Code 9-6-080 relating to nonconformities created by public action,https://www.utah.gov/pmn/files/835347.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1534_n748445_f835347.pdf,no,5-0 Pass,2022-04-12,6,high,748445,https://www.utah.gov/pmn/sitemap/notice/748445.html,pmn-notice,
1535,2022-05-03,2022-05-03,"Ordinance #1535 — amending the text of the Draper City Municipal Code relating to Definitions, Exactions, Design, and Construction",https://www.utah.gov/pmn/files/844021.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1535_n753297_f844021.pdf,no,4-0 Pass,2022-05-03,3,high,753297,https://www.utah.gov/pmn/sitemap/notice/753297.html,pmn-notice,
1536,2022-04-19,2022-04-19,Ordinance #1536 — vacating the South Field Ditch Drainage Easement,https://www.utah.gov/pmn/files/837931.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1536_n749979_f837931.pdf,no,5-0 Pass,2022-04-19,5,high,749979,https://www.utah.gov/pmn/sitemap/notice/749979.html,pmn-notice,
1537,2022-04-19,2022-04-19,Ordinance #1537 — amending the Official Zoning Map of Draper City and approving a Development Agreement known as the Jarvie Estates Phase 2 Zoning Map Amendment and Development Agreement,https://www.utah.gov/pmn/sitemap/notice/749981.html,2026-07-13,html,html-strip,raw/pmn/notice_749981.html,yes,5-0 Pass,2022-04-19,2,high,749981,https://www.utah.gov/pmn/sitemap/notice/749981.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1538,2022-04-19,2022-04-19,Ordinance #1538 — amending the Draper City Municipal Code relating to excavation permits,https://www.utah.gov/pmn/files/837935.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1538_n749985_f837935.pdf,no,5-0 Pass,2022-04-19,3,high,749985,https://www.utah.gov/pmn/sitemap/notice/749985.html,pmn-notice,"multiple motions cite 1538 on 2022-04-19 (2,3); kept the final approving motion"
1539,2022-05-03,2022-05-03,Ordinance #1539 — amending the text of the Draper City Municipal Code relating to Irvine CSD Medical Text Amendment,https://www.utah.gov/pmn/files/844023.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1539_n753299_f844023.pdf,no,4-0 Pass,2022-05-03,4,high,753299,https://www.utah.gov/pmn/sitemap/notice/753299.html,pmn-notice,
1540,2022-05-03,2022-05-03,Ordinance #1540 — amending the Land Use Map. Otherwise known as the Norman Family Flag Lot Land Use Amendment,https://www.utah.gov/pmn/files/844025.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1540_n753303_f844025.pdf,yes,4-0 Pass,2022-05-03,2,high,753303,https://www.utah.gov/pmn/sitemap/notice/753303.html,pmn-notice,
1541,2022-05-03,2022-05-03,Ordinance #1541 — amending the Zoning Map. Otherwise known as the Norman Family Flag Lot Zoning Map Amendment,https://www.utah.gov/pmn/files/844027.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1541_n753305_f844027.pdf,yes,4-0 Pass,2022-05-03,2,high,753305,https://www.utah.gov/pmn/sitemap/notice/753305.html,pmn-notice,
1542,2022-06-07,2022-06-07,"Ordinance #1542 — amending the Draper City Municipal Code 15-1-075, pertaining to regulations for public property adjacent to parade routes",https://www.utah.gov/pmn/sitemap/notice/761317.html,2026-07-13,html,html-strip,raw/pmn/notice_761317.html,no,4-0 Pass,2022-06-07,8,high,761317,https://www.utah.gov/pmn/sitemap/notice/761317.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1543,2022-06-07,2022-06-07,Ordinance #1543 — approving the Master Development Agreement for the Pye Residence,https://www.utah.gov/pmn/sitemap/notice/761321.html,2026-07-13,html,html-strip,raw/pmn/notice_761321.html,yes,4-0 Pass,2022-06-07,4,high,761321,https://www.utah.gov/pmn/sitemap/notice/761321.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1544,2022-06-21,2022-06-21,Ordinance #1544 — vacating a portion of a Right-of-Way on 700 West,https://www.utah.gov/pmn/files/864823.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1544_n765627_f864823.pdf,no,5-0 Pass,2022-06-21,4,high,765627,https://www.utah.gov/pmn/sitemap/notice/765627.html,pmn-notice,
1545,2022-06-21,2022-06-21,Ordinance #1545 — prohibiting the discharge of fireworks in specified areas,https://www.utah.gov/pmn/files/864825.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1545_n765629_f864825.pdf,no,,2022-06-21,,low,765629,https://www.utah.gov/pmn/sitemap/notice/765629.html,pmn-notice,also noticed: 765631; minutes exist for the stated adoption date but no extracted motion cites #1545 (consent/unattributed item)
1546,2022-07-19,2022-07-19,Ordinance #1546 — amending Title 14 of the Draper City Municipal Code regarding speed limits and restrictions on the use of roads,https://www.utah.gov/pmn/files/871683.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1546_n770269_f871683.pdf,no,5-0 Pass,2022-07-19,8,high,770269,https://www.utah.gov/pmn/sitemap/notice/770269.html,pmn-notice,
1547,2022-06-21,2022-06-21,Ordinance #1547,../meeting_minutes/minutes/2022/2022-06-20/2022-06-21_city-council.md,2026-07-13,na,,,no,5-0 Pass,2022-06-21,6,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1548,2022-06-21,2022-06-21,Ordinance #1548 — vacating a portion of a Right-of-Way located south of 12300 South,https://www.utah.gov/pmn/files/864829.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1548_n765633_f864829.pdf,no,5-0 Pass,2022-06-21,5,high,765633,https://www.utah.gov/pmn/sitemap/notice/765633.html,pmn-notice,
1549,2022-07-19,2022-07-19,Ordinance #1549 — amending the Master Development Agreement for EPG Pony Express,https://www.utah.gov/pmn/files/871685.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1549_n770271_f871685.pdf,yes,5-0 Pass,2022-07-19,5,high,770271,https://www.utah.gov/pmn/sitemap/notice/770271.html,pmn-notice,also noticed: 770273
1550,2022-07-19,2022-07-19,Ordinance #1550,../meeting_minutes/minutes/2022/2022-07-18/2022-07-19_city-council.md,2026-07-13,na,,,no,5-0 Pass,2022-07-19,4,within_source,,,motion,witnessed only by the citing council motion (no PMN notice)
1551,2022-07-19,2022-07-19,"Ordinance #1551 — amending the official Zoning Map of Draper City and approving a Development Agreement, otherwise known as the Fitzgerald Property Zoning Map Amendment and Development Agreement",https://www.utah.gov/pmn/files/871697.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1551_n770275_f871697.pdf,yes,5-0 Pass,2022-07-19,4,high,770275,https://www.utah.gov/pmn/sitemap/notice/770275.html,pmn-notice,
1552,2022-07-19,2022-07-19,Ordinance #1552 — approving Development Agreements for Bangerter Crossing II Office Site Plan and Fairfield Inn & Suite,https://www.utah.gov/pmn/files/871703.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1552_n770277_f871703.pdf,yes,5-0 Pass,2022-07-19,3,high,770277,https://www.utah.gov/pmn/sitemap/notice/770277.html,pmn-notice,
1553,2022-08-02,2022-08-02,Ordinance #1553 — approving the Open Space Easement Reduction for approximately 0.63 acres,https://www.utah.gov/pmn/files/876165.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1553_n772737_f876165.pdf,no,5-0 Pass,2022-08-02,2,high,772737,https://www.utah.gov/pmn/sitemap/notice/772737.html,pmn-notice,
1554,2022-08-02,2022-08-02,Ordinance #1554 — amending Title 1 of the Draper City Municipal Code regarding the City Seal and other City symbols,https://www.utah.gov/pmn/files/876169.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1554_n772739_f876169.pdf,no,,2022-08-02,,low,772739,https://www.utah.gov/pmn/sitemap/notice/772739.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1554 (consent/unattributed item)
1555,2022-10-04,2022-10-04,"Ordinance #1555 — amending the Official Land Use Map of Draper City, otherwise known as the Avery Townhomes Land Use Amendment",https://www.utah.gov/pmn/files/897841.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1555_n785857_f897841.pdf,yes,4-0 Pass,2022-10-04,4,high,785857,https://www.utah.gov/pmn/sitemap/notice/785857.html,pmn-notice,
1556,2022-10-04,2022-10-04,"Ordinance #1556 — amending the Official Zoning Map of Draper City, otherwise known as the Avery Townhomes Zoning Map Amendment and Development Agreement",https://www.utah.gov/pmn/sitemap/notice/785825.html,2026-07-13,html,html-strip,raw/pmn/notice_785825.html,yes,4-0 Pass,2022-10-04,4,high,785825,https://www.utah.gov/pmn/sitemap/notice/785825.html,pmn-notice,PMN PDF attachment is a Recorder mis-upload of the sibling ordinance's notice (byte-identical; retained in raw/ under this notice's stem) — the notice HTML body is this row's witness; no PDF attachment on PMN — HTML notice only
1557,2022-08-16,2022-08-16,Ordinance #1557 — approving the Shipp Barn 1st Amendment Development Agreement,https://www.utah.gov/pmn/files/881163.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1557_n775835_f881163.pdf,yes,5-0 Pass,2022-08-16,4,high,775835,https://www.utah.gov/pmn/sitemap/notice/775835.html,pmn-notice,
1559,2022-09-06,2022-09-06,Ordinance #1559 — amending the Chapter 3 of the Draper City Municipal Code,https://www.utah.gov/pmn/files/887465.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1559_n779529_f887465.pdf,no,,2022-09-06,,low,779529,https://www.utah.gov/pmn/sitemap/notice/779529.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1559 (consent/unattributed item)
1560,2022-09-06,2022-09-06,Ordinance #1560 — approving the adjustment of the common boundary between Draper City and Lehi City,https://www.utah.gov/pmn/files/887473.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1560_n779531_f887473.pdf,no,5-0 Pass,2022-09-06,3,high,779531,https://www.utah.gov/pmn/sitemap/notice/779531.html,pmn-notice,
1561,2022-09-20,2022-09-20,Ordinance #1561 — amending Chapter 4 of the Draper City General Plan regarding Housing and the Moderate Income Housing Plan,https://www.utah.gov/pmn/files/893781.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1561_n783199_f893781.pdf,yes,4-0 Pass,2022-09-20,5,high,783199,https://www.utah.gov/pmn/sitemap/notice/783199.html,pmn-notice,
1563,2022-10-04,2022-10-04,"Ordinance #1563 — amending the Official Zoning Map of Draper City, otherwise known as the Price Real Estate Lot 10 Zoning Map Amendment",https://www.utah.gov/pmn/files/897795.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1563_n785829_f897795.pdf,yes,4-0 Pass,2022-10-04,2,high,785829,https://www.utah.gov/pmn/sitemap/notice/785829.html,pmn-notice,
1564,2022-10-04,2022-10-04,"Ordinance #1564 — amending the Official Land Use Map of Draper City, otherwise known as the Price Real Estate Lot 10 Land Use Map Amendment",https://www.utah.gov/pmn/files/897797.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1564_n785831_f897797.pdf,yes,4-0 Pass,2022-10-04,2,high,785831,https://www.utah.gov/pmn/sitemap/notice/785831.html,pmn-notice,also noticed: 785835
1565,2022-10-04,2022-10-04,Ordinance #1565 — amending Chapter 9-18G of the Draper City Municipal Code pertaining to the Lone Peak Commercial Special District,https://www.utah.gov/pmn/files/897803.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1565_n785837_f897803.pdf,no,4-0 Pass,2022-10-04,3,high,785837,https://www.utah.gov/pmn/sitemap/notice/785837.html,pmn-notice,
1566,2022-10-18,2022-10-18,Ordinance #1566 — amending the Draper City Municipal Code pertaining temporary parking,https://www.utah.gov/pmn/files/903001.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1566_n788793_f903001.pdf,no,4-0 Pass,2022-10-18,4,high,788793,https://www.utah.gov/pmn/sitemap/notice/788793.html,pmn-notice,
1567,2022-10-18,2022-10-18,Ordinance #1567 — amending the Draper City Zoning Map otherwise known as the Patterson Property Zoning Map Amendment,https://www.utah.gov/pmn/files/903009.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1567_n788799_f903009.pdf,yes,5-0 Pass,2022-10-18,5,high,788799,https://www.utah.gov/pmn/sitemap/notice/788799.html,pmn-notice,
1568,2022-11-15,2022-11-15,Ordinance #1568 — amending the amending the text of the Land Use and Development Code of the Draper City Municipal Code otherwise known as the Lone Peak Marketplace Freeway Sign Text Amendment,https://www.utah.gov/pmn/sitemap/notice/794787.html,2026-07-13,html,html-strip,raw/pmn/notice_794787.html,yes,5-0 Pass,2022-11-15,2,high,794787,https://www.utah.gov/pmn/sitemap/notice/794787.html,pmn-notice,no PDF attachment on PMN — HTML notice only
1569,2022-12-06,2022-12-06,Ordinance #1569 — amending the text of the Land Use and Development Code of the Draper City Municipal Code relating to Manufacturing Zone setbacks and Box N Lock Storage,https://www.utah.gov/pmn/files/919671.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1569_n798759_f919671.pdf,yes,5-0 Pass,2022-12-06,5,high,798759,https://www.utah.gov/pmn/sitemap/notice/798759.html,motion (notice stated posting date),notice states the posting date 2022-12-07 as the adoption date; no council meeting that day — adoption date taken from the approving motion (POSTED_DATE_RULE)
1572,2022-12-13,2022-12-13,Ordinance #1572 — amending the Master Area Plan per the Land Use and Development Code of the Draper City Municipal Code relating to the Vista Station Master Area Plan,https://www.utah.gov/pmn/files/922605.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1572_n800483_f922605.pdf,yes,4-0 Pass,2022-12-13,2,high,800483,https://www.utah.gov/pmn/sitemap/notice/800483.html,pmn-notice,
1575,2023-01-10,2023-01-10,Ordinance #1575 — correcting duplicate ordinance numbers for Ordinance #1020 and Ordinance #1043,https://www.utah.gov/pmn/files/930329.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1575_n805663_f930329.pdf,no,,2023-01-10,,low,805663,https://www.utah.gov/pmn/sitemap/notice/805663.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1575 (consent/unattributed item)
1576,2023-02-21,2023-02-21,Ordinance #1576 — amending the Official Zoning Map of Draper City otherwise known as the Lyle McAllister Zoning Map Amendment,https://www.utah.gov/pmn/files/946829.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1576_n814877_f946829.pdf,yes,4-0 Pass,2023-02-21,2,high,814877,https://www.utah.gov/pmn/sitemap/notice/814877.html,pmn-notice,
1577,2023-03-07,2023-03-07,Ordinance #1577 — approving the second amendment to the Master Development Agreement for EPG Pony Express,https://www.utah.gov/pmn/files/952271.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1577_n817911_f952271.pdf,yes,4-0 Pass,2023-03-07,2,high,817911,https://www.utah.gov/pmn/sitemap/notice/817911.html,pmn-notice,
1578,2023-05-16,2023-05-16,Ordinance #1578 — amending Section 3-5-100(E) of Draper City Municipal Code regarding appointments to the Traverse Ridge Special Services District (TRSSD) Administrative Control Board,https://www.utah.gov/pmn/files/979741.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1578_n833937_f979741.pdf,no,,2023-05-16,,low,833937,https://www.utah.gov/pmn/sitemap/notice/833937.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1578 (consent/unattributed item)
1579,2023-05-02,2023-05-02,Ordinance #1579 — amending Title 2 of Draper City Municipal Code regarding Campaign Finance Disclosures,https://www.utah.gov/pmn/files/973369.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1579_n830175_f973369.pdf,no,5-0 Pass,2023-05-02,2,high,830175,https://www.utah.gov/pmn/sitemap/notice/830175.html,pmn-notice,also noticed: 833939
1581,2023-05-16,2023-05-16,Ordinance #1581 — amending the text of the Land Use and Development Code of the Draper City Municipal Code relating to IKEA parking and signage standards and concept plan,https://www.utah.gov/pmn/files/979751.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1581_n833943_f979751.pdf,yes,4-0 Pass,2023-05-16,4,high,833943,https://www.utah.gov/pmn/sitemap/notice/833943.html,pmn-notice,
1582,2023-06-06,2023-06-06,Ordinance #1582 — amending Ordinance #1580 regarding prohibiting the discharge of fireworks in specified areas,https://www.utah.gov/pmn/files/986549.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1582_n838171_f986549.pdf,no,,2023-06-06,,low,838171,https://www.utah.gov/pmn/sitemap/notice/838171.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1582 (consent/unattributed item)
1583,2023-06-20,2023-06-20,"Ordinance #1583 — approving a text amendment to Titles 9 and 17 of Draper City Municipal Code in order to amend regulations regarding definitions, site plan review, site design, landscaping including water-wise landscaping, screening, parking area design, outdoor storage and display, improvement completion assurances",https://www.utah.gov/pmn/files/992681.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1583_n841923_f992681.pdf,yes,4-0 Pass,2023-06-20,3,high,841923,https://www.utah.gov/pmn/sitemap/notice/841923.html,pmn-notice,
1584,2023-09-12,2023-09-12,Ordinance #1584 — amending the text of Title 6 of the Draper City Municipal Code relating to solicitors,https://www.utah.gov/pmn/files/1021275.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1584_n858233_f1021275.pdf,no,,2023-09-12,,low,858233,https://www.utah.gov/pmn/sitemap/notice/858233.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1584 (consent/unattributed item)
1585,2023-06-20,2023-06-20,Ordinance #1585 — adopting the Budget including Compensation Schedules and adopting the Certified Tax Rate for Fiscal Year 2023-2024,https://www.utah.gov/pmn/files/992683.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1585_n841927_f992683.pdf,no,4-0 Pass,2023-06-20,5,high,841927,https://www.utah.gov/pmn/sitemap/notice/841927.html,pmn-notice,
1586,2023-09-19,2023-09-19,Ordinance #1586 — amending a development agreement for property known as the Fitzgerald Property Amended Development Agreement,https://www.utah.gov/pmn/files/1044461.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1586_n870929_f1044461.pdf,yes,5-0 Pass,2023-09-19,3,high,870929,https://www.utah.gov/pmn/sitemap/notice/870929.html,pmn-notice,
1587,2023-10-17,2023-10-17,Ordinance #1587 — amending Title 6 Chapter 9 of the Draper City Municipal Code relating to special events business licensing,https://www.utah.gov/pmn/files/1035603.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1587_n866139_f1035603.pdf,no,,2023-10-17,,low,866139,https://www.utah.gov/pmn/sitemap/notice/866139.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1587 (consent/unattributed item)
1588,2023-10-03,2023-10-03,"Ordinance #1588 — adopting the 2023 Draper City Parks, Trails, and Recreation Master Plan",https://www.utah.gov/pmn/files/1037489.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1588_n867221_f1037489.pdf,no,5-0 Pass,2023-10-03,3,high,867221,https://www.utah.gov/pmn/sitemap/notice/867221.html,pmn-notice,"multiple motions cite 1588 on 2023-10-03 (2,3); kept the final approving motion"
1589,2023-10-03,2023-10-03,Ordinance #1589 — amending Title 3 of the Draper City Municipal Code regarding a liaison to the Draper Historic Preservation Commission,https://www.utah.gov/pmn/files/1030557.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1589_n863395_f1030557.pdf,no,,2023-10-03,,low,863395,https://www.utah.gov/pmn/sitemap/notice/863395.html,pmn-notice,minutes exist for the stated adoption date but no extracted motion cites #1589 (consent/unattributed item)
1590,2023-10-17,2023-10-17,Ordinance #1590 — amending the Land Use Map of Draper City otherwise known as the Specialized Manufacturing Land Use Map Amendment,https://www.utah.gov/pmn/files/1035605.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1590_n866141_f1035605.pdf,yes,5-0 Pass,2023-10-17,3,high,866141,https://www.utah.gov/pmn/sitemap/notice/866141.html,pmn-notice,
1591,2023-10-17,2023-10-17,Ordinance #1591 — amending the Land Use Map of Draper City otherwise known as the Specialized Manufacturing Zoning Map Amendment,https://www.utah.gov/pmn/files/1035607.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1591_n866143_f1035607.pdf,yes,5-0 Pass,2023-10-17,3,high,866143,https://www.utah.gov/pmn/sitemap/notice/866143.html,pmn-notice,
1592,2023-11-07,2023-11-07,Ordinance #1592 — amending Title 3 of the Draper City Municipal Code regarding the powers of the Draper City Planning Commission and the Historic Preservation Commission,https://www.utah.gov/pmn/files/1044471.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1592_n870937_f1044471.pdf,no,4-0 Pass,2023-11-07,2,high,870937,https://www.utah.gov/pmn/sitemap/notice/870937.html,pmn-notice,
1593,2023-11-07,2023-11-07,Ordinance #1593 — amending a master area plan design per the land use and development code of Draper City Municipal Code relating to the Vista 600 West Master Area Plan,https://www.utah.gov/pmn/files/1044469.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1593_n870935_f1044469.pdf,yes,5-0 Pass,2023-11-07,3,high,870935,https://www.utah.gov/pmn/sitemap/notice/870935.html,pmn-notice,
1594,2023-11-07,2023-11-07,Ordinance #1594 — amending the text of the land use and development code of the Draper City Municipal Code relating to the Vista 600 West Master Area Plan,https://www.utah.gov/pmn/files/1044477.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1594_n870939_f1044477.pdf,yes,5-0 Pass,2023-11-07,3,high,870939,https://www.utah.gov/pmn/sitemap/notice/870939.html,pmn-notice,
1595,2024-01-09,2024-01-09,"Ordinance #1595 — amending the official zoning map of Draper City, known as the City-Initiated 12695 S. 1700 E. Zoning Map Amendment The complete ordinance is on file at the Draper City Recorder's Office and online at www.draperutah.gov",https://www.utah.gov/pmn/files/1068637.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1595_n884961_f1068637.pdf,yes,5-0 Pass,2024-01-09,2,high,884961,https://www.utah.gov/pmn/sitemap/notice/884961.html,pmn-notice,
1596,2024-03-12,2024-03-12,"Ordinance #1596 — amending the Official Zoning Map of Draper City, otherwise known as the Tunbridge Zoning Map Amendment",https://www.utah.gov/pmn/files/1096467.pdf,2026-07-13,text,pdftotext -layout,raw/pmn/ord1596_n899213_f1096467.pdf,yes,4-0 Pass,2024-03-12,3,high,899213,https://www.utah.gov/pmn/sitemap/notice/899213.html,pmn-notice,
