date,candidate,office,seat,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,source,document_id,sha256,filer_type,has_text,has_itemized
2008-01-01,Steven L. DeBry,County Council,At-Large A,2008,statement,2008 Interim Reports / 2008 Summary Report/Dissolution,Steven L. DeBry (Council At-Large A) — 2008 Summary Report/Dissolution,https://slco.org/clerk/financialDisclosurePDF/2008County/09_sdebry_yearendreport.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/09_sdebry_yearendreport.pdf,clerk_legacy,,3d63377e58f7b98b6e56014b68befa95b9731cfa1233b88a0ee709280aa32bf3,,no,no
2010-01-01,Arlyn Bradshaw,County Council,District 1,2010,statement,2010 Interim Reports / April,Arlyn Bradshaw (Council #1) — April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/abradshaw_10_Apr_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/abradshaw_10_Apr_Interim.pdf,clerk_legacy,,1c9f2b5c9acbcc16835899d25424467f6cc9d240043697dd415587b16408039f,,no,no
2011-01-01,Ben McAdams,Mayor,,2010,statement,Amendment to 2011 Summary Report,Ben McAdams (Mayor) — Amendment to 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/BMcAdams_11_YearEnd_Amend_Mayor_Redacted.pdf,clerk_legacy,,0c39e751d6df8a69a8f69868a975071cba032c44d45b619ea34c3dd00438b535,,no,no
2011-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / Dissolution,Calvin J. Noyce (Council #1) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/CNoyce_12_Dissolution_CntyCncl1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/CNoyce_12_Dissolution_CntyCncl1.pdf,clerk_legacy,,63da95f7b429bf75b7f092b81e8c7d3f1ab5882c5c73c1b038bb8eef394da8c7,,no,no
2011-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / 2011 Summary Report,Calvin J. Noyce (Council #1) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/CNoyce_12_Final_CntyCncl1_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/CNoyce_12_Final_CntyCncl1_Redacted.pdf,clerk_legacy,,317293717998592108c9ec55e4247b4bb6dd3e4088cc0ecd91b9a20be9089c4c,,no,no
2010-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / April,Calvin J. Noyce (Council #1) — April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/cnoyce_10_Apr_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cnoyce_10_Apr_Interim.pdf,clerk_legacy,,3aff78479a5a7244b33ed1d09295af4218b59dee4e5a6ba0b3bcc7159226b555,,no,no
2010-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / October,Calvin J. Noyce (Council #1) — October,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/October_2010/cnoyce_10_OctoberInterim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cnoyce_10_OctoberInterim.pdf,clerk_legacy,,556c57761a0e2fff827f231de5087b938f5768fc7b7acd21072523cbbd6328ee,,no,no
2010-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / June,Calvin J. Noyce (Council #1) — June,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/cnoyce_10_PrimaryInterim_CntyCncl1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cnoyce_10_PrimaryInterim_CntyCncl1.pdf,clerk_legacy,,86dff60b4f955214bfcd2b9cae03a6c0f01927ba800579c9447a550b7621711c,,no,no
2010-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / September,Calvin J. Noyce (Council #1) — September,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/cnoyce_10_Sept_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cnoyce_10_Sept_Interim.pdf,clerk_legacy,,602103934c850118c54c889473ac6c3fdd2794c099467a71fc3840eedb80b4cd,,no,no
2010-01-01,Calvin J. Noyce,County Council,District 1,2010,statement,2010 Interim Reports / 2010 Summary Report,Calvin J. Noyce (Council #1) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/cnoyce_10_YearEnd_CntyCncl1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/cnoyce_10_YearEnd_CntyCncl1.pdf,clerk_legacy,,632ebed521a3425feb0283085dde777fb91dcf68b82df28ab93fe4f71a3aef16,,no,no
2011-01-01,Carrie Dickson,Clerk,,2010,statement,2006 Interim Reports / Dissolution,Carrie Dickson (Clerk) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/CDickson_11_Dissolution_Clerk.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/CDickson_11_Dissolution_Clerk.pdf,clerk_legacy,,8b541807c1746f404347ec11c2784f90e65b7cbca212925be098f912bdceb97b,,no,no
2011-01-01,Carrie Dickson,Clerk,,2010,statement,2006 Interim Reports / 2011 Summary Report,Carrie Dickson (Clerk) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/CDickson_11_Final_Clerk_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/CDickson_11_Final_Clerk_Redacted.pdf,clerk_legacy,,4b683070f743d5d302b031dddaf1d0d06d954c9b9f1801d8ed484c8fdc62b8a4,,no,no
2011-01-01,Christian Burridge,County Council,At-Large B,2010,statement,2010 Interim Reports / Dissolution Report,Christian Burridge (Council At-Large B) — Dissolution Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/CBurrage_11_Dissolution_CntyCnclB.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/CBurrage_11_Dissolution_CntyCnclB.pdf,clerk_legacy,,5d89e1eb32eda947f3c421615fe9d4bcd21ce99b8eec27315cd2edfa0fb2496c,,no,no
2010-01-01,Diane Turner,County Council,District 3,2010,statement,2010 Interim Reports / April,Diane Turner (Council #3) — April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/dturner_10_Apr_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dturner_10_Apr_Interim.pdf,clerk_legacy,,62dc43ed15f0076ecba8feca71d126bab43b72dd458ce7c724d0cf431cfe79ca,,no,no
2010-01-01,Diane Turner,County Council,District 3,2010,statement,2010 Interim Reports / October,Diane Turner (Council #3) — October,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/October_2010/dturner_10_OctoberInterim_CntyCncl3.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dturner_10_OctoberInterim_CntyCncl3.pdf,clerk_legacy,,438b82f3c2e80b395f5a2f1d084c8d11384838570003da79c7301ac3bd11979b,,no,no
2010-01-01,Diane Turner,County Council,District 3,2010,statement,2010 Interim Reports / June,Diane Turner (Council #3) — June,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/dturner_10_PrimaryInterim_CntyCncl3.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dturner_10_PrimaryInterim_CntyCncl3.pdf,clerk_legacy,,01a37f02076afc82fb362251fb559991cc5cab7109d26d450beda99c30c6d703,,no,no
2010-01-01,Diane Turner,County Council,District 3,2010,statement,2010 Interim Reports / September,Diane Turner (Council #3) — September,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/dturner_10_Sept_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dturner_10_Sept_Interim.pdf,clerk_legacy,,afe1826736309bba27d99d4646150ac6dd86d7c0ed94da4e0c5935e5761af78d,,no,no
2010-01-01,Diane Turner,County Council,District 3,2010,statement,2010 Interim Reports / Dissolution,Diane Turner (Council #3) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/dturner_10__FinalDissolution.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/dturner_10__FinalDissolution.pdf,clerk_legacy,,a1ae5dd444e19854359ba15b4e7492246f878da46f0e627a42dce6c931ecbbd4,,no,no
2010-01-01,Gordon Gurr,County Council,District 1,2010,statement,2010 Interim Reports / April/Dissolution,Gordon Gurr (Council #1) — April/Dissolution,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/ggurr_10_Apr_Inerim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/ggurr_10_Apr_Inerim.pdf,clerk_legacy,,a5cb5c5de56e9f44241b0855e64e59768dff0ba9555d95bfb4bc331f6c6fd5eb,,no,no
2010-01-01,Holly Mullen,County Council,At-Large B,2010,statement,2010 Interim Reports / April,Holly Mullen (Council At-Large B) — April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/hmullen_10_Apr_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/hmullen_10_Apr_Interim.pdf,clerk_legacy,,1ac137bfaa579fca811f6d1c9b715ee9fbcc4f4365a98b929c1e373bc4605f56,,no,no
2010-01-01,Holly Mullen,County Council,At-Large B,2010,statement,2010 Interim Reports / Dissolution,Holly Mullen (Council At-Large B) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/hmullen_10_FinalDissolution.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/hmullen_10_FinalDissolution.pdf,clerk_legacy,,6369451d4b6324b2e4168a168868f6da5d5408a43cdd9d8e3bf45081309942e9,,no,no
2010-01-01,Holly Mullen,County Council,At-Large B,2010,statement,2010 Interim Reports / October,Holly Mullen (Council At-Large B) — October,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/October_2010/hmullen_10_OctoberInterim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/hmullen_10_OctoberInterim.pdf,clerk_legacy,,ce67256c9ab45a0b58b1018c8a847d5ef240a18f2dda5394c46c58baf5d60b69,,no,no
2010-01-01,Holly Mullen,County Council,At-Large B,2010,statement,2010 Interim Reports / June,Holly Mullen (Council At-Large B) — June,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/hmullen_10_PrimaryInterim_CntyCncl_AtLrgB.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/hmullen_10_PrimaryInterim_CntyCncl_AtLrgB.pdf,clerk_legacy,,2e7a3fb99104601a8660c909275efb74f0cdfe767b0178537e8731b38b423f11,,no,no
2010-01-01,Holly Mullen,County Council,At-Large B,2010,statement,2010 Interim Reports / September,Holly Mullen (Council At-Large B) — September,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/hmullen_10_Sept_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/hmullen_10_Sept_Interim.pdf,clerk_legacy,,0e6bf837f89be0841cb3f192da766c091f993adbe23e84263bf291a5575af86c,,no,no
2011-01-01,Jani Iwamoto,County Council,District 4,2010,statement,2008 Interim Reports / 2011 Summary Report,Jani Iwamoto (Council #4) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/JIwamoato_11_YearEnd_CntyCncl1_Redacted1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/JIwamoato_11_YearEnd_CntyCncl1_Redacted1.pdf,clerk_legacy,,9ee6c3561e16833b147b9134b42319b10683b9b4f05903587820e7c348832e3c,,no,no
2010-01-01,Jani Iwamoto,County Council,District 4,2010,statement,2008 Interim Reports / 2010 Summary Report,Jani Iwamoto (Council #4) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/jiwamoto_10_YearEnd_CntyCncl_4.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jiwamoto_10_YearEnd_CntyCncl_4.pdf,clerk_legacy,,4568becebd3d8c2957b9e10328a897e242ab3ec26206bc891308d0eb19a2d710,,no,no
2011-01-01,Jeffrey Hatch,Auditor,,2010,statement,2010 Interim Reports / Dissolution Report,Jeffrey Hatch (Auditor) — Dissolution Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/JHatch_11_Dissolution_Auditor.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/JHatch_11_Dissolution_Auditor.pdf,clerk_legacy,,8a1a19577bf80313622ce8ff6268f30a0250a5f8702b1eaec6b1152959a7c2a0,,no,no
2010-01-01,Jennifer Wilson,County Council,At-Large B,2010,statement,Dissolution,Jennifer Wilson (Council At-Large B) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/jwilson_10_Final.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jwilson_10_Final.pdf,clerk_legacy,,33d447eb65a323cda570eea7b5f66cd2776aa21628c8423c69c418a0f6cd9a1b,,no,no
2010-01-01,Jeremy Votaw,Clerk,,2010,statement,2010 Interim Reports / Amendment to April,Jeremy Votaw (Clerk) — Amendment to April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/jvotaw_10_Apr_Interim_Amend.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jvotaw_10_Apr_Interim_Amend.pdf,clerk_legacy,,d5a7cb7897cac96a8edb65e69afd9af8bf3ac5222564406059873e49514cbe05,,no,no
2010-01-01,Jeremy Votaw,Clerk,,2010,statement,2010 Interim Reports / Dissolution,Jeremy Votaw (Clerk) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/jvotaw_10_FinalDis_Clerk.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jvotaw_10_FinalDis_Clerk.pdf,clerk_legacy,,18839e549282c58bbe899c015d6ebdc5eefb3629254c439f09d1615b6c1bf3ae,,no,no
2010-01-01,Jeremy Votaw,Clerk,,2010,statement,2010 Interim Reports / April,Jeremy Votaw (Clerk) — April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/jvotaw_10_InterimApr_clerk.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jvotaw_10_InterimApr_clerk.pdf,clerk_legacy,,91847e7133b70b8e9d5abb5e5705f1358a8378b802925b323c97651917173e86,,no,no
2010-01-01,Jeremy Votaw,Clerk,,2010,statement,2010 Interim Reports / October,Jeremy Votaw (Clerk) — October,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/October_2010/jvotaw_10_OctoberInterim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jvotaw_10_OctoberInterim.pdf,clerk_legacy,,644cb35ad7d05d0b8300c3dc8b88cafe25d641858cf07472baa779973160d833,,no,no
2010-01-01,Jeremy Votaw,Clerk,,2010,statement,2010 Interim Reports / September,Jeremy Votaw (Clerk) — September,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/jvotaw_10_Sept_Interim.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jvotaw_10_Sept_Interim.pdf,clerk_legacy,,6f2fa93b6afdc22bd6a4bc8450139ab0e1131748fce815054edd0313fecff1e5,,no,no
2010-01-01,Jeremy Votaw,Clerk,,2010,statement,2010 Interim Reports / June,Jeremy Votaw (Clerk) — June,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/jvotaw_6_15.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jvotaw_6_15.pdf,clerk_legacy,,e60b5b30d7f18bba63dde6678c1a493cf82e48250971f36f26fcc3d01d4ead3b,,no,no
2011-01-01,Jim Bradley,County Council,At-Large C,2010,statement,2006 Interim Reports / 2011 Summary Report,Jim Bradley (Council At-Large C) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/JBradley_11_YearEnd_AtLrgC_Redacted1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/JBradley_11_YearEnd_AtLrgC_Redacted1.pdf,clerk_legacy,,7494dabb0e1e014c1aae3e40e260e9be3d9edcdc24ef85d13bb6d74428b62ea4,,no,no
2010-01-01,Jim Bradley,County Council,At-Large C,2010,statement,2006 Interim Reports / 2010 Summary Report,Jim Bradley (Council At-Large C) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/jbradley_10_YearEnd_CntyCncl_AtLrgC.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jbradley_10_YearEnd_CntyCncl_AtLrgC.pdf,clerk_legacy,,650e8cfe1a5a7d9f4a56d5eb7e1341e2ff2e7f7821bbb7680d035fc7c1b902e0,,no,no
2010-01-01,Joe Hatch,County Council,District 1,2010,statement,2006 Interim Reports / Dissolution,Joe Hatch (Council #1) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/jhatch_10_FinalDissolution_CntyCncl_1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/jhatch_10_FinalDissolution_CntyCncl_1.pdf,clerk_legacy,,a88903847a3715c983e15174e54a8507ab79ff863a75b61f0e145df85ec7b25d,,no,no
2010-01-01,Larry W. Richardson,Treasurer,,2010,statement,2006 Interim Reports / Dissolution Report,Larry W. Richardson (Treasurer) — Dissolution Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/lrichardson_10_FinalDis_Treasurer.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/lrichardson_10_FinalDis_Treasurer.pdf,clerk_legacy,,c6b7cb2d1e8993544ebaa575e3101cc89a09d2d90d4488536288a448b7638563,,no,no
2011-01-01,Liz Fehrmann,Assessor,,2010,statement,2010 Interim Reports / Dissolution,Liz Fehrmann (Assessor) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/LFehrmann_11_Dissolutionl_Assessor.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/LFehrmann_11_Dissolutionl_Assessor.pdf,clerk_legacy,,d6dac4a0f3b1a6468caeb9b6b78ed4ca3f55976918e8ab50afb040127c40932b,,no,no
2011-01-01,Liz Fehrmann,Assessor,,2010,statement,2010 Interim Reports / 2011 Summary Report,Liz Fehrmann (Assessor) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/LFehrmann_11_Final_Assessor_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/LFehrmann_11_Final_Assessor_Redacted.pdf,clerk_legacy,,e8137884163b3ef2e024d2e31805fd3f967de1836ac781c219e37726c043f282,,no,no
2011-01-01,Mark Crockett,County Council,District 4,2010,statement,2008 Interim Reports / Dissolution,Mark Crockett (Council #4) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/MCrockett_11_Dissolution_CntyCncl4.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/MCrockett_11_Dissolution_CntyCncl4.pdf,clerk_legacy,,4e3280cc37e635a1e5f54aae761562a9f7a16accbd32b440934314b4ab79dd24,,no,no
2011-01-01,Mark Crockett,County Council,District 4,2010,statement,2008 Interim Reports / 2011 Summary Report,Mark Crockett (Council #4) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/MCrockett_11_Final_CntyCncl4_Redacted1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/MCrockett_11_Final_CntyCncl4_Redacted1.pdf,clerk_legacy,,a46505da362e4955111c45cf6871fc5788cc59dcd7e56fa4a64986c241f4e856,,no,no
2011-01-01,Max Burdick,County Council,District 6,2010,statement,2008 Interim Reports / 2011 Summary Report,Max Burdick (Council #6) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/MBurdick_11_YearEnd_CntyCncl6_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/MBurdick_11_YearEnd_CntyCncl6_Redacted.pdf,clerk_legacy,,a13177f9174f7bf53c2f6631e1ad46e203b786d80da28e2265c510e3ecff2c1f,,no,no
2010-01-01,Max Burdick,County Council,District 6,2010,statement,2008 Interim Reports / 2010 Summary Report,Max Burdick (Council #6) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/mburdick_10_YearEnd_CntyCncl6.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/mburdick_10_YearEnd_CntyCncl6.pdf,clerk_legacy,,5ea3c1ff7d08c20f2f242722e469f4656d093f5cbbcfb84b2f94a2e68853f9d9,,no,no
2011-01-01,Michael Jensen,County Council,District 2,2010,statement,2008 Interim Reports / 2011 Summary Report,Michael Jensen (Council #2) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/MJensen_11_YearEnd_CntyCncl2_Redacted1.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/MJensen_11_YearEnd_CntyCncl2_Redacted1.pdf,clerk_legacy,,ea4447b3afe72817c7170ad165c2c94b4013ccc9b3d1e59003e039b382dd566c,,no,no
2010-01-01,Michael Jensen,County Council,District 2,2010,statement,2008 Interim Reports / 2010 Summary Report,Michael Jensen (Council #2) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/mjensen_10_YearEnd_CntyCncl2.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/mjensen_10_YearEnd_CntyCncl2.pdf,clerk_legacy,,6bf215c54eed1071c73344d3a5793788d3b8b59c859565a207825c0838820db2,,no,no
2011-01-01,Michael Renckert,Mayor,,2010,statement,2008 Interim Reports / Dissolution Report,Michael Renckert (Mayor) — Dissolution Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/MRenckert_11_Dissolution_Mayor.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/MRenckert_11_Dissolution_Mayor.pdf,clerk_legacy,,970346f9825a4e2685fad0a0a33c9011f84b1772ed2dff8e1759747b823f2af0,,no,no
2011-01-01,Michael Renckert,Mayor,,2010,statement,2008 Interim Reports / 2011 Summary Report,Michael Renckert (Mayor) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/MRenckert_11_Final_Mayor.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/MRenckert_11_Final_Mayor.pdf,clerk_legacy,,c3c989c0be725677ae65389d3ed6714327942f6cabc98b08a38c2e2e7ac81ad6,,no,no
2010-01-01,Michael Renckert,Mayor,,2010,statement,2008 Interim Reports / 2010 Summary Report,Michael Renckert (Mayor) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/mrenckert_10_YearEnd.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/mrenckert_10_YearEnd.pdf,clerk_legacy,,b491f7193eb5514206f25ba05df198d5803e80b9a9b7c4a9a7eb7a3aff41ff0c,,no,no
2011-01-01,Paul Pugmire,County Council,District 2,2010,statement,2010 Interim Reports / Dissolution,Paul Pugmire (Council #2) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/PPugmire_11_Dissolution_CntyCncl2.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/PPugmire_11_Dissolution_CntyCncl2.pdf,clerk_legacy,,845bc94398aa3959838d2bd5b2948113f1a0b023acd99cff8dde634da1c3f873,,no,no
2010-01-01,Paul Pugmire,County Council,District 2,2010,statement,2010 Interim Reports / April,Paul Pugmire (Council #2) — April,https://slco.org/clerk/financialDisclosurePDF/2010Disclosures/Pugmire_P_10_April_Interim_CntyCncl_2_redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/Pugmire_P_10_April_Interim_CntyCncl_2_redacted.pdf,clerk_legacy,,aec0431133dc913fe223dd306650f270615d621f8163c43a3473b16720f80aad,,no,no
2010-01-01,Randy Horiuchi,County Council,At-Large A,2010,statement,2008 Interim Reports / Amendment to 2010 Summary Report,Randy Horiuchi (Council At-Large A) — Amendment to 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/Horiuchi_R_10_Final_Amended_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/Horiuchi_R_10_Final_Amended_Redacted.pdf,clerk_legacy,,d12ed303f62e137d8c84f94783b6c920326efde09724830ebd869bac9d34a5fe,,no,no
2011-01-01,Randy Horiuchi,County Council,At-Large A,2010,statement,2008 Interim Reports / Amendment to 2011 Summary Report,Randy Horiuchi (Council At-Large A) — Amendment to 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/Horiuchi_R_11_Final_Amended_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/Horiuchi_R_11_Final_Amended_Redacted.pdf,clerk_legacy,,1a7e5204c8c970e9b4e92029e689a97e6c4aaec1d297d1797cff36423b9c6f2f,,no,no
2011-01-01,Randy Horiuchi,County Council,At-Large A,2010,statement,2008 Interim Reports / 2011 Summary Report,Randy Horiuchi (Council At-Large A) — 2011 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/RHoriuchi_10_YearEnd_AtLrgA_Redacted.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/RHoriuchi_10_YearEnd_AtLrgA_Redacted.pdf,clerk_legacy,,4ba2b247b9274e4daf0d016d025dc8387a83f1e21e227082e8e56b964ff68fb3,,no,no
2010-01-01,Randy Horiuchi,County Council,At-Large A,2010,statement,2008 Interim Reports / 2010 Summary Report,Randy Horiuchi (Council At-Large A) — 2010 Summary Report,https://slco.org/clerk/financialDisclosurePDF/2010_Year_end/rhoriuchi_10_YearEnd_CntyCncl_AtLrgC.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/rhoriuchi_10_YearEnd_CntyCncl_AtLrgC.pdf,clerk_legacy,,9ce6e9b7be9b9974b414a1e8d3226191528d012ab56a821feb1f00a1ec743dcb,,no,no
2011-01-01,Richard Snelgrove,County Council,At-Large B,2010,statement,2010 Interim Reports / Dissolution,Richard Snelgrove (Council At-Large B) — Dissolution,https://slco.org/clerk/financialDisclosurePDF/2011YearEnd/RSnelgrove_11_Dissolution_AtLrgB.pdf,2026-08-01,scanned,tesseract OCR (pdftoppm 300dpi),raw/clerk_legacy/RSnelgrove_11_Dissolution_AtLrgB.pdf,clerk_legacy,,ec4c1ee54291c9d84ca5b7e01ab9266f96c8ec2ac5ca1b4b94055010543b2a67,,no,no
