ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,instrument_type,canonical_no,dup_raw,source_last_modified,subfolder,linkage_note
2020-03-02,2020-01-15,2020-01-15,A RESOLUTION OF COPPERTON METRO TOWNSHIP APPROVING ENTRY INTO A REVISED AND RESTATED INTERLOCAL AGREEMENT TO CREATE AND GOVERN THE UNIFIED FIRE AUTHORITY,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777485541_Resolution%2020-03-02%20Amended%20ILA%20for%20Unified%20Fire%20Authority.pdf,2026-07-14,scanned,ocr_tesseract,raw/1777485541_Resolution_20-03-02_Amended_ILA_for_Unified_Fire_Authority.pdf,no,Pass (unanimous),2020-01-15,10,medium,resolution,2020-03-02,,2026-04-29,resolutions,"subject match, 2 shared terms (same-year)"
2020-02-02,2020-02-19,2020-02-19,AN ORDINANCE AMENDING AND ENACTING BUSINESS REQUIREMENTS FOR THE COPPERTON METRO TOWNSHIP |,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1584042137_Ordinance%2020-02-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1584042137_Ordinance_20-02-02.pdf,no,,,,none,ordinance,2020-02-02,,2020-03-12,ordinances,
2020-03-01,2020-03-13,2020-03-13,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL ADOPTING PROCEDURES TO ADDRESS AND RESPOND TO THE CORONAVIRUS DISEASE OF 2019 (COVID-19),https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1777486345_Resolution%2020-03-01%20Adopting%20Procedures%20to%20Address%20Covid-19.pdf,2026-07-14,text,pdftotext_layout,raw/1777486345_Resolution_20-03-01_Adopting_Procedures_to_Address_Covid-19.pdf,no,,,,none,resolution,2020-03-01,1777490130_Resolution_20-03-01_Adopting_Procedures_to_Address_Covid-19.pdf,2026-04-29,resolutions,
2020-07-01,2020-03-13,2020-03-13,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CLARIFYING ACTIONS AND PROCEDURES TO ADDRESS CONFIRMED CASES OF COVID19 WITHIN COPPERTON,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820620_Resolution%2020-07-01.pdf,2026-07-14,text,pdftotext_layout,raw/1596820620_Resolution_20-07-01.pdf,no,,,,none,resolution,2020-07-01,,2020-08-07,ordinances,
2020-07-01,2020-03-13,2020-03-13,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CLARIFYING ACTIONS AND PROCEDURES TO ADDRESS CONFIRMED CASES OF COVID19 WITHIN COPPERTON,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1601411734_Resolution%2020-07-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1601411734_Resolution_20-07-01.pdf,no,,,,none,resolution,2020-07-01,,2020-09-29,resolutions,
2020-04-01,2020-04-01,2020-04-01,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CONSENTING TO AND AUTHORIZING EXTENSION OF THE DECLARTION OF A PUBLIC HEALTH EMERGENCY FOR THE CORONAVIRUS DISEASE OF 2019 (COVID-19),https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820313_Resolution%2020-04-01.pdf,2026-07-14,text,pdftotext_layout,raw/1596820313_Resolution_20-04-01.pdf,no,,,,none,resolution,2020-04-01,,2020-08-07,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2020-04-01,2020-04-01,2020-04-01,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CONSENTING TO AND AUTHORIZING EXTENSION OF THE DECLARTION OF A PUBLIC HEALTH,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1601412312_Resolution%2020-04-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1601412312_Resolution_20-04-01.pdf,no,,,,none,resolution,2020-04-01,,2020-09-29,resolutions,"date=YYYY-MM from instrument number, day placeholder 01"
2020-02-01,2020-04-15,2020-04-15,"AN ORDINANCE GRANTING AN ELECTRIC UTILITY FRANCHISE AND GENERAL UTILITY EASEMENT TO ROCKY MOUNTAIN POWER IN THE COPPERTON METRO TOWNSHIP, STATE OF UTAH, AND FIXING AND PRESCRIBING THE CONDITIONS AND TERMS THEREOF",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820918_Ordinance%2020-02-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1596820918_Ordinance_20-02-01.pdf,no,Pass (unanimous),2020-04-15,7,medium,ordinance,2020-02-01,,2020-08-07,ordinances,"subject match, 4 shared terms (same-year)"
2020-02-01,2020-04-15,2020-04-15,"AN ORDINANCE GRANTING AN ELECTRIC UTILITY FRANCHISE AND GENERAL UTILITY EASEMENT TO ROCKY MOUNTAIN POWER IN THE COPPERTON METRO TOWNSHIP, STATE OF UTAH, AND FIXING AND PRESCRIBING THE CONDITIONS AND TERMS THEREOF",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/policies/documents/1584049381_Ordinance%2020-02-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/policies__1584049381_Ordinance_20-02-01.pdf,no,Pass (unanimous),2020-04-15,7,medium,ordinance,2020-02-01,,2020-03-12,policies,"subject match, 4 shared terms (same-year)"
2020-04-01,2020-04-15,2020-04-15,"AN ORDINANCE GRANTING AN ELECTRIC UTILITY FRANCHISE AND GENERAL UTILITY EASEMENT TO ROCKY MOUNTAIN POWER IN THE COPPERTON METRO TOWNSHIP, STATE OF UTAH, AND FIXING AND PRESCRIBING THE CONDITIONS AND TERMS THEREOF",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596821159_Ordinance%2020-04-01.pdf,2026-07-14,scanned,ocr_tesseract,raw/1596821159_Ordinance_20-04-01.pdf,no,Pass (unanimous),2020-04-15,7,medium,ordinance,2020-04-01,1597682983_Ordinance_20-04-01.pdf,2020-08-07,ordinances,"subject match, 4 shared terms (within 20d of header date)"
2020-05-01,2020-05-20,2020-05-20,A RESOLUTION OF INTENT FROM THE COPPERTON METRO TOWNSHIP REGARDING THE NATIONAL FLOOD INSURANCE PROGRAM,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820411_Resolution%2020-05-01.pdf,2026-07-14,text,pdftotext_layout,raw/1596820411_Resolution_20-05-01.pdf,no,,,,none,resolution,2020-05-01,,2020-08-07,ordinances,
2020-05-01,2020-05-20,2020-05-20,A RESOLUTION OF INTENT FROM THE COPPERTON METRO TOWNSHIP REGARDING THE NATIONAL FLOOD INSURANCE PROGRAM,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1597683554_Resolution%2020-05-01.pdf,2026-07-14,text,pdftotext_layout,raw/1597683554_Resolution_20-05-01.pdf,no,,,,none,resolution,2020-05-01,,2020-08-17,resolutions,
2020-05-02,2020-05-20,2020-05-20,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CLARIFYING PROCEDURES TO DETERMINE WHETHER A CONFIRMED CASE OF COVID19 EXISTS IN COPPERTON FOR THE PURPOSES OF COPPERTON’S COVID19 ACTION PLAN,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820517_Resolution%2020-05-02.pdf,2026-07-14,text,pdftotext_layout,raw/1596820517_Resolution_20-05-02.pdf,no,,,,none,resolution,2020-05-02,1597683076_Resolution_20-05-02.pdf,2020-08-07,ordinances,
2020-05-02,2020-05-20,2020-05-20,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CLARIFYING PROCEDURES TO DETERMINE WHETHER A CONFIRMED CASE OF COVID19 EXISTS IN COPPERTON FOR THE PURPOSES OF COPPERTON'S COVID19 ACTION PLAN,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1601412236_Resolution%2020-05-02.pdf,2026-07-14,text,pdftotext_layout,raw/1601412236_Resolution_20-05-02.pdf,no,,,,none,resolution,2020-05-02,,2020-09-29,resolutions,
2020-07-03,2020-07-01,2020-07-01,A RESOLUTION OF Copperton Metro Township ADOPTING THE 2019 SALT LAKE COUNTY HAZARD MITIGATION PLAN,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1597091034_Resolution%2020-07-03.pdf,2026-07-14,text,pdftotext_layout,raw/1597091034_Resolution_20-07-03.pdf,no,,,,none,resolution,2020-07-03,1597683021_Resolution_20-07-03.pdf,2020-08-10,ordinances,"date=YYYY-MM from instrument number, day placeholder 01"
2020-07-02,2020-07-15,2020-07-15,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING AN AGREEMENT BETWEEN COPPERTON AND SALT LAKE COUNTY TO RECEIVE $23,364.68 FROM THE SALT LAKE COUNTY CARES ACT FUND FOR CERTAIN COVID RELIEF ACTIVITIES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1596820663_Resolution%2020-07-02.pdf,2026-07-14,text,pdftotext_layout,raw/1596820663_Resolution_20-07-02.pdf,no,,,,none,resolution,2020-07-02,1597683045_Resolution_20-07-02.pdf,2020-08-07,ordinances,
2020-07-02,2020-07-15,2020-07-15,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING AN AGREEMENT BETWEEN COPPERTON AND SALT LAKE COUNTY TO RECEIVE $23,364.68 FROM THE SALT LAKE COUNTY CARES ACT FUND FOR CERTAIN COVID RELIEF ACTIVITIES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1601412627_Resolution%2020-07-02.pdf,2026-07-14,scanned,ocr_tesseract,raw/1601412627_Resolution_20-07-02.pdf,no,,,,none,resolution,2020-07-02,,2020-09-29,resolutions,
2020-08-01,2020-08-01,2020-08-01,1603481463_Resolution 20-08-01 adopting EOP Plan,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/plan/documents/1603481463_Resolution%2020-08-01%20adopting%20EOP%20Plan.pdf,2026-07-14,text,pdftotext_layout,raw/plan__1603481463_Resolution_20-08-01_adopting_EOP_Plan.pdf,no,,,,none,resolution,2020-08-01,,2020-10-23,plan,"date=YYYY-MM from instrument number, day placeholder 01"
2020-08-01,2020-08-01,2020-08-01,1649793000_Resolution 20-08-01,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/plan/documents/1649793000_Resolution%2020-08-01.pdf,2026-07-14,text,pdftotext_layout,raw/plan__1649793000_Resolution_20-08-01.pdf,no,,,,none,resolution,2020-08-01,1604942997_Resolution_20-08-01_EOP_Adoption.pdf,2022-04-12,plan,"date=YYYY-MM from instrument number, day placeholder 01"
2020-08-01,2020-08-19,2020-08-19,"AN ORDINANCE ADOPTING A NEW PLANNING AND DEVELOPMENT SERVICES’ FEE SCHEDULE; REPEALING CHAPTER 3.52 (“SUBDIVISION AND ZONING FEES”) AND REPLACING IT WITH A NEW CHAPTER 3.52 THAT REFERENCES THE NEW FEE SCHEDULE; AND AMENDING SECTIONS 3.48.020, 3.48.025, AND 3.48.030 OF THE ENGINEERING FEES CHAPTER TO",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1597946881_Ordinance%2020-08-01.pdf,2026-07-14,text,pdftotext_layout,raw/1597946881_Ordinance_20-08-01.pdf,yes,,,,none,ordinance,2020-08-01,1608070439_Ordinance_20-08-01.pdf,2020-08-20,ordinances,
2020-09-01,2020-09-16,2020-09-16,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPOINTING JOEL BREIINHOLT TO THE COPPERTON METRO TOWNSHIP PLANNING COMMISSION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1601315524_Resolution%2020-09-01.pdf,2026-07-14,text,pdftotext_layout,raw/1601315524_Resolution_20-09-01.pdf,no,,,,none,resolution,2020-09-01,,2020-09-28,resolutions,
2020-09-02,2020-09-16,2020-09-16,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING AND AUTHORIZING THE EXECUTION OF AN INTERLOCAL COOPERATION AGREEMENT WITH SALT LAKE COUNTY, TOWN OF ALTA, TOWN OF BRIGHTON, BLUFFDALE CITY, COPPERTON METRO TOWNSHIP, COTTONWOOD HEIGHTS CITY, DRAPER CITY, EMIGRATION CANYON METRO TOWNSHIP,",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1601319981_Resolution%2020-09-02.pdf,2026-07-14,text,pdftotext_layout,raw/1601319981_Resolution_20-09-02.pdf,no,Pass (unanimous),2020-09-16,4,medium,resolution,2020-09-02,,2020-09-28,resolutions,"subject match, 3 shared terms (within 20d of header date)"
2020-10-01,2020-10-21,2020-10-21,AN ORDINANCE ADOPTING A NEW GENERAL PLAN FOR THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/plan/documents/1656014272_Resolution%2020-10-01.pdf,2026-07-14,text,pdftotext_layout,raw/plan__1656014272_Resolution_20-10-01.pdf,yes,,,,none,resolution,2020-10-01,,2022-06-23,plan,
2020-12-01,2020-10-21,2020-10-21,A RESOLUTION ADOPTING THE COPPERTON METRO TOWNSHIP’S FINAL 2021 BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1611617454_Resolution%2020-12-01.pdf,2026-07-14,text,pdftotext_layout,raw/1611617454_Resolution_20-12-01.pdf,no,,,,none,resolution,2020-12-01,,2021-01-25,resolutions,
2020-11-01,2020-11-18,2020-11-18,A RESOLUTION OF APPRECIATION FOR APOLLO PAZELL FOR HIS DISTINGUISHED SERVICE TO THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1607977348_Resolution%2020-11-01%20Appreciation%20for%20Apollo%20Pazell%20for%20his%20service%20to%20Copperton%20-%20signed.pdf,2026-07-14,text,pdftotext_layout,raw/1607977348_Resolution_20-11-01_Appreciation_for_Apollo_Pazell_for_his_service_to_Copperton_-_signed.pdf,no,Pass,2020-11-18,5,medium,resolution,2020-11-01,,2020-12-14,resolutions,"subject match, 2 shared terms (same-year)"
2020-11-02,2020-11-18,2020-11-18,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPOINTING DAVID OLSEN TO THE COPPERTON METRO TOWNSHIP COUNCIL,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1607979336_Resolution%2020-11-02%20Appointing%20David%20Olsen%20to%20the%20Copperton%20Metro%20Township%20Council%20-%20signed.pdf,2026-07-14,text,pdftotext_layout,raw/1607979336_Resolution_20-11-02_Appointing_David_Olsen_to_the_Copperton_Metro_Township_Council_-_signed.pdf,no,Pass (unanimous),2020-11-18,4,medium,resolution,2020-11-02,,2020-12-14,resolutions,"subject match, 2 shared terms (within 20d of header date)"
2020-11-03,2020-11-18,2020-11-18,A RESOLUTION APPOINTING DAVID OLSEN AS THE REPRESENTATIVE APPOINTEE OF THE COPPERTON METRO TOWNSHIP TO THE BOARD OF DIRECTORS OF THE UNIFED POLICE DEPARTMENT OF GREATER SALT LAKE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1607979399_Resolution%2020-11-03%20Appointing%20David%20Olsen%20as%20Representative%20on%20Board%20for%20UPD.pdf,2026-07-14,text,pdftotext_layout,raw/1607979399_Resolution_20-11-03_Appointing_David_Olsen_as_Representative_on_Board_for_UPD.pdf,no,Pass,2020-11-18,5,medium,resolution,2020-11-03,,2020-12-14,resolutions,"subject match, 4 shared terms (within 20d of header date)"
2020-11-04,2020-11-18,2020-11-18,A RESOLUTION APPOINTING DAVID OLSEN AS THE REPRESENTATIVE APPOINTEE OF THE COPPERTON METRO TOWNSHIP TO THE BOARD OF TRUSTEES OF THE SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1607979526_Resolution%2020-11-04%20Appointing%20David%20Olsen%20as%20a%20Board%20Member%20for%20SLVESA%20-%20signed.pdf,2026-07-14,text,pdftotext_layout,raw/1607979526_Resolution_20-11-04_Appointing_David_Olsen_as_a_Board_Member_for_SLVESA_-_signed.pdf,no,Pass,2020-11-18,5,medium,resolution,2020-11-04,,2020-12-14,resolutions,"subject match, 3 shared terms (within 20d of header date)"
2020-11-05,2020-11-18,2020-11-18,A RESOLUTION DESIGNATING TESSA STITZER AS THE DEPUTY MAYOR OF THE COPPERTON METRO TOWNSHIP,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1607979552_Resolution%2020-11-05%20Designating%20Tessa%20Stitzer%20as%20Deputy%20Mayor%20of%20Copperton%20-%20signed.pdf,2026-07-14,text,pdftotext_layout,raw/1607979552_Resolution_20-11-05_Designating_Tessa_Stitzer_as_Deputy_Mayor_of_Copperton_-_signed.pdf,no,Pass (unanimous),2020-11-18,3,low,resolution,2020-11-05,,2020-12-14,resolutions,date-only: header adoption date matches a meeting with an unnumbered approving motion
2021-02-01,2021-02-17,2021-02-17,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL ADOPTING THE FEE 2021 FEE SCHEDULE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1614812535_Ordinance%2021-02-01%202021%20Fee%20Schedule%20Adoption.pdf,2026-07-14,text,pdftotext_layout,raw/1614812535_Ordinance_21-02-01_2021_Fee_Schedule_Adoption.pdf,no,,,,none,ordinance,2021-02-01,1614812444_Ordinance_21-02-01_2021_Fee_Schedule_Adoption.pdf,2021-03-03,ordinances,
2021-03-01,2021-03-17,2021-03-17,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL CONSENTING TO THE REORGANIZATION OF THE WASATCH FRONT WASTE AND RECYCLING DISTRICT AS A LOCAL DISTRICT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1616611613_Resolution%2021-03-01.pdf,2026-07-14,text,pdftotext_layout,raw/1616611613_Resolution_21-03-01.pdf,no,,,,none,resolution,2021-03-01,,2021-03-24,resolutions,
2021-09-01,2021-09-15,2021-09-15,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING A DECISION, IF MADE BY THE BOARD OF TRUSTEES OF THE SALT LAKE VALLEY LAW ENFORCEMENT SERVICE AREA (SLVLESA) FOLLOWING PROCESSES REQUIRED BY UTAH LAW, TO INCREASE SLVLESA BUDGETED PROPERTY TAX REVENUES BY 16.5% FOR CALENDAR YEAR 2022 WHIC",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1632248049_Resolution%2021-09-01.pdf,2026-07-14,text,pdftotext_layout,raw/1632248049_Resolution_21-09-01.pdf,no,Pass,2021-09-15,3,high,resolution,2021-09-01,,2021-09-21,resolutions,number cited in recorded motion (type-matched); header DATE 2021-08-19 differs from motion date (source typo?)
2021-09-02,2021-09-15,2021-09-15,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL ADOPTING A CONTINUITY OF OPERATIONS PLAN (COOP).,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1648507663_Resolution%2021-09-02.pdf,2026-07-14,text,pdftotext_layout,raw/1648507663_Resolution_21-09-02.pdf,no,Pass (unanimous),2021-09-15,4,high,resolution,2021-09-02,,2022-03-28,resolutions,number cited in recorded motion (type-matched)
2021-10-01,2021-10-20,2021-10-20,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL REVISING THE COPPERTON METRO TOWNSHIP CODE TO AUTHORIZE AND REGULATE ACCESSORY DWELLING UNITS PER H.B. 82,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1648500057_Ordinance%202021-10-01.pdf,2026-07-14,text,pdftotext_layout,raw/1648500057_Ordinance_2021-10-01.pdf,yes,Pass (unanimous),2021-10-20,2,high,ordinance,2021-10-01,,2022-03-28,ordinances,number cited in recorded motion (type-matched)
2021-10-02,2021-10-20,2021-10-20,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL REVISING SECTIONS 19.14.020 AND 19.14.030 TO REMOVE ACCESSORY BUILDING SQUARE FOOTAGE REQUIREMENTS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1648503494_Ordinance%202021-10-02.pdf,2026-07-14,text,pdftotext_layout,raw/1648503494_Ordinance_2021-10-02.pdf,no,Pass (unanimous),2021-10-20,3,high,ordinance,2021-10-02,,2022-03-28,ordinances,number cited in recorded motion (type-matched)
2021-10-03,2021-10-20,2021-10-20,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL REPEALING CHAPTER 19.74 OF THE COPPERTON METRO CODE AND ENACTING A NEW CHAPTER 19.74 TO ESTABLISH FLOODPLAIN DEVELOPMENT STANDARDS AND FLOOD DAMAGE PREVENTION,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1648503841_Ordinance%202021-10-03.pdf,2026-07-14,text,pdftotext_layout,raw/1648503841_Ordinance_2021-10-03.pdf,yes,Pass (unanimous),2021-10-20,4,high,ordinance,2021-10-03,,2022-03-28,ordinances,number cited in recorded motion (type-matched)
2022-03-01,2022-03-16,2022-03-16,AN ORDINANCE ADOPTING THE COPPERTON METRO TOWNSHIP ANNEXATION POLICY PLAN,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/policies/documents/1649793478_Ordinance%202022-03-01.pdf,2026-07-14,text,pdftotext_layout,raw/policies__1649793478_Ordinance_2022-03-01.pdf,yes,Pass (unanimous),2022-03-16,3,medium,ordinance,2022-03-01,,2022-04-12,policies,"subject match, 2 shared terms (within 20d of header date)"
2022-03-02,2022-03-16,2022-03-16,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL REPEALING SALT LAKE COUNTY ANNEXATION REVIEW PROCEDURES AND ADOPTING ANNEXATION STANDARDS AND PROCEDURES,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1649793868_Ordinance%202022-03-02.pdf,2026-07-14,text,pdftotext_layout,raw/1649793868_Ordinance_2022-03-02.pdf,yes,Pass (unanimous),2022-03-16,4,low,ordinance,2022-03-02,,2022-04-12,ordinances,date-only: header adoption date matches a meeting with an unnumbered approving motion
2022-11-01,2022-11-16,2022-11-16,A RESOLUTION ADOPTING THE COPPERTON METRO TOWNSHIP’S TENTATIVE 2023 BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1681767218_Resolution%202022-11-01.pdf,2026-07-14,text,pdftotext_layout,raw/1681767218_Resolution_2022-11-01.pdf,no,Pass (unanimous),2022-11-16,1,medium,resolution,2022-11-01,,2023-04-17,resolutions,"subject match, 2 shared terms (within 20d of header date)"
2022-11-02,2022-11-16,2022-11-16,A RESOLUTION PROPOSING AMENDMENTS TO THE COPPERTON METRO TOWNSHIP’S 2022 BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1681767368_Resolution%202022-11-02.pdf,2026-07-14,text,pdftotext_layout,raw/1681767368_Resolution_2022-11-02.pdf,no,Pass (unanimous),2022-11-16,1,low,resolution,2022-11-02,,2023-04-17,resolutions,date-only: header adoption date matches a meeting with an unnumbered approving motion
2022-12-01,2022-12-21,2022-12-21,A RESOLUTION AMENDING THE COPPERTON METRO TOWNSHIP’S 2022 BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1681767527_Resolution%202022-12-01.pdf,2026-07-14,text,pdftotext_layout,raw/1681767527_Resolution_2022-12-01.pdf,no,,,,none,resolution,2022-12-01,,2023-04-17,resolutions,
2022-12-02,2022-12-21,2022-12-21,A RESOLUTION ADOPTING THE COPPERTON METRO TOWNSHIP’S FINAL 2023 BUDGET,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1681767661_Resolution%202022-12-02.pdf,2026-07-14,text,pdftotext_layout,raw/1681767661_Resolution_2022-12-02.pdf,no,,,,none,resolution,2022-12-02,,2023-04-17,resolutions,
2022-12-03,2022-12-21,2022-12-21,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL ADOPTING THE FEE 2023 FEE SCHEDULE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1674166800_Copperton%20Resolution%202022-12-03%20-%20Fee%20Schedule.pdf,2026-07-14,text,pdftotext_layout,raw/1674166800_Copperton_Resolution_2022-12-03_-_Fee_Schedule.pdf,no,,,,none,resolution,2022-12-03,,2023-01-19,resolutions,
2023-06-02,2022-12-21,2022-12-21,A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL AMENDING THE 2023 COPPERTON FEE SCHEDULE TO INCLUDE CIVIL PENALTIES FOR ZONING VIOLATIONS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1695325998_Resolution%202023-06-02.pdf,2026-07-14,text,pdftotext_layout,raw/1695325998_Resolution_2023-06-02.pdf,yes,,,,none,resolution,2023-06-02,,2023-09-21,resolutions,adoption_date year != number year 2023 (source-stated date kept)
2023-06-01,2023-06-06,2023-06-06,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL AMENDING LAND USE PROVISIONS ON ZONING AND SUBDIVISIONS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1688584495_Ordinance%202023-06-01.pdf,2026-07-14,text,pdftotext_layout,raw/1688584495_Ordinance_2023-06-01.pdf,yes,Pass (unanimous),2023-06-06,4,medium,ordinance,2023-06-01,,2023-07-05,ordinances,"subject match, 2 shared terms (within 20d of header date)"
2023-06-01,2023-06-06,2023-06-06,AN ORDINANCE OF THE COPPERTON METRO TOWNSHIP COUNCIL AMENDING LAND USE PROVISIONS ON ZONING AND SUBDIVISIONS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/ordinances/documents/1742572872_Ordinance%202023-06-01.pdf,2026-07-14,text,pdftotext_layout,raw/1742572872_Ordinance_2023-06-01.pdf,yes,Pass (unanimous),2023-06-06,4,medium,ordinance,2023-06-01,1742573928_Ordinance_2023-06-01.pdf,2025-03-21,ordinances,"subject match, 2 shared terms (within 20d of header date)"
2023-06-01,2023-06-21,2023-06-21,"A RESOLUTION OF THE COPPERTON METRO TOWNSHIP COUNCIL APPROVING AND AUTHORIZING THE EXECUTION OF AN INTERLOCAL COOPERATION AGREEMENT WITH SALT LAKE COUNTY, TOWN OF ALTA, TOWN OF BRIGHTON, BLUFFDALE CITY, COTTONWOOD HEIGHTS CITY, DRAPER CITY, EMIGRATION CANYON METRO TOWNSHIP, HERRIMAN CITY, HOLLADAY C",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/copperton/resolutions/documents/1713814260_Resolution%202023-06-01.pdf,2026-07-14,text,pdftotext_layout,raw/1713814260_Resolution_2023-06-01.pdf,no,Pass (unanimous),2023-06-21,5,medium,resolution,2023-06-01,,2024-04-22,resolutions,"subject match, 2 shared terms (within 20d of header date)"
