ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,series,stored_locally
2024-06,,2024-03-19,"Ordinance 2024-06, Re-adopting the City’s Construction Standards and Specifications",https://www.sjc.utah.gov/Archive.aspx?ADID=340,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2024-03-19,3,within_source,general,no
2024-07,,2024-03-19,"Ordinance 2024-07, Vacating a portion of Right-of-Way",https://www.sjc.utah.gov/Archive.aspx?ADID=340,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2024-03-19,4,within_source,general,no
2024-08,,2024-04-02,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING CHAPTER 5.44 OF THE SOUTH JORDAN CITY MUNICIPAL CODE",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1712774186_ORDINANCE%202024-08%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-08.pdf,no,,2024-04-02,,low,general,yes
2024-08-Z,,2024-12-03,"Zoning Ordinance 2024-08-Z, Rezoning property located at 10537 S. 3010 W. and 10555 S. 3010 W. from R-1.8 (Single Family Residential) Zone to R-1.8 with the Fla",https://www.sjc.utah.gov/Archive.aspx?ADID=365,,na,motion-citation (derived from minutes; not independently corroborated),,yes,3-2 Pass,2024-12-03,3,within_source,zoning,no
2024-10,,2024-05-21,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING PORTIONS OF SECTIONS 17.08.010 (DEFINITIONS) AND 17.130.030 (ACCESSORY DWELLING UNIT FLOATING ZONE) OF THE SOUTH JORDAN CITY MUNICIPAL CODE RELATED TO THE DEFINITION OF INTERNAL ACCESSORY DWELLING UNIT AND SINGLE-FAMILY ZONES WHERE GUESTHOUSES MAY BE BUILT",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1717097532_ORDINANCE%202024-10%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-10.pdf,yes,,2024-05-21,,low,general,yes
2024-12,,2024-06-04,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING PORTIONS OF SECTIONS 7.03.060 INSURANCE) AND 7.05.030 (CHARGES FOR SPECIAL COMMUNITY SERVICES) OF THE SOUTH JORDAN CITY MUNICIPAL CITY CODE RELATING TO INSURANCE REQUIREMENTS FOR COMMERCIAL HAULERS AND WASTE PROGRAMS OFFERED TO RESIDENTS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1719249222_ORDINANCE%202024-12%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-12.pdf,no,,2024-06-04,,low,general,yes
2024-16,,2024-06-18,"Ordinance 2024-16, Vacating a segment of Dockerside Drive as described above",https://www.sjc.utah.gov/Archive.aspx?ADID=348,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2024-06-18,2,within_source,general,no
2024-17,,2024-09-03,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING PORTIONS OF SECTION 17.130.020 (RESIDENTIAL CHICKENS FLOATING ZONE) OF THE SOUTH JORDAN CITY MUNICIPAL CODE",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1725556860_ORDINANCE%202024-17%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-17.pdf,yes,,2024-09-03,,low,general,yes
2024-20,,2024-12-03,"Ordinance 2024-20, Amending City Code Section 5.12.020, 5.12.040, and 5.12.050 to create a South Jordan Package Agency License",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1733778643_ORDINANCE%202024-20%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-20.pdf,no,5-0 Pass,2024-12-03,5,high,general,yes
2024-22,,2024-10-15,"Ordinance 2024-22, Vacating Easements as stated above",https://www.sjc.utah.gov/Archive.aspx?ADID=361,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2024-10-15,2,within_source,general,no
2024-24,,2024-11-19,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF SOUTH JORDAN, UTAH, AMENDING SECTION 16.30.040 (QUTDOOR LANDSCAPING STANDARDS) OF THE SOUTH JORDAN CITY MUNICIPAL CODE TO PROHIBIT LAWN OUTSIDE OF ACTIVE RECREATION AREAS IN ALL COMMERCIAL, INDUSTRIAL | AND MULTI-FAMILY DEVELOPMENT COMMON AREA LANDSCAPES,",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1732136996_ORDINANCE%202024-24%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2024-24.pdf,yes,,2024-11-19,,low,general,yes
2025-02,,2025-06-17,"Ordinance 2025-02, Vacating small portions of right-of-way in the Daybreak Town Center along Grandville Avenue, Black Twig Drive and Betz Way",https://www.sjc.utah.gov/Archive.aspx?ADID=385,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2025-06-17,8,within_source,general,no
2025-02-Z,,2025-07-15,"Zoning Ordinance 2025-02-Z, Rezoning property generally located at approximately 500 West Ultradent Drive in the City of South Jordan from A-1 (Agricultural) Zo",https://www.sjc.utah.gov/Archive.aspx?ADID=387,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2025-07-15,5,within_source,zoning,no
2025-03,,2025-01-07,"Ordinance 2025-03, Vacating a portion of Right-of-Way on the east side of Ziggy Lane",https://www.sjc.utah.gov/Archive.aspx?ADID=367,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2025-01-07,3,within_source,general,no
2025-03-Z,,2025-05-06,"Zoning Ordinance 2025-03-Z, Rezoning property generally located at approximately 272 West 11100 South in the City of South Jordan from C-F (Commercial - Freeway",https://www.sjc.utah.gov/Archive.aspx?ADID=382,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2025-05-06,4,within_source,zoning,no
2025-04,,2025-06-03,"Ordinance 2025-04, Vacating a portion of Linger Lane right-of-way between Easy Bee Road and Lake Avenue",https://www.sjc.utah.gov/Archive.aspx?ADID=384,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2025-06-03,9,within_source,general,no
2025-04-Z,,2025-06-17,"Zoning Ordinance 2025-04-Z, Rezoning property located at 2511 West 10950 South in the City of South Jordan from A-5 (Agricultural, Minimum 5 acre lot) Zone to R",https://www.sjc.utah.gov/Archive.aspx?ADID=385,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-0 Pass,2025-06-17,10,within_source,zoning,no
2025-05-Z,,2025-08-05,"Zoning Ordinance 2025-05-Z, Rezoning property located at 9450 South Redwood Road in the City of South Jordan from P-O (Professional Office) Zone to A-1 (Agricul",https://www.sjc.utah.gov/Archive.aspx?ADID=389,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2025-08-05,4,within_source,zoning,no
2025-06,,2025-02-04,"Ordinance 2025-06, Amending Section 17.130.050 (Planned Development Floating Zone) of the South Jordan Municipal Code to include the area east of the FrontRunne",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1739991942_ORDINANCE%202025-06%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2025-06.pdf,yes,5-0 Pass,2025-02-04,1,high,general,yes
2025-06-Z,,2025-09-02,"Zoning Ordinance 2025-06-Z, Rezoning property located at 9828 S. Temple Drive, 9822 S. Temple Drive, and 9816 S. Temple Drive from R-2.5 (Single-Family Resident",https://www.sjc.utah.gov/Archive.aspx?ADID=393,,na,motion-citation (derived from minutes; not independently corroborated),,yes,4-1 Pass,2025-09-02,3,within_source,zoning,no
2025-07,,2025-03-04,"Council Member Zander moved to approve Ordinance 2025-07, amending Section 17.130.060 (Flag Lot Overlay Zone), Section 16.04.160 (Lots and Parcels), Section 17.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1741629606_ORDINANCE%202025-07%20-%20FINAL.pdf,2026-07-06,text,pdftotext-layout,raw/ordinances_archive/2025-07.pdf,yes,5-0 Pass,2025-03-04,5,high,general,yes
2025-08,,2025-03-18,"Ordinance 2025-08, Re-adopting the City's Construction Standards and Specifications",https://www.sjc.utah.gov/Archive.aspx?ADID=378,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2025-03-18,5,within_source,general,no
2025-08-Z,,2025-12-02,"Zoning Ordinance 2025-08-Z, Rezoning property generally located at 10378 South Jordan Gateway in the City of South Jordan from C-F (Commercial-Freeway) Zone to",https://www.sjc.utah.gov/Archive.aspx?ADID=404,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2025-12-02,7,within_source,zoning,no
2025-09,,2025-06-17,"Ordinance 2025-09, Amending Section 16.50.100 (Allowed, Prohibited, and Restricted Uses) of the South Jordan City Municipal Code to modify the uses within drink",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1751558087_ORDINANCE%202025-09%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2025-09.pdf,yes,3-2 Pass,2025-06-17,9,high,general,yes
2025-12,,2025-07-15,"Ordinance 2025-12, Adopting an amended and updated Parks & Recreation Impact Fee Facilities Plan and Impact Fee Analysis; adopting an amended and updated Impact",https://www.sjc.utah.gov/Archive.aspx?ADID=387,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2025-07-15,8,within_source,general,no
2025-13,,2025-06-03,"Ordinance 2025-13, Fixing the compensation for the South Jordan elective and statutory officers",https://www.sjc.utah.gov/Archive.aspx?ADID=384,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2025-06-03,8,within_source,general,no
2025-14,,2025-08-05,"Ordinance 2025-14, Fixing the compensation for the South Jordan City Recorder",https://www.sjc.utah.gov/Archive.aspx?ADID=389,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2025-08-05,5,within_source,general,no
2025-15,,2025-08-19,"Ordinance 2025-15, Amending the South Jordan Municipal Code § 10.28.090 B. relating to electronic bikes",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1755710266_ORDINANCE%202025-15%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2025-15.pdf,no,5-0 Pass,2025-08-19,8,high,general,yes
2025-16,,2025-10-07,"Ordinance 2025-16, Amending Chapters 17.18 (Uses), 17.30 (Agricultural Zones), 17.40 (Residential Zones), 17.54 (Redwood Road Mixed Use Zones), 17.72 (Planned C",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1760381776_ORDINANCE%202025-16%20-%20FINAL.pdf,2026-07-06,text,pdftotext-layout,raw/ordinances_archive/2025-16.pdf,yes,5-0 Pass,2025-10-07,3,high,general,yes
2025-17,,2025-11-18,"Ordinance 2025-17, Amending Chapters 16.04.160 (Lots and Parcels), 16.14 (Subdivision Amendment), 17.04.060 (Public Notices), 17.08 (Definitions Generally) of t",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1773690457_ORDINANCE%202025-17%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2025-17.pdf,yes,4-0 Pass,2025-11-18,6,high,general,yes
2025-18,,2025-10-21,"Ordinance 2025-18, Adopting an amended updated Storm Water Facilities Impact Fee Facilities Plan and Impact Fee Analysis; adopting an amended and updated Impact",https://www.sjc.utah.gov/Archive.aspx?ADID=399,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2025-10-21,4,within_source,general,no
2025-19,,2025-10-21,"Ordinance 2025-19, Amending Title 5.38.030: Preschools - Additional Requirements",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1761262595_ORDINANCE%202025-19%20-%20FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2025-19.pdf,no,5-0 Pass,2025-10-21,5,high,general,yes
2026-01,,2026-01-06,"Ordinance 2026-01, Vacating a portion of Rosary Way right-of-way east of Kitty Hawk Drive",https://www.sjc.utah.gov/Archive.aspx?ADID=410,,na,motion-citation (derived from minutes; not independently corroborated),,no,4-0 Pass,2026-01-06,3,within_source,general,no
2026-02,,2026-04-07,"Ordinance 2026-02, Vacating a portion of Arranmore Drive right-of-way East of Bingham Rim Road",https://www.sjc.utah.gov/DocumentCenter/View/11953/04-07-2026-South-Jordan-City-Council-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2026-04-07,4,within_source,general,no
2026-02-Z,,2026-03-03,"Zoning Ordinance 2026-02-Z, Rezoning property located at 10353 S. Temple Drive from A-1 (Agriculture) Zone to C-C (Community Commercial) with a Planned Developm",https://www.sjc.utah.gov/DocumentCenter/View/11947/03-03-2026-South-Jordan-City-Council-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2026-03-03,4,within_source,zoning,no
2026-03,,2026-02-03,2026 03,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1773412845_ORDINANCE%202026-03_FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2026-03.pdf,yes,5-0 Pass,2026-02-03,5,high,general,yes
2026-03-Z,,2026-03-03,"Zoning Ordinance 2026-03-Z, Rezoning property located at 11011 S. 1055 W. from A-1 (Agricultural) Zone to R-2.5 (Single-Family Residential) Zone. Derek Rindlisb",https://www.sjc.utah.gov/DocumentCenter/View/11947/03-03-2026-South-Jordan-City-Council-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2026-03-03,7,within_source,zoning,no
2026-04,,2026-02-17,2026 04,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1771435704_ORDINANCE%202026-04_FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2026-04.pdf,yes,5-0 Pass,2026-02-17,2,high,general,yes
2026-04-Z,,2026-05-19,"Zoning Ordinance 2026-04-Z, Rezoning property located at 10981 S Temple Drive from A-1 (Agricultural to R-2.5 (Single-Family Residential) Zone. Zerin Dixon Brew",https://www.sjc.utah.gov/DocumentCenter/View/12149/05-19-2026-South-Jordan-City-Council-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2026-05-19,4,within_source,zoning,no
2026-05,,2026-04-07,2026 05,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1776714575_ORDINANCE%202026-05_FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2026-05.pdf,yes,5-0 Pass,2026-04-07,6,high,general,yes
2026-06,,2026-03-03,2026 06,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1773072635_ORDINANCE%202026-06_FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2026-06.pdf,no,5-0 Pass,2026-03-03,2,high,general,yes
2026-07,,2026-04-07,2026 07,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1776714600_ORDINANCE%202026-07_FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2026-07.pdf,no,5-0 Pass,2026-04-07,7,high,general,yes
2026-08,,2026-04-07,"Ordinance 2026-08, Vacating a storm drain easement located on lot 123 of the Daybreak South Multi Family Plat 9 subdivision",https://www.sjc.utah.gov/DocumentCenter/View/11953/04-07-2026-South-Jordan-City-Council-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2026-04-07,5,within_source,general,no
2026-09,,2026-05-05,"Ordinance 2026-09, Vacating a public utility and drainage easement, a municipal water line easement, and an emergency access easement located generally within a",https://www.sjc.utah.gov/DocumentCenter/View/12148/05-05-2026-South-Jordan-Combined-City-Council--Redevelopment-Agency-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,no,5-0 Pass,2026-05-05,10,within_source,general,no
2026-10,,2026-05-05,"Ordinance 2026-10, Vacating a storm drain easement and an access easement located within Lot M-101 of the Daybreak South Station Multi Family #6 Subdivision",https://www.sjc.utah.gov/DocumentCenter/View/12148/05-05-2026-South-Jordan-Combined-City-Council--Redevelopment-Agency-Meeting-Minutes,,na,motion-citation (derived from minutes; not independently corroborated),,yes,5-0 Pass,2026-05-05,11,within_source,general,no
2026-11,,2026-05-19,2026 11,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1779385102_ORDINANCE%202026-11_FINAL.pdf,2026-07-06,text,pdftotext-layout,raw/ordinances_archive/2026-11.pdf,yes,5-0 Pass,2026-05-19,3,high,general,yes
2026-12,,2026-05-05,2026 12,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/southjordan/ordinances/documents/1778784885_ORDINANCE%202026-12_FINAL.pdf,2026-07-06,scanned,scanned image PDF (OCR/vision on signature page for date; body OCR deferred),raw/ordinances_archive/2026-12.pdf,no,5-0 Pass,2026-05-05,12,high,general,yes
