candidate,office_label,listing_label,folder_year,folder_period,url,filename
Sim Gill,District Attorney,2021 Year End Report,2021,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/gill-sim-2021ye.pdf,gill-sim-2021ye.pdf
Steve Nelson,District Attorney,2015 Summary Report/Dissolution,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/steve_nelson2015ye_dissolution.pdf,steve_nelson2015ye_dissolution.pdf
Steven L. DeBry,Council #5,2015 Summary Report,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/steve_debry2015ye_fd.pdf,steve_debry2015ye_fd.pdf
Steven L. DeBry,Council #5,2016 Summary Report,2016,2016_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2016_disclosures/2016_year_end/steven-debry_redacted.pdf,steven-debry_redacted.pdf
Steven L. DeBry,Council #5,2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/steven-debry_redacted.pdf,steven-debry_redacted.pdf
Steven L. DeBry,Council #5,Amendment to 2017 Summary Report,2017,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/steven-debry---amendment_redacted.pdf,steven-debry---amendment_redacted.pdf
Steven L. DeBry,Council #5,2018 Summary Report,2018,2018_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/2018_year_end/steve-debry_redacted.pdf,steve-debry_redacted.pdf
Steven L. DeBry,Council #5,"Through March 31, 2018",2018,april,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/april/steve-debry.pdf,steve-debry.pdf
Steven L. DeBry,Council #5,June,2018,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/june/steve-debry_redacted.pdf,steve-debry_redacted.pdf
Steven L. DeBry,Council #5,October,2018,october,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/october/steve-debry-10-30_redacted.pdf,steve-debry-10-30_redacted.pdf
Steven L. DeBry,Council #5,September,2018,september,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2018_disclosures/september/debry-steven-council-51.pdf,debry-steven-council-51.pdf
Steven L. DeBry,Council #5,2019 Year End Report,2019,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/steve-debry---redacted.pdf,steve-debry---redacted.pdf
Steven L. DeBry,Council #5,2020 Year End Report,2020,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/steve-debry---redacted.pdf,steve-debry---redacted.pdf
Steven L. DeBry,Council #5,2021 Year End Report,2021,(root),https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/debry-steve-2021ye.pdf,debry-steve-2021ye.pdf
Trent Staggs,Mayor,Dissolution Report,,forms,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/forms/staggs-dissolution_redacted.pdf,staggs-dissolution_redacted.pdf
Trent Staggs,Mayor,June 2020,2020,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/june/staggs-mayor_redacted.pdf,staggs-mayor_redacted.pdf
Trent Staggs,Mayor,Sept 2020,2020,june,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2020_disclosures/june/staggs-mayor_redacted.pdf,staggs-mayor_redacted.pdf
Wanda Amann,Clerk,2015 Summary Report/Dissolution,2015,2015_year_end,https://www.saltlakecounty.gov/globalassets/1-site-files/clerk/elections/financial-disclosures/financial_disclosure/2015_disclosures/2015_year_end/wanda_amann-2015ye_diss.pdf,wanda_amann-2015ye_diss.pdf
