ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
72 of 2021,2021-12-07,2021-12-07,Close the public hearing and adopt Ordinance 72 of 2021 pertaining to the Sugar House Business District Design Standards Zoning Text Amendment,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-12-07,13,within_source,Council,1,,minutes/2021/2021-12-06/2021-12-07_lba-and-council-formal-meeting.md,
73 of 2021,2021-12-07,2021-12-07,"Adopt Ordinance 73 of 2021 amending City Code relating to the EPA Revisions to Sewer Regulations (Pretreatment Affirmative Defense Provision), to take effect at the completion of the subsequent State regulatory process",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-12-07,15,within_source,Council,1,,minutes/2021/2021-12-06/2021-12-07_lba-and-council-formal-meeting.md,
74 of 2021,2021-12-14,2021-12-14,"Adopt Ordinance 74 of 2021 (Master Plan Amendment and Rezone at 129 S 700 East and 758 East Bueno Avenue) subject to restrictive covenant prohibiting short-term rentals and best efforts to salvage building materials, and direct staff to draft a legislative intent regarding affordable housing policy",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-12-14,2,within_source,Council,1,,minutes/2021/2021-12-13/2021-12-14_revised-council-formal-meeting.md,
75 of 2021,2021-12-14,2021-12-14,Adopt Ordinance 75 of 2021 amending the zoning of properties at approximately 835 South Redwood Road and 1668 West Indiana Avenue from R-1/5000 to R-MU-45,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-12-14,3,within_source,Council,1,,minutes/2021/2021-12-13/2021-12-14_revised-council-formal-meeting.md,
76 of 2021,2021-12-14,2021-12-14,Adopt Ordinance 76 of 2021 amending Section 21A.27.040 to allow for commercial uses on rooftops which exceed two stories in the FB-SE Zoning District,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-12-14,4,within_source,Council,1,,minutes/2021/2021-12-13/2021-12-14_revised-council-formal-meeting.md,
77 of 2021,2021-12-14,2021-12-14,Adopt Ordinance 77 of 2021 amending the Fiscal Year 2021-22 final budget of Salt Lake City including the employment staffing document for specified items,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2021-12-14,5,within_source,Council,1,,minutes/2021/2021-12-13/2021-12-14_revised-council-formal-meeting.md,
78 of 2021,2021-12-14,2021-12-14,"Adopt Ordinance 78 of 2021, the 2020 Street Light Master Plan, with qualifications regarding wireless cell facilities on light poles and inclusion of the dark skies Statement of Intent",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2021-12-14,6,within_source,Council,1,,minutes/2021/2021-12-13/2021-12-14_revised-council-formal-meeting.md,
1 of 2022,2022-01-04,2022-01-04,"Continue the public hearing to a future date and adopt partial final budget amendment for Ordinance 01 of 2022, amending the FY 2021-22 final budget including: A-1 Salt Lake County Police Services at Homeless Resource Centers Contract ($400,000 from Fund Balance), E-1 COVID-19 Local Assistance Matching Grant for the Switchpoint Hotel Project ($3 million from Misc. Grants), I-1 Council Office Reclassification and Amending FY22 Appointed Pay Plan (-0-), and I-2 CARES Act Unused Funds – Firefighter Personnel Expenses (Estimated at $47,000).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-01-04,2,within_source,Council,1,,minutes/2022/2022-01-03/2022-01-04_council-formal-meeting.md,
2 of 2022,2022-01-18,2022-01-18,"Close the Public Hearing and adopt Ordinance 2 of 2022, amending the FY 2021-22 final budget of Salt Lake City only for items as shown on the motion sheet, including I-3: Rescope FY22 CIP Funds for Tennis Improvements at a New Location from Wasatch Hills Tennis Center to Liberty Park Tennis Center ($400,000 in CIP Fund).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-01-18,3,within_source,Council,1,,minutes/2022/2022-01-17/2022-01-18_council-formal-meeting.md,
3 of 2022,2022-01-18,2022-01-18,"Adopt Ordinance 3 of 2022, establishing the Salt Lake City Designated Water Service Area and approve the map that identifies the area.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-01-18,6,within_source,Council,1,,minutes/2022/2022-01-17/2022-01-18_council-formal-meeting.md,
4 of 2022,2022-02-15,2022-02-15,"Adopt Ordinance 4 of 2022: Budget Amendment No. 4 for Fiscal Year 2021-22, only for item E-2: Emergency Winter Overflow Shelter Lease Payment Support.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,5-2 Pass,2022-02-15,7,within_source,Council,1,,minutes/2022/2022-02-14/2022-02-15_council-formal-meeting.md,
5 of 2022,2022-02-15,2022-02-15,Adopt Ordinance 5 of 2022 formally establishing the Accessibility and Disability Commission.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-02-15,8,within_source,Council,1,,minutes/2022/2022-02-14/2022-02-15_council-formal-meeting.md,
6 of 2022,2022-03-01,2022-03-01,Close the public hearing and adopt Ordinance 6 of 2022: Budget Amendment No. 6 for Fiscal Year 2021-22 including the employment staffing document only for items as shown on the motion sheet (partial adoption). (1st Action – Motion 1),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-03-01,3,within_source,Council,3,,minutes/2022/2022-02-28/2022-03-01_revised-council-formal-meeting.md,
7 of 2022,2022-03-01,2022-03-01,Adopt Ordinance 7 of 2022: Rezone and Master Plan Amendment for the Former Fire Station No. 3 Property.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-03-01,6,within_source,Council,1,,minutes/2022/2022-02-28/2022-03-01_revised-council-formal-meeting.md,
8 of 2022,2022-03-01,2022-03-01,Adopt Ordinance 8 of 2022: Rezone at 1193 West California Avenue.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-03-01,7,within_source,Council,1,,minutes/2022/2022-02-28/2022-03-01_revised-council-formal-meeting.md,
9 of 2022,2022-03-01,2022-03-01,Adopt Ordinance 9 of 2022: Rezone at 2060 North 2200 West.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-03-01,8,within_source,Council,1,,minutes/2022/2022-02-28/2022-03-01_revised-council-formal-meeting.md,
10 of 2022,2022-03-01,2022-03-01,Adopt Ordinance 10 of 2022: Assessment for the Central Business Improvement Area – 22 (CBIA-22).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-03-01,9,within_source,Council,1,,minutes/2022/2022-02-28/2022-03-01_revised-council-formal-meeting.md,
11 of 2022,2022-03-22,2022-03-22,"Adopt Ordinance 11 of 2022, Text Amendment for Notice of Work in the Public Right of Way.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-03-22,7,within_source,Council,1,,minutes/2022/2022-03-21/2022-03-22_revised-council-formal-meeting.md,
12 of 2022,2022-03-22,2022-03-22,"Adopt Ordinance 12 of 2022, Special Event Permits of Less than 31 Days, extending the maximum length of a special event permit for park use from 20 to 31 days provided the Mayor approves the event for a reason identified in writing.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-03-22,9,within_source,Council,1,,minutes/2022/2022-03-21/2022-03-22_revised-council-formal-meeting.md,
16 of 2022,2022-04-19,2022-04-19,"Partially adopt Ordinance 16 of 2022 amending the FY 2021-22 final budget for Item E-10 Community Grants Program ($4M from ARPA), contingent upon following the Community Recovery Committee process",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-04-19,9,within_source,Council,1,,minutes/2022/2022-04-18/2022-04-19_lba-and-council-formal-meeting.md,
17 of 2022,2022-04-19,2022-04-19,"Adopt Ordinance 17 of 2022, amending Salt Lake City Code Chapters 2.07 and 2.20 to establish the Community Grant Program and create the Community Recovery Committee",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-04-19,10,within_source,Council,1,,minutes/2022/2022-04-18/2022-04-19_lba-and-council-formal-meeting.md,
18 of 2022,2022-04-19,2022-04-19,"Adopt Ordinance 18 of 2022, approving a $100,000 loan for The Current Exchange from the Economic Development Loan Fund",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-04-19,11,within_source,Council,1,,minutes/2022/2022-04-18/2022-04-19_lba-and-council-formal-meeting.md,
19 of 2022,2022-04-19,2022-04-19,"Adopt Ordinance 19 of 2022, approving a $100,000 loan for Mindful Living Wellness Center from the Economic Development Loan Fund",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-04-19,12,within_source,Council,1,,minutes/2022/2022-04-18/2022-04-19_lba-and-council-formal-meeting.md,
20 of 2022,2022-05-03,2022-05-03,Close the public hearing and adopt Ordinance 20 of 2022 amending the FY 2021-22 final budget of Salt Lake City including the employment staffing document for specified items on the motion sheet.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-03,10,within_source,Council,1,,minutes/2022/2022-05-02/2022-05-03_lba-rda-and-council-formal-meeting.md,
21 of 2022,2022-05-03,2022-05-03,"Adopt Ordinance 21 of 2022, an amendment to rename the Housing and Neighborhood Development Division (HAND) as the Housing Stability Division.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-03,12,within_source,Council,1,,minutes/2022/2022-05-02/2022-05-03_lba-rda-and-council-formal-meeting.md,
22 of 2022,2022-05-03,2022-05-03,"Adopt Ordinance 22 of 2022, amending the Fiscal Year 2021-22 final budget of Salt Lake City including the employment staffing document for specified Foothills Trailhead items on the motion sheet.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-03,15,within_source,Council,1,,minutes/2022/2022-05-02/2022-05-03_lba-rda-and-council-formal-meeting.md,
23 of 2022,2022-05-03,2022-05-03,"Adopt Ordinance 23 of 2022, amending Salt Lake City Code Chapter 2.54 pertaining to the use of city-owned vehicles.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-03,16,within_source,Council,1,,minutes/2022/2022-05-02/2022-05-03_lba-rda-and-council-formal-meeting.md,
24 of 2022,2022-05-10,2022-05-10,Adopt Ordinance 24 of 2022 20 MPH Default Speed Limit on City Streets.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-10,3,within_source,Council,1,,minutes/2022/2022-05-09/2022-05-10_limited-council-formal-meeting.md,
25 of 2022,2022-05-17,2022-05-17,"Close the public hearing and adopt Ordinance 25 of 2022: Library Budget Amendment No. 1 for Fiscal Year 2021-22 (item A-1 only: increase library budget for pass-through property tax increment related to the Inland Port and Convention Center Hotel, $500,000 from pass-through Property Taxes)",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-17,8,within_source,Council,1,,minutes/2022/2022-05-16/2022-05-17_revised-lba-rda-and-council-formal-meeting.md,
26 of 2022,2022-05-17,2022-05-17,"Adopt Ordinance 26 of 2022: Rezone and Master Plan Amendment at 1950 S West Temple and 1948 S West Temple, subject to conditions (parcel consolidation and restrictive covenant limiting building height to 35 feet)",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-05-17,11,within_source,Council,1,,minutes/2022/2022-05-16/2022-05-17_revised-lba-rda-and-council-formal-meeting.md,
27 of 2022,2022-05-17,2022-05-17,Adopt Ordinance 27 of 2022: Rezone and Master Plan Amendment at 1902 South 400 East,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-05-17,12,within_source,Council,1,,minutes/2022/2022-05-16/2022-05-17_revised-lba-rda-and-council-formal-meeting.md,
28 of 2022,2022-05-17,2022-05-17,Adopt Ordinance 28 of 2022: Protecting Patient Privacy and Rights Near Healthcare Facilities,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-05-17,15,within_source,Council,1,,minutes/2022/2022-05-16/2022-05-17_revised-lba-rda-and-council-formal-meeting.md,
29 of 2022,2022-06-07,2022-06-07,"Adopt Ordinance 29 of 2022: Zoning Map Amendment at Western Gardens, 550 South 600 East, rezoning from CN to FB-UN2.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-06-07,7,within_source,Council,1,,minutes/2022/2022-06-06/2022-06-07_lba-rda-and-council-formal-meeting.md,
30 of 2022,2022-06-07,2022-06-07,"Adopt Ordinance 30 of 2022 approving the Salt Lake City Reimagine Nature Master Plan, subject to a revision requiring any referenced friends group or 501(c)(3) supporting City parks to be separate from the City, not managed by City employees, and have a contractual, transparent relationship with the City.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-06-07,8,within_source,Council,1,,minutes/2022/2022-06-06/2022-06-07_lba-rda-and-council-formal-meeting.md,
31 of 2022,2022-06-07,2022-06-07,"Adopt Ordinance 31 of 2022 approving a $150,000 loan for Buddies, Inc. from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-07,9,within_source,Council,1,,minutes/2022/2022-06-06/2022-06-07_lba-rda-and-council-formal-meeting.md,
32 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 32 of 2022 approving Salt Lake City's Fiscal Year 2022-23 budget as outlined in the key changes spreadsheets and staffing document, excluding the schedule for capital projects and debt and the Library Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,20,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
33 of 2022,2022-06-14,2022-06-14,Adopt Ordinance 33 of 2022 approving the budget of the City Library Fund for Fiscal Year 2022-2023.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,14,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
34 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 34 of 2022 adopting the rate of the tax levy, including the levy for the Library Fund, upon all real and personal property within Salt Lake City made taxable by law for Fiscal Year 2022-2023.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,13,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
35 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 35 of 2022 amending Chapter 5.02, Salt Lake City Code, Available Methods of Delivering Records Related to Business Licensing.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,11,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
36 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 36 of 2022 amending Chapter 15.16, Salt Lake City Code, Addressing Certain Fees for the Use and Cleaning of the City's Recreational Facilities.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,12,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
37 of 2022,2022-06-14,2022-06-14,Adopt Ordinance 37 of 2022 amending the Salt Lake City Consolidated Fee Schedule including a 6.2% increase to all fees paid into the General Fund and removing the meter obstruction fee.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,15,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
38 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 38 of 2022 appropriating necessary funds to implement, for Fiscal Year 2023, the provisions of the memorandum of understanding between Salt Lake City Corporation and the American Federation of State, County, and Municipal Employees Local 1004, representing eligible employees in City departments.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,17,within_source,Council,2,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
39 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 39 of 2022 appropriating necessary funds to implement, for Fiscal Year 2023, the provisions of the memorandum of understanding between Salt Lake City Corporation and the Salt Lake Police Association, representing eligible employees in the Police Department.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,18,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
40 of 2022,2022-06-14,2022-06-14,"Adopt Ordinance 40 of 2022 appropriating necessary funds to implement, for Fiscal Year 2023, the provisions of the memorandum of understanding between Salt Lake City Corporation and the International Association of Firefighters Local 81, representing eligible employees in the Fire Department.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,16,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
41 of 2022,2022-06-14,2022-06-14,Adopt Ordinance 41 of 2022 approving the Fiscal Year 2023 Compensation Plan for all non-represented employees of Salt Lake City Corporation.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-06-14,19,within_source,Council,1,,minutes/2022/2022-06-13/2022-06-14_lba-rda-and-council-formal-meeting.md,
42 of 2022,2022-07-19,2022-07-19,"Suspend the rules and adopt Ordinance 42 of 2022 Updating Salt Lake City Corporation's practices regarding donations to the City, with specified changes",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-07-19,4,within_source,Council,1,,minutes/2022/2022-07-18/2022-07-19_council-formal-meeting.md,
43 of 2022,2022-07-19,2022-07-19,"Adopt Ordinance 43 of 2022 Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW) and Gender Equity, enacting chapter 10.08 of the Salt Lake City Code pertaining to gender equality",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-07-19,5,within_source,Council,1,,minutes/2022/2022-07-18/2022-07-19_council-formal-meeting.md,
44 of 2022,2022-08-16,2022-08-16,"Close the public hearing and partially adopt Ordinance 44 of 2022, amending the Fiscal Year 2023 final budget of Salt Lake City including the employment staffing document only for items A-4 (GO Bond Public Outreach and Engagement, $150,000 from General Fund Balance) and D-2 (CIP Transfer for General Fund Security, $1,200,000 from CIP Fund to General Fund).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-08-16,3,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
45 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 45 of 2022, amending the zoning of the property at approximately 1902 North, 1932 North, 1944 North, and 1954 North Rose Park Lane from R-1/7,000 (Single Family Residential District) to OS (Open Space District).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-08-16,5,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
46 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 46 of 2022, amending the zoning of the property located at approximately 858 West and 860 West Hoyt Place from R-1/5,000 (Single Family Residential District) to SR-3 (Special Development Pattern Residential District).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-08-16,6,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
47 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 47 of 2022, amending the zoning of the property located at approximately 805 South 800 West from M-1 (Light Manufacturing District) to R-MU-35 (Residential/Mixed Use District).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-08-16,7,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
48 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 48 of 2022, amending the general plan land use designation of a property located at approximately 2435 South 500 East from Low Density Residential to Medium Density Residential and the zoning map from R-1-7,000 Residential to RMF-35 Moderate Density Multi-Family Residential District.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-08-16,8,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
49 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 49 of 2022, amending the zoning text of Subsection 21A.24.110.F of the Salt Lake City Code pertaining to building coverage in the R-2 Single and Two-Family Residential District.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-08-16,9,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
50 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 50 of 2022, amending the Salt Lake City Code Chapter 2.20 to modify the membership of the Community Recovery Committee.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-08-16,11,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
51 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 51 of 2022, granting a Telecommunication Franchise to Uniti National, LLC.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-08-16,12,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
52 of 2022,2022-08-16,2022-08-16,"Adopt Ordinance 52 of 2022 approving a $350,000 loan for Chip Cookies, LLC, from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-08-16,15,within_source,Council,1,,minutes/2022/2022-08-15/2022-08-16_council-formal-meeting.md,
57 of 2022,2022-09-20,2022-09-20,"Close the public hearing and adopt Ordinance 57 of 2022, approving Budget Amendment No. 2 for Fiscal Year 2022-23.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-09-20,3,within_source,Council,1,,minutes/2022/2022-09-19/2022-09-20_council-formal-meeting.md,
58 of 2022,2022-09-20,2022-09-20,"Close the public hearing and adopt Ordinance 58 of 2022, amending the Fiscal Year 2023 final budget only for Item A-2: Deeply Affordable Housing to Address Immediate and Long-term Homeless Needs ($6 million from CIP Holding Account to General Fund) and creation of Homelessness Housing Grant Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-09-20,4,within_source,Council,1,,minutes/2022/2022-09-19/2022-09-20_council-formal-meeting.md,
59 of 2022,2022-09-20,2022-09-20,"Close the public hearing and adopt Ordinance 59 of 2022, amending the implementation plan for Growing SLC: A Five Year Housing Plan 2018-2022.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-09-20,5,within_source,Council,1,,minutes/2022/2022-09-19/2022-09-20_council-formal-meeting.md,
60 of 2022,2022-09-20,2022-09-20,"Adopt Ordinance 60 of 2022, amending the zoning map for a parcel at 1330 South 700 West to rezone from R-1/7,000 (Single-Family Residential District) to CB (Community Business).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2022-09-20,7,within_source,Council,1,,minutes/2022/2022-09-19/2022-09-20_council-formal-meeting.md,
61 of 2022,2022-09-20,2022-09-20,"Adopt Ordinance 61 of 2022, approving a $50,000 loan for Kahve Cafe, LLC from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2022-09-20,9,within_source,Council,1,,minutes/2022/2022-09-19/2022-09-20_council-formal-meeting.md,
62 of 2022,2022-10-04,2022-10-04,Adopt Ordinance 62 of 2022 Green Street Alley Vacation,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2022-10-04,7,within_source,Council,1,,minutes/2022/2022-10-03/2022-10-04_revised-council-formal-meeting.md,
63 of 2022,2022-10-04,2022-10-04,Adopt Ordinance 63 of 2022 Budget Amendment No. 3 for Fiscal Year 2022-23 for specified items,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2022-10-04,8,within_source,Council,1,,minutes/2022/2022-10-03/2022-10-04_revised-council-formal-meeting.md,
