candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Colin DeFord,County Council,2016,2016-10-31,Pre-Election,statement,7976.41,6609.92,,1116.49,,,,,,,,0,0,raw/2016/4013_Colin-DeFord.pdf,4013,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative columns left blank. The form carries the clerk's own printed instruction box: 'Enter the information from your last report in the last report column' — direct source evidence for the Current | Last | Cumulative column order.
Douglas Clyde,County Council,2016,2016-12-26,Post-Election,statement,9905.19,9905.19,,0.00,,,,,,,,0,0,raw/2016/4305_Doug-Clyde-General-Final.pdf,4305,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; the campaign-balance Current and Last cells are EMPTY, only Cumulative printed. Carries the clerk's printed instruction box ('Enter the information from your last report in the last report column'). Column-order cross-check: Last Report reproduces doc 4019's CUMULATIVE figures."
Douglas Clyde,County Council,2016,2016-11-01,Pre-Election,statement,5170.00,9432.19,,-4262.19,,,,,,,,0,0,raw/2016/4019_Douglas-Clyde.pdf,4019,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; the campaign-balance row has the Current and Last cells EMPTY and only the Cumulative printed. Indexed as a Pre-Election report.
Glenn J Wright,County Council,2016,2016-11-12,Post-Election,statement,7135.78,7135.78,,0,,,,,,,,0,0,raw/2016/4180_Glenn-Wright_Final.pdf,4180,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typewriter-filled cover, all three columns printed. Column-order cross-check: Last Report reproduces doc 4009's Current figures exactly."
Glenn J Wright,County Council,2016,2016-10-28,Pre-Election,statement,6981.07,6981.07,,0.00,,,,,,,,0,0,raw/2016/4009_Genn-Wright.pdf,4009,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report column left blank. Signature line typed 'on pdf GJW'.
Kim A Carson,County Council,2016,2016-12-09,Post-Election,statement,250.00,250.00,,0.00,,,,,,,,0,0,raw/2016/4279_Kim-Carson-2016-Final.pdf,4279,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; identical figures to the filer's Pre-Election report (doc 3983).
Kim A Carson,County Council,2016,2016-09-28,Pre-Election,statement,250.00,250.00,,0.00,,,,,,,,0,0,raw/2016/3983_Kim-Carson.pdf,3983,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed."
Roger Armstrong,County Council,2016,2016-09-23,Pre-Election,statement,0,0,,0,,,,,,,,0,0,raw/2016/3806_Roger-Armstrong.pdf,3806,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; every printed figure is '$0' (no cents). Last Report column left blank.
Tal W Adair,County Council,2016,2016-12-08,Post-Election,statement,22427.00,-25353.12,,-2926.32,,,,,,,,0,0,raw/2016/4278_Tal-Adair-2016-Final.pdf,4278,medium,"form_variant=split50; column order current_report | last_report | cumulative_totals | contribution line <=$50 printed no readable figure — NOT treated as zero | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=none (no parseable cell in this row: empty/empty/empty)]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover; re-read at 300dpi zoom to fix ambiguous digits. Current >$50 written with no cents ('13,697'). The Last Report column does NOT reproduce this filer's own Pre-Election (doc 4020) figures — 4020 printed expenditures 7,560.88 and balance 1,169.12 while this sheet carries 7,710.68 / 1019.12; the cumulative expenditure cell is written as a NEGATIVE (-25,353.12). Filer arithmetic retained exactly as filed. The <=$50 cells are a dash / slashed-zero nil mark, recorded as blank. CORRECTION 2026-08-02 (verification pass): the Last Report expenditure cell was transcribed $7760.68; re-read at 400 dpi it is $7,710.68 (the third digit is a 1, not a 6). The filer's own arithmetic confirms it: 17,642.44 + 7,710.68 = 25,353.12, exactly the printed cumulative (which he wrote as a negative, -25,353.12). Contributions (13,697 + 8,730.00 = 22,427.00) and balance (-3,945.44 + 1,019.12 = -2,926.32) also reconcile exactly on this sheet. No promoted figure changes (the cumulative column is promoted); cover_totals.csv verbatim is corrected. Separately and honestly: this Last Report column does NOT reproduce his own Pre-Election sheet (4020: expenditures 7,560.88, balance 1,169.12) - the filer restated, and both sheets are retained as filed."
Tal W Adair,County Council,2016,2016-10-31,Pre-Election,statement,8730.00,7560.88,,1169.12,,,,,,,,0,0,raw/2016/4020_Tal-Adair.pdf,4020,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | contribution line <=$50 printed no readable figure — NOT treated as zero | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=none (no parseable cell in this row: empty/empty/empty)]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten cover, legible despite the 'low' OCR sidecar. The <=$50 cells hold a slashed-zero nil mark in the Current and Cumulative columns; recorded as blank rather than as a numeric 0. Office written as bare 'County Council' with no seat letter."
Margaret Olson,County Attorney,2018,2018-11-26,Post-Election,statement,900.00,858.19,,41.81,,,,,,,,0,0,raw/2018/8366_Margaret-Olson-Final.pdf,8366,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | The filer's Pre-Election sheet (doc 8193) re-filed as the Post-Election report, re-dated 11/26/18; figures unchanged. n/a in every Last Report cell."
Margaret Olson,County Attorney,2018,2018-10-30,Pre-Election,statement,900.00,858.19,,41.81,,,,,,,,0,0,raw/2018/8193_Margaret-Olson.pdf,8193,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | FORM-VARIANT SEAM: this is the newer '2018 CAMPAIGN FINANCIAL REPORT' sheet with a SINGLE 'Total contributions' row (no >$50 / <=$50 split) plus address/phone fields. Same Current | Last | Cumulative column order. Handwritten, legible; filer wrote n/a in every Last Report cell."
Michael Howard,County Auditor,2018,2018-12-02,Post-Election,statement,587.08,587.08,,0.00,,,,,,,,0,0,raw/2018/8399_Michael-Howard-Final.pdf,8399,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | The filer's Pre-Election sheet (doc 8194) re-filed as the Final report; the typed date 10/12/18 stands and '12/2/18' is hand-added below it (highlighted on the published PDF). Last Report expenditure cell EMPTY, as on 8194."
Michael Howard,County Auditor,2018,2018-10-12,Pre-Election,statement,587.08,587.08,,0.00,,,,,,,,0,0,raw/2018/8194_Michael-Howard.pdf,8194,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; the Last Report expenditure cell alone is EMPTY (the other Last cells print $0.00).
Kent H Jones,County Clerk,2018,2018-11-26,Post-Election,statement,0.00,587.08,,-587.08,,,,,,,,0,0,raw/2018/8356_Kent-Jones-Final.pdf,8356,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; identical figures to the filer's Pre-Election sheet (doc 8195), re-dated 11/26/18 (date highlighted on the published PDF)."
Kent H Jones,County Clerk,2018,2018-10-18,Pre-Election,statement,0.00,587.08,,-587.08,,,,,,,,0,0,raw/2018/8195_Kent-Jones.pdf,8195,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed. Zero contributions with $587.08 of expenditures — self-funded/unreported, as filed."
Chris Robinson,County Council,2018,2018-11-26,Post-Election,statement,254.00,254.00,,0.00,,,,,,,,0,0,raw/2018/8354_Christopher-Robinson-Final.pdf,8354,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; this is the filer's Pre-Election sheet (doc 8190) re-filed as the Post-Election report — the typed date '19-Oct-18' is struck out and '11/26/18' hand-written over it (highlighted on the published PDF). Figures unchanged from 8190.
Chris Robinson,County Council,2018,2018-10-19,Pre-Election,statement,254.00,254.00,,0.00,,,,,,,,0,0,raw/2018/8190_Chris-Robinson.pdf,8190,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed."
Glenn Wright,County Council,2018,2018-11-26,Post-Election,statement,1180.17,1180.17,,0.00,,,,,,,,0,0,raw/2018/8355_Glenn-Wright-Final.pdf,8355,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; identical figures to the filer's Pre-Election sheet (doc 8191), re-dated 11/26/18."
Glenn Wright,County Council,2018,2018-10-29,Pre-Election,statement,1180.17,1180.17,,0.00,,,,,,,,0,0,raw/2018/8191_Glenn-Wright.pdf,8191,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed."
Josh Mann,County Council,2018,,Post-Election,statement,330.00,1068.53,,0.00,,,,,,,,0,0,raw/2018/8397_Joshua-Mann-Final.pdf,8397,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed; candidate name highlighted on the published PDF. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged. Only '12/8' is written (the filer omitted the year), so it is kept verbatim and the derived filing_date stays BLANK — never completed from the cycle year."
Josh Mann,County Council,2018,,Pre-Election,statement,330.00,1031.13,,0.00,,,,,,,,0,0,raw/2018/8192_Joshua-Mann.pdf,8192,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative columns left blank. The signature date line is left EMPTY on the form.
Rhonda Francis,County Recorder/Surveyor,2018,2018-11-26,Post-Election,statement,,293.54,,,,,,,,,,0,0,raw/2018/8359_Rhonda-Francis-Final.pdf,8359,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[none (no parseable cell in this row: empty/empty/empty)]; expenditures[current (cumulative cell empty)]; ending_balance[none (no parseable cell in this row: empty/empty/empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | The filer's Pre-Election sheet (doc 8196) re-filed as the Post-Election report, re-dated 11/26/18; identical single filled cell ('$293 54/100'). Contributions and balance rows EMPTY."
Rhonda Francis,County Recorder/Surveyor,2018,2018-07-25,Pre-Election,statement,,293.54,,,,,,,,,,0,0,raw/2018/8196_R-Francis.pdf,8196,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[none (no parseable cell in this row: empty/empty/empty)]; expenditures[current (cumulative cell empty)]; ending_balance[none (no parseable cell in this row: empty/empty/empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Newer '2018 CAMPAIGN FINANCIAL REPORT' single-total sheet, handwritten. ONLY the Current Report expenditure cell is filled ('$293 54/100' = $293.54); the contributions and campaign-balance rows are entirely EMPTY (blank, not zero) — an honest filer blank, never imputed."
Justin Martinez,County Sheriff,2018,2018-11-26,Post-Election,statement,5809.71,3225.17,,2584.54,,,,,,,,0,0,raw/2018/8358_Justin-Martinez-Final.pdf,8358,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover, all three columns printed. Column-order cross-check: Last Report reproduces doc 8205's Current figures exactly."
Justin Martinez,County Sheriff,2018,2018-10-24,Pre-Election,statement,5809.71,687.52,,5122.19,,,,,,,,0,0,raw/2018/8205_Justin-Martinez.pdf,8205,high,form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=current (cumulative cell empty); <=$50=current (cumulative cell empty)]]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed cover; Last Report and Cumulative columns left blank.
Stephanie Larsen,County Assessor,2020,2020-12-02,Post-Election,statement,1480.52,1480.52,,0.00,,,,,,,,0,0,raw/2020/12947_Stephanie-Larsen.pdf,12947,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Re-post of the filer's Pre-Election sheet (doc 11862) as the Post-Election report; identical printed content. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Stephanie Larsen,County Assessor,2020,2020-10-24,Pre-Election,statement,1480.52,1480.52,,0.00,,,,,,,,0,0,raw/2020/11862_Larsen.pdf,11862,high,form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2020 single-total sheet; Last Report and Cumulative columns left blank.
Douglas Clyde,County Council,2020,2020-12-01,Post-Election,statement,0.00,277.38,,-277.38,,,,,,,,0,0,raw/2020/12941_Doug-Clyde-Final.pdf,12941,high,form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | The filer's Pre-Election sheet (doc 11860) re-filed as the Post-Election report: the typed/handwritten date 10/25/20 is struck out and '12/1/20' written below. Cell values identical to 11860; slashed-zero nil marks recorded as blank. zero-glyph audit 2026-08-02 (coordinator): this filing's blank-audit cells were re-rendered at FULL page and re-read; cells set to 'Ø' held a deliberate slashed-zero glyph on the form face (owner ruling 2026-08-02: zero-denoting glyphs = the digit 0; dashes/N-A/empty stay blank).
Douglas Clyde,County Council,2020,2020-10-25,Pre-Election,statement,0.00,277.38,,-277.38,,,,,,,,0,0,raw/2020/11860_Clyde.pdf,11860,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2020 single-total sheet, legible despite the 'low' OCR sidecar. The contributions row and the Current expenditure cell are a slashed-zero nil mark, recorded as blank (the filer struck the cell rather than writing 0). Cents written as superscripts. zero-glyph audit 2026-08-02 (coordinator): this filing's blank-audit cells were re-rendered at FULL page and re-read; cells set to 'Ø' held a deliberate slashed-zero glyph on the form face (owner ruling 2026-08-02: zero-denoting glyphs = the digit 0; dashes/N-A/empty stay blank)."
Malena Stevens,County Council,2020,2020-12-02,Post-Election,statement,10157.17,9642.52,,514.65,,,,,,,,0,0,raw/2020/12943_Melana-Stevens-Final.pdf,12943,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2020 single-total sheet, legible. Campaign-balance Current and Last cells EMPTY. Column-order cross-check: Last Report reproduces doc 11861's CUMULATIVE figures exactly (10,157.17 / 9,217.72). CORRECTION 2026-08-02 (verification pass): the cumulative expenditure was transcribed 9,647.52; re-read at 600 dpi it is 9,642.52 (the digit is a 2, not a 7 - compare the filer's 7 in the adjacent 9,217.72). 424.80 + 9,217.72 = 9,642.52 exactly. stated_total_expenditures changes 9647.52 -> 9642.52."
Malena Stevens,County Council,2020,2020-10-25,Pre-Election,statement,10157.17,9217.72,,939.45,,,,,,,,0,0,raw/2020/11861_Stevens.pdf,11861,medium,form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Very faint scan of the handwritten 2020 single-total sheet; the Current Report cells read '389' with no cents (medium confidence on that pair). Campaign-balance Current and Last cells are EMPTY. Column-order cross-check: Last Report reproduces doc 11110's Current figures exactly.
Malena Stevens,County Council,2020,2020-06-23,Primary,statement,9768.17,8828.72,,939.45,,,,,,,,0,0,raw/2020/11110_Stevens.pdf,11110,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | '2020 CAMPAIGN FINANCIAL REPORT' single-total sheet, handwritten, legible. Office written 'Summit County Council' with 'Seat C' inserted above the line. Last Report column left blank. Indexed as the Primary report."
Roger Armstrong,County Council,2020,2020-12-01,Post-Election,statement,421.61,421.61,,0,,,,,,,,0,0,raw/2020/12942_Roger-Armstrong-Final.pdf,12942,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Byte-different re-post of the filer's Pre-Election sheet (doc 11859) as the Post-Election report; identical printed content, Last Report and Cumulative columns blank. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Roger Armstrong,County Council,2020,2020-10-23,Pre-Election,statement,421.61,421.61,,0,,,,,,,,0,0,raw/2020/11859_Armstrong.pdf,11859,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typewriter-filled 2020 single-total sheet; Last Report and Cumulative columns left blank. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Rhonda Francis,County Recorder/Surveyor,2020,2020-12-01,Post-Election,statement,0.00,597.80,,0.00,,,,,,,,0,0,raw/2020/12944_Rhonda-Francis-Final.pdf,12944,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2020 single-total sheet, legible despite the 'low' OCR sidecar. Contributions and campaign-balance cells carry a slashed-zero nil mark (recorded blank); the Current expenditure cell is left empty and the prior period's 597.80 is carried in Last Report and Cumulative. zero-glyph audit 2026-08-02 (coordinator): this filing's blank-audit cells were re-rendered at FULL page and re-read; cells set to 'Ø' held a deliberate slashed-zero glyph on the form face (owner ruling 2026-08-02: zero-denoting glyphs = the digit 0; dashes/N-A/empty stay blank)."
Rhonda Francis,County Recorder/Surveyor,2020,2020-10-21,Pre-Election,statement,0.00,597.80,,-597.80,,,,,,,,0,0,raw/2020/11863_Francis.pdf,11863,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2020 single-total sheet, legible; Last Report and Cumulative columns left blank."
Corrie Forsling,County Treasurer,2020,2020-10-26,Post-Election,statement,619.72,619.72,,0.00,,,,,,,,0,0,raw/2020/11871_Forsling.pdf,11871,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2020 single-total sheet, all three columns printed. Indexed as the Post-Election report."
Margaret Olson,County Attorney,2022,2022-12-08,Post-Election,statement,3500.00,2073.77,,0.00,,,,,,,,0,0,raw/2022/20760_Olson-Post-Election-2022.pdf,20760,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2022 single-total sheet, legible despite the 'low' OCR sidecar. Every Current Report cell and the whole balance row are a slashed-zero nil mark (recorded blank). Column-order cross-check: Last Report reproduces doc 20641's Current figures exactly. zero-glyph audit 2026-08-02 (coordinator): this filing's blank-audit cells were re-rendered at FULL page and re-read; cells set to 'Ø' held a deliberate slashed-zero glyph on the form face (owner ruling 2026-08-02: zero-denoting glyphs = the digit 0; dashes/N-A/empty stay blank)."
Margaret Olson,County Attorney,2022,2022-10-18,Pre-Election,statement,3500.00,2073.77,,0.00,,,,,,,,0,0,raw/2022/20641_Olson-Pre-Election-2022.pdf,20641,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2022 single-total sheet; address redacted by the county. Filer added a typed NOTE beside the balance row: 'The contributions were ""in kind"" for the Campaign Kickoff event, so there is a zero bala[nce]' (truncated at the page edge). Last Report column left blank."
Cindy Marchant Keyes,County Auditor,2022,2022-12-06,Post-Election,statement,1241.79,1241.79,,0.00,,,,,,,,0,0,raw/2022/20757_Keyes-Post-Election-2022.pdf,20757,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2022 single-total sheet; this Post-Election copy is NOT redacted (the Pre-Election copy, doc 20636, was). Column-order cross-check: Last Report reproduces doc 20636's Current figures exactly. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Cindy Marchant Keyes,County Auditor,2022,2022-10-20,Pre-Election,statement,1241.79,1241.79,,0.00,,,,,,,,0,0,raw/2022/20636_Keyes-Pre-Election-2022.pdf,20636,high,form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2022 single-total sheet; address redacted by the county. Carries the clerk's printed instruction box confirming the Last-Report column semantics. Last Report column left blank.
