ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,linkage_note,minutes_source
2023-01,2023-01-11,2023-01-11,ADOPT ORDINANCE 2023- 01 WITH THE AMENDMENTS AS PRESENTED,meeting_minutes/minutes/2023/2023-01-09/2023-01-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with two absent,2023-01-11,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-01-09/2023-01-11_city-council-meeting.md
2023-02,2023-01-11,2023-01-11,"ADOPT ORDINANCE 2023-02, MUNICIPAL CODE AMENDMENT 10.04.040 UNLAWFUL PARKING",meeting_minutes/minutes/2023/2023-01-09/2023-01-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with two absent,2023-01-11,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-01-09/2023-01-11_city-council-meeting.md
2023-03,2023-01-25,2023-01-25,"ADOPT ORDINANCE 2023-03 WITH THE COMPENSATION AT $30,000 AND $15,000 PER YEAR AND A COST-OF- LIVING ADJUSTMENT BE MADE AT THE SAME PERCENTAGE AS THE COST-OF- LIVING ADJUSTMENT FOR EMPLOYEES OF THE CITY, GENERALLY",meeting_minutes/minutes/2023/2023-01-23/2023-01-25_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-01-25,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-01-23/2023-01-25_city-council-meeting.md
2023-04,2023-02-08,2023-02-08,"ADOPT ORDINANCE 2023-04, GENERAL PLAN AMENDMENTS, WITH THE CHANGES NOTED",meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2023-02-08,5,within_source,general_plan_amendment,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md
2023-05,2023-02-08,2023-02-08,"ADOPT ORDINANCE 2023-05, AMENDING MUNICIPAL CODE SECTIONS 2.30.010 AND 13.16.020, AS PRESENTED",meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-02-08,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md
2023-06,2023-02-08,2023-02-08,"ADOPT ORDINANCE 2023-06, ADDING MUNICIPAL CODE SECTION 2.30.040, AS PRESENTED",meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-02-08,7,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md
2023-07,2023-03-08,2023-03-08,"ADOPT ORDINANCE 2023-07, THE MARCH 2023 ACTIVE TRANSPORTATION PLAN WITH THE ADJUSTMENTS SUBJECT TO PRIORITIZATION AND APPROVALS, THE CITY WILL CONSIDER SAFETY IN REGARD TO THE SPEED OF THOROUGHFARES IN ITS ANALYSIS OF THE FACILITY OPTIONS",meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-03-08,8,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md
2023-08,2023-03-08,2023-03-08,"ADOPT ORDINANCE 2023-08; REVISION OF TABLE 1 OF THE CITY’S TRANSPORTATION CODE ESTABLISHING THE MAXIMUM SPEED LIMITS WITH THE INCLUSION OF PHASING BASED UPON THE ADDED ITEMS THAT MANDATE THE TRAFFIC FLOW, AS WELL AS A 30 MILE AN HOUR SPEED LIMIT IMPOSED UPON 400 EAST, AND EFFECTIVE ON MARCH 24, 2023",meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-03-08,9,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md
2023-09,2023-02-22,2023-02-22,ADOPT ORDINANCE 2023-09 AS PRESENTED BY STAFF,meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-02-22,10,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md
2023-10,2023-02-22,2023-02-22,"ADOPT ORDINANCE 2023-10, WITH THE LANGUAGE PRESENTED BY STAFF AND THE ADDITION OF AN EXHIBIT DEPICTING THE PROPERTY TO BE CREATED AND APPROVED BY STAFF AND THE APPLICANT",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-02-22,16,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md
2023-11,2023-02-22,2023-02-22,"ADOPT ORDINANCE 2023-11, AS PRESENTED BY CITY STAFF",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-02-22,19,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md
2023-12,2023-03-08,2023-03-08,Anthony Jenkins made a motion to recommend approval of Ordinance 2023-12 as presented by staff also ensuring that City Council explores enforcement and public reporting and success measures. Craig Bown,meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-03-08,4,within_source,,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2023-03-01 #5 (PlanningCommission, Positive recommendation 4:0); 2023-03-08 #4 (Council, Carried with one absent)",meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md
2023-13,2023-03-08,2023-03-08,ADOPT ORDINANCE 2023-13 AS PRESENTED,meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-03-08,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md
2023-14,2023-04-26,2023-04-26,ADOPT ORDINANCE 2023-14 AS PRESENTED BY STAFF,meeting_minutes/minutes/2023/2023-04-24/2023-04-26_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-04-26,9,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-04-24/2023-04-26_city-council-meeting.md
2023-15,2023-06-28,2023-06-28,ADOPT ORDINANCE 2023- 15 AS PRESENTED WITH THE FOLLOWING CHANGES; REMOVING THE PERMIT AND FEES. A discussion ensued about the motion. Amended motion: COUNCILMEMBER RASMUSSEN MOVED TO ADOPT ORDINANCE 2023-15 AS PRESENTED WITH THE FOLLOWING CHANGES: TO REMOVE THE PERMIT AND FEES AND ADD LANGUAGE TH...,meeting_minutes/minutes/2023/2023-06-26/2023-06-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-06-28,8,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-06-26/2023-06-28_city-council-meeting.md
2023-16,2023-04-26,2023-04-26,ADOPT ORDINANCE 2023-16 AS PRESENTED BY STAFF,meeting_minutes/minutes/2023/2023-04-24/2023-04-26_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-04-26,5,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-04-24/2023-04-26_city-council-meeting.md
2023-17,2023-08-30,2023-08-30,"ADOPT ORDINANCE 2023-17, AS PRESENTED WITH NOTED CHANGE FOR SINGLE-FAMILY HOUSING",meeting_minutes/minutes/2023/2023-08-28/2023-08-30_city-council-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-08-30,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-08-28/2023-08-30_city-council-special-session.md
2023-19,2023-05-24,2023-05-24,ADOPT ORDINANCE 2023-19 SPECIAL EVENTS CODE AS PRESENTED BY STAFF,meeting_minutes/minutes/2023/2023-05-22/2023-05-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-05-24,3,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-05-22/2023-05-24_city-council-meeting.md
2023-21,2023-05-24,2023-05-24,ADOPT ORDINANCE 2023-21 AS PRESENTED BY STAFF,meeting_minutes/minutes/2023/2023-05-22/2023-05-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2023-05-24,9,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-05-22/2023-05-24_city-council-meeting.md
2023-22,2023-06-14,2023-06-14,"ADOPT ORDINANCE 2023-22 AMENDING MUNICIPAL CODE 2.08.020 CITY MANAGER; POWERS AND DUTIES; OBLIGATIONS; WITH THE EXCEPTION TO STRIKE THE TERM HUMAN RESOURCE DIRECTOR IN THE VINEYARD MUNICIPAL CODE SECTION 2.08.020(7), AS PRESENTED",meeting_minutes/minutes/2023/2023-06-12/2023-06-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried,2023-06-14,9,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-06-12/2023-06-14_city-council-meeting.md
2023-24,2023-07-12,2023-07-12,ADOPT ORDINANCE 2023- 24 REGARDING RESTRICTING THE USE OF COMPRESSION RELEASE ENGINE BRAKING SYSTEMS IN & ADJACENT TO RESIDENTIAL AREAS,meeting_minutes/minutes/2023/2023-07-10/2023-07-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-07-12,3,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-07-10/2023-07-12_city-council-meeting.md
2023-26,2023-08-09,2023-08-09,"APPROVE ORDINANCE 2023-26 MODIFYING OFF-STREET PARKING REQUIREMENTS FOR HOTELS AND MOTELS CITY-WIDE, WITH THE LANGUAGE PROPOSED BY LEGAL COUNSEL. “A PARKING REDUCTION OF NOT GREATER THAN 10% MAY BE APPROVED BY THE COMMUNITY DEVELOPMENT DIRECTOR UPON RECEIVING A PARKING STUDY, COMPLETED BY A QUALI...",meeting_minutes/minutes/2023/2023-08-07/2023-08-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-08-09,8,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-08-07/2023-08-09_city-council-meeting.md
2023-27,2023-08-30,2023-08-30,STRIKE ITEM 9.2 PUBLIC HEARING - ZONING CODE TEXT AMENDMENTS (ORDINANCE 2023-27) FROM THE AGENDA AND HAVE THE PUBLIC HEARING RE-NOTICED FOR A LATER DATE,meeting_minutes/minutes/2023/2023-08-28/2023-08-30_city-council-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried,2023-08-30,5,within_source,zoning_text_amendment,3,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2023-07-19 #8 (PlanningCommission, Positive recommendation 5:0); 2023-07-26 #6 (Council, Carried unanimously); 2023-08-30 #5 (Council, Carried)",meeting_minutes/minutes/2023/2023-08-28/2023-08-30_city-council-special-session.md
2023-30,2023-12-06,2023-12-06,ADOPT ORDINANCE 2023-30 MEDICAL AND COMMERCIAL USES WITH STATED AMENDMENTS: A PERMITTED USE FOR HELIPORTS AND VERTIPORTS ON ALL MEDICAL FACILITIES AND A CONDITIONAL USE ON ALL OTHER INSTANCES,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-12-06,4,within_source,,2,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-12-04/2023-12-06_city-council-special-session.md
2023-31,2023-12-13,2023-12-13,"APPROVE CONSENT ITEM 6.2, BICYCLE ADVISORY COMMISSION AMENDMENTS ORDINANCE 2023-31",meeting_minutes/minutes/2023/2023-12-11/2023-12-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2023-12-13,3,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2023/2023-12-11/2023-12-13_city-council-meeting.md
2024-01,2024-01-24,2024-01-24,"ADOPT ORDINANCE 2024-01, PRELIMINARY SUBDIVISION APPLICATIONS, AS PRESENTED",meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,4-1 Pass,2024-01-24,8,within_source,subdivision,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md
2024-02,2024-01-24,2024-01-24,"ADOPT ORDINANCE 2024-02, FINAL SUBDIVISION APPLICATIONS WITH THE AMENDMENT THAT THE FINAL PLAT BE RECORDED AT UTAH COUNTY WITHIN ONE (1) YEAR, WITH THE OPTION FOR AN APPLICANT TO PETITION THE DRC FOR A SIX (6) MONTH EXTENSION. THE APPLICANT MAY RECEIVE UP TO TWO (2) EXTENSIONS",meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2024-01-24,9,within_source,subdivision,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md
2024-03,2024-01-24,2024-01-24,"ADOPT ORDINANCE 2024-03, DEVELOPMENT REVIEW COMMITTEE, ACCESSORY DWELLING UNIT PARKING, AND LANDSCAPING BONDS, WITH THE FOLLOWING CONDITIONS INSTEAD OF SAYING OREM FIRE MARSHALL IT WILL SAY FIRE MARSHALL",meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,4-1 Pass,2024-01-24,10,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md
2024-04,2024-03-13,2024-03-13,ADOPT ORDINANCE 2024-04 TO AMEND THE TECHNOLOGY ELEMENT OF THE VINEYARD GENERAL PLAN TO SAFEGUARD PRIVACY AND THE PROTECTION OF SENSITIVE INFORMATION IN THE IMPLEMENTATION OF TECHNOLOGY AS PRESENTED,meeting_minutes/minutes/2024/2024-03-11/2024-03-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2024-03-13,8,within_source,general_plan_amendment,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-03-11/2024-03-13_city-council-meeting.md
2024-05,2024-04-24,2024-04-24,ADOPT ORDINANCE 2024-5 WITH THE DISCUSSED CHANGES ENTERED INTO THE RECORD BY CITY ATTORNEY JAYME BLAKESLEY: 3.04.030 B. MEMBERS OF THE PUBLIC WISHING TO SPEAK MUST PROVIDE THEIR NAME AND THE TOPIC THEY WISH TO DISCUSS. 3.04.070 B. LIMITATIONS ON INFORMATION REQUESTS 1. TO ENSURE THE EFFICIENT OPE...,meeting_minutes/minutes/2024/2024-04-22/2024-04-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2024-04-24,9,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-04-22/2024-04-24_city-council-meeting.md
2024-07,2024-06-26,2024-06-26,ADOPT ORDINANCE 2024- 07 AS PRESENTED,meeting_minutes/minutes/2024/2024-06-24/2024-06-26_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,3-2 Pass,2024-06-26,7,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-06-24/2024-06-26_city-council-meeting.md
2024-09,2024-08-14,2024-08-14,"APPROVE ORDINANCE 2024-09, ADOPTION OF THE FISCAL YEAR 2024-2025 CERTIFIED TAX RATE, AS PRESENTED",meeting_minutes/minutes/2024/2024-08-12/2024-08-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,4-1 Pass,2024-08-14,4,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-08-12/2024-08-14_city-council-meeting.md
2024-10,2024-08-28,2024-08-28,ADOPT ORDINANCE #2024-10 ALLOWING EVENT CENTERS IN THE FOI DISTRICT THROUGH THE PROVISION OF A CONDITIONAL USE PERMIT,meeting_minutes/minutes/2024/2024-08-26/2024-08-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2024-08-28,7,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-08-26/2024-08-28_city-council-meeting.md
2024-17,2024-12-11,2024-12-11,"ADOPT ORDINANCE 2024-17, APPROVING THE RECOMMENDED SALARY INCREASE FOR THE FINANCE DIRECTOR AS PRESENTED AND AFTER SUCCESSFUL COMPLETION OF THE GOVERNMENT FINANCE OFFICERS ASSOCIATION (GFOA) CERTIFICATION PROGRAM",meeting_minutes/minutes/2024/2024-12-09/2024-12-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried with one absent,2024-12-11,6,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2024/2024-12-09/2024-12-11_city-council-meeting.md
2025-01,2025-01-14,2025-01-14,"CONTINUE DISCUSSION AND POSSIBLE ACTION ON ORDINANCE 2025-01 TO THE NEXT MEETING ON JANUARY 29TH. COUNCILMEMBER CAMERON,",meeting_minutes/minutes/2025/2025-01-13/2025-01-14_city-council-meeting-special-session.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2025-01-14,1,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2025/2025-01-13/2025-01-14_city-council-meeting-special-session.md
2025-03,2025-06-11,2025-06-11,"APPROVE ORDINANCE 2025- 03, VINEYARD ZONING CODE UPDATE",meeting_minutes/minutes/2025/2025-06-09/2025-06-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,yes,Carried unanimously,2025-06-11,5,within_source,zoning_text_amendment,2,"derived from council/PC motion text only; no independent archive retrieved. cited in motions on multiple dates: 2025-05-14 #14 (Council, Carried unanimously); 2025-06-11 #5 (Council, Carried unanimously)",meeting_minutes/minutes/2025/2025-06-09/2025-06-11_city-council-meeting.md
2025-04,2025-05-14,2025-05-14,"APROVE ORDINANCE 2025-04, SPECIAL PURPOSE DISTRICT ZONING TEXT AMENDMENT",meeting_minutes/minutes/2025/2025-05-12/2025-05-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2025-05-14,17,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2025/2025-05-12/2025-05-14_city-council-meeting.md
2025-08,2025-05-28,2025-05-28,ADOPT ORDINANCE 2025-08 THE WASTEWATER MASTER PLAN AS PRESENTED,meeting_minutes/minutes/2025/2025-05-26/2025-05-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried,2025-05-28,9,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2025/2025-05-26/2025-05-28_city-council-meeting.md
2025-09,2025-05-28,2025-05-28,ADOPT ORDINANCE 2025-09 THE WATER MASTER PLAN AS PRESENTED,meeting_minutes/minutes/2025/2025-05-26/2025-05-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried,2025-05-28,10,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2025/2025-05-26/2025-05-28_city-council-meeting.md
2025-12,2025-06-25,2025-06-25,"ADOPT ORDINANCE 2025- 12, APPROVING THE PROPOSED SALARY INCREASES FOR STATUTORY OFFICERS, INCLUDING A 5% TOTAL INCREASE FOR ELIGIBLE STATUTORY POSITIONS, AND A 10% TOTAL INCREASE FOR THE PARKS AND RECREATION DIRECTOR; AND TO APPROVE A 2% COLA INCREASE FOR THE MAYOR AND CITY COUNCIL IN ACCORDANCE...",meeting_minutes/minutes/2025/2025-06-23/2025-06-25_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,4-1 Pass,2025-06-25,12,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2025/2025-06-23/2025-06-25_city-council-meeting.md
2025-14,2025-10-22,2025-10-22,"APPROVE ORDINANCE 2025-14 AS PRESENTED BY CITY ATTORNEY JAYME BLAKESLEY: “D. DISTRICT ENERGY PLANTS ARE EXEMPT FROM THE ARCHITECTURAL BUILDING STANDARDS SET FORTH BUT MUST BE SCREENED AND MEET SITE PLAN, LANDSCAPING, AND PARKING REQUIREMENTS.”",meeting_minutes/minutes/2025/2025-10-20/2025-10-22_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes/planning_commission motion text (CivicClerk minutes),,no,Carried unanimously,2025-10-22,8,within_source,,1,derived from council/PC motion text only; no independent archive retrieved.,meeting_minutes/minutes/2025/2025-10-20/2025-10-22_city-council-meeting.md
