ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence
2021-21,2021-05-18,2021-05-18,Ordinance 2021-21 amending Provo City Code regarding Municipal Council Members' Compensation. (21-026) (0:22:59),provo_city_council/meeting_minutes/minutes/2021/2021-05-17/2021-05-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-05-18,2,within_source
2021-22,2021-05-18,2021-05-18,Ordinance 2021-22 enacting Provo City Code Chapter 14.20C. Citywide Application. (PLOTA20210026) (0:59:32),provo_city_council/meeting_minutes/minutes/2021/2021-05-17/2021-05-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-05-18,9,within_source
2021-23,2021-05-18,2021-05-18,"Ordinance 2021-23 amending the Zone Map classification of approximately 75 acres of real property, generally located at 500 W. Lakeview Parkway, from Agricultural (A1.20) to Freeway Commercial Two (FC-2). Lakewood Neighborhood. (PLRZ20210025) (1:19:45)",provo_city_council/meeting_minutes/minutes/2021/2021-05-17/2021-05-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-05-18,11,within_source
2021-24,2021-06-01,2021-06-01,"Ordinance 2021-24 amending the Zone Map Classification of approximately .25 acres of real property, generally located at 790 West. 500 South, from Residential (R1.6) to Very Low Density Residential (VLDR) Zone and authorizing a related development agreement. Franklin Neighborhood. (PLRZ20210128)",provo_city_council/meeting_minutes/minutes/2021/2021-05-31/2021-06-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-06-01,2,within_source
2021-25,2021-06-15,2021-06-15,"Ordinance 2021-25 adopting a budget for Provo City Corporation for the Fiscal Year beginning July 1, 2021, and ending June 30, 2022, in the amount of $303,469,053. (21-015) (0:35:24)",provo_city_council/meeting_minutes/minutes/2021/2021-06-14/2021-06-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-06-15,1,within_source
2021-26,2021-06-15,2021-06-15,"Ordinance 2021-26 amending the Zone Map classification of approximately 3.8 acres of real property, generally located at 5600 N University Avenue, from Manufacturing Park (MP) to General Commercial (CG) Zone. Riverbottoms Neighborhood. (PLRZ20200272) (1:43:41)",provo_city_council/meeting_minutes/minutes/2021/2021-06-14/2021-06-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-06-15,7,within_source
2021-29,2021-08-03,2021-08-03,"Ordinance 2021-29 amending the Zone Map classification of approx. 26.11 acres of real property, generally located near the access area to Slate Canyon, from Single Family Residential (R1-10) to Open Space Preservation and Recreation (OSPR) Zone. Provost Neighborhood. (PLRZ20210237) (0:26:23)",provo_city_council/meeting_minutes/minutes/2021/2021-08-02/2021-08-03_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-08-03,2,within_source
2021-30,2021-08-03,2021-08-03,"Ordinance 2021-30 amending the Zone Map classification of approximately 23.5 acres of real property, generally located at 200 N Lakeshore Dr. from Agricultural (A1.10) and (A1.5) to Residential (R1.8) and Residential Agricultural (RA) Zone. Fort Utah Neighborhood PLRZ20210049 (2:09:45)",provo_city_council/meeting_minutes/minutes/2021/2021-08-02/2021-08-03_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-08-03,4,within_source
2021-31,2021-08-24,2021-08-24,Ordinance 2021-31 amending Titles 14 and 15 of the Provo City Code to remove gendered references and to make stylistic and grammatical corrections. (21-073) (0:21:30),provo_city_council/meeting_minutes/minutes/2021/2021-08-23/2021-08-24_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-08-24,1,within_source
2021-32,2021-08-24,2021-08-24,Ordinance 2021-32 amending the Zone Map class. of approx. 1.07 acres of real property located at 50 E 3900 N from Residential (R1.10) to Low Density Residential (LDR) and Two Family Residential (R2) and authorizing a related Development Agreement. Riverbottoms Neighborhood PLRZ20190265 (0:40:40),provo_city_council/meeting_minutes/minutes/2021/2021-08-23/2021-08-24_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-08-24,2,within_source
2021-33,2021-09-07,2021-09-07,"Ordinance 2021-33 amending Titles 6, 8,14, and 15 of the Provo City Code to make minor substantive changes, remove gendered references, and to make stylistic and grammatical corrections. (21-073) and (PLOTA2020003) (0:20:16)",provo_city_council/meeting_minutes/minutes/2021/2021-09-06/2021-09-07_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-09-07,3,within_source
2021-34,2021-10-26,2021-10-26,Ordinance 2021-34 on towing fees (21-105) (1:13:20) 233,provo_city_council/meeting_minutes/minutes/2021/2021-10-25/2021-10-26_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-10-26,2,within_source
2021-35,2021-11-16,2021-11-16,Ordinance 2021-35 amending Provo City Code to Define Sign Copy Area. Citywide Application. (PLOTA20210318) (0:28:41),provo_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-11-16,4,within_source
2021-36,2021-11-16,2021-11-16,Ordinance 2021-36 amending Provo City Code to adopt updated Local Development Standards. Citywide Application. (PLOTA20210341) (0:30:20),provo_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-11-16,5,within_source
2021-37,2021-11-16,2021-11-16,"Ordinance 2021-37 amending the Zone Map classification of approximately 3.8 acres of real property, generally located at 1400 W 890 South from Residential Agricultural (RA) to One Family Residential (R1.10) Zone. Sunset Neighborhood. (PLRZ20210344) (0:32:30)",provo_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-11-16,6,within_source
2021-38,2021-11-16,2021-11-16,Ordinance 2021-38 amending Provo City Code regarding Floodplain Development Standards. Citywide Application. (PLOTA20210362) (0:41:59),provo_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-11-16,9,within_source
2021-40,2021-11-16,2021-11-16,"Ordinance 2021-40 amending the Zone Map Classification of approximately 899.25 acres of real property, generally located at 3421 Mike Jense Parkway from Public Facilities (PF) and Agriculture (A1) To Airport (A). Provo Bay Neighborhood. (PLRZ20210300) (1:07:42)",provo_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-11-16,11,within_source
2021-41,2021-11-16,2021-11-16,Ordinance 2021-41 enacting On-Street Parking Management Regulations. Citywide Application. (21-028) (1:17:50),provo_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-11-16,13,within_source
2021-44,2021-12-14,2021-12-14,"Ordinance 2021-44 amending Provo City Code to comply with current state law regarding fireworks sale, distribution, and discharge of class C Consumer Fireworks. (21-113) (1:46:35)",provo_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-12-14,5,within_source
2021-45,2021-12-14,2021-12-14,Ordinance 2021-45 amending Provo City Code Chapter 6.06. establishing nighttime brightness standards and zones. (19-102) (1:55:33),provo_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-12-14,6,within_source
2021-46,2021-12-14,2021-12-14,Ordinance 2021-46 amending Provo City Code regarding Accessory Dwelling Units (ADUs) and their development standards. Citywide Application. (PLOTA20210345) (3:23:09),provo_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2021-12-14,8,within_source
2022-1,2022-01-18,2022-01-18,Ordinance 2022-1 amending Provo City code to adopt policies and procedures for the dedication of private streets and utilities. Citywide Application. (PLOTA20210360). (1:15:49),provo_city_council/meeting_minutes/minutes/2022/2022-01-17/2022-01-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-01-18,5,within_source
2022-2,2022-01-18,2022-01-18,"Ordinance 2022-2 amending Provo City code sections 14.17D.020, 14.17D.040, and 14.34.296 to make changes to the Airport Zone permitted uses, and minor lot, and design",provo_city_council/meeting_minutes/minutes/2022/2022-01-17/2022-01-18_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-01-18,6,within_source
2022-3,2022-02-01,2022-02-01,Ordinance 2022-03 amending the Zone Map Class. of approx. 1.10 acres at 669 S 1600 W from the A1.1 (Agricultural) to R1.8 (One-Family Residential) to create four residential building lots & authorizing a development agreement. Sunset Neighborhood. PLRZ20210383 (22:20),provo_city_council/meeting_minutes/minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-02-01,3,within_source
2022-4,2022-02-15,2022-02-15,Ordinance 2022-04 amending Provo City School Board Districts. Citywide Application. (22-003) (40:20),provo_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-02-15,1,within_source
2022-5,2022-02-15,2022-02-15,Ordinance 2022-05 amending Provo City Code Chapter 15.08 (Fees). Citywide Application. (PLOTA20210273) (1:26:24),provo_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-02-15,4,within_source
2022-6,2022-02-15,2022-02-15,"Ordinance 2022-06 amending the zone map class. of approx. 1.39 acres of real property, from 46 W to 90 W on 800 N, from Residential Conservation (RC) to Campus Mixed Use (CMU) and authorizing a related development agreement. N. Park Nbrhd. (PLRZ20210112) (1:34:55)",provo_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-02-15,5,within_source
2022-7,2022-02-15,2022-02-15,Ordinance 2022-07 amending Provo City Code Titles 14 and 15 and the Consolidated Fee Schedule to clarify language and correct errors. Citywide Application. (PLOTA20220021) (2:28:55),provo_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-02-15,6,within_source
2022-8,2022-02-15,2022-02-15,"Ordinance 2022-08 amending the Zone Map classification of approximately 7.5 acres of real property, generally located at 351 W Center Street from Public Facilities (PF) to General Downtown (DT1). Downtown Neighborhood. (PLRZ20220024) (2:31:39)",provo_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-02-15,7,within_source
2022-33,2022-11-15,2022-11-15,An ordinance amending the previously adopted ordinance 2022-33 regarding the Neighborhood Program. (22-055) 00:16:41,provo_city_council/meeting_minutes/minutes/2022/2022-11-14/2022-11-15_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2022-11-15,2,within_source
2024-11,2024-02-20,2024-02-20,"An implied motion to approve Ordinance 2024-11, as currently constituted, has been made by council rule. Dustin Wright, Planning Supervisor, presented.",provo_city_council/meeting_minutes/minutes/2024/2024-02-19/2024-02-20_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-02-20,7,within_source
2024-15,2024-03-19,2024-03-19,"An implied motion to approve Ordinance 2024-15, as currently constituted, has been made by council rule. Mr.",provo_city_council/meeting_minutes/minutes/2024/2024-03-18/2024-03-19_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-03-19,2,within_source
2024-16,2024-03-19,2024-03-19,"An implied motion to approve Ordinance 2024-16, as currently constituted, has been made by council rule. Scott Johnson, Zoning Supervisor, presented.",provo_city_council/meeting_minutes/minutes/2024/2024-03-18/2024-03-19_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-03-19,4,within_source
2024-17,2024-04-16,2024-04-16,"An implied motion to approve Ordinance 2024-17, as currently constituted, has been made by council rule. Brian Jones, City Attorney, presented on franchise agreements, explaining that they allow companies to operate within city rights-of-way for services like internet, telephone, and gas.",provo_city_council/meeting_minutes/minutes/2024/2024-04-15/2024-04-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-04-16,2,within_source
2024-19,2024-04-16,2024-04-16,"An implied motion to approve Ordinance 2024-19, as currently constituted, has been made by council rule. Melia Dayley, Council Policy Analyst, presented.",provo_city_council/meeting_minutes/minutes/2024/2024-04-15/2024-04-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-04-16,5,within_source
2024-21,2024-04-16,2024-04-16,"An implied motion to approve Ordinance 2024-21, as currently constituted, has been made by council rule. Mary Barnes, City Planner, explained the application met the code requirement of obtaining signatures from at least 66% of property owners, with 41 out of the needed 39 signatures (69%) obtained.",provo_city_council/meeting_minutes/minutes/2024/2024-04-15/2024-04-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-04-16,6,within_source
2024-22,2024-04-16,2024-04-16,"An implied motion to approve Ordinance 2024-22, as currently constituted, has been made by council rule. Councilor Melia Dayley explained that the council made a motion in a previous meeting to remove R2PD and SDP-5 zones from the areas where ADUs are allowed.",provo_city_council/meeting_minutes/minutes/2024/2024-04-15/2024-04-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-04-16,7,within_source
2024-23,2024-04-16,2024-04-16,"An implied motion to approve Ordinance 2024-23, as currently constituted, has been made by council rule. Tara Riddle, Property Manager, presented the amendment and said it is intended to clarify when property encumbrance matters should be brought to the council for approval.",provo_city_council/meeting_minutes/minutes/2024/2024-04-15/2024-04-16_council-regular-meeting.md,2026-07-03,na,motion_citation (all_votes.csv),,,,2024-04-16,8,within_source
2024-25,2024-05-14,2024-05-14,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 1354 N GENEVA RD, FROM THE AGRICULTURAL (A1.5) ZONE TO THE ONE-FAMILY RESIDENTIAL (R1.8) ZONE. LAKEVIEW NORTH NEIGHBORHOOD. (PLRZ20240018)",https://www.utah.gov/pmn/sitemap/notice/915155.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-05-14_notice915155_1125059.docx,,,2024-05-14,2,medium
2024-43,2024-08-20,2024-08-20,"AN ORDINANCE ADOPTING A BUDGET FOR PROVO CITY CORPORATION FOR THE FISCAL YEAR BEGINNING JULY 1, 2024 AND ENDING JUNE 30, 2025, IN THE AMOUNT OF $292,212,512. (24-007)",https://www.utah.gov/pmn/sitemap/notice/934951.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-08-20_notice934951_1160135.docx,,,2024-08-20,2,medium
2024-44,2024-09-03,2024-09-03,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF APPROXIMATELY 1.53 ACRES OF REAL PROPERTY, GENERALLY LOCATED AT 484 NORTH 2760 WEST, FROM THE AGRICULTURAL (A1.5) ZONE TO THE ONE-FAMILY RESIDENTIAL (R1.8) ZONE. LAKEVIEW SOUTH NEIGHBORHOOD. (PLRZ20240184)",https://www.utah.gov/pmn/sitemap/notice/937395.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-09-03_notice937395_1165261.docx,,,2024-09-03,1,medium
2024-51,2024-10-01,2024-10-01,AN ORDINANCE AMENDING THE HILLSIDES AND CANYONS PLAN TO INCLUDE A NEW APPENDIX. (PLGPA20240230),https://www.utah.gov/pmn/sitemap/notice/944029.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-10-01_notice944029_1177549.docx,,,2024-10-01,2,medium
2024-53,2024-11-19,2024-11-19,AN ORDINANCE AMENDING CITY CODE TO COMBINE FIRE AND POLICE IMPACT FEES INTO ONE PUBLIC SAFETY IMPACT FEE. (24-087),https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,3,medium
2024-54,2024-11-19,2024-11-19,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING STORMWATER MANAGEMENT. (24-090),https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,4,medium
2024-55,2024-11-19,2024-11-19,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 1534 SOUTH 1100 WEST, FROM THE RESIDENTIAL AGRICULTURAL (RA) AND AGRICULTURAL (A1.5) ZONES TO THE ONE FAMILY RESIDENTIAL (R1.6), LOW DENSITY RESIDENTIAL (LDR), AND GENERAL COMMERCIAL (CG) ZONES. SUNSET AND LAKEWOOD NEIGHBORHOOD. (PLRZ20230250)",https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,9,medium
2024-56,2024-11-19,2024-11-19,AN ORDINANCE AMENDING PROVO CITY CODE SECTION 6.26.150 (RENTAL DISCLOSURE REQUIRED) TO UPDATE REQUIREMENTS. (24-016),https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,10,medium
2024-57,2024-11-19,2024-11-19,AN ORDINANCE AMENDING PROVO CITY CODE TO CLARIFY AND UPDATE STANDARDS REGARDING MULTIPLE KITCHENS IN ONE-FAMILY DWELLINGS. CITYWIDE APPLICATION. (PLOTA20240272) (24-016),https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,10,medium
2024-58,2024-11-19,2024-11-19,AN ORDINANCE AMENDING PROVO CITY CODE TO UPDATE THE AGE OF APPLICABILITY FOR ELDERLY PERSONS EXTRA LIVING SPACE TO 60 YEARS OLD. CITYWIDE APPLICATION. (PLOTA20240273) (24-016),https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,13,medium
2024-59,2024-11-19,2024-11-19,AN ORDINANCE AMENDING PROVO CITY CODE TO UPDATE AND CLARIFY STANDARDS RELATED TO ADUs. CITYWIDE APPLICATION. (PLOTA20240274) (24-016),https://www.utah.gov/pmn/sitemap/notice/955783.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-11-19_notice955783_1199685.docx,,,2024-11-19,15,medium
2024-60,2024-12-03,2024-12-03,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING SIGNS PERMITTED IN THE FREEWAY COMMERCIAL (FC3) AND REGIONAL SHOPPING CENTER ZONES (SC3). CITYWIDE APPLICATION. (PLOTA20240271),https://www.utah.gov/pmn/sitemap/notice/958569.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-12-03_notice958569_1204539.docx,,,2024-12-03,2,medium
2024-61,2024-12-03,2024-12-03,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING SPECIAL USE PERMITS FOR ACCESSORY DWELLING UNITS. CITYWIDE APPLICATION. (PLOTA20240275) (24-016),https://www.utah.gov/pmn/sitemap/notice/958569.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-12-03_notice958569_1204539.docx,,,2024-12-03,4,medium
2024-62,2024-12-17,2024-12-17,AN ORDINANCE AMENDING THE GENERAL PLAN TO ADOPT THE NORTHEAST NEIGHBORHOODS PLAN. CITYWIDE APPLICATION. (PLGPA20240278),https://www.utah.gov/pmn/sitemap/notice/962177.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2024-12-17_notice962177_1211853.docx,,,2024-12-17,6,high
2025-1,2025-01-14,2025-01-14,AN ORDINANCE UPDATING PROVO CITY CODE REGARDING THE GENERAL DEVELOPMENT STANDARDS. (PLOTA20240310),https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,3,medium
2025-2,2025-01-14,2025-01-14,AN ORDINANCE AMENDING PROVO CITY CODE TO MODIFY WATER RESOURCE IMPACT FEES. (25-008),https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,4,medium
2025-3,2025-01-14,2025-01-14,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING THE PROHIBITION OF SHAM PROPERTY TRANSACTIONS TO CLARIFY THE REQUIREMENTS AND STANDARDS. CITYWIDE APPLICATION. (PLOTA20240309),https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,5,medium
2025-4,2025-01-14,2025-01-14,AN ORDINANCE APPROVING THE PETITION TO ANNEX APPROXIMATELY 15.6 ACRES OF PROPERTY GENERALLY LOCATED AT APPROXIMATELY 1000 NORTH LAKEVIEW PARKWAY. LAKEVIEW NEIGHBORHOOD. (PLANEX20240109),https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,6,medium
2025-5,2025-01-14,2025-01-14,AN ORDINANCE AMENDING PROVO CITY CODE REGARDING THE REQUIREMENTS AND STANDARDS FOR FLAG LOTS. (PLOTA20240332),https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,7,medium
2025-6,2025-01-14,2025-01-14,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 3460 WEST CENTER STREET, FROM THE ONE-FAMILY RESIDENTIAL WITH A PERFORMANCE DEVELOPMENT OVERLAY (R1.8(PD)) AND RESIDENTIAL AGRICULTURAL (RA) ZONES TO THE AIRPORT INDUSTRIAL (AI) ZONE. FORT UTAH NEIGHBORHOOD. (PLRZ20240106)",https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,8,medium
2025-7,2025-01-14,2025-01-14,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF APPROXIMATELY 5.9 ACRES OF REAL PROPERTY, GENERALLY LOCATED AT 5568 NORTH CANYON ROAD, FROM THE AGRICULTURAL (A1.5) ZONE TO THE MEDIUM DENSITY RESIDENTIAL (MDR) ZONE. NORTH TIMPVIEW NEIGHBORHOOD. (PLRZ20240266)",https://www.utah.gov/pmn/sitemap/notice/968657.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-14_notice968657_1222633.docx,,,2025-01-14,9,medium
2025-8,2025-01-28,2025-01-28,AN ORDINANCE UPDATING AND CLARIFYING STANDARDS RELATED TO NOISE. (25-009),https://www.utah.gov/pmn/sitemap/notice/970241.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-28_notice970241_1225875.docx,,,,,none
2025-9,2025-01-28,2025-01-28,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 577 EAST 400 SOUTH, FROM THE ONE-FAMILY RESIDENTIAL (R1.6) ZONE TO THE LOW DENSITY RESIDENTIAL (LDR) ZONE. MAESER NEIGHBORHOOD. (PLRZ20240234)",https://www.utah.gov/pmn/sitemap/notice/970241.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-28_notice970241_1225875.docx,,,2025-01-28,5,high
2025-10,2025-01-28,2025-01-28,AN ORDINANCE AMENDING PROVO CITY CODES REGARDING BUILDING HEIGHT AND UNIT SIZE REGULATIONS IN THE GENERAL DOWNTOWN (DT1) ZONE. CITYWIDE APPLICATION. (PLOTA20240308),https://www.utah.gov/pmn/sitemap/notice/970241.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-01-28_notice970241_1225875.docx,,,,,none
2025-11,2025-02-11,2025-02-11,AN ORDINANCE CREATING THE AIRPORT DEPARTMENT (25-012),https://www.utah.gov/pmn/sitemap/notice/973701.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-02-11_notice973701_1232275.docx,,,2025-02-11,1,high
2025-12,2025-02-11,2025-02-11,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF APPROXIMATELY 1.62 ACRES OF REAL PROPERTY, GENERALLY LOCATED AT 1122 SOUTH 900 EAST, FROM THE LIGHT MANUFACTURING (M1) ZONE TO THE MEDIUM DENSITY RESIDENTIAL (MDR) ZONE. SPRING CREEK NEIGHBORHOOD. (PLRZ20240193)",https://www.utah.gov/pmn/sitemap/notice/973701.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-02-11_notice973701_1232275.docx,,,2025-02-11,3,high
2025-13,2025-02-11,2025-02-11,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF REAL PROPERTY, GENERALLY LOCATED AT 895 WEST 2000 NORTH, FROM THE RESIDENTIAL CONSERVATION (RC) ZONE TO THE LOW DENSITY RESIDENTIAL (LDR) ZONE. CARTERVILLE NEIGHBORHOOD. (PLRZ20190204)",https://www.utah.gov/pmn/sitemap/notice/973701.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-02-11_notice973701_1232275.docx,,,2025-02-11,4,high
2025-14,2025-02-11,2025-02-11,"AN ORDINANCE AMENDING THE ZONE MAP CLASSIFICATION OF APPROXIMATELY 0.74 ACRES OF REAL PROPERTY, GENERALLY LOCATED AT 916 WEST 1150 S, FROM THE ONE-FAMILY RESIDENTIAL (R1.8) ZONE TO THE ONE-FAMILY RESIDENTIAL (R1.6) ZONE. LAKEWOOD NEIGHBORHOOD (PLRZ20240344).",https://www.utah.gov/pmn/sitemap/notice/973701.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-02-11_notice973701_1232275.docx,,,2025-02-11,5,high
2025-15,2025-02-11,2025-02-11,AN ORDINANCE AMENDING PROVO CITY CODE TITLE 14 REGARDING MULTIFAMILY AMENITIES. CITYWIDE APPLICATION. (PLOTA20240211),https://www.utah.gov/pmn/sitemap/notice/973701.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-02-11_notice973701_1232275.docx,,,2025-02-11,7,high
2025-16,2025-02-25,2025-02-25,AN ORDINANCE AMENDING CITY ELECTION CODE (25-010),https://www.utah.gov/pmn/sitemap/notice/976825.html,2026-07-03,text,pmn_docx_notice; python-docx-xml,raw/pmn_2025-02-25_notice976825_1238545.docx,,,2025-02-25,1,high
