ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,has_signed_pdf,linkage_note,minutes_source
2020-51,2020-11-19,2020-11-19,"approving the First Amended and Restated Deer Crest Roosevelt Gap Resort, Deer Crest Roosevelt Gap Residences Condominium Project, Deer Crest Roosevelt Gap Condo Suites Condominium Project Condominium Plat at 2300 Deer Valley Drive East",minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-1 Pass,2020-11-19,14,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2020/2020-11-16/2020-11-19_city-council-meeting.md
2020-52,2020-12-10,2020-12-10,"AN ORDINANCE AMENDING THE IMPACT FEE FACILITIES PLAN AND IMPACT FEE ANALYSIS FOR PARKS, RECREATION, TRAILS, OPEN SPACE, PUBLIC SAFETY, AND ROADWAYS AND AMENDING TITLE 11, CHAPTER 13 OF THE MUNICIPAL CODE OF PARK CITY, UTAH, SETTING FORTH THE ASSESSMENT AND CALCULATION OF IMPACT FEES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1608593566_2020-52_Impact_Fee.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1608593566_2020-52_Impact_Fee.pdf,no,5-0 Pass,2020-12-10,7,high,,1,yes,,minutes/2020/2020-12-07/2020-12-10_city-council-meeting.md
2021-01,2021-01-07,2021-01-07,approving the 2021 regular meeting schedule for City Council,minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-01-07,3,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md
2021-02,2021-01-07,2021-01-07,"approving an extension of City Council’s January 15, 2019 approval of Ordinance No. 2019-03, an ordinance approving the 510 Ontario Avenue Plat Amendment, located at 510 Ontario Avenue, Park City, Utah, and Ordinance No. 2019-04, an ordinance amending Ordinance No. 15-12 and approving the Roundabout Condominiums First Amendment, located at 300 Deer Valley Drive, Park City, Utah",minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-01-07,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md
2021-03,2021-01-07,2021-01-07,"approving the King’s Crown Re-Subdivision Second Amended Lot Line Adjustment Plat, amending Lots 27, 28, and 29, located in Park City, Summit County, Utah",minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-01-07,5,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md
2021-04,2021-01-07,2021-01-07,"accepting the public improvements for the Park City Heights, Phase 1 Subdivision and Park City Heights, Phase 2 Subdivision",minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-01-07,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-01-04/2021-01-07_city-council-meeting.md
2021-05,2021-01-21,2021-01-21,"AN ORDINANCE AMENDING LAND MANAGEMENT CODE § 15-3-3(C), PARKING AREA LIGHTING; § 15-3-4(C), PARKING GARAGES AND STRUCTURES; § 15-5-1, ARCHITECTURAL REVIEW – POLICY AND PURPOSE; §15-5-5(J), LIGHTING; § 15- 15-1, DEFINITIONS; AND § 15-15-2, LIST OF DEFINED TERMS TO UPDATE THE CITY’S OUTDOOR LIGHTING CODE",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1611854609_2021-05_Outdoor_Lighting.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1611854609_2021-05_Outdoor_Lighting.docx.pdf,yes,5-0 Pass,2021-01-21,5,high,lmc_text_amendment,1,yes,,minutes/2021/2021-01-18/2021-01-21_city-council-meeting.md
2021-06,2021-02-04,2021-02-04,AN ORDINANCE AMENDING FOOTNOTE 2 OF LAND MANAGEMENT CODE § 15-2.1-2(B)(1) TO ESTABLISH NIGHTLY RENTALS AS A CONDITIONAL USE IN THE LOWER ROSSI HILL SUB-NEIGHBORHOOD OF THE HISTORIC RESIDENTIAL LOW – DENSITY ZONING DISTRICT,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1667939314_2021-06_Nightly_Rentals.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1667939314_2021-06_Nightly_Rentals.pdf,yes,5-0 Pass,2021-02-04,3,high,lmc_text_amendment,1,yes,,minutes/2021/2021-02-01/2021-02-04_city-council-meeting.md
2021-07,2021-03-11,2021-03-11,"AN ORDINANCE AMENDING TITLE 11, BUILDING AND BUILDING REGULATIONS, CHAPTER 16 FLOOD DAMAGE OF THE MUNICIPAL CODE OF PARK CITY IMPLEMENTING NEW MAPPING AND REGULATIONS FOR FLOOD DAMAGE PREVENTION IN THE AREAS OF SPECIAL FLOOD HAZARD",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1615997415_2021-07_Flood_Damage_Ordinance.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1615997415_2021-07_Flood_Damage_Ordinance.pdf,no,5-0 Pass,2021-03-11,6,high,,2,yes,"number cited on 2 dates: 2021-02-04, 2021-03-11; last passing motion chosen",minutes/2021/2021-03-08/2021-03-11_city-council-meeting.md
2021-08,2021-02-25,2021-02-25,"the amended ordinance approving the Argent at Empire Pass Condominiums, First Amended, located at 7677 Village Way, Park City, Utah, with the amendment that only the plat amendment combining Units 201 and 202 to a single unit will be adopted",minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2021-02-25,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md
2021-09,2021-02-25,2021-02-25,"approving an extension of the Lilac Hill East Subdivision located at 729, 741, 747, 751, 755 Rossie Hill Drive, Park City, Utah",minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2021-02-25,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md
2021-10,2021-02-25,2021-02-25,"AN ORDINANCE REPEALING LAND MANAGEMENT CODE § 15-6-7, MASTER PLANNED AFFORDABLE HOUSING DEVELOPMENT; ENACTING CHAPTER 15- 6.1, AFFORDABLE MASTER PLANNED DEVELOPMENTS; AND AMENDING CHAPTER 15-15, DEFINED TERMS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1615242032_2021-10_LMC_Affordable_Housing.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1615242032_2021-10_LMC_Affordable_Housing.pdf,yes,4-0 Pass,2021-02-25,8,high,lmc_text_amendment,1,yes,,minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md
2021-11,2021-02-25,2021-02-25,approving the King's Crown Condominiums First Amended Condominium Plat located in,minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2021-02-25,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-02-22/2021-02-25_city-council-meeting.md
2021-12,2021-03-11,2021-03-11,adopting an Adjusted Budget for FY 2021 for Park City Municipal Corporation,minutes/2021/2021-03-08/2021-03-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-03-11,7,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-03-08/2021-03-11_city-council-meeting.md
2021-13,2021-03-11,2021-03-11,"AN ORDINANCE AMENDING TITLE 6, CHAPTER 3 - NOISE, OF THE MUNICIPAL CODE OF PARK CITY, UTAH",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1615997476_2021-13_Noise_Ordinance_Amendment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1615997476_2021-13_Noise_Ordinance_Amendment.pdf,no,5-0 Pass,2021-03-11,8,high,,1,yes,,minutes/2021/2021-03-08/2021-03-11_city-council-meeting.md
2021-14,2021-03-18,2021-03-18,"approving the 1203 Park Avenue Plat Amendment located at 1203 Park Avenue, Park City, Utah",minutes/2021/2021-03-15/2021-03-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-03-18,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-03-15/2021-03-18_city-council-meeting.md
2021-15,2021-04-15,2021-04-15,"approving the Little Belle Condominiums 7th Amended (amending Unit #2), located at 7195 Little Belle Court, Park City, Utah",minutes/2021/2021-04-12/2021-04-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-04-15,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-04-12/2021-04-15_city-council-meeting.md
2021-16,2021-04-15,2021-04-15,AN ORDINANCE AMENDING THE LAND MANAGEMENT CODE SECTION 15-2.13-2 TO PROHIBIT NIGHTLY RENTALS IN THE FAIRWAY MEADOWS SUBDIVISION.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1619039327_2021-16_Fairway_HOA.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1619039327_2021-16_Fairway_HOA.pdf,yes,5-0 Pass,2021-04-15,6,high,subdivision_plat,1,yes,,minutes/2021/2021-04-12/2021-04-15_city-council-meeting.md
2021-17,2021-04-15,2021-04-15,"AN ORDINANCE AMENDING THE MUNICIPAL CODE OF PARK CITY, UTAH, CHAPTER 13 WATER AND STORMWATER CODE BY ADDING SECTION 13-5 REGULATION AND ENFORCEMENT OF STORMWATER DISCHARGES ASSOCIATED WITH POST CONSTRUCTION ACTIVITIES",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1619039352_2021-17_Long_Term_Storm_Water_Management.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1619039352_2021-17_Long_Term_Storm_Water_Management.pdf,no,5-0 Pass,2021-04-15,8,high,,1,yes,,minutes/2021/2021-04-12/2021-04-15_city-council-meeting.md
2021-18,2021-04-29,2021-04-29,"AN ORDINANCE AMENDING LAND MANAGEMENT CODE § 15-6.1-3, ZONING DISTRICTS AND USES; § 15-6.1-6, DENSITY; § 15-6.1-7, SETBACKS; § 15-6.1-8, BUILDING HEIGHT AND FACADES; § 15-6.1-9, PARKING",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1620760957_2021-18_AMPD_Amendments.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1620760957_2021-18_AMPD_Amendments.pdf,yes,5-0 Pass,2021-04-29,11,high,lmc_text_amendment,1,yes,,minutes/2021/2021-04-26/2021-04-29_city-council-meeting.md
2021-19,2021-04-29,2021-04-29,"approving the Northstar Subdivision Lot 2 & 3 Lot Line Adjustment, located at 1049 and 1025 Lowell Avenue, Park City, Utah",minutes/2021/2021-04-26/2021-04-29_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-04-29,12,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-04-26/2021-04-29_city-council-meeting.md
2021-20,2021-04-29,2021-04-29,"approving the Lot 2 Willow Ranch Replat, First Amended, located at 2750 Meadow Creek Drive",minutes/2021/2021-04-26/2021-04-29_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-04-29,13,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-04-26/2021-04-29_city-council-meeting.md
2021-22,2021-05-13,2021-05-13,"2 approving the Gasparac Plat Amendment, located at 1060 Park Avenue, Park City, 3 Utah",minutes/2021/2021-05-10/2021-05-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-05-13,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-05-10/2021-05-13_city-council-meeting.md
2021-23,2021-05-13,2021-05-13,"24 approving the Jupiter Moons Plat Amendment, located at 1125 and 1129 Park Avenue 25 and 1126 and 1128 Woodside Avenue, Park City, Utah. Council Member Joyce 26 seconded the motion. 27 RESULT: APPROVED",minutes/2021/2021-05-10/2021-05-13_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-05-13,10,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-05-10/2021-05-13_city-council-meeting.md
2021-24,2021-05-27,2021-05-27,"approving the Pinion Pines Subdivision at 1115 & 1117 Lowell Avenue, Park City, Utah",minutes/2021/2021-05-24/2021-05-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-05-27,11,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-05-24/2021-05-27_city-council-meeting.md
2021-25,2021-05-27,2021-05-27,"approving the Chatham Lots 52 and 53 Amended Plat, located at 3 and 5 Victoria Circle, Park City, Utah",minutes/2021/2021-05-24/2021-05-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-05-27,12,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-05-24/2021-05-27_city-council-meeting.md
2021-26,2021-05-27,2021-05-27,"approving Lot 1, Thomas Replat, located at 200 Grant Avenue, Park City, Utah",minutes/2021/2021-05-24/2021-05-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-05-27,13,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-05-24/2021-05-27_city-council-meeting.md
2021-27,2021-06-24,2021-06-24,establishing compensation for the elected and statutory officers for FY2022,minutes/2021/2021-06-21/2021-06-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-06-24,7,within_source,,2,no,"number cited on 2 dates: 2021-06-17, 2021-06-24; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2021/2021-06-21/2021-06-24_city-council-meeting.md
2021-28,2021-06-24,2021-06-24,adopting a revised budget for FY2021 and final budget for FY2022 and to include an increase to implement the pay plan,minutes/2021/2021-06-21/2021-06-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-06-24,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-06-21/2021-06-24_city-council-meeting.md
2021-29,2021-06-24,2021-06-24,"approving the Silver Bird Condominiums at Deer Valley Third Amendment, amending Unit 26, located 7374 Silverbird Drive, Park City Utah",minutes/2021/2021-06-21/2021-06-24_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-06-24,10,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-06-21/2021-06-24_city-council-meeting.md
2021-30,2021-07-01,2021-07-01,"approving 909 Woodside Avenue Plat Amendment, located at 909 Woodside Avenue",minutes/2021/2021-06-28/2021-07-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-07-01,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-06-28/2021-07-01_city-council-meeting.md
2021-31,2021-07-01,2021-07-01,"approving the 917 Empire Avenue Plat Amendment, located at 917 Empire Avenue",minutes/2021/2021-06-28/2021-07-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-07-01,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-06-28/2021-07-01_city-council-meeting.md
2021-32,2021-07-15,2021-07-15,"approving an extension of City Council’s December 5, 2019 approval of Ordinance No. 2019-60, an ordinance approving the 245 Woodside Plat Amendment, located at 245 Woodside Avenue, Park City, Utah",minutes/2021/2021-07-12/2021-07-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-07-15,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-07-12/2021-07-15_city-council-meeting.md
2021-33,2021-07-15,2021-07-15,"approving an extension of City Council's June 18, 2020 approval of Ordinance No. 2020-28, an ordinance approving the 1162 Woodside Avenue Plat Amendment, located at 1162 Woodside Avenue, Park City, Utah",minutes/2021/2021-07-12/2021-07-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-07-15,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-07-12/2021-07-15_city-council-meeting.md
2021-34,2021-09-02,2021-09-02,"approving the 1003 Norfolk Avenue Amended Plat, Lot 1 and Lot 2 in Block 16 of Snyder's Addition, Park City, Utah with the amended Condition of Approval Three",minutes/2021/2021-08-30/2021-09-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-09-02,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-08-30/2021-09-02_city-council-meeting.md
2021-35,2021-09-02,2021-09-02,"approving the Fairway Village No. 1 First Amended amending Lot 28, located at 2587 Fairway Village Drive, Park City, Utah",minutes/2021/2021-08-30/2021-09-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-09-02,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-08-30/2021-09-02_city-council-meeting.md
2021-36,2021-09-23,2021-09-23,"approving The Crescent Condominiums First Amended, amending Unit B, located at 633 Park Avenue, Park City, Utah",minutes/2021/2021-09-20/2021-09-23_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-09-23,4,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-09-20/2021-09-23_city-council-meeting.md
2021-37,2021-09-23,2021-09-23,"The Gigaplat Replat, First Amended and Restated, located at 1915 Prospector Avenue, Park City, Utah",minutes/2021/2021-09-20/2021-09-23_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2021-09-23,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-09-20/2021-09-23_city-council-meeting.md
2021-38,2021-09-23,2021-09-23,ADUs.docx,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1633540132_2021-38_ADUs.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1633540132_2021-38_ADUs.docx.pdf,no,5-0 Pass,2021-09-23,6,high,,1,yes,,minutes/2021/2021-09-20/2021-09-23_city-council-meeting.md
2021-39,2021-10-07,2021-10-07,"approving the 91 and 95 King Road Plat Amendment, located at 91 King Road and 95 King Road, Park City, Utah",minutes/2021/2021-10-04/2021-10-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-10-07,5,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-10-04/2021-10-07_city-council-meeting.md
2021-40,2021-10-28,2021-10-28,"approving the 316 Ontario Subdivision, located at 316 Ontario Avenue, Summit County",minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-10-28,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md
2021-41,2021-10-28,2021-10-28,AN ORDINANCE AMENDING LAND MANAGEMENT CODE § 15-11-10 PARK CITY HISTORIC SITES INVENTORY TO UPDATE THE ROSSIE HILL DRIVE LANDMARK HISTORIC SITE ADDRESSES AND THE STATUS OF 1302 NORFOLK AVENUE,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1640030363_2021-41_Historic_Site_Inventory_Updates.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1640030363_2021-41_Historic_Site_Inventory_Updates.docx.pdf,yes,5-0 Pass,2021-10-28,5,high,lmc_text_amendment,1,yes,,minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md
2021-42,2021-10-28,2021-10-28,"approving The Northstar Subdivision - Lot 1 Amended plat, located at 1061 and 1063 Lowell Avenue, Park City, Utah",minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2021-10-28,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md
2021-43,2021-10-28,2021-10-28,"AN ORDINANCE APPROVING A ZONING MAP AMENDMENT FOR ONE (1) TRACT OF LAND ZONED ESTATE (E) TO PUBLIC USE TRANSITION (PUT) INCLUDING ALL OF PCA- 1200-4-X LOCATED AT 7805 ROYAL STREET, PARK CITY, UTAH",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1640031409_2021-43_Zoning_Map_Amendment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1640031409_2021-43_Zoning_Map_Amendment.pdf,yes,5-0 Pass,2021-10-28,7,high,zone_change,1,yes,,minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md
2021-44,2021-10-28,2021-10-28,"AN ORDINANCE GOVERNING THE USE OF ELECTRONIC MEETINGS BY CITY COUNCIL, AMENDING SECTIONS 2-3-2 AND 15-12-14 OF THE MUNICIPAL CODE OF PARK CITY.",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1640030450_2021-44_Electronic_Meetings_Ordinance_w_Attachment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1640030450_2021-44_Electronic_Meetings_Ordinance_w_Attachment.pdf,no,5-0 Pass,2021-10-28,8,high,,1,yes,,minutes/2021/2021-10-25/2021-10-28_city-council-meeting.md
2021-45,2021-11-18,2021-11-18,"approving the 402 Park Avenue Plat Amendment located at 402 Park Avenue, Park City, Utah",minutes/2021/2021-11-15/2021-11-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2021-11-18,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-11-15/2021-11-18_city-council-meeting.md
2021-46,2021-12-09,2021-12-09,"approving the Park City Heights Phase 4 Subdivision, located south of Calamity Lane, south of Richardson Flat Road and west of US Highway 40, Park City, Utah, and approving the acceptance of the Phase 1 Park City Heights Public Park",minutes/2021/2021-12-06/2021-12-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2021-12-09,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-12-06/2021-12-09_city-council-meeting.md
2021-47,2021-11-18,2021-11-18,"approving the Club Lespri- 1st Amended Plat located at 1765 Sidewinder Drive, Summit County",minutes/2021/2021-11-15/2021-11-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2021-11-18,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2021/2021-11-15/2021-11-18_city-council-meeting.md
2021-49,2021-12-16,2021-12-16,AN ORDINANCE ADOPTING AN ADJUSTED BUDGET FOR FY 2022 FOR PARK CITY MUNICIPAL CORPORATION.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1641326469_2021-49_Adj_Budget_Adoption_w_Attachments.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1641326469_2021-49_Adj_Budget_Adoption_w_Attachments.pdf,no,4-0 Pass,2021-12-16,3,high,,1,yes,,minutes/2021/2021-12-13/2021-12-16_city-council-meeting.md
2021-50,2021-12-16,2021-12-16,"AN ORDINANCE AMENDING TITLE 14, TREES/LANDSCAPING; STREETS, SIDEWALKS AND STAIRS; STREETCUTS; SNOW REMOVAL; STREET ADDRESS SYSTEM; NEWS RACKS BY ADDING CHAPTER 14-7 SMALL WIRELESS FACILITIES IN THE PUBLIC RIGHT OF WAY OF THE MUNICIPAL CODE OF PARK CITY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1641326512_2021-50_Small_Wireless_Facilities_w_Attachments.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1641326512_2021-50_Small_Wireless_Facilities_w_Attachments.pdf,no,4-0 Pass,2021-12-16,5,high,,1,yes,,minutes/2021/2021-12-13/2021-12-16_city-council-meeting.md
2021-51,2021-12-16,2021-12-16,"AN ORDINANCE AMENDING LAND MANAGEMENT CODE SECTIONS 15-2.1-2, 15- 2.2-2, 15-2.3-2, 15-2.4-2, 15-2.5-2, 15-2.6-2, 15-2.9-2, 15-2.10-2, 15-2.11-2, 15-2.12-2, 15-2.13-2, 15-2.14-2, 15-2.15-2, 15-2.16-2, 15-2.17-2, 15-2.18-2, 15-2.19-2, AND 15- 2.23-2 USES, 15-4-7 ACCESSORY APARTMENTS, AND 15-15-1 DEFINITIONS",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1644360857_2021-51_Accessory_Apartments.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1644360857_2021-51_Accessory_Apartments.pdf,yes,3-1 Pass,2021-12-16,6,high,lmc_text_amendment,1,yes,,minutes/2021/2021-12-13/2021-12-16_city-council-meeting.md
