ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,subject,subject_source,minutes_source,linkage_note
2024-01,2024-02-01,2024-02-01,ADOPT Amended Ordinance 2024-01 - Repealing Chapter 10 of Title 13 of the City Code Relating to Subdivision Regulations and Enacting in Its Place Chapter 10A of Title 13 Setting Fo,https://www.utah.gov/pmn/files/1115837.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-01 was adopted by a unanimous vote.,2024-02-01,3,within_source,,motion,https://www.utah.gov/pmn/files/1115837.pdf,
2024-02,2024-03-07,2024-03-07,ADOPT Ordinance 2024-02 - Amending the Zone Map for Property Located at 2051 and 2061 East Murray Holladay Road from the Residential Multi-Family (RM) Zone to the Professional Offi,https://www.utah.gov/pmn/files/1115833.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-02 was adopted by a unanimous vote.,2024-03-07,1,within_source,,motion,https://www.utah.gov/pmn/files/1115833.pdf,
2024-03,2024-03-07,2024-03-07,"CONTINUE Consideration of Ordinance 2024-03 - Amending Title 13.100.010 Adding Quasi-Public (Churches) as a Permitted Use in the C-2 Zones, to the March 21, 2024, City Council Meet",https://www.utah.gov/pmn/files/1115833.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-03 was continued by a unanimous vote.,2024-03-07,2,within_source,,motion,https://www.utah.gov/pmn/files/1115833.pdf,
2024-04,2024-03-21,2024-03-21,"ADOPT Ordinance 2024-04 - Amending Title 13.76.730, 13.100.010, and Chapter 5.54.010 Regarding Home Occupations",https://www.utah.gov/pmn/files/1136879.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-04 was adopted by au unanimous vote.,2024-03-21,2,within_source,,motion,https://www.utah.gov/pmn/files/1136879.pdf,
2024-05,2024-04-25,2024-04-25,ADOPT Ordinance 2024-05 - Amending the Zoning Map for Property Located at 6375 South Highland Drive from RM to PO,https://www.utah.gov/pmn/files/1145972.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-05 was adopted by a unanimous vote.,2024-04-25,1,within_source,,motion,https://www.utah.gov/pmn/files/1145972.pdf,
2024-06,2024-04-25,2024-04-25,"ADOPT Ordinance 2024-06 - Restricting the Use of Personal Fireworks, omitting the language that makes reference to 1300 East and replacing that with the areas identified in Exhibit",https://www.utah.gov/pmn/files/1145972.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-06 was adopted by a 5-to-1 vote.,2024-04-25,3,within_source,,motion,https://www.utah.gov/pmn/files/1145972.pdf,
2024-07,2024-05-16,2024-05-16,ADOPT Ordinance 2024-07 - Amending Title 13.62 Building Heights in the C-2 Zone,https://www.utah.gov/pmn/files/1145978.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-07 was adopted by a unanimous vote.,2024-05-16,2,within_source,,motion,https://www.utah.gov/pmn/files/1145978.pdf,
2024-08,2024-06-13,2024-06-13,ADOPT Ordinance 2024-08,https://www.utah.gov/pmn/files/1145980.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-08 was adopted by a unanimous vote.,2024-06-13,1,within_source,,motion,https://www.utah.gov/pmn/files/1145980.pdf,
2024-09,2024-06-13,2024-06-13,ADOPT Ordinance 2024-09,https://www.utah.gov/pmn/files/1145980.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-09 was adopted by a unanimous vote.,2024-06-13,2,within_source,,motion,https://www.utah.gov/pmn/files/1145980.pdf,
2024-10,2024-06-13,2024-06-13,ADOPT Ordinance 2024-10 - Determining the Rate of Tax for 2024-25 Tax Year and Levying Taxes Upon All Real and Personal Property within the City of Holladay,https://www.utah.gov/pmn/files/1145980.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-10 was adopted by a unanimous vote.,2024-06-13,3,within_source,,motion,https://www.utah.gov/pmn/files/1145980.pdf,
2024-11,2024-06-13,2024-06-13,"ADOPT Ordinance 2024-11 Approving a Compensation Schedule for Elected, Executive and Statutory Officers and all other Municipal Officers",https://www.utah.gov/pmn/files/1145980.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-11 was adopted by a unanimous vote.,2024-06-13,4,within_source,,motion,https://www.utah.gov/pmn/files/1145980.pdf,
2024-12,2024-06-13,2024-06-13,ADOPT Ordinance 2024-12 - A Final Budget for Fiscal Year 2024-2025,https://www.utah.gov/pmn/files/1145980.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-12 was adopted by a unanimous vote.,2024-06-13,5,within_source,,motion,https://www.utah.gov/pmn/files/1145980.pdf,
2024-13,2024-08-15,2024-08-15,ADOPT Ordinance 2024-13 - Determining the Rate of Tax for the 2024-2025 Tax Year and Levying Taxes Upon All Real and Personal Property within the City,https://www.utah.gov/pmn/files/1194895.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-13 was adopted by a unanimous vote.,2024-08-15,1,within_source,,motion,https://www.utah.gov/pmn/files/1194895.pdf,
2024-14,2024-08-15,2024-08-15,"ADOPT Ordinance 2024-14 - Adopting the Final Budget for the Fiscal Year Beginning July 1, 2024, and Ending June 30, 2025",https://www.utah.gov/pmn/files/1194895.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-14 was adopted by a unanimous vote.,2024-08-15,2,within_source,,motion,https://www.utah.gov/pmn/files/1194895.pdf,
2024-15,2024-09-19,2024-09-19,"ADOPT Ordinance 2024-15 - Amending the Zoning Map for Property Located at 6571 South Big Cottonwood Canyon Road from Residential Multi-Family (RM) to Office, Research and Developme",https://www.utah.gov/pmn/files/1200278.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024- 15 was adopted by a unanimous vote.,2024-09-19,1,within_source,,motion,https://www.utah.gov/pmn/files/1200278.pdf,
2024-16,2024-10-24,2024-10-24,APPROVE Ordinance 2024-16 - Amending Title 13 of the City Code to Allow Short-Term Rentals as a Conditional Use in the PO Zone,https://www.utah.gov/pmn/files/1210649.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,The motion FAILED with a vote of 5-to-0.,2024-10-24,1,within_source,,motion,https://www.utah.gov/pmn/files/1210649.pdf,
2024-17,2024-10-24,2024-10-24,APPROVE Ordinance 2024-17 - Amending Section 11.04.010 - Clarifying the Enforcement Authority of the Unified Police Department for Traffic Regulations within the City,https://www.utah.gov/pmn/files/1210649.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024-17 was ADOPTED by a unanimous vote.,2024-10-24,2,within_source,,motion,https://www.utah.gov/pmn/files/1210649.pdf,
2024-19,2024-11-21,2024-11-21,ADOPT Ordinance 2024-19 - Amending the Zoning Map for Property Located at 5428 South Highland Drive from R-1-21 (Residential Single-Family) to R-2- 10 (Residential Two-Family),https://www.utah.gov/pmn/files/1230881.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024- 19 was adopted by a unanimous vote.,2024-11-21,1,within_source,,motion,https://www.utah.gov/pmn/files/1230881.pdf,
2024-20,2024-11-21,2024-11-21,ADOPT Ordinance 2024-20 - Amending Various Sections of Title 13 Relating to Historical Preservation,https://www.utah.gov/pmn/files/1230881.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024-20 was adopted by a unanimous vote.,2024-11-21,2,within_source,,motion,https://www.utah.gov/pmn/files/1230881.pdf,
2024-22,2024-12-12,2024-12-12,ADOPT Ordinance 2024-22 - Amending the Zoning Map for Property Located at 2091 East Murray Holladay Road from R-M (Residential Multi-Family) to PO (Professional Office),https://www.utah.gov/pmn/files/1230883.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,Ordinance 2024- 22 was adopted by a unanimous vote.,2024-12-12,1,within_source,,motion,https://www.utah.gov/pmn/files/1230883.pdf,
2024-23,2024-12-12,2024-12-12,"ADOPT Ordinance 2024-23 - Amending the 2024-2025 Fiscal Year Budget, as amended",https://www.utah.gov/pmn/files/1230883.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,Ordinance 2024- 23 was adopted by a unanimous vote.,2024-12-12,2,within_source,,motion,https://www.utah.gov/pmn/files/1230883.pdf,
2025-01,2025-03-06,2025-03-06,APPROVE Ordinance 2025-01- Amending Title 13.02.030 of the City Code Regarding Roadway Classifications,https://www.utah.gov/pmn/files/1260731.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,The motion failed with a unanimous vote.,2025-03-06,1,within_source,,motion,https://www.utah.gov/pmn/files/1260731.pdf,
2025-02,2025-03-06,2025-03-06,Amending Title 17 stormwater regulations,https://holladayut.gov/Document Center/Ordinances/Ordinance 02.25.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2025-02__Ordinance_02.25.pdf,yes,Ordinance 2025-02 was adopted by unanimous vote X.,2025-03-06,2,medium,Amending Title 17 stormwater regulations,recorder-pdf,https://www.utah.gov/pmn/files/1260731.pdf,"posting certificate in this PDF misprints the number as '2025-03'; the ordinance header reads ORDINANCE NO. 2025-02 (stormwater) - city clerical error, preserved verbatim"
2025-03,2025-03-20,2025-03-20,Home-based micro-schools (Title 13),https://holladayut.gov/Document Center/Ordinances/Ordinance - 03.25.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2025-03__Ordinance_-_03.25.pdf,yes,Ordinance 2025-03 was adopted by a unanimous vote.,2025-03-20,1,high,Home-based micro-schools (Title 13),recorder-pdf,https://www.utah.gov/pmn/files/1260727.pdf,
2025-04,2025-03-20,2025-03-20,Budget amendments,https://holladayut.gov/Document Center/Ordinances/Ordinance - 04.25.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2025-04__Ordinance_-_04.25.pdf,no,Ordinance 2025-04 was adopted by a unanimous vote.,2025-03-20,2,high,Budget amendments,recorder-pdf,https://www.utah.gov/pmn/files/1260727.pdf,
2025-05,2025-03-20,2025-03-20,Repeals Titles 10 & 11 and adopts new Titles 10 & 11,https://holladayut.gov/Document Center/Ordinances/Ordinance - 05.25.pdf,2026-07-13,text,pdftotext,raw/docs/2025-05__Ordinance_-_05.25.pdf,no,Ordinance 2025-05 was adopted by a unanimous vote.,2025-03-20,3,high,Repeals Titles 10 & 11 and adopts new Titles 10 & 11,recorder-pdf,https://www.utah.gov/pmn/files/1260727.pdf,
2025-06,2025-05-01,2025-05-01,Firework restrictions,https://holladayut.gov/Document Center/Ordinances/06- FIreworks.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/unk__06-_FIreworks.pdf,no,,,,none,Firework restrictions,recorder-pdf,,adoption date from the PDF 'PASSED AND APPROVED' clause; no matching council motion in ../meeting_minutes/all_votes.csv (item post-dates the available minutes or the motion did not cite the number)
2025-07,2025-05-15,2025-05-15,ADOPT Ordinance 2025-07 Amending Title 2 of the City Code relating to City Government,https://www.utah.gov/pmn/files/1282125.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed with the unanimous consent of the Council.,2025-05-15,1,within_source,,motion,https://www.utah.gov/pmn/files/1282125.pdf,
2025-08,2025-06-12,2025-06-12,2024-25 budget amendments,https://holladayut.gov/Document Center/Ordinances/budget amends.June.adopted.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/unk__budget_amends.June.adopted.pdf,no,The motion passed with the unanimous consent of the Council.,2025-06-12,1,high,2024-25 budget amendments,recorder-pdf,https://www.utah.gov/pmn/files/1306919.pdf,
2025-09,2025-06-12,2025-06-12,Certified tax rate for 2025-26,https://holladayut.gov/Document Center/Ordinances/Certified Tax rate.adopted.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/unk__Certified_Tax_rate.adopted.pdf,no,The motion passed with the unanimous consent of the Council.,2025-06-12,2,high,Certified tax rate for 2025-26,recorder-pdf,https://www.utah.gov/pmn/files/1306919.pdf,
2025-10,2025-06-12,2025-06-12,Compensation schedule,https://holladayut.gov/Document Center/Ordinances/compensation.adopted.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/unk__compensation.adopted.pdf,no,The motion passed with the unanimous consent of the Council.,2025-06-12,3,high,Compensation schedule,recorder-pdf,https://www.utah.gov/pmn/files/1306919.pdf,
2025-11,2025-06-12,2025-06-12,Adopts the 2025-26 fiscal year budgets,https://holladayut.gov/Document Center/Ordinances/2025-26 Final Budgets.adopted.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/unk__2025-26_Final_Budgets.adopted.pdf,no,The motion passed with the unanimous consent of the Council.,2025-06-12,4,high,Adopts the 2025-26 fiscal year budgets,recorder-pdf,https://www.utah.gov/pmn/files/1306919.pdf,
2025-12,2025-06-12,2025-06-12,ADOPT Ordinance 2025-12 - Establishing a Suggested Uniform Fine Schedule for Certain Offences Set Forth in Titles 10 and 11 of the City Code,https://www.utah.gov/pmn/files/1306919.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed with the unanimous consent of the Council.,2025-06-12,5,within_source,,motion,https://www.utah.gov/pmn/files/1306919.pdf,
2025-14,2025-08-28,2025-08-28,Historic designation list,https://holladayut.gov/Document Center/Ordinances/Ordinance - 14.25.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2025-14__Ordinance_-_14.25.pdf,yes,The motion passed unanimously.,2025-08-28,2,high,Historic designation list,recorder-pdf,https://www.utah.gov/pmn/files/1346945.pdf,
2025-15,2025-08-28,2025-08-28,Outdoor lighting standards (13.84),https://holladayut.gov/Document Center/Ordinances/13.84 Outdoor Lighting CLEAN VERSION.pdf,2026-07-13,text,pdftotext,raw/docs/unk__13.84_Outdoor_Lighting_CLEAN_VERSION.pdf,yes,The motion passed unanimously.,2025-08-28,3,medium,Outdoor lighting standards (13.84),recorder-pdf,https://www.utah.gov/pmn/files/1346945.pdf,posted as the clean codified 13.84 text; the certified ordinance number is not printed in the document (assigned 2025-15 from the Recorder page label)
2025-16,2025-09-11,2025-09-11,Vacating a portion of right-of-way,https://holladayut.gov/Document Center/Ordinances/Ordinance - 16.25.pdf,2026-07-13,text,pdftotext,raw/docs/2025-16__Ordinance_-_16.25.pdf,yes,The motion passed unanimously.,2025-09-11,1,high,Vacating a portion of right-of-way,recorder-pdf,https://www.utah.gov/pmn/files/1346943.pdf,
2025-17,2025-10-02,2025-10-02,ADOPT Ordinance 2025-17 - Amending Title 7 of the City Code Relating to Code Enforcement,https://www.utah.gov/pmn/files/1375585.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed unanimously.,2025-10-02,1,within_source,,motion,https://www.utah.gov/pmn/files/1375585.pdf,
2025-18,2025-10-02,2025-10-02,"ADOPT Ordinance 2025-18 - Amending the Budget for the Fiscal Year Beginning July 1, 2025, and Ending June 30, 2026",https://www.utah.gov/pmn/files/1375585.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,no,The motion passed with the unanimous consent of the Council.,2025-10-02,2,within_source,,motion,https://www.utah.gov/pmn/files/1375585.pdf,
2025-19,2025-10-02,2025-10-02,ADOPT Ordinance 2025-19 - Amending Title 13.86.020 to Add 2052 East Arbor Lane to Holladay’s Historic Designation List,https://www.utah.gov/pmn/files/1375585.pdf,,na,minutes-citation (derived from ../meeting_minutes/all_votes.csv; no independent ordinance document),,yes,The motion passed unanimously.,2025-10-02,3,within_source,,motion,https://www.utah.gov/pmn/files/1375585.pdf,
2025-20,2025-12-04,2025-12-04,Title 3 (revenue & finance) amendments,https://holladayut.gov/Document Center/Ordinances/Ordinance - 20.25.pdf,2026-07-13,text,pdftotext,raw/docs/2025-20__Ordinance_-_20.25.pdf,no,Ordinance 2025- 20 was adopted by a unanimous vote.,2025-12-04,2,high,Title 3 (revenue & finance) amendments,recorder-pdf,https://www.utah.gov/pmn/files/1375573.pdf,
2025-21,2025-12-04,2025-12-04,2025-26 budget amendments,https://holladayut.gov/Document Center/Ordinances/Ordinance - 21.25.pdf,2026-07-13,text,pdftotext,raw/docs/2025-21__Ordinance_-_21.25.pdf,no,Ordinance 2025-21 was adopted by a unanimous vote.,2025-12-04,3,high,2025-26 budget amendments,recorder-pdf,https://www.utah.gov/pmn/files/1375573.pdf,
2025-22,2025-12-04,2025-12-04,Wildland Urban Interface overlay,https://holladayut.gov/Document Center/Ordinances/Ordinance - 22.25.pdf,2026-07-13,text,pdftotext,raw/docs/2025-22__Ordinance_-_22.25.pdf,yes,Ordinance 2025-22 was adopted by a unanimous vote.,2025-12-04,4,high,Wildland Urban Interface overlay,recorder-pdf,https://www.utah.gov/pmn/files/1375573.pdf,
2026-01,2026-02-19,2026-02-19,Historic designation (4659 S Highland Dr),https://holladayut.gov/Document Center/Departments/City Recorder/2026 Ord Adopt/2026.01 Historic Designation.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2026-01__2026.01_Historic_Designation.pdf,yes,The motion passed with the unanimous consent of the Council.,2026-02-19,1,high,Historic designation (4659 S Highland Dr),recorder-pdf,https://www.utah.gov/pmn/files/1439405.pdf,
2026-02,2026-03-19,2026-03-19,Budget amendments FY 2025-26 (March),https://holladayut.gov/Document Center/Ordinances/2026.02 Budget Amends.March.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2026-02__2026.02_Budget_Amends.March.pdf,no,The motion passed with the unanimous consent of the Council.,2026-03-19,1,high,Budget amendments FY 2025-26 (March),recorder-pdf,https://www.utah.gov/pmn/files/1439411.pdf,
2026-03,2026-04-23,2026-04-23,Fireworks restrictions,https://holladayut.gov/Document Center/Ordinances/2026.03 Fireworks.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2026-03__2026.03_Fireworks.pdf,no,,,,none,Fireworks restrictions,recorder-pdf,,adoption date from the PDF 'PASSED AND APPROVED' clause; no matching council motion in ../meeting_minutes/all_votes.csv (item post-dates the available minutes or the motion did not cite the number)
2026-04,2026-05-21,2026-05-21,Right-of-way vacation,https://holladayut.gov/Document Center/Ordinances/Ord 2026-04.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2026-04__Ord_2026-04.pdf,yes,,,,none,Right-of-way vacation,recorder-pdf,,adoption date from the PDF 'PASSED AND APPROVED' clause; no matching council motion in ../meeting_minutes/all_votes.csv (item post-dates the available minutes or the motion did not cite the number)
2026-05,2026-05-21,2026-05-21,Street vacation at 1720 E Bunkerhill Rd,https://holladayut.gov/Document Center/Ordinances/Ord 2026-05.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2026-05__Ord_2026-05.pdf,yes,,,,none,Street vacation at 1720 E Bunkerhill Rd,recorder-pdf,,adoption date from the PDF 'PASSED AND APPROVED' clause; no matching council motion in ../meeting_minutes/all_votes.csv (item post-dates the available minutes or the motion did not cite the number)
2026-06,2026-05-21,2026-05-21,Chapter 3.32 Community Clean Energy,https://holladayut.gov/Document Center/Ordinances/Ord 2026-06.pdf,2026-07-13,scanned,tesseract-ocr,raw/docs/2026-06__Ord_2026-06.pdf,no,,,,none,Chapter 3.32 Community Clean Energy,recorder-pdf,,adoption date from the PDF 'PASSED AND APPROVED' clause; no matching council motion in ../meeting_minutes/all_votes.csv (item post-dates the available minutes or the motion did not cite the number)
