adid,date,title,filename,url,bytes,sha256,is_pdf
7955,2024-11-19,"November 19, 2024 Council Meeting minutes",2024-11-19_november_19_2024_council_meeting_minutes_adid7955.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7955,155600,ef030aba2fb1fd501fd514f0f0ae7190464e98938f13fb2f0533635d0559355f,True
7956,2024-12-03,"December 3, 2024 Council Meeting minutes",2024-12-03_december_3_2024_council_meeting_minutes_adid7956.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7956,200979,0bbef6da8f93a153de4a7864b2ef059fee0fc7dc0fb35f126caa5d52e6dc1409,True
7976,2025-01-07,"January 7, 2025 Council Meeting minutes",2025-01-07_january_7_2025_council_meeting_minutes_adid7976.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7976,128560,561abd5f1e90b57cb50b71ac630e98c0cc381626548e4d69b0ed3f10d9cf40a1,True
7985,2025-01-21,"January 21, 2025 Council Meeting minutes",2025-01-21_january_21_2025_council_meeting_minutes_adid7985.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7985,145570,0cc31dcbb6ae810d56cbd93a404bb97c2f819ab0a41c9cc91fe4a9809f4d1ff3,True
7984,2025-01-21,"January 21, 2025 Specila Meeting minutes- District #3 Interviews",2025-01-21_january_21_2025_specila_meeting_minutes_district_3_interview_adid7984.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/7984,146715,e612b3506e4a2fc1436594b4f9da60e0355fce1e45069fa5ec8d001e7b1a1d69,True
8002,2025-02-04,"February 4, 2025 Council Meeting minutes",2025-02-04_february_4_2025_council_meeting_minutes_adid8002.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8002,117418,ee6b3f92e149bc0a78d4e72e09d607102f69926925ebd3b987d61ef249e83668,True
8015,2025-02-18,"February 18, 2025 Council Meeting minutes",2025-02-18_february_18_2025_council_meeting_minutes_adid8015.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8015,130876,090234dd351d93793ca523c92f1bbc3b56b681a9c01ac61703bf2b7e1ffc62c3,True
8025,2025-03-04,"March 4, 2025 Council Meeting minutes",2025-03-04_march_4_2025_council_meeting_minutes_adid8025.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8025,168140,f3397346b09dd148e18b0e5631af6362f165194e719bb3ee400d72cd94a4d9e7,True
8037,2025-03-18,"March 18, 2025 Council Meeting minutes",2025-03-18_march_18_2025_council_meeting_minutes_adid8037.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8037,139958,ba8e99abb6eb95c21f673b94d41b398882e81488808f79861a466df614671268,True
8047,2025-04-01,"April 1, 2025 Council Meeting minutes",2025-04-01_april_1_2025_council_meeting_minutes_adid8047.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8047,150679,47d3d9f227c549a3d06309d8550ad07fd55f16f7b0ad3689127979bdf8741043,True
8053,2025-04-15,"April 15, 2025 Council Meeting minutes",2025-04-15_april_15_2025_council_meeting_minutes_adid8053.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8053,164244,8a713cb1125ac830c2897c47e51a043b6a7be1a6c37d90a4e2d25ad1ee838503,True
8068,2025-05-06,"May 6, 2025 Council Meeting minutes",2025-05-06_may_6_2025_council_meeting_minutes_adid8068.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8068,174759,922fe6ae689953df3aae60a9be24281e524cd2c1712a2b173cedd97eeef75068,True
8069,2025-05-13,"May 13, 2025 Council Meeting minutes",2025-05-13_may_13_2025_council_meeting_minutes_adid8069.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8069,129257,74be7dad7776f21f4dfa0fd64508be91fec64d65898c4aa4f25be08423434b06,True
8097,2025-06-03,"June 3, 2025 Council Meeting minutes",2025-06-03_june_3_2025_council_meeting_minutes_adid8097.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8097,166051,6083e9bde78b20655528028852f87f19aa7148ee77baac4c2124e7e09619fbf5,True
8098,2025-06-17,"June 17, 2025 Council Meeting minutes",2025-06-17_june_17_2025_council_meeting_minutes_adid8098.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8098,197972,8fa07906cacc044198954447eccba03a20a3e3ac6aedf782f182c9b25e08a3a8,True
8115,2025-07-01,"July 1, 2025 Council Meeting minutes",2025-07-01_july_1_2025_council_meeting_minutes_adid8115.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8115,118650,64c6275e1c9e11af34c4c8283356ce3f6fe7544e4fd2cba7ada19dc304c3617a,True
8124,2025-07-15,"July 15, 2025 Council Meeting minutes",2025-07-15_july_15_2025_council_meeting_minutes_adid8124.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8124,125082,5e7056dc73eb044c51f4744360a0f6fde71b496b3102f7d6f0a592ea9b4de011,True
8155,2025-08-05,"August 5, 2025 Council Meeting minutes",2025-08-05_august_5_2025_council_meeting_minutes_adid8155.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8155,147039,722a46300e2ea4abb777b9e791e80a170c21504a30e06e6f16674d1d44827a0b,True
8144,2025-08-05,"August 5, 2025 Council Meeting minutes",2025-08-05_august_5_2025_council_meeting_minutes_adid8144.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8144,147039,722a46300e2ea4abb777b9e791e80a170c21504a30e06e6f16674d1d44827a0b,True
8153,2025-08-26,"August 26, 2025 Council Meeting minutes",2025-08-26_august_26_2025_council_meeting_minutes_adid8153.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8153,147762,722e5f2a1918e606aacab4222d23dc98f8941c444efad89e1cbb25a7e2183eea,True
8154,2025-09-02,"September 2, 2025 Council Meeting minutes",2025-09-02_september_2_2025_council_meeting_minutes_adid8154.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8154,115913,852863c3f99fd6944f6f263ade8d3a987e9e27331943a8ae126029a2230ff3a3,True
8162,2025-09-16,"September 16, 2025 Council Meeting minutes",2025-09-16_september_16_2025_council_meeting_minutes_adid8162.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8162,134373,db43e149d2e2a63027931b462399741ad65d5c695a40e4ef198b65379606e1fa,True
8176,2025-10-07,"October 7, 2025 Council Meeting minutes",2025-10-07_october_7_2025_council_meeting_minutes_adid8176.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8176,125878,72850ff7860ba8ecc616306f0ebf83cd05fd39bfa49b6302cf583107b80250fd,True
8177,2025-10-21,"October 21, 2025 Council Meeting minutes",2025-10-21_october_21_2025_council_meeting_minutes_adid8177.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8177,120355,a49f7ce801d3e6ccec2256d8e8480ce3d22ce2650b751d825cd893dd6e546c41,True
8197,2025-11-18,"November 18, 2025 Council Meeting minutes",2025-11-18_november_18_2025_council_meeting_minutes_adid8197.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8197,113134,d672b6eb5e2016eb1a22d4057f4490e91cbecb8889f0960cc8da779a328efd67,True
8211,2025-11-25,"November 25, 2025 Council Meeting minutes",2025-11-25_november_25_2025_council_meeting_minutes_adid8211.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8211,137090,f412886597ad696a535d1499507690b7404ed78045b14fe6a10864a8de325736,True
8212,2025-12-09,"December 9, 2025 Council Meeting minutes",2025-12-09_december_9_2025_council_meeting_minutes_adid8212.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8212,154437,4eda54fdd43d2172327d834ec8e76921bc2468863f29f3f754faf39d9d666de9,True
8236,2026-01-06,"January 6, 2026 Council Meeting minutes",2026-01-06_january_6_2026_council_meeting_minutes_adid8236.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8236,148544,f2606406eb6bc272f03c7f21876702fe72464e4b1f0af59e4716f0439e6f3115,True
8237,2026-01-20,"January 20, 2026 Council Meeting minutes",2026-01-20_january_20_2026_council_meeting_minutes_adid8237.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8237,144001,c4fd6d7ee5133aef865b614d1102881a0777129c5c3872be7a3a0ca30c5b40d9,True
8245,2026-02-17,"February 17, 2026 Council Meeting minutes",2026-02-17_february_17_2026_council_meeting_minutes_adid8245.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8245,86271,ed6492b881991f9289e46f7acfc6717d43f3a2b5e174f1691744a474ee8ef614,True
8265,2026-03-03,"March 3, 2026 Council Meeting minutes",2026-03-03_march_3_2026_council_meeting_minutes_adid8265.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8265,125160,fb3a736cb8fd9c19b674fcad3b6f517c6a793ee06c3072c7b173313acb1b6f4d,True
8298,2026-04-07,"April 7, 2026 Council Meeting minutes",2026-04-07_april_7_2026_council_meeting_minutes_adid8298.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8298,215658,676695589e57a45df4a1a3b06c4acc33412aac090ad13c150def778ae9b75211,True
8314,2026-04-21,"April 21, 2026 Council Meeting minutes",2026-04-21_april_21_2026_council_meeting_minutes_adid8314.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8314,221080,133f890c26c62d8a553419a46acefb1306f4d49afa23f4edd587fbbbc8cb8287,True
8326,2026-05-05,"May 5, 2026 Council Meeting minutes",2026-05-05_may_5_2026_council_meeting_minutes_adid8326.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8326,150960,91d2edd7a7525d437288ace70184bfceaef3c8d3294029a38328569cb5edc041,True
8337,2026-05-19,"May 19, 2026 Council Meeting minutes",2026-05-19_may_19_2026_council_meeting_minutes_adid8337.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8337,222961,73f8ad8665b46d79a876bdea357dbc2d11cda94069ac1e6a14011b6f1f6b949a,True
8346,2026-06-02,"June 2, 2026 Council Meeting minutes",2026-06-02_june_2_2026_council_meeting_minutes_adid8346.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8346,177728,e05867d523f2e5eb2ca233f97350bfda475f86dccb4819851361f7e082faac1f,True
8347,2026-06-16,"June 16, 2026 Council Meeting minutes",2026-06-16_june_16_2026_council_meeting_minutes_adid8347.pdf,https://www.murray.utah.gov/Archive/ViewFile/Item/8347,150753,3a3fa9a8131478d044b4c19b2da797a11a8dd0c8804babd1d7278d6dfc0debfa,True
