ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,adoption_date_source,sha256,linkage_note
2017-O-01,,2017-01-01,2017-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O01.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-01.pdf,yes,,,,none,ordinance,year-only,a69bf08627a426ca58991c0250d65c8fdad49b99c5f3aca284a310b35f58738e,
2017-O-02,,2017-01-01,2017-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O02.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2017-O-02.pdf,yes,,,,none,ordinance,year-only,69dc477c6ff97d621762ed792b370a4d355beaed2ac69be39a5413bb99eb14ff,
2017-O-03,,2017-01-01,2017-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O03.pdf?t=202309190901260,2026-07-13,text,pdftotext -layout,raw/2017-O-03.pdf,yes,,,,none,ordinance,year-only,e7d6e9d7330de80d1aadf6f4354ad6d80926d71ef34ce3f3d4fae46b22d0e31a,
2017-O-04,,2017-01-01,2017-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O04.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2017-O-04.pdf,yes,,,,none,ordinance,year-only,6f4b58287cc36ba77dc8d11df3d25326c22b25b2e75533f937e319e235fe75c7,
2017-O-05,,2017-01-01,2017-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O05.pdf?t=202309190901260,2026-07-13,text,pdftotext -layout,raw/2017-O-05.pdf,yes,,,,none,ordinance,year-only,37c73351b8de403bc5a7288ee73c30afa851fb7dc13dd296402f5c4605c5df77,
2017-O-06,2017-04-18,2017-04-18,2017-O-06 - No Action Taken,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O06%20%20No%20Action%20Taken.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-06.pdf,yes,,,,none,ordinance,pdf,73bdf9d12df8f00ad10f41e12a5d7c752263175478dacf4218e1e220f40a4937,
2017-O-07,2017-06-20,2017-06-20,2017-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O07.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (13pg),raw/2017-O-07.pdf,yes,,,,none,ordinance,pdf,0f829e5100cef3990c53a7bdddd93d37ffd344f950918babb0a1e2bd80c12cae,
2017-O-08,2017-06-20,2017-06-20,2017-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O08.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2017-O-08.pdf,no,,,,none,ordinance,pdf,1b80729f35116635bfe8232bdaf3c26d469ab5c63c5ec42484f73c52b0b8e77b,
2017-O-09,,2017-01-01,2017-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O09.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2017-O-09.pdf,yes,,,,none,ordinance,year-only,26d6b66be94eb8b2c384cb811e04952d1e3ade917d0b280edf20f8cdafade2fb,
2017-O-10,,2017-01-01,2017-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O10.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (7pg),raw/2017-O-10.pdf,yes,,,,none,ordinance,year-only,cccf527faaa03859bfd83be1287dc03a16575ee814710f0d72ff99f30e7bd160,
2017-O-11,,2017-01-01,2017-O-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O11.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-11.pdf,yes,,,,none,ordinance,year-only,a6b524fdf65e398c87aedbc68edd9a2187318e967e27e13d0c9546cf109053e0,
2017-O-12,,2017-01-01,2017-O-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O12.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-12.pdf,yes,,,,none,ordinance,year-only,740ef0259c86d54554bc75be915a493e7245da92aeff68bd3f81aec5581be38d,
2017-O-13,,2017-01-01,2017-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O13.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-13.pdf,yes,,,,none,ordinance,year-only,9bc1ec39ff4f175816beabf85ba28ec45975b747e663466897b61ebae67d3049,
2017-O-14,,2017-01-01,2017-O-14,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O14.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-14.pdf,yes,,,,none,ordinance,year-only,d0050dba4def4851e2d2a8a52fbcd4b5ad48148f3bfd8b5704e3875fce7911e6,
2017-O-15,,2017-01-01,2017-O-15,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O15.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-15.pdf,yes,,,,none,ordinance,year-only,988b91480c58bdfce70513b63e5ca8a4be9ad4762e899ae42f549ce3b66bf1b9,
2017-O-16,,2017-01-01,2017-O-16,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O16.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2017-O-16.pdf,yes,,,,none,ordinance,year-only,f887ef7d128346185e7981e2700bdae35f99fa7a4c3bf04f2d5c0fc259b93916,
2017-O-17,,2017-01-01,2017-O-17,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O17.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2017-O-17.pdf,yes,,,,none,ordinance,year-only,7b7218a3692fad164b13635ff5750578690b24957a3787d6b8fe0a9e736f4f6b,
2017-O-19,,2017-01-01,2017-O-19,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O19.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (5pg),raw/2017-O-19.pdf,yes,,,,none,ordinance,year-only,92dc5178e69f0703728a47513f0ac87cc51862e1c837bc9864b3f21e3e6f2f69,
2017-O-20,,2017-01-01,2017-O-20,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2017/2017O20.pdf?t=202309190901270,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2017-O-20.pdf,no,,,,none,ordinance,year-only,df7369ecf91407fda07b9f2667be1c55079f5023fa3b7472e01c566cb193e780,
2018-O-01,,2018-01-01,2018-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O01.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2018-O-01.pdf,no,,,,none,ordinance,year-only,0bf2777b9dcc3138671638438d674fb0232f7f1ca86d2318c5c2ed0d5605c53b,
2018-O-02,,2018-01-01,2018-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O02.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2018-O-02.pdf,yes,,,,none,ordinance,year-only,36c57465550d8712e64ddd148b088a277f2602a8dd13c8fb2c88953b9693a886,
2018-O-03,,2018-01-01,2018-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O03.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (7pg),raw/2018-O-03.pdf,yes,,,,none,ordinance,year-only,a2b489af732c0bd585b5b8f17d324831e653780aa79599df2df4e0213edddfcf,
2018-O-04,2018-05-15,2018-05-15,2018-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O04.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2018-O-04.pdf,yes,,,,none,ordinance,pdf,92c77b6a67e21cc2239bb41148d89a88ef140fef419ad8cf52cc9061c50974f9,
2018-O-05,2018-05-15,2018-05-15,2018-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O05.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2018-O-05.pdf,no,,,,none,ordinance,pdf,f2668787de299ca9da02de725f2cec41bf96ae3eaaf34cc1f9387df60585fae1,
2018-O-06,,2018-01-01,2018-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O06.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (first 15 of 50pp; gs-repaired corrupt xref),raw/2018-O-06.pdf,no,,,,none,ordinance,year-only,67145aa5e61782eec420e3039ad4cfb253e1fde19a4a9ac3f1aad690c8ac8f95,
2018-O-07,,2018-01-01,2018-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O07.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (8pg),raw/2018-O-07.pdf,no,,,,none,ordinance,year-only,d3d87675ebe0a94080e4e312f91d3613f1f25c1082847145649db9f8d09f34bf,
2018-O-08,2048-07-17,2048-07-17,2018-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O08.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg; gs-repaired corrupt xref),raw/2018-O-08.pdf,no,,,,none,ordinance,pdf,a470ef6fb28e21d7f37f51847e04cfc5a45ff01aebdaa1d665ef78f5dad53d55,
2018-O-09,,2018-01-01,2018-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O09.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2018-O-09.pdf,no,,,,none,ordinance,year-only,7c50136931ce0f7a3d7166003e02d9efde5d4c55bb38dcc3bfeed605d810bbf9,
2018-O-10,2018-08-28,2018-08-28,2018-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O10.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2018-O-10.pdf,no,,,,none,ordinance,pdf,6dfe833096ff76f2ae9fbde8c773405920ee53bac74195ea3ea1877c66570587,
2018-O-11,2018-08-28,2018-08-28,2018-O-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O11.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (10pg),raw/2018-O-11.pdf,no,,,,none,ordinance,pdf,a023181783ac308e7b4b98ce273f97f7b16aee07a9718322cb34df0947430595,
2018-O-12,,2018-01-01,2018-O-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O12.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2018-O-12.pdf,no,,,,none,ordinance,year-only,f4a99da51893e5af5329f2fda9d4e41fce9018a209fcf826556ff9c32c001bf4,
2018-O-13,2018-09-18,2018-09-18,2018-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O13.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2018-O-13.pdf,no,,,,none,ordinance,pdf,b3540e00c830982f8401ead5385bac6ffafe761444827b51322954422aa296f4,
2018-O-14,2018-09-18,2018-09-18,2018-O-14,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O14.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2018-O-14.pdf,no,,,,none,ordinance,pdf,9b880e8ca72409e437755e03d9d5a898ac60235e4a1006cae1f21bfde5cce51c,
2018-O-15,,2018-01-01,2018-O-15,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O15.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2018-O-15.pdf,yes,,,,none,ordinance,year-only,5c46ad344cf669485bbf53bfc3c2ca12b1c752a916e7347af235fc5809a6bcc8,
2018-O-17,,2018-01-01,2018-O-17,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2018/2018O17.pdf?t=202309190901260,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2018-O-17.pdf,no,,,,none,ordinance,year-only,f4b0f311b8e33f4633abc99c2afa5b649f52df016b47fe0ce10e332677ba06ef,
2019-O-01,,2019-01-01,2019-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O01.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2019-O-01.pdf,yes,,,,none,ordinance,year-only,918210347623c32f57020562ce7167be8d33b1b54810642983f179f6521f2295,
2019-O-02,,2019-01-01,2019-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O02.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2019-O-02.pdf,no,,,,none,ordinance,year-only,8bf4b5de8c3589b537d14c9779c455ba8bda59522a3bb6db0fb9ecfdc78aeb79,
2019-O-03,,2019-01-01,2019-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O03.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2019-O-03.pdf,yes,,,,none,ordinance,year-only,0b77debcc1cde6088a437314c8008d77def96a692c2f290ed086795ce0c365f6,
2019-O-04,2019-03-19,2019-03-19,2019-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O04.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2019-O-04.pdf,no,,,,none,ordinance,pdf,5aca83f25449041e700ef4c90b161077550e631112403081545a0d31b5612eea,
2019-O-05,,2019-01-01,2019-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O05.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (13pg),raw/2019-O-05.pdf,yes,,,,none,ordinance,year-only,94aef812b396db29744240f0ec8353ed66d5a1b211484956ffc7e96906e9d77d,
2019-O-06,,2019-01-01,2019-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O06.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2019-O-06.pdf,yes,,,,none,ordinance,year-only,5dbfd579f85b4adb8b89ca7d08a826c34fbef13cfd8b2f38c453e326dfffd566,
2019-O-07,2019-06-04,2019-06-04,2019-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O07.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (7pg),raw/2019-O-07.pdf,no,,,,none,ordinance,pdf,72928ce806e22aad549c4219588b5893899397f0ba3a402348a5b168e394575e,
2019-O-08,,2019-01-01,2019-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O08.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (10pg),raw/2019-O-08.pdf,yes,,,,none,ordinance,year-only,ee88503e41ca082d4648c7f7528d0fcd39c0d60aec9a3e7b4ce7cd12794d9392,
2019-O-09,,2019-01-01,2019-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O09.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (5pg),raw/2019-O-09.pdf,yes,,,,none,ordinance,year-only,c596812aec26dce66f247540a4384ce6b818a71b8e2d0fa2293d4a913b294361,
2019-O-10,2019-11-19,2019-11-19,2019-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O10.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2019-O-10.pdf,yes,,,,none,ordinance,pdf,a2692c1359103b2ffdff54eb2a8c338f50bff4475ea285cfe77771213f352efa,
2019-O-12,2019-12-03,2019-12-03,2019-O-12,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O12.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2019-O-12.pdf,no,,,,none,ordinance,pdf,bd53a2481b9fce0806e37da0f461da599f9a755c8df21a39138a2a2cf1191cf5,
2019-O-13,2019-12-10,2019-12-10,2019-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2019/2019O13.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2019-O-13.pdf,no,,,,none,ordinance,pdf,620219851764d7bbd5b4455f811318e1a387163490e3d0b6c3b10fe5d376c067,
2020-O-01,2020-01-21,2020-01-21,2020-O-01,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O01.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2020-O-01.pdf,yes,5-0 Pass,2020-01-21,4,high,ordinance,pdf,45983b92e7438cc9be96157bfdef5dd4fe643012e955465fff4fc8f1a37565f0,2 motions cite this number; linked the adopting one
2020-O-02,2020-02-04,2020-02-04,2020-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O02.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2020-O-02.pdf,yes,4-0 Pass,2020-02-04,6,high,ordinance,minutes-motion,f29176f9077080922311c1f2e812feb6ab0f71023ad3ed7482bf369d205862f4,
2020-O-03,2020-02-04,2020-02-04,2020-O-03,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O03.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2020-O-03.pdf,no,4-0 Pass,2020-02-04,8,high,ordinance,minutes-motion,0993e6f338ecab000beee3137df458dc4e7926b36b15cb18a73956332bc4c9bb,
2020-O-04,2020-03-03,2020-03-03,2020-O-04,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O04.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2020-O-04.pdf,yes,5-0 Pass,2020-03-03,5,high,ordinance,minutes-motion,eed74112c33fd2c2c7f69ade72877472f2957134f15a1bfd28fcb2c780103edd,
2020-O-05,2020-03-03,2020-03-03,2020-O-05,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O05.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (5pg),raw/2020-O-05.pdf,yes,5-0 Pass,2020-03-03,6,high,ordinance,minutes-motion,f193493fdadfcc882cd45baa42207deb1fd64f5f9cbc0f8c382eab16716e335a,
2020-O-06,2020-04-21,2020-04-21,2020-O-06,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O06.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2020-O-06.pdf,yes,5-0 Pass,2020-04-21,3,high,ordinance,minutes-motion,86b41e53362b83ed7733936b116e9cd80284b44a52ce1336da4314ba6048a9b1,
2020-O-07,2020-04-21,2020-04-21,2020-O-07,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O07.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (4pg),raw/2020-O-07.pdf,yes,5-0 Pass,2020-04-21,6,high,ordinance,minutes-motion,3eb5763742ed3ed431880ef1aeaf87345bfc03131b9542eba99996708dd6db41,
2020-O-08,2020-05-19,2020-05-19,2020-O-08,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O08.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2020-O-08.pdf,yes,5-0 Pass,2020-05-19,6,high,ordinance,minutes-motion,72652cd05feb550ae21be067aa6a0127cb1939e132c186eedfbe0a0e9088fc74,
2020-O-09,2020-07-21,2020-07-21,2020-O-09,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O09.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2020-O-09.pdf,yes,5-0 Pass,2020-07-21,3,high,ordinance,pdf,bd3a07d44e177e0e6d6289ca4f08c260437d3fb76cef99e4ae8b5b6c4789ea29,
2020-O-10,2020-07-21,2020-07-21,2020-O-10,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O10.pdf?t=202309190901240,2026-07-13,scanned,tesseract 5 OCR @300dpi (5pg),raw/2020-O-10.pdf,no,5-0 Pass,2020-07-21,10,high,ordinance,pdf,816328485d426201a7abd33fca5f2a9ab072c5de709db220dc93f991950acf1c,
2020-O-11,2020-07-21,2020-07-21,2020-O-11,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O11.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (2pg),raw/2020-O-11.pdf,yes,5-0 Pass,2020-07-21,11,high,ordinance,pdf,3ac3b7b40b9f688fac5521231e6304e81c4c3ac7ee6e85b99fdc24a1c72a05af,
2020-O-13,2020-08-18,2020-08-18,2020-O-13,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O13.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2020-O-13.pdf,yes,4-0 Pass,2020-08-18,10,high,ordinance,minutes-motion,e5a0f5c61317248d602b2c15884983eb7c5b2293bbb71ca3f17494d77cdbcf1b,
2020-O-15,2020-09-01,2020-09-01,2020-O-15,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O15.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (8pg),raw/2020-O-15.pdf,yes,5-0 Pass,2020-09-01,3,high,ordinance,minutes-motion,f987b946906e3ddafe0d7c7d41dabadc4fea5384b6c3aa1694f2862e426bb40e,
2020-O-16,2020-09-01,2020-09-01,2020-O-16,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O16.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2020-O-16.pdf,no,4-1 Pass,2020-09-01,5,high,ordinance,minutes-motion,ff01f54537cd21a437cc9099c1fe8826f65fd71de7b0923b00eb81cd2f2c72ec,
2020-O-17,2020-10-06,2020-10-06,2020-O-17,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O17.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2020-O-17.pdf,yes,3-0 Pass,2020-10-06,3,high,ordinance,minutes-motion,265d74b80b1301b8ccd2f5387dac485d223d8a3b946b057ba9fbbd8936b940ce,
2020-O-18,2020-10-20,2020-10-20,2020-O-18,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O18.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (3pg),raw/2020-O-18.pdf,no,5-0 Pass,2020-10-20,5,high,ordinance,pdf,5f77c09d5be151e9b69c1d993f30fe40b2b1a2ba5d030798e8bd7e2e0dd83fb9,
2020-O-19,2020-11-10,2020-11-10,2020-O-19,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O19.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2020-O-19.pdf,yes,5-0 Pass,2020-11-10,6,high,ordinance,minutes-motion,e56370c3a07fe971dc43197e0a176b3cc5d8a626c7f54c9a5eec7e03cba282b2,
2020-O-20,2020-12-08,2020-12-08,2020-O-20,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2020/2020O20.pdf?t=202309190901250,2026-07-13,scanned,tesseract 5 OCR @300dpi (6pg),raw/2020-O-20.pdf,yes,4-0 Pass,2020-12-08,5,high,ordinance,minutes-motion,2af45e67f077a77a5a26899b35262083fa507f14424117d0d227170833819169,
2021-O-02,2021-01-05,2021-01-05,2021-O-02,https://www.midvale.utah.gov/Document%20Center/Government/Departments/Recorders%20Office/Midvale%20City%20Ordinances/2021/2021O02.pdf?t=202309190901230,2026-07-13,scanned,tesseract 5 OCR @300dpi (15pg),raw/2021-O-02.pdf,yes,5-0 Pass,2021-01-05,4,high,ordinance,minutes-motion,3cffbcc6c37cd6ddd6594d6ba8750eb145ac0b81aed67cefb50dbeebcba168e0,
