year,election,file,url,bytes,sha256,fetched,parsed_into,notes
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-872a-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-872a-08de10178bfe,11335,69ed1de3a5c755e35058533736ed220c539a2462bedc6a6b04589d4cfb06ac26,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-88c3-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-88c3-08de10178bfe,4937,12293d351814be95493cfbdd30fb13ab8023dbfd5a4fac1bb30d4bdb22333006,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8940-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8940-08de10178bfe,13193,e87e9c293ab7e03033bd91bf6e106d9af25807050fdd2db5e73e5237374cf04b,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8b3f-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8b3f-08de10178bfe,18795,23d67fc9a905c7ab436eb542c352b3b0905313b4df1e0dc30814d145cdb953b1,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8cf9-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8cf9-08de10178bfe,4424,2a94b8f264f9df7a5ece280bac67acc72aed38213092b40ec1e99781cb17a3e4,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8e30-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8e30-08de10178bfe,7609,492b6de9a62fdd7ed9dbbf2988eb92f26db4b8255a8eac8639a2621d4d916f36,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-8f0c-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-8f0c-08de10178bfe,4456,0810687e00e7cae42853deec7a1596c3a1da836644b8f54d81b69ffff0c335ef,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-9009-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-9009-08de10178bfe,9748,7285ec74b68955db5540772db618ef85578ebd55c99f82ad7ab61a90c257f397,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-9112-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-9112-08de10178bfe,16854,bfe20ddb5f54194d74d013af48cb979ed5c3b85a7e0415489a08ddefe19200eb,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-9332-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-9332-08de10178bfe,4674,2ed403ec128305103256ee3ec72aaddf4651a0a6c6576751782cd80899bdbd54,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-93c5-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-93c5-08de10178bfe,5478,a7fc9e11d6f31798ac46e14bb77324d8a5851f918529f1fc6391cf3edc055727,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-94d9-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-94d9-08de10178bfe,4686,50cb7c35f9b619cb64dc1af31382b96327914245ef847f312b78363fbd4972f3,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal general,raw/ev/general11042025__01000000-e857-63d6-9543-08de10178bfe.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/general11042025/ballot-items/01000000-e857-63d6-9543-08de10178bfe,4493,1a8185ec3e01ca47b114d39f32d86c2cda27c5ecdc35e4469a33e92955fadd18,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/ev-primary08122025-ballot-items.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items,20439,8faacab21153546686d16061166656193300e61f372cf19053455f6fa3511d8e,yes,provenance (contest enumeration),Enhanced Voting portal contest list (verbatim API response)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-9411-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-9411-08ddcba668d8,16127,b31f141d0d474edb09bf0172acbd8cccde1d771f4fd6f30c309d103909d13321,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-97e9-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-97e9-08ddcba668d8,84138,47764128ce10236cd23e5d4a102df1b84adbc3aafd35dc15e575fd20a097e06c,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-9cc3-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-9cc3-08ddcba668d8,128022,96b72b03133baa4012164406a9cb22c6819aa38ffea3608dec44d58c29f31b1c,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-a1f5-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-a1f5-08ddcba668d8,15988,48f863f993fc5459a81fb668e0dac37789211c977222a77574f72cb8ff207ea4,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-a4c5-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-a4c5-08ddcba668d8,6042,badb9cf5521a8d4e493e1a1d20b302c12dd6ffca7541552ecec39e805fc26084,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-a560-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-a560-08ddcba668d8,20509,02631767a3875280adcd2a4d19fd1b6e60455609ce50cc9afea25d8c750b1c6d,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-a6c1-08ddcba668d8.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-a6c1-08ddcba668d8,7667,ee5416eff2180d19237333050a3c0a079abf6f6bd9ab801fad7e1f320ec5fd2f,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2025,municipal primary,raw/ev/primary08122025__01000000-6679-1a42-c776-08ddcba668d7.json,https://electionresults.utah.gov/results/public/api/elections/cache-county-ut/primary08122025/ballot-items/01000000-6679-1a42-c776-08ddcba668d7,8974,5065bebcb214be6e928a46045c9cb512777b896512e47016f9351b4d4823e120,yes,cache_municipal_results_long.csv,portal detail w/ precinct breakdown; isOfficialResults:false; the county linked this portal as its official 2025 results channel (no county PDF published)
2026,primary,raw/cache-2026-primary-audit-report.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2026/Canvass%20Documents/2026%20Canvass%20Audit%20Report.pdf,181868,d51fde5c00587408626fb8ab90d025a801b51672ef11273b26eb795bdb3ec76a,yes,not parsed,post-election audit certification
2026,primary,raw/cache-2026-primary-canvass-cert.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2026/Canvass%20Documents/2026%20Primary%20Canvass%20Certification.pdf,187927,02416795a4efad5e168417e238b220fe5b10c79eee99b93b38f8e056e899a810,yes,not parsed,certification; image-only scan
2026,primary,raw/cache-2026-primary-canvass-statistics.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2026/Canvass%20Documents/Final%20Cache%20Standard%20Canvass%20Statistics%20Report%20P26.pdf,642662,87a3e3891cf7877d488a091e080e3484eead703d8ddbe640b2f34685d0020b33,yes,not parsed,canvass statistics report (turnout/rejection stats)
2026,primary,raw/cache-2026-primary-precinct-public.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2026/Canvass%20Documents/2026%20Primary%20Precinct%20Public.pdf,163207,4555c4a763503fe599258783be63996ffac313d6dd9f9030c2fe8445e5dfe728,yes,cache_county_office_results_long.csv,"OFFICIAL; PUBLIC precinct report carries 90 of 126 precincts (whole small precincts withheld; 210-vote shortfall vs summary) - suppression preserved, totals from the summary rows"
2026,primary,raw/cache-2026-primary-results-summary.pdf,https://cachecounty.gov/assets/department/clerk/elections/results/2026/Canvass%20Documents/2026%20Primary%20Results%20Summary.pdf,3580,9b18c7fec6c34fe5fe4966c690d83c15b8886b29d53cf123729a1221f1b45f82,yes,cache_county_office_results_long.csv,OFFICIAL; electionwide rows (authoritative totals) + gate1 subset target
