meeting_date,motion_no,ref_type,ref_number,verbatim
2019-11-19,9,resolution,58-2019,RESOLUTION 58-2019
2019-11-26,4,resolution,59-2019,Resolution 59-2019
2019-11-26,5,resolution,60-2019,Resolution 60-2019
2019-11-26,6,resolution,60-2019,Resolution 60-2019
2019-12-03,3,resolution,61-2019,Resolution 61-2019
2019-12-03,8,resolution,62-2019,Resolution 62-2019
2019-12-03,9,resolution,62-2019,Resolution 62-2019
2019-12-10,2,ordinance,2019-24,Ordinance 2019-24
2019-12-10,3,ordinance,2019-24,Ordinance 2019-24
2019-12-10,7,resolution,63-2019,Resolution 63-2019
2019-12-10,8,resolution,63-2019,RESOLUTION 63-2019
2019-12-10,15,resolution,64-2019,Resolution 64-2019
2019-12-10,16,resolution,64-2019,RESOLUTION 64-2019
2019-12-10,17,resolution,64-2019,Resolution 64-2019
2019-12-17,3,resolution,65-2019,Resolution 65-2019
2019-12-17,4,resolution,66-2019,Resolution 66-2019
2019-12-17,7,ordinance,2019-25,Ordinance 2019-25
2019-12-17,8,ordinance,2019-25,Ordinance 2019-25
2020-01-07,5,resolution,1-2020,Resolution 1-2020
2020-01-07,6,resolution,1-2020,Resolution 1-2020
2020-01-14,2,ordinance,2020-1,Ordinance 2020-1
2020-01-14,3,resolution,2-2020,Resolution 2-2020
2020-01-14,3,ordinance,2020-1,Ordinance 2020-1
2020-01-14,4,resolution,3-2020,Resolution 3-2020
2020-01-14,5,resolution,3-2020,Resolution 3-2020
2020-01-14,12,resolution,4-2020,Resolution 4-2020
2020-01-14,13,resolution,4-2020,Resolution 4-2020
2020-01-21,2,resolution,5-2020,Resolution 5-2020
2020-01-21,3,resolution,6-2020,Resolution 6-2020
2020-01-28,6,ordinance,2020-2,Ordinance 2020-2
2020-02-04,7,ordinance,2020-3,Ordinance 2020-3
2020-02-25,2,resolution,7-2020,Resolution 7-2020
2020-02-25,3,resolution,7-2020,Resolution 7-2020
2020-03-03,3,ordinance,2020-4,Ordinance 2020-4
2020-03-03,5,resolution,8-2020,Resolution 8-2020
2020-04-07,2,resolution,9-2020,Resolution 9-2020
2020-04-07,3,ordinance,2020-5,Ordinance 2020-5
2020-04-21,2,resolution,10-2020,Resolution 10-2020
2020-04-21,3,resolution,10-2020,Resolution 10-2020
2020-04-28,2,resolution,11-2020,Resolution 11-2020
2020-05-19,9,ordinance,2020-6,Ordinance 2020-6
2020-06-09,2,resolution,12-2020,Resolution 12-2020
2020-06-09,4,resolution,13-2020,Resolution 13-2020
2020-06-09,5,resolution,14-2020,Resolution 14-2020
2020-06-09,6,resolution,14-2020,Resolution 14-2020
2020-06-16,2,resolution,15-2020,Resolution 15-2020
2020-06-16,3,resolution,15-2020,Resolution 15-2020
2020-06-16,3,ordinance,2020-7,Ordinance 2020-7
2020-06-16,7,ordinance,2020-8,Ordinance 2020-8
2020-06-16,8,ordinance,2020-9,Ordinance 2020-9
2020-06-16,9,ordinance,2020-9,Ordinance 2020-9
2020-06-30,4,resolution,16-2020,Resolution 16-2020
2020-06-30,5,resolution,16-2020,Resolution 16-2020
2020-06-30,8,resolution,17-2020,Resolution 17-2020
2020-06-30,9,resolution,18-2020,Resolution 18-2020
2020-06-30,10,resolution,19-2020,Resolution 19-2020
2020-07-28,6,resolution,21-2020,Resolution 21-2020
2020-07-28,7,resolution,21-2020,Resolution 21-2020
2020-07-28,15,ordinance,2020-10,Ordinance 2020-10
2020-08-04,7,resolution,22-2020,Resolution 22-2020
2020-08-04,8,resolution,22-2020,RESOLUTION 22-2020
2020-08-04,8,ordinance,2020-11,Ordinance 2020-11
2020-08-04,9,ordinance,2020-12,Ordinance 2020-12
2020-08-04,10,ordinance,2020-12,ORDINANCE 2020-12
2020-08-11,2,ordinance,2020-13,Ordinance 2020-13
2020-08-11,3,ordinance,2020-13,Ordinance 2020-13
2020-08-11,6,ordinance,2020-12,Ordinance 2020-12
2020-08-11,7,ordinance,2020-12,Ordinance 2020-12
2020-08-18,2,resolution,24-2020,Resolution 24-2020
2020-08-18,3,resolution,24-2020,Resolution 24-2020
2020-08-25,1,resolution,25-2020,Resolution 25-2020
2020-09-15,7,resolution,27-2020,Resolution 27-2020
2020-09-15,8,resolution,28-2020,Resolution 28-2020
2020-09-15,9,resolution,28-2020,Resolution 28-2020
2020-09-15,10,resolution,28-2020,Resolution 28-2020
2020-09-22,2,resolution,29-2020,Resolution 29-2020
2020-09-22,3,resolution,30-2020,Resolution 30-2020
2020-09-22,5,ordinance,2020-14,Ordinance 2020-14
2020-09-22,6,ordinance,2020-15,Ordinance 2020-15
2020-09-22,12,ordinance,2020-16,Ordinance 2020-16
2020-09-22,13,ordinance,2020-17,Ordinance 2020-17
2020-09-29,2,resolution,31-2020,Resolution 31-2020
2020-09-29,3,resolution,31-2020,Resolution 31-2020
2020-09-29,4,resolution,32-2020,Resolution 32-2020
2020-09-29,5,resolution,32-2020,Resolution 32-2020
2020-09-29,8,ordinance,2020-18,Ordinance 2020-18
2020-09-29,9,ordinance,2020-19,Ordinance 2020-19
2020-09-29,10,ordinance,2020-19,ORDINANCE 2020-19
2020-10-06,2,resolution,33-2020,Resolution 33-2020
2020-10-06,3,resolution,34-2020,Resolution 34-2020
2020-10-13,4,resolution,35-2020,Resolution 35-2020
2020-10-13,5,resolution,35-2020,Resolution 35-2020
2020-10-14,3,resolution,36-2020,Resolution 36-2020
2020-11-03,3,resolution,39-2020,Resolution 39-2020
2020-11-10,2,resolution,40-2020,Resolution 40-2020
2020-11-10,3,resolution,40-2020,Resolution 40-2020
2020-11-24,2,resolution,41-2020,Resolution 41-2020
2020-12-01,3,resolution,42-2020,Resolution 42-2020
2020-12-01,4,resolution,42-2020,Resolution 42-2020
2020-12-08,10,ordinance,2020-20,Ordinance 2020-20
2020-12-08,11,ordinance,2020-20,ORDINANCE 2020-20
2020-12-15,2,resolution,43-2020,Resolution 43-2020
2020-12-15,3,resolution,43-2020,Resolution 43-2020
2020-12-15,3,ordinance,2020-21,Ordinance 2020-21
2020-12-15,4,ordinance,2020-21,Ordinance 2020-21
2020-12-15,10,ordinance,2020-22,Ordinance 2020-22
2020-12-15,11,resolution,44-2020,Resolution 44-2020
2020-12-15,12,resolution,45-2020,Resolution 45-2020
2020-12-15,15,resolution,46-2020,Resolution 46-2020
2020-12-15,16,resolution,46-2020,RESOLUTION 46-2020
2020-12-15,16,ordinance,2020-23,Ordinance 2020-23
2020-12-15,17,ordinance,2020-24,Ordinance 2020-24
2020-12-22,3,resolution,47-2020,Resolution 47-2020
2020-12-22,3,ordinance,2020-25,Ordinance 2020-25
2020-12-22,4,ordinance,2020-26,Ordinance 2020-26
2020-12-22,5,ordinance,2020-26,ORDINANCE 2020-26
2020-12-22,7,resolution,48-2020,Resolution 48-2020
2020-12-22,8,resolution,48-2020,RESOLUTION 48-2020
2020-12-22,10,ordinance,2020-27,Ordinance 2020-27
2020-12-22,14,ordinance,2020-28,Ordinance 2020-28
2021-01-05,4,resolution,1-2021,Resolution 1-2021
2021-01-12,2,resolution,2-2021,Resolution 2-2021
2021-01-12,3,resolution,3-2021,Resolution 3-2021
2021-01-19,2,resolution,4-2021,Resolution 4-2021
2021-01-19,3,resolution,5-2021,Resolution 5-2021
2021-01-19,13,ordinance,2021-1,Ordinance 2021-1
2021-01-19,14,ordinance,2021-1,Ordinance 2021-1
2021-01-26,2,resolution,6-2021,Resolution 6-2021
2021-01-26,3,resolution,7-2021,Resolution 7-2021
2021-02-02,2,resolution,8-2021,Resolution 8-2021
2021-02-02,3,resolution,8-2021,Resolution 8-2021
2021-02-02,6,resolution,9-2021,Resolution 9-2021
2021-02-02,7,ordinance,2021-2,Ordinance 2021-2
2021-02-02,8,ordinance,2021-2,Ordinance 2021-2
2021-02-09,4,resolution,10-2021,Resolution 10-2021
2021-02-16,2,ordinance,2021-3,Ordinance 2021-3
2021-02-16,3,ordinance,2021-3,ORDINANCE 2021-3
2021-02-16,9,ordinance,2021-4,Ordinance 2021-4
2021-03-16,11,resolution,11-2021,Resolution 11-2021
2021-03-16,12,resolution,11-2021,Resolution 11-2021
2021-03-23,2,ordinance,2021-5,Ordinance 2021-5
2021-03-23,15,resolution,12-2021,Resolution 12-2021
2021-03-23,17,ordinance,2021-6,Ordinance 2021-6
2021-03-23,18,ordinance,2021-7,Ordinance 2021-7
2021-03-23,19,ordinance,2021-7,ORDINANCE 2021-7
2021-03-30,3,resolution,14-2021,Resolution 14-2021
2021-03-30,4,resolution,14-2021,Resolution 14-2021
2021-04-06,5,resolution,15-2021,Resolution 15-2021
2021-04-06,7,resolution,16-2021,Resolution 16-2021
2021-04-06,8,resolution,16-2021,Resolution 16-2021
2021-04-06,11,ordinance,2021-8,Ordinance 2021-8
2021-04-06,12,ordinance,2021-8,ORDINANCE 2021-8
2021-04-20,8,ordinance,2021-9,Ordinance 2021-9
2021-04-20,9,ordinance,2021-9,ORDINANCE 2021-9
2021-04-20,10,ordinance,2021-9,Ordinance 2021-9
2021-05-04,3,ordinance,2021-10,Ordinance 2021-10
2021-05-04,6,resolution,17-2021,Resolution 17-2021
2021-05-04,7,resolution,17-2021,Resolution 17-2021
2021-05-04,9,resolution,18-2021,Resolution 18-2021
2021-05-04,13,ordinance,2021-11,Ordinance 2021-11
2021-05-04,14,ordinance,2021-12,Ordinance 2021-12
2021-05-04,15,resolution,19-2021,Resolution 19-2021
2021-05-04,15,ordinance,2021-11,Ordinance 2021-11
2021-05-04,16,resolution,19-2021,RESOLUTION 19-2021
2021-05-11,6,ordinance,2021-13,Ordinance 2021-13
2021-05-11,7,ordinance,2021-13,ORDINANCE 2021-13
2021-05-11,9,ordinance,2021-14,Ordinance 2021-14
2021-05-11,10,ordinance,2021-15,Ordinance 2021-15
2021-05-25,2,resolution,20-2021,Resolution 20-2021
2021-05-25,8,ordinance,2021-16,Ordinance 2021-16
2021-05-25,9,ordinance,2021-17,Ordinance 2021-17
2021-05-25,10,ordinance,2021-18,Ordinance 2021-18
2021-06-22,2,resolution,23-2021,Resolution 23-2021
2021-06-29,3,resolution,24-2021,RESOLUTION 24-2021
2021-06-29,5,resolution,26-2021,RESOLUTION 26-2021
2021-07-06,2,ordinance,2021-22,Ordinance 2021-22
2021-07-06,3,resolution,27-2021,Resolution 27-2021
2021-07-06,7,ordinance,2021-23,Ordinance 2021-23
2021-07-06,9,ordinance,2021-23,Ordinance 2021-23
2021-07-20,2,resolution,27-2021,Resolution 27-2021
2021-08-03,6,resolution,29-2021,Resolution 29-2021
2021-08-03,7,resolution,29-2021,Resolution 29-2021
2021-09-07,5,resolution,34-2021,resolution 34-2021
2021-09-14,3,resolution,35-2021,resolution 35-2021
2021-09-21,6,resolution,36-2021,Resolution 36-2021
2021-09-28,3,resolution,37-2021,resolution 37-2021
2021-10-05,2,resolution,38-2021,Resolution 38-2021
2021-10-05,3,resolution,39-2021,Resolution 39-2021
2021-10-05,4,resolution,40-2021,Resolution 40-2021
2021-10-05,10,resolution,41-2021,Resolution 41-2021
2021-10-12,2,resolution,42-2021,Resolution 42-2021
2021-10-19,2,resolution,43-2021,Resolution 43-2021
2021-10-19,3,ordinance,2021-26,Ordinance 2021-26
2021-10-19,4,ordinance,2021-26,Ordinance 2021-26
2021-10-19,6,resolution,44-2021,Resolution 44-2021
2021-11-02,2,ordinance,2021-27,Ordinance 2021-27
2021-11-02,9,resolution,45-2021,resolution 45-2021
2021-11-09,2,resolution,46-2021,Resolution 46-2021
2021-11-09,3,resolution,47-2021,Resolution 47-2021
2021-11-09,5,ordinance,2021-23,Ordinance 2021-23
2021-11-16,3,resolution,49-2021,RESOLUTION 49-2021
2021-11-16,4,resolution,49-2021,Resolution 49-2021
2021-11-30,5,ordinance,2021-28,Ordinance 2021-28
2021-11-30,6,ordinance,2021-28,Ordinance 2021-28
2021-12-14,2,ordinance,2021-30,Ordinance 2021-30
2021-12-14,3,ordinance,2021-29,Ordinance 2021-29
2021-12-14,5,resolution,52-2021,Resolution 52-2021
2021-12-14,7,resolution,53-2021,Resolution 53-2021
2021-12-14,8,resolution,54-2021,Resolution 54-2021
2021-12-14,12,resolution,56-2021,Resolution 56-2021
2021-12-14,13,resolution,56-2021,Resolution 56-2021
2021-12-14,15,resolution,57-2021,Resolution 57-2021
2021-12-14,17,resolution,58-2021,Resolution 58-2021
2021-12-14,18,resolution,59-2021,Resolution 59-2021
2021-12-21,2,resolution,53-2021,Resolution 53-2021
2021-12-21,3,resolution,53-2021,Resolution 53-2021
2021-12-21,3,ordinance,2021-31,Ordinance 2021-31
2021-12-21,4,ordinance,2021-32,Ordinance 2021-32
2021-12-21,5,ordinance,2021-33,Ordinance 2021-33
2021-12-21,6,resolution,60-2021,Resolution 60-2021
2021-12-21,6,ordinance,2021-33,Ordinance 2021-33
2021-12-21,7,resolution,61-2021,Resolution 61-2021
2021-12-21,8,resolution,61-2021,Resolution 61-2021
2022-01-04,4,resolution,01-2022,Resolution 01-2022
2022-01-04,5,resolution,01-2022,Resolution 01-2022
2022-01-04,14,ordinance,2022-01,Ordinance 2022-01
2022-01-11,2,resolution,02-2022,Resolution 02-2022
2022-01-11,3,resolution,03-2022,Resolution 03-2022
2022-01-11,4,resolution,04-2022,Resolution 04-2022
2022-01-11,5,resolution,05-2022,Resolution 05-2022
2022-01-11,6,resolution,06-2022,Resolution 06-2022
2022-01-11,7,resolution,07-2022,Resolution 07-2022
2022-01-11,8,resolution,07-2022,Resolution 07-2022
2022-01-11,15,ordinance,2022-02,Ordinance 2022-02
2022-01-11,16,ordinance,2022-03,Ordinance 2022-03
2022-01-11,17,ordinance,2022-03,Ordinance 2022-03
2022-02-01,9,ordinance,2022-06,Ordinance 2022-06
2022-02-01,10,ordinance,2022-07,Ordinance 2022-07
2022-02-01,11,ordinance,2022-07,Ordinance 2022-07
2022-02-08,2,resolution,11-2022,Resolution 11-2022
2022-02-08,3,resolution,12-2022,Resolution 12-2022
2022-02-08,4,resolution,12-2022,Resolution 12-2022
2022-02-22,5,ordinance,2022-08,Ordinance 2022-08
2022-02-22,6,ordinance,2022-08,Ordinance 2022-08
2022-03-01,2,resolution,13-2022,Resolution 13-2022
2022-03-01,3,resolution,14-2022,Resolution 14-2022
2022-03-01,4,resolution,14-2022,Resolution 14-2022
2022-03-01,4,ordinance,2022-08,Ordinance 2022-08
2022-03-15,3,resolution,15-2022,Resolution 15-2022
2022-03-15,4,resolution,15-2022,Resolution 15-2022
2022-03-29,2,resolution,16-2022,Resolution 16-2022
2022-03-29,10,ordinance,2022-09,Ordinance 2022-09
2022-04-05,2,resolution,17-2022,Resolution 17-2022
2022-04-05,3,resolution,18-2022,Resolution 18-2022
2022-04-05,4,ordinance,2022-10,Ordinance 2022-10
2022-04-05,5,ordinance,2022-10,Ordinance 2022-10
2022-04-05,13,ordinance,2022-11,Ordinance 2022-11
2022-04-12,2,resolution,19-2022,Resolution 19-2022
2022-04-12,3,resolution,20-2022,Resolution 20-2022
2022-04-12,4,resolution,21-2022,Resolution 21-2022
2022-04-12,5,resolution,22-2022,Resolution 22-2022
2022-04-12,10,ordinance,2022-11,Ordinance 2022-11
2022-04-19,2,resolution,23-2022,Resolution 23-2022
2022-04-26,2,resolution,24-2022,Resolution 24-2022
2022-04-26,9,ordinance,2022-12,Ordinance 2022-12
2022-05-03,3,resolution,26-2022,RESOLUTION 26-2022
2022-05-10,7,ordinance,2022-13,Ordinance 2022-13
2022-05-10,8,ordinance,2022-13,Ordinance 2022-13
2022-05-17,3,resolution,27-2022,Resolution 27-2022
2022-05-17,4,resolution,27-2022,Resolution 27-2022
2022-05-17,6,ordinance,2022-14,Ordinance 2022-14
2022-05-24,6,ordinance,2022-15,Ordinance 2022-15
2022-05-31,2,resolution,28-2022,Resolution 28-2022
2022-05-31,3,resolution,29-2022,Resolution 29-2022
2022-05-31,4,resolution,30-2022,Resolution 30-2022
2022-05-31,5,resolution,30-2022,Resolution 30-2022
2022-06-14,2,ordinance,2022-16,Ordinance 2022-16
2022-06-14,11,ordinance,2022-17,Ordinance 2022-17
2022-06-21,6,resolution,31-2022,Resolution 31-2022
2022-06-21,7,resolution,32-2022,Resolution 32-2022
2022-06-21,8,resolution,32-2022,Resolution 32-2022
2022-07-05,2,resolution,33-2022,Resolution 33-2022
2022-07-05,3,resolution,33-2022,Resolution 33-2022
2022-07-05,9,resolution,34-2022,Resolution 34-2022
2022-07-12,4,resolution,35-2022,Resolution 35-2022
2022-07-12,5,resolution,36-2022,Resolution 36-2022
2022-07-19,7,ordinance,2022-18,Ordinance 2022-18
2022-07-19,8,ordinance,2022-18,Ordinance 2022-18
2022-07-26,2,resolution,36-2022,Resolution 36-2022
2022-08-02,2,resolution,37-2022,Resolution 37-2022
2022-08-02,6,ordinance,2022-19,Ordinance 2022-19
2022-08-16,2,resolution,38-2022,Resolution 38-2022
2022-08-16,3,ordinance,2022-20,Ordinance 2022-20
2022-08-16,4,ordinance,2022-21,Ordinance 2022-21
2022-08-16,5,resolution,39-2022,Resolution 39-2022
2022-08-16,6,resolution,39-2022,Resolution 39-2022
2022-08-23,2,ordinance,2022-22,Ordinance 2022-22
2022-08-23,3,ordinance,2022-23,Ordinance 2022-23
2022-08-23,4,ordinance,2022-23,Ordinance 2022-23
2022-08-30,2,resolution,40-2022,Resolution 40-2022
2022-08-30,3,resolution,41-2022,Resolution 41-2022
2022-08-30,4,ordinance,2022-22,Ordinance 2022-22
2022-08-30,5,ordinance,2022-23,Ordinance 2022-23
2022-09-06,2,resolution,42-2022,Resolution 42-2022
2022-09-06,3,ordinance,2022-24,Ordinance 2022-24
2022-09-20,11,ordinance,2022-25,Ordinance 2022-25
2022-09-20,12,ordinance,2022-25,Ordinance 2022-25
2022-09-27,2,ordinance,2022-26,Ordinance 2022-26
2022-10-04,2,resolution,43-2022,Resolution 43-2022
2022-10-18,2,resolution,44-2022,Resolution 44-2022
2022-10-18,3,resolution,45-2022,Resolution 45-2022
2022-10-18,4,resolution,45-2022,Resolution 45-2022
2022-10-25,2,resolution,45-2022,Resolution 45-2022
2022-11-01,7,resolution,46-2022,Resolution 46-2022
2022-11-08,2,resolution,47-2022,Resolution 47-2022
2022-11-08,3,resolution,47-2022,Resolution 47-2022
2022-11-22,4,resolution,48-2022,Resolution 48-2022
2022-11-22,8,resolution,49-2022,Resolution 49-2022
2022-11-29,3,ordinance,2022-27,Ordinance 2022-27
2022-11-29,4,ordinance,2022-27,Ordinance 2022-27
2022-11-29,10,ordinance,2022-28,Ordinance 2022-28
2022-11-29,11,ordinance,2022-28,Ordinance 2022-28
2022-12-13,8,resolution,50-2022,Resolution 50-2022
2022-12-13,9,resolution,50-2022,Resolution 50-2022
2022-12-13,11,resolution,51-2022,Resolution 51-2022
2022-12-13,13,ordinance,2022-29,Ordinance 2022-29
2022-12-13,14,ordinance,2022-29,Ordinance 2022-29
2023-01-10,2,resolution,01-2023,Resolution 01-2023
2023-01-10,3,resolution,02-2023,Resolution 02-2023
2023-01-10,4,resolution,03-2023,Resolution 03-2023
2023-01-10,5,resolution,03-2023,Resolution 03-2023
2023-01-10,10,ordinance,2023-01,Ordinance 2023-01
2023-01-10,11,ordinance,2023-01,Ordinance 2023-01
2023-01-17,2,resolution,04-2023,Resolution 04-2023
2023-01-17,3,resolution,05-2023,Resolution 05-2023
2023-01-17,4,resolution,06-2023,Resolution 06-2023
2023-01-17,5,resolution,07-2023,Resolution 07-2023
2023-01-17,6,resolution,08-2023,Resolution 08-2023
2023-01-17,7,resolution,09-2023,Resolution 09-2023
2023-01-24,2,resolution,10-2023,Resolution 10-2023
2023-02-07,2,resolution,14-2023,Resolution 14-2023
2023-02-07,9,ordinance,2023-02,Ordinance 2023-02
2023-02-07,10,resolution,15-2023,Resolution 15-2023
2023-02-07,10,ordinance,2023-02,Ordinance 2023-02
2023-02-21,2,resolution,16-2023,Resolution 16-2023
2023-02-21,4,resolution,17-2023,Resolution 17-2023
2023-02-21,5,ordinance,2023-03,Ordinance 2023-03
2023-02-21,6,resolution,18-2023,Resolution 18-2023
2023-02-28,2,resolution,19-2023,Resolution 19-2023
2023-02-28,3,resolution,20-2023,Resolution 20-2023
2023-02-28,4,ordinance,2023-04,Ordinance 2023-04
2023-03-07,2,resolution,21-2023,Resolution 21-2023
2023-03-07,3,resolution,21-2023,Resolution 21-2023
2023-03-07,3,ordinance,2023-05,Ordinance 2023-05
2023-03-14,3,resolution,22-2023,Resolution 22-2023
2023-03-14,4,resolution,23-2023,Resolution 23-2023
2023-03-14,5,resolution,23-2023,Resolution 23-2023
2023-03-14,11,ordinance,2023-06,Ordinance 2023-06
2023-04-04,2,resolution,24-2023,Resolution 24-2023
2023-04-18,6,ordinance,2023-07,Ordinance 2023-07
2023-05-02,7,ordinance,2023-08,Ordinance 2023-08
2023-05-09,3,resolution,25-2023,Resolution 25-2023
2023-05-16,4,ordinance,2023-09,Ordinance 2023-09
2023-05-16,5,ordinance,2023-10,Ordinance 2023-10
2023-05-23,8,ordinance,2023-11,Ordinance 2023-11
2023-05-23,9,ordinance,2023-11,Ordinance 2023-11
2023-05-30,3,resolution,26-2023,Resolution 26-2023
2023-05-30,6,resolution,27-2023,Resolution 27-2023
2023-05-30,7,ordinance,2023-12,Ordinance 2023-12
2023-05-30,8,ordinance,2023-12,Ordinance 2023-12
2023-05-30,11,ordinance,2023-13,Ordinance 2023-13
2023-05-30,12,ordinance,2023-13,Ordinance 2023-13
2023-06-06,2,ordinance,2023-14,Ordinance 2023-14
2023-06-06,3,ordinance,2023-15,Ordinance 2023-15
2023-06-06,12,ordinance,2023-16,Ordinance 2023-16
2023-06-06,13,ordinance,2023-17,Ordinance 2023-17
2023-06-06,14,ordinance,2023-18,Ordinance 2023-18
2023-06-06,15,ordinance,2023-18,Ordinance 2023-18
2023-06-13,7,ordinance,2023-19,Ordinance 2023-19
2023-06-13,8,ordinance,2023-20,Ordinance 2023-20
2023-06-13,10,resolution,28-2023,Resolution 28-2023
2023-06-27,3,resolution,30-2023,Resolution 30-2023
2023-06-27,4,resolution,30-2023,Resolution 30-2023
2023-07-11,4,resolution,33-2023,Resolution 33-2023
2023-07-11,5,resolution,33-2023,Resolution 33-2023
2023-08-01,3,resolution,34-2023,Resolution 34-2023
2023-08-01,4,resolution,34-2023,Resolution 34-2023
2023-08-08,2,resolution,35-2023,Resolution 35-2023
2023-08-08,3,resolution,36-2023,Resolution 36-2023
2023-08-15,8,resolution,37-2023,Resolution 37-2023
2023-08-15,9,resolution,37-2023,Resolution 37-2023
2023-08-15,9,ordinance,2023-25,Ordinance 2023-25
2023-08-15,10,ordinance,2023-26,Ordinance 2023-26
2023-08-15,11,ordinance,2023-26,Ordinance 2023-26
2023-08-22,2,ordinance,2023-27,Ordinance 2023-27
2023-08-22,3,ordinance,2023-27,Ordinance 2023-27
2023-08-22,5,resolution,38-2023,Resolution 38-2023
2023-09-19,2,resolution,40-2023,Resolution 40-2023
2023-09-19,3,resolution,41-2023,Resolution 41-2023
2023-09-19,4,resolution,41-2023,Resolution 41-2023
2023-09-19,6,ordinance,2023-28,Ordinance 2023-28
2023-09-26,7,resolution,42-2023,Resolution 42-2023
2023-09-26,11,ordinance,2023-29,Ordinance 2023-29
2023-10-10,9,ordinance,2023-30,Ordinance 2023-30
2023-10-10,10,ordinance,2023-30,Ordinance 2023-30
2023-10-17,2,resolution,43-2023,Resolution 43-2023
2023-10-17,3,resolution,43-2023,Resolution 43-2023
2023-10-24,6,resolution,44-2023,Resolution 44-2023
2023-10-24,7,resolution,44-2023,Resolution 44-2023
2023-11-07,2,resolution,45-2023,Resolution 45-2023
2023-11-07,3,resolution,46-2023,Resolution 46-2023
2023-11-07,4,resolution,47-2023,Resolution 47-2023
2023-11-14,5,ordinance,2023-31,Ordinance 2023-31
2023-11-14,6,ordinance,2023-31,Ordinance 2023-31
2023-11-21,11,ordinance,2023-32,Ordinance 2023-32
2023-11-21,12,ordinance,2023-32,Ordinance 2023-32
2023-11-28,4,ordinance,2023-33,Ordinance 2023-33
2023-11-28,5,ordinance,2023-33,Ordinance 2023-33
2023-12-05,3,ordinance,2023-36,Ordinance 2023-36
2023-12-05,4,ordinance,2023-37,Ordinance 2023-37
2024-01-02,8,resolution,01-2024,Resolution 01-2024
2024-01-02,10,resolution,02-2024,Resolution 02-2024
2024-01-09,2,ordinance,2024-01,Ordinance 2024-01
2024-01-09,5,ordinance,2024-02,Ordinance 2024-02
2024-01-16,6,ordinance,2024-03,Ordinance 2024-03
2024-01-30,2,ordinance,2024-04,Ordinance 2024-04
2024-02-06,2,resolution,03-2024,Resolution 03-2024
2024-02-06,11,ordinance,2024-06,Ordinance 2024-06
2024-02-06,12,resolution,04-2024,Resolution 04-2024
2024-02-20,2,resolution,05-2024,Resolution 05-2024
2024-02-20,3,resolution,06-2024,Resolution 06-2024
2024-02-20,4,resolution,07-2024,Resolution 07-2024
2024-02-20,5,resolution,07-2024,Resolution 07-2024
2024-02-20,6,resolution,08-2024,Resolution 08-2024
2024-02-27,2,resolution,09-2024,Resolution 09-2024
2024-02-27,3,resolution,10-2024,Resolution 10-2024
2024-02-27,7,resolution,11-2024,Resolution 11-2024
2024-03-05,3,ordinance,2024-07,Ordinance 2024-07
2024-03-05,4,resolution,12-2024,Resolution 12-2024
2024-03-05,4,ordinance,2024-07,Ordinance 2024-07
2024-03-05,5,resolution,13-2024,Resolution 13-2024
2024-03-05,6,resolution,14-2024,Resolution 14-2024
2024-03-05,8,resolution,15-2024,Resolution 15-2024
2024-03-05,9,resolution,15-2024,Resolution 15-2024
2024-03-12,2,ordinance,2024-08,Ordinance 2024-08
2024-03-12,3,ordinance,2024-08,Ordinance 2024-08
2024-03-19,5,resolution,16-2024,Resolution 16-2024
2024-03-19,6,resolution,17-2024,Resolution 17-2024
2024-03-19,11,ordinance,2024-09,Ordinance 2024-09
2024-03-26,2,resolution,18-2024,Resolution 18-2024
2024-03-26,3,resolution,19-2024,Resolution 19-2024
2024-03-26,4,resolution,20-2024,Resolution 20-2024
2024-03-26,5,resolution,21-2024,Resolution 21-2024
2024-03-26,6,resolution,22-2024,Resolution 22-2024
2024-03-26,13,ordinance,2024-10,Ordinance 2024-10
2024-04-02,2,resolution,23-2024,Resolution 23-2024
2024-04-09,3,resolution,24-2024,Resolution 24-2024
2024-04-09,4,resolution,25-2024,Resolution 25-2024
2024-04-16,2,resolution,26-2024,Resolution 26-2024
2024-04-16,3,resolution,27-2024,Resolution 27-2024
2024-04-16,5,ordinance,2023-03,Ordinance 2023-03
2024-04-23,2,ordinance,2024-11,Ordinance 2024-11
2024-04-23,3,ordinance,2024-11,Ordinance 2024-11
2024-05-14,6,resolution,28-2024,Resolution 28-2024
2024-05-14,7,resolution,28-2024,Resolution 28-2024
2024-05-28,2,ordinance,2024-12,Ordinance 2024-12
2024-05-28,3,ordinance,2024-13,Ordinance 2024-13
2024-05-28,4,resolution,29-2024,Resolution 29-2024
2024-05-28,5,resolution,30-2024,Resolution 30-2024
2024-05-28,8,resolution,31-2024,Resolution 31-2024
2024-05-28,9,resolution,31-2024,Resolution 31-2024
2024-06-04,2,ordinance,2024-14,Ordinance 2024-14
2024-06-11,6,ordinance,2024-15,Ordinance 2024-15
2024-06-11,7,resolution,32-2024,Resolution 32-2024
2024-06-18,3,resolution,32-2024,Resolution 32-2024
2024-06-18,4,resolution,32-2024,Resolution 32-2024
2024-06-18,8,resolution,28-2024,Resolution 28-2024
2024-06-18,9,resolution,28-2024,Resolution 28-2024
2024-06-25,2,resolution,34-2024,Resolution 34-2024
2024-06-25,4,resolution,35-2024,Resolution 35-2024
2024-07-16,2,resolution,36-2024,Resolution 36-2024
2024-07-16,3,resolution,37-2024,Resolution 37-2024
2024-07-16,4,resolution,38-2024,Resolution 38-2024
2024-08-06,5,resolution,40-2024,Resolution 40-2024
