ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source,pmn_notice_url,pmn_file_id
22-12,2022-04-05,2022-04-05,"adopting an official plan for the 12600 South Community Reinvestment Project Area, as approved by the Riverton City Redevelopment Agency and directing that notice of the",https://www.utah.gov/pmn/files/838129.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-04-05,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-04-04/2022-04-05_city-council.md,,
22-13,2022-04-19,2022-04-19,"Perry Rezone, Approximately 3.79-Acres at 4623 West 12600 South, From SP- Commercial to Commercial Gateway",https://www.utah.gov/pmn/files/843853.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-04-19,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-04-18/2022-04-19_city-council.md,,
22-14,2022-05-03,2022-05-03,"Cardenas Rezone, Rezone of approximately 2.62-acres located near 1768 West 13400 South from RR-22 to R-4",https://www.utah.gov/pmn/files/849917.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-05-03,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-05-02/2022-05-03_city-council.md,,
22-15,2022-05-17,2022-05-17,"Kunz Rezone, General Plan Amendment & Rezone of Approximately 3.25-Acres Located at 11944 South 3600 West from the General Plan Designation to Low Density Residential to",https://www.utah.gov/pmn/files/857441.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-05-17,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-05-16/2022-05-17_city-council.md,,
22-17,2022-06-21,2022-06-21,Adopting the Compensation for Elective and Statutory Officers and all Other Municipal Officers for Fiscal Year 2022-2023,https://www.utah.gov/pmn/files/872115.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-06-21,9,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-06-20/2022-06-21_city-council.md,,
22-18,2022-06-21,2022-06-21,Adopting Amendments to the Landscaping and Watering Requirements for Residential and Commercial landscaping,https://www.utah.gov/pmn/files/872115.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-06-21,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-06-20/2022-06-21_city-council.md,,
22-19,2022-07-19,2022-07-19,"Hughes and Hubbard Rezone, Rezone of 2.61 Acres Located at 12984 South 4490 West From RR-22 to R-3 (Single-family Residential with 14,000 sf Minimum Lot Size). Councilmem",https://www.utah.gov/pmn/files/876317.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-07-19,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-07-18/2022-07-19_city-council.md,,
22-20,2022-08-16,2022-08-16,"Development Agreement establishing requirements, standards, and parameters for development of approximately 5.5 acres located at 13265 S. Lovers Lane, allowing for subdiv",https://www.utah.gov/pmn/files/893231.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-08-16,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-08-15/2022-08-16_city-council.md,,
22-21,2022-09-20,2022-09-20,"America First Credit Union Rezone, 7.93 acres at 12653 South 3600 West. Proposed Rezone from C-PO to C-G",https://www.utah.gov/pmn/files/897647.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-09-20,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-09-19/2022-09-20_city-council.md,,
22-22,2022-10-04,2022-10-04,"the Master Development Agreement for Riverton Ranch Estates, establishing requirements, standards, and parameters for development of an eight (8) lot private lane subdivi",https://www.utah.gov/pmn/files/903141.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-10-04,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-10-03/2022-10-04_city-council.md,,
22-24,2022-11-15,2022-11-15,"Funaro Rezone and General Plan Amendment, Proposed Amendment of the General Plan to Medium Density Residential and the Zoning from RR-22 to R-4 for 0.5 acres at 1794 West",https://www.utah.gov/pmn/files/922655.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2022-11-15,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-11-14/2022-11-15_city-council.md,,
22-25,2022-11-15,2022-11-15,"Text Amendment, Amending Section 6.05, Animal Control, including clarifying and amending standards relating to animal impoundment and licenses",https://www.utah.gov/pmn/files/922655.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2022-11-15,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2022/2022-11-14/2022-11-15_city-council.md,,
23-01,2023-01-17,2023-01-17,"Code Amendment – Updating and Consolidating Section 18.90.010, Table of Commercial Uses as described in Exhibit “A” with the following condition: 1. Keep landscaping serv",https://www.utah.gov/pmn/files/941245.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-01-17,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-01-16/2023-01-17_city-council.md,,
23-02,2023-01-17,2023-01-17,"Amendment to the Moderate Income Housing Element of Riverton City General Plan, Updating the Moderate Income Housing Element Language Consistent with Utah State Page | 8",https://www.utah.gov/pmn/files/941245.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-01-17,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-01-16/2023-01-17_city-council.md,,
23-03,2023-02-07,2023-02-07,"Wright-Parkside Rezone, Proposed Rezone Of Approximately 6.1 Acres, 12995 S. Sand Hollow Drive, from RM-14-SD-EHOV to RM-14-SD, removing the Elderly Housing Overlay. Coun",https://www.utah.gov/pmn/files/947105.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2023-02-07,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-02-06/2023-02-07_city-council.md,,
23-05,2023-02-21,2023-02-21,"Amending Section 18.235, Water Efficiency Standards, Updating and Amending Existing Language, Amendments Proposed by Riverton City",https://www.utah.gov/pmn/files/952315.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-02-21,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-02-20/2023-02-21_city-council.md,,
23-06,2023-03-21,2023-03-21,Butterfield Rezone – Proposed Rezone of Approximately 0.91-Acres Located at 4141 West 13400 South From R-1 to C-R (Commercial Regional),https://www.utah.gov/pmn/files/962061.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-03-21,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-03-20/2023-03-21_city-council.md,,
23-07,2023-04-04,2023-04-04,Amending 18.135.090 Animal and Fowl created a sliding scale regulating the number of allowed residential chickens by lot size and amending the required minimum distance f,https://www.utah.gov/pmn/files/968545.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-04-04,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-04-03/2023-04-04_city-council.md,,
23-08,2023-04-18,2023-04-18,"Commercial Uses Amendment, Amending Section 18.65, 18.70, 18.75, 18.80, and 18.100, Removing Commercial Uses Language in Deference to the Adopted Table of Commercial Uses",https://www.utah.gov/pmn/files/979497.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-04-18,6,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-04-17/2023-04-18_city-council.md,,
23-09,2023-04-04,2023-04-04,Dissolving the “Redwood South Neighborhood Redevelopment Project Area.,https://www.utah.gov/pmn/files/968545.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2023-04-04,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-04-03/2023-04-04_city-council.md,,
23-10,2023-05-16,2023-05-16,"M-1 Uses, PLZ-23-5004, Proposed amendment to the M-1 (Manufacturing Light Industries) Zone, Riverton Municipal Code 18.95-010, to allow a “zero lot line” setback for cert",https://www.utah.gov/pmn/files/986495.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2023-05-16,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-05-15/2023-05-16_city-council.md,,
23-11,2023-06-06,2023-06-06,Adopting the Compensation for Elective and Statutory Officers and all Other Municipal Officers for Fiscal Year 2023-2024,https://www.utah.gov/pmn/files/992207.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,no,Passed unanimously,2023-06-06,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2023/2023-06-05/2023-06-06_city-council.md,,
23-13,2023-07-18,2023-07-18,"AN ORDINANCE AMENDING SECTIONS 18.( 20, 25, 30, 35, 40). 050. 9, INCREASING THE TOTAL ALLOWED LOT COVERAGE IN SINGLE- FAMILY RESIDENTIAL ZONES, AND AMENDING SECTION 18. 05. 030 DEFINITIONS, EXCLUDING POOLS FROM COVERAGE CALCULATIONS. AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1001713.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/23-13.pdf,yes,Passed unanimously,2023-07-18,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2023/2023-07-17/2023-07-18_city-council.md,https://www.utah.gov/pmn/sitemap/notice/847275.html,1001713
23-14,2023-08-15,2023-08-15,AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 2 CHAPTER 55 OFFICE OF POLICE CHIEF,https://www.utah.gov/pmn/files/1011425.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/23-14.pdf,no,,,,none,"adopted ordinance (Title 2 Ch 55, Office of Police Chief); adoption date read from the signed PMN PDF; no council motion in all_votes cites 23-14 (likely adopted on the consent agenda without a number-bearing motion). Unmatched -- date source-verified.",,https://www.utah.gov/pmn/sitemap/notice/852841.html,1011425
23-15,2023-10-17,2023-10-17,"AN ORDINANCE AMENDING SECTION 18. 235. 040( 6), LANDSCAPE DESIGN STANDARDS,",https://www.utah.gov/pmn/files/1082861.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/23-15.pdf,yes,Passed unanimously,2023-10-17,2,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2023/2023-10-16/2023-10-17_city-council.md,https://www.utah.gov/pmn/sitemap/notice/891953.html,1082861
23-16,2023-12-06,2023-12-06,"AN ORDINANCE ADOPTING SECTION 6. 05. 425, FEEDING WILD BIRDS/ FOWL, REGULATING THE FEEDING OF WILD BIRDS/ FOWL WITHIN RIVERTON CITY, ORDINANCE PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1082871.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/23-16.pdf,no,Passed,2023-12-06,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2023/2023-12-04/2023-12-06_city-council.md,https://www.utah.gov/pmn/sitemap/notice/891959.html,1082871
24-01,2024-02-06,2024-02-06,"AN ORDINANCE ADOPTING SECTION 17. 35, REVIEW AND APPROVAL PROCESS IN COMPLIANCE WITH UTAH STATE CODE, REGULATING PROCESSING, REVIEW, AND APPROVAL OF SUBDIVISIONS IN COMPLIANCE WITH ADOPTED UTAH STATE CODE, ORDINANCE PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1082859.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-01.pdf,yes,Passed unanimously,2024-02-06,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-02-05/2024-02-06_city-council.md,https://www.utah.gov/pmn/sitemap/notice/891951.html,1082859
24-02,2024-03-19,2024-03-19,"AN ORDINANCE AMENDING TITLE 10, SECTION 10. 10 PARKING OF RIVERTON CITY CODE REGARDING PARKING REGULATIONS",https://www.utah.gov/pmn/files/1099885.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-02.pdf,no,Passed unanimously,2024-03-19,6,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-03-18/2024-03-19_city-council.md,https://www.utah.gov/pmn/sitemap/notice/901031.html,1099885
24-03,2024-04-16,2024-04-16,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 13, CHAPTERS 5 AND 10 [ CULINARY AND SECONDARY WATER",https://www.utah.gov/pmn/files/1111957.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-03.pdf,no,Passed,2024-04-16,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-04-15/2024-04-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/907585.html,1111957
24-04,2024-04-16,2024-04-16,"AN ORDINANCE ADOPTING UPDATES TO RIVERTON CITY' S STANDARDS AND SPECIFICATIONS MANUAL, ORDINANCE PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1111493.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-04.pdf,no,Passed unanimously,2024-04-16,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-04-15/2024-04-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/907395.html,1111493
24-05,2024-04-02,2024-04-02,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 3, CHAPTER 5, SECTION 270 CITY CONTRACTS",https://www.utah.gov/pmn/files/1111513.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-05.pdf,no,Passed unanimously,2024-04-16,6,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-04-15/2024-04-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/907403.html,1111513
24-06,2024-05-07,2024-05-07,"AN ORDINANCE AMENDING SECTION 18. 215. 030( 2) AND 18. 135. 300, UPDATING AND AMENDING CODE RELATING TO OUTDOOR COMMERCIAL LIGHTING, AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1119199.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-06.pdf,yes,Passed,2024-05-07,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-05-06/2024-05-07_city-council.md,https://www.utah.gov/pmn/sitemap/notice/912037.html,1119199
24-07,2024-05-21,2024-05-21,"AN ORDINANCE REZONING APPROXIMATELY 9. 26- ACRES LOCATED AT 12701 SOUTH 3600 WEST FROM RR- 22 AND C- PO WITH AN ELDERLY HOUSING OVERLAY/ SPECIAL DESIGNATIONS TO RM- 6- SD ( RESIDENTIAL MEDIUM -DENSITY). APPLICANT- RULON DUTSON, DAVID WEEKLEY HOMES",https://www.utah.gov/pmn/files/1125989.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-07.pdf,yes,Passed unanimously,2024-05-21,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-05-20/2024-05-21_city-council.md,https://www.utah.gov/pmn/sitemap/notice/915557.html,1125989
24-08,2024-06-04,2024-06-04,AN ORDINANCE OF RIVERTON CITY ADOPTING A COMPENSATION SCHEDULE FOR ELECTIVE AND STATUTORY OFFICERS AND ALL OTHER MUNICIPAL OFFICERS,https://www.utah.gov/pmn/files/1131425.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-08.pdf,no,Passed unanimously,2024-06-04,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-06-03/2024-06-04_city-council.md,https://www.utah.gov/pmn/sitemap/notice/918893.html,1131425
24-09,2024-06-04,2024-06-04,AN ORDINANCE OF RIVERTON CITY ADOPTING A COMPENSATION SCHEDULE FOR EXECUTIVE OFFICERS AND CITY ATTORNEY,https://www.utah.gov/pmn/files/1131429.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-09.pdf,no,Passed unanimously,2024-06-04,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-06-03/2024-06-04_city-council.md,https://www.utah.gov/pmn/sitemap/notice/918895.html,1131429
24-10,2024-06-18,2024-06-18,"the Development Agreement for Paige Retail Plaza, located at the southeast corner of 12800 S and Redwood Road, with the following elements: 1. The Pedestrian Oriented Ove",https://www.utah.gov/pmn/files/1147844.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2024-06-18,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2024/2024-06-17/2024-06-18_city-council.md,,
24-11,2024-06-18,2024-06-18,"AN ORDINANCE REZONING APPROXIMATELY 1. 06- ACRES LOCATED AT 11800 SOUTH 3807 WEST FROM R- 3 TO R- 4/ SD ( RESIDENTIAL SINGLE FAMILY WITH 10, 000 SF MIN LOT SIZE, WITH SPECIFIC DEVELOPMENT DESIGNATIONS). APPLICANT- THOMAS BELCHAK",https://www.utah.gov/pmn/files/1138477.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-11.pdf,yes,Passed unanimously,2024-06-18,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-06-17/2024-06-18_city-council.md,https://www.utah.gov/pmn/sitemap/notice/922807.html,1138477
24-12,2024-07-16,2024-07-16,"AN ORDINANCE AMENDING THE GENERAL PLAN TO MEDIUM DENSITY RESIDENTIAL AND REZONING ZONING TO R- 4/ SD THE 5. 08- ACRE PARCEL LOCATED AT 2400 WEST 11800 SOUTH, WITH THE SD DESIGNATION THAT THE NORTHERNMOST LOTS BE A MINIMUM OF 1/ 3 ACRE IN SIZE, MOORE HOMES, APPLICANT",https://www.utah.gov/pmn/files/1147788.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-12.pdf,yes,Passed,2024-07-16,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-07-15/2024-07-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/928100.html,1147788
24-13,2024-07-16,2024-07-16,"AN ORDINANCE SECTION 18. 195. 060( 3), REGULATING THE REQUIREMENTS FOR PRIVATE OR QUASI -PUBLIC SCHOOLS, AMENDMENT PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1147800.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-13.pdf,yes,Passed,2024-07-16,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-07-15/2024-07-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/928110.html,1147800
24-14,2024-07-16,2024-07-16,"AN ORDINANCE AMENDING TITLE 11, CHAPTER 5 OF THE RIVERTON CITY MUNICIPAL CODE RELATING TO REGULATIONS APPLICABLE TO RIVERTON CITY PARKS",https://www.utah.gov/pmn/files/1147804.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-14.pdf,no,Passed,2024-07-16,6,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-07-15/2024-07-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/928112.html,1147804
24-15,2024-07-16,2024-07-16,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 8, ADDING CHAPTER 45 PROHIBITED CAMPING",https://www.utah.gov/pmn/files/1147790.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-15.pdf,no,Passed unanimously,2024-07-16,7,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-07-15/2024-07-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/928102.html,1147790
24-16,2024-09-03,2024-09-03,"AN ORDINANCE AMENDING AND CLARIFYING RIVERTON CITY ORDINANCE NO. 21- 22, VACATING AN EXISTING UNDEVELOPED PORTION OF A PUBLIC RIGHT OF WAY, BRINLEY PEAK LANE, IN RIVERTON CITY",https://www.utah.gov/pmn/files/1165353.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-16.pdf,yes,Passed unanimously,2024-09-03,6,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-09-02/2024-09-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/937451.html,1165353
24-17,2024-09-03,2024-09-03,"AN ORDINANCE AMENDING RIVERTON CITY CODE, SECTION 18. 190. 050( 5) 1"" HOME OCCUPATIONS"" TO CLARIFY THE APPEALS PROCESS, AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1165357.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-17.pdf,yes,Passed unanimously,2024-09-03,7,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-09-02/2024-09-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/937453.html,1165357
24-18,2024-09-03,2024-09-03,"Code Text Amendment, Amending Section 18.135.200, Regulating Permits for Temporary Commercial Uses",https://www.utah.gov/pmn/files/1177623.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2024-09-03,8,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2024/2024-09-02/2024-09-03_city-council.md,,
24-19,2024-10-01,2024-10-01,"AN ORDINANCE AMENDING THE GENERAL PLAN TO PROFESSIONAL OFFICE AND REZONING TO C- PO THE . 56- ACRE PARCEL LOCATED AT 13083 SOUTH REDWOOD ROAD, COURTNEY JENSEN, APPLICANT",https://www.utah.gov/pmn/files/1177579.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-19.pdf,yes,Passed unanimously,2024-10-01,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-09-30/2024-10-01_city-council.md,https://www.utah.gov/pmn/sitemap/notice/944079.html,1177579
24-20,2024-10-01,2024-10-01,"Beckstead Manor, Rezone of approximately 1.5-acres located at 13191, 13171, and 13153 South Redwood Road from RR-22 (Residential low-density, .5-acre min) to RM-18 (Resid",https://www.utah.gov/pmn/files/1183671.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2024-10-01,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2024/2024-09-30/2024-10-01_city-council.md,,
24-21,2024-11-12,2024-11-12,"Page | 11 Minutes – City Council Meeting November 12, 2024 Development Agreement for 2682 West 13400 South, establishing requirements, standards, and parameters for devel",https://www.utah.gov/pmn/files/1204397.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2024-11-12,3,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2024/2024-11-11/2024-11-12_city-council.md,,
24-22,2024-11-12,2024-11-12,"AN ORDINANCE AMENDING SECTION 18. 225, "" ACCESSORY STRUCTURES,"" REGULATING USE OF STORAGE/ CARGO CONTAINERS AS DESCRIBED, AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1197845.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-22.pdf,yes,Passed,2024-11-12,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-11-11/2024-11-12_city-council.md,https://www.utah.gov/pmn/sitemap/notice/954913.html,1197845
24-23,2024-11-12,2024-11-12,"AN ORDINANCE AMENDING RIVERTON CITY CODE, SECTION 2. 95. 060 ORGANIZATIONS, ACTIONS, AND RECOMMENDATIONS"" OF THE PLANNING, AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1197853.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-23.pdf,no,Passed unanimously,2024-11-12,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-11-11/2024-11-12_city-council.md,https://www.utah.gov/pmn/sitemap/notice/954915.html,1197853
24-24,2024-12-03,2024-12-03,"AN ORDINANCE ADOPTING RIVERTON CITY CODE TITLE 2, CHAPTER 130, SECTIONS 010 TO 070",https://www.utah.gov/pmn/files/1197857.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-24.pdf,no,Passed,2024-12-03,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-12-02/2024-12-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/954917.html,1197857
24-25,2024-11-12,2024-11-12,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 5, CHAPTER 30, SECTIONS O10 TO 140; RENUMBERING SAME TO TITLE 9, CHAPTER 35, SECTIONS 010 TO 140; AND AMENDING PROVISIONS RELATED TO ADMINISTRATION, FEES AND PENALTIES",https://www.utah.gov/pmn/files/1197863.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-25.pdf,no,Passed unanimously,2024-11-12,7,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-11-11/2024-11-12_city-council.md,https://www.utah.gov/pmn/sitemap/notice/954925.html,1197863
24-26,2024-12-03,2024-12-03,"AN ORDINANCE MAKING TECHNICAL REVISIONS TO ORDINANCE NO. 24- 24, ADOPTED ON NOVEMBER 121) 2024 RIVERTON CITY YOUTH COUNCIL",https://www.utah.gov/pmn/files/1204223.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-26.pdf,no,Passed,2024-12-03,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-12-02/2024-12-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/958379.html,1204223
