date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,source,date_precision,is_incremental,matched_election_candidate,join_confidence,sha256,duplicate_of
2024-01-10,Matt Holton,Council,2023,summary,Year-end final financial report,Matt Holton — Cottonwood Heights final financial report (2023 cycle),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Matt%20Holton%20Final.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_matt-holton-final.pdf,1,state_lg_municipal_disclosures,statutory_year_end_deadline,no,MATT HOLTON,high,33948e3dc39a2ef7fdcc2bcc17a8e70a4dfc57dc2afca1a5b153b9cfd595d6d8,
2023-08-29,Scott Bracken,Council,2023,statement,Pre-primary financial statement (signed Aug 29 2023; eliminated D2 primary candidate),Scott Bracken — Cottonwood Heights candidate financial statement (2023 D2 primary),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Scott%20Bracken.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2023_state_scott-bracken.pdf,2,state_lg_municipal_disclosures,page_stated,no,,none,535c7db404492f247ab021c2dc5f33b281a0dcfc8ea0146151e3dedd9448d431,
2023-10-05,Scott Bracken,Council,2023,statement,"Post-primary financial statement (signed Oct 5 2023; balance-forward $3,083.05 from pre-primary; eliminated D2 primary candidate)",Scott Bracken — Cottonwood Heights District 2 candidate financial statement (2023 primary),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Scott%20Bracken%20-%20District%202.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2023_state_scott-bracken-district-2.pdf,2,state_lg_municipal_disclosures,page_stated,no,,none,503574edca9c47bac6b8e204a124f3d12f61a4d6d848ed8f3e72ab1385fcb460,
2023-08-29,Sharon Daurelle,Council,2023,interim,"Pre-primary financial statement (in-body 'August 28, 2023', signed 8/29/2023; itemization spans 7/4-8/26)","Sharon Daurelle — Cottonwood Heights candidate financial statement (2023, pre-general)",https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Sharon%20Daurelle.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2023_state_sharon-daurelle.pdf,2,state_lg_municipal_disclosures,page_stated,no,SHARON DAURELLE,high,677cafa83a719f68e39ca7afeb600e163430082e6ea0b6d4d4ffb6211b8c81fe,
2023-12-19,Sharon Daurelle,Council,2023,summary,Year-end final financial report,Sharon Daurelle — Cottonwood Heights final financial report (2023 cycle),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Sharon%20Daurelle%20Final.pdf,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2023_state_sharon-daurelle-final.pdf,2,state_lg_municipal_disclosures,page_stated,no,SHARON DAURELLE,high,43441400f0b714af563223d4df371ad28fe74f3e481aec75d6648650fd910f7c,
2023-10-24,Suzanne Hyland,Council,2023,interim,Interim financial disclosure report (Oct 24 2023),Suzanne Hyland — Cottonwood Heights financial disclosure report (Oct 24 2023),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Suzanne%20Hyland%20Financial%20Disclosure%20Report%2010.24.2023.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_suzanne-hyland-financial-disclosure-report-10-24-2023.pdf,2,state_lg_municipal_disclosures,filename_filing_date,no,SUZANNE HYLAND,high,a18577f4d4a467d88adfdfbfa4c9303bcfedbedfabb3fe4d66e3d63fd3c61e3a,
2023-11-21,Suzanne Hyland,Council,2023,interim,Pre-general financial statement,"Suzanne Hyland — Cottonwood Heights candidate financial statement (2023, pre-general)",https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Suzanne%20Hyland.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_suzanne-hyland.pdf,2,state_lg_municipal_disclosures,cycle_anchor_general_election_day,no,SUZANNE HYLAND,high,9e91e4dd28664e09864cc6fe8dd45550709e17208f83a1534186eb473268d47a,
2024-01-10,Suzanne Hyland,Council,2023,summary,Year-end final financial report,Suzanne Hyland — Cottonwood Heights final financial report (2023 cycle),https://municipal.utah.gov/salt%20lake/2023/Cottonwood%20Heights/Suzanne%20Hyland%20Final.pdf,2026-07-13,text,none (raw acquisition; OCR/vision deferred),raw/2023_state_suzanne-hyland-final.pdf,2,state_lg_municipal_disclosures,statutory_year_end_deadline,no,SUZANNE HYLAND,high,f83fbe46a990ea69c0bd4779da35714b9536ba1f9c0f2ec28b44998b119f01f3,
2025-10-07,Gay Lynn Bennion,Mayor,2025,interim,Interim report (Oct 7 2025),Gay Lynn Bennion — Cottonwood Heights campaign financial report (Oct 7 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10371/638955157086400000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_bennion_interim-oct-7-2025.pdf,,city_elections_page,label_report_date,no,GAY LYNN BENNION,high,5edff758b6af3845c9bc6cacb8df57b06bca9fab3d04906ae90967bd17e3f6e0,
2025-10-28,Gay Lynn Bennion,Mayor,2025,interim,Interim report (Oct 28 2025),Gay Lynn Bennion — Cottonwood Heights campaign financial report (Oct 28 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10439/638974131107800000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_bennion_interim-oct-28-2025.pdf,,city_elections_page,label_report_date,no,GAY LYNN BENNION,high,54f8feaaa76ee21cfc007d52e3b83cf55b360268651860d9c3486d5507bfe858,
2025-11-04,Gay Lynn Bennion,Mayor,2025,statement,Initial financial disclosure statement,Gay Lynn Bennion — Cottonwood Heights initial financial disclosure statement (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9987/638848266601930000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_bennion_initial-financial-disclosure-statement.pdf,,city_elections_page,cycle_anchor_general_election_day,no,GAY LYNN BENNION,high,9385a78554bda827a924a2789d0e3930c2eca225f70fbdcb60f0bb47cac22a67,
2025-11-04,Gay Lynn Bennion,Mayor,2025,conflict_of_interest,Candidate conflict-of-interest disclosure,Gay Lynn Bennion — Cottonwood Heights candidate conflict-of-interest disclosure (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9989/638848266892770000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_bennion_conflict-of-interest-disclosure.pdf,,city_elections_page,cycle_anchor_general_election_day,no,GAY LYNN BENNION,high,a6860f5d4d501405646d4e4dde754a1b91dd859de66714c2042831e2d2a69c13,
2025-12-04,Gay Lynn Bennion,Mayor,2025,summary,Final report (Dec 4 2025),Gay Lynn Bennion — Cottonwood Heights final campaign financial report (Dec 4 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10559/639005374925530000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_bennion_final-dec-4-2025.pdf,,city_elections_page,label_report_date,no,GAY LYNN BENNION,high,df2c90ac69d455001ff6a5888f5e69a70835c586a022d94a34c58e4dce895875,
2025-10-07,Mike Weichers,Mayor,2025,interim,Interim report (Oct 7 2025),Mike Weichers — Cottonwood Heights campaign financial report (Oct 7 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10363/638955155844770000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_weichers_interim-oct-7-2025.pdf,,city_elections_page,label_report_date,no,MIKE WEICHERS,high,e1fe439f4424d584f1a444ce680496aaabe7ba929eb613b5e8c086743c6c141c,
2025-10-28,Mike Weichers,Mayor,2025,interim,Interim report (Oct 28 2025),Mike Weichers — Cottonwood Heights campaign financial report (Oct 28 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10441/638974131322200000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_weichers_interim-oct-28-2025.pdf,,city_elections_page,label_report_date,no,MIKE WEICHERS,high,ab28b991d268fb477a8265a9d555362dca6a910fdc0f63e6ccccbf04249ab7d1,
2025-11-04,Mike Weichers,Mayor,2025,statement,Initial financial disclosure statement,Mike Weichers — Cottonwood Heights initial financial disclosure statement (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9949/638844769357670000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_weichers_initial-financial-disclosure-statement.pdf,,city_elections_page,cycle_anchor_general_election_day,no,MIKE WEICHERS,high,537013686fc8df2fdaa13ea7e9a050c552afbbba4ee623ec60ee9bea5d6b1504,
2025-11-04,Mike Weichers,Mayor,2025,conflict_of_interest,Candidate conflict-of-interest disclosure,Mike Weichers — Cottonwood Heights candidate conflict-of-interest disclosure (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9965/638847094677770000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_weichers_conflict-of-interest-disclosure.pdf,,city_elections_page,cycle_anchor_general_election_day,no,MIKE WEICHERS,high,a1c66c31308cb43337e414409e8d94b2fd0ea50167bf0fc8ee8cac987f49b617,
2025-12-04,Mike Weichers,Mayor,2025,summary,Final report (Dec 4 2025),Mike Weichers — Cottonwood Heights final campaign financial report (Dec 4 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10557/639005374448170000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_weichers_final-dec-4-2025.pdf,,city_elections_page,label_report_date,no,MIKE WEICHERS,high,40d01c9bc2345daadf6b4fdf50c12c2b8d8b5737c9290cab13a6500b84382f64,
2025-10-07,Randy Prazen,Council,2025,interim,Interim report (Oct 7 2025),Randy Prazen — Cottonwood Heights campaign financial report (Oct 7 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10571/639007746782930000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_prazen_interim-oct-7-2025.pdf,3,city_elections_page,label_report_date,no,RANDY PRAZEN,high,e166e0eba6edabad02f04d6f5bbaa47d3c840a36ab9c5c00e0095be848df6673,
2025-10-28,Randy Prazen,Council,2025,interim,Interim report (Oct 28 2025),Randy Prazen — Cottonwood Heights campaign financial report (Oct 28 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10569/639007746591300000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_prazen_interim-oct-28-2025.pdf,3,city_elections_page,label_report_date,no,RANDY PRAZEN,high,a5fb53c9d70bfc02c533ee8ca7e6d413a59fc49849dceb55f865f57d005d23c6,
2025-11-04,Randy Prazen,Council,2025,statement,Initial financial disclosure statement,Randy Prazen — Cottonwood Heights initial financial disclosure statement (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9975/638847419251470000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_prazen_initial-financial-disclosure-statement.pdf,3,city_elections_page,cycle_anchor_general_election_day,no,RANDY PRAZEN,high,cb68ab796afcd6258a209b714170daa489e957fa4617e3c9965485bf8cdefcae,
2025-11-04,Randy Prazen,Council,2025,conflict_of_interest,Candidate conflict-of-interest disclosure,Randy Prazen — Cottonwood Heights candidate conflict-of-interest disclosure (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9977/638847915379530000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_prazen_conflict-of-interest-disclosure.pdf,3,city_elections_page,cycle_anchor_general_election_day,no,RANDY PRAZEN,high,8f53474aa05b096bff7a3b82bb7fbf6da7daa3b527845e44ffd6d451c368dbee,
2025-12-04,Randy Prazen,Council,2025,summary,Final report (Dec 4 2025),Randy Prazen — Cottonwood Heights final campaign financial report (Dec 4 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10567/639007746370330000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_prazen_final-dec-4-2025.pdf,3,city_elections_page,label_report_date,no,RANDY PRAZEN,high,0198f026cdb565b94fea7fe6383ad8cd215daa118bd9cf4ca161413a47e0d508,raw/2025_city_prazen_interim-oct-28-2025.pdf
2025-10-07,Shawn Newell,Council,2025,interim,Interim report (Oct 7 2025),Shawn Newell — Cottonwood Heights campaign financial report (Oct 7 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10365/638955156251600000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_newell_interim-oct-7-2025.pdf,3,city_elections_page,label_report_date,no,SHAWN NEWELL,high,cc67081113600eae799ce2064ec522a723df929f75d3ce405cabca1e2e93eb48,
2025-10-28,Shawn Newell,Council,2025,interim,Interim report (Oct 28 2025),Shawn Newell — Cottonwood Heights campaign financial report (Oct 28 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10433/638974130453630000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_newell_interim-oct-28-2025.pdf,3,city_elections_page,label_report_date,no,SHAWN NEWELL,high,37cc886e26c4dd3381cec28b301fda8eb057b839be3bd2039230aff3f62ef76f,
2025-11-04,Shawn Newell,Council,2025,statement,Initial financial disclosure statement,Shawn Newell — Cottonwood Heights initial financial disclosure statement (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9953/638845300283970000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_newell_initial-financial-disclosure-statement.pdf,3,city_elections_page,cycle_anchor_general_election_day,no,SHAWN NEWELL,high,28d32d58d797c8985eba054c2910272012b7f2ae9d5e7a42f86c004f1976eb29,
2025-11-04,Shawn Newell,Council,2025,conflict_of_interest,Candidate conflict-of-interest disclosure,Shawn Newell — Cottonwood Heights candidate conflict-of-interest disclosure (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9969/638847095094270000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_newell_conflict-of-interest-disclosure.pdf,3,city_elections_page,cycle_anchor_general_election_day,no,SHAWN NEWELL,high,8c6e209331577b97ae73a448874103f226136d4d8d6e272fde57cd6c97a59d62,
2025-12-04,Shawn Newell,Council,2025,summary,Final report (Dec 4 2025),Shawn Newell — Cottonwood Heights final campaign financial report (Dec 4 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10561/639005375376300000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_newell_final-dec-4-2025.pdf,3,city_elections_page,label_report_date,no,SHAWN NEWELL,high,6e3e6a0be10f0114eeaeaacbfa3b8d82fd1e9ac5d6bba28814a2858af34329e1,
2025-10-07,Ellen Birrell,Council,2025,interim,Interim report (Oct 7 2025),Ellen Birrell — Cottonwood Heights campaign financial report (Oct 7 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10367/638955156500170000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_birrell_interim-oct-7-2025.pdf,4,city_elections_page,label_report_date,no,ELLEN BIRRELL,high,c96f7d40e04bf6f593e5038653db21ecdc01cbcdc02bcb0706d11a3ca7e3a8a1,
2025-10-28,Ellen Birrell,Council,2025,interim,Interim report (Oct 28 2025),Ellen Birrell — Cottonwood Heights campaign financial report (Oct 28 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10435/638974130673830000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_birrell_interim-oct-28-2025.pdf,4,city_elections_page,label_report_date,no,ELLEN BIRRELL,high,41cb47f3e89f28670a2a1f5ba44cf58f1913e8a52a1d81bb5ee1733d866792e8,
2025-11-04,Ellen Birrell,Council,2025,statement,Initial financial disclosure statement,Ellen Birrell — Cottonwood Heights initial financial disclosure statement (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9947/638844769130770000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_birrell_initial-financial-disclosure-statement.pdf,4,city_elections_page,cycle_anchor_general_election_day,no,ELLEN BIRRELL,high,f1839250148f7cd93e46b82d80083a2bc444c624e76ace448cc116a17fb784dc,
2025-11-04,Ellen Birrell,Council,2025,conflict_of_interest,Candidate conflict-of-interest disclosure,Ellen Birrell — Cottonwood Heights candidate conflict-of-interest disclosure (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9979/638847922488200000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_birrell_conflict-of-interest-disclosure.pdf,4,city_elections_page,cycle_anchor_general_election_day,no,ELLEN BIRRELL,high,67a60d952bebd60a9c48e4128caf00a66bc2fc8e8714966af705c671231632dd,
2025-12-04,Ellen Birrell,Council,2025,summary,Final report (Dec 4 2025),Ellen Birrell — Cottonwood Heights final campaign financial report (Dec 4 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10563/639005375652300000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_birrell_final-dec-4-2025.pdf,4,city_elections_page,label_report_date,no,ELLEN BIRRELL,high,0ba62a8839bfc9e691d87e8a31bb9bb044ef99209cfddeb7aabf7ac33173c371,
2025-10-07,Ernie Kim,Council,2025,interim,Interim report (Oct 7 2025),Ernie Kim — Cottonwood Heights campaign financial report (Oct 7 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10369/638955156827200000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_kim_interim-oct-7-2025.pdf,4,city_elections_page,label_report_date,no,ERNIE KIM,high,371132950dbdf4b7e58286c278053f86a21e63ebfba116f4f6711314aaf18159,
2025-10-28,Ernie Kim,Council,2025,interim,Interim report (Oct 28 2025),Ernie Kim — Cottonwood Heights campaign financial report (Oct 28 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10437/638974130889070000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_kim_interim-oct-28-2025.pdf,4,city_elections_page,label_report_date,no,ERNIE KIM,high,f8d7fdd41f43cc71db9706b4050b3812999acc994eeaf60b881cf6cb598a3610,
2025-11-04,Ernie Kim,Council,2025,statement,Initial financial disclosure statement,Ernie Kim — Cottonwood Heights initial financial disclosure statement (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9991/638848270058130000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_kim_initial-financial-disclosure-statement.pdf,4,city_elections_page,cycle_anchor_general_election_day,no,ERNIE KIM,high,f1f4e9d9218eda1b5008de1878d1c2a7c63a430cddd699fcdcfbd0cf2e959d54,
2025-11-04,Ernie Kim,Council,2025,conflict_of_interest,Candidate conflict-of-interest disclosure,Ernie Kim — Cottonwood Heights candidate conflict-of-interest disclosure (2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/9993/638848270241230000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_kim_conflict-of-interest-disclosure.pdf,4,city_elections_page,cycle_anchor_general_election_day,no,ERNIE KIM,high,c416abceea52890017238384d715a1348b130ce696007329153e85cb7c56c03b,
2025-12-04,Ernie Kim,Council,2025,summary,Final report (Dec 4 2025),Ernie Kim — Cottonwood Heights final campaign financial report (Dec 4 2025),https://www.cottonwoodheights.utah.gov/home/showpublisheddocument/10565/639005375828670000,2026-07-13,scanned,none (raw acquisition; OCR/vision deferred),raw/2025_city_kim_final-dec-4-2025.pdf,4,city_elections_page,label_report_date,no,ERNIE KIM,high,1c1441560fe8280e471c1eab424f0905507cd11fc7fd00b6c59a3003b92afa17,
