ordinance_no,adoption_date,title,land_use_type,result,source_url,format,path,text_path,motion_id,match_confidence,reading_stage,prior_readings,source_file
2018-20,2018-11-13,Commissioner Ebert moved to adopt Ordinance 2018-20 vacating a 14-foot public utility easement located 145 feet 5inches south from the front property line within Lot 23 of West Hills Subdivision; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_11132018.pdf,pdf,,,1516,high,,,legislative/minutes/2018/2018-11-13_commission.md
2018-21,2018-12-04,Commissioner Jenkins moved to adopt Ordinance 2018-21 amending the Weber County Zoning Map to rezone property at 4733 West 1150 South from A-1 to C-1; Commissioner Ebert seconded,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12042018.pdf,pdf,,,1544,high,,,legislative/minutes/2018/2018-12-04_commission.md
2018-22,2018-12-18,"Commissioner Jenkins moved to adopt Ordinance 2018-22 amending the Weber County Code, Section 16-2-6 relating to stormwater pollution prevention plan fees; Chair Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12182018.pdf,pdf,,,1564,high,Final Reading,2018-12-18#3,legislative/minutes/2018/2018-12-18_commission.md
2018-23,2018-12-18,"Chair Harvey moved to adopt 2018-23 amending the Weber County Code of Ordinances, Title 16, Chapter 8, governing impact fees but amending the trails impact fees from $1,500 to $1,250. Motion died for lack of a second.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12182018.pdf,pdf,,,1575,high,,,legislative/minutes/2018/2018-12-18_commission.md
2019-1,2019-01-29,"Commissioner Harvey moved to adopt Ordinance 2019-1, Fee Ordinance amendments relating to the Weber County Community Development Department – Solid Waste Division (Sec. 16-2-9 – Solid Waste Fees); Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_01292019.pdf,pdf,,,1605,high,,,legislative/minutes/2019/2019-01-29_commission.md
2019-2,2019-02-05,"Commissioner Harvey moved to adopt Ordinance 2019-2 to allow large solar energy farms in the A-3 Zone, to create a solar energy overlay zone, to modify solar energy regulations in the M-3 Zone, and to create standards and processes governing the same; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02052019.pdf,pdf,,,1618,high,,,legislative/minutes/2019/2019-02-05_commission.md
2019-3,2019-02-12,"Commissioner Harvey moved to adopt Ordinance 2019-3 amending the Weber County Zoning Map to realign a zoning boundary on the west side of The Highlands at Wolf Creek, Phases one and five; Chair Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02122019.pdf,pdf,,,1628,high,,,legislative/minutes/2019/2019-02-12_commission.md
2019-4,2019-03-12,Commissioner Froerer moved to adopt Ordinance 2019-4 amending the Weber County Land Use Code to allow lot averaging in the A-3 Agricultural Zone with the change allowing frontages to be reduced from 150 to 100 feet; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03122019.pdf,pdf,,,1663,high,,,legislative/minutes/2019/2019-03-12_commission.md
2019-5,2019-03-12,"Commissioner Harvey moved to adopt Ordinance 2019-5 amending the Weber County Land Use Code to extend architectural, landscaping, and screening standards to apply to commercial uses, public and quasi-public uses, and multifamily dwelling uses in western Weber County; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03122019.pdf,pdf,,,1664,high,,,legislative/minutes/2019/2019-03-12_commission.md
2019-6,2019-03-19,Commissioner Froerer moved to adopt Resolution 20-2019 approving the Interlocal Agreement with South Ogden City to fund the Golden Spike Storm Water Coalition and providing funds for hiring a professional manager for the Coalition; Chair Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03192019.pdf,pdf,,,,ambiguous,Final Reading,2019-03-19#2(Final Reading),legislative/minutes/2019/2019-03-19_commission.md
2019-7,2019-03-19,Commissioner Froerer moved to adopt Ordinance 2019-7 vacating a 10-foot public utility easement located on the north side of Lot 5 of Gallop Bend Subdivision; Chair Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03192019.pdf,pdf,,,1672,high,,,legislative/minutes/2019/2019-03-19_commission.md
2019-8,2019-05-07,"Commissioner Harvey moved to approve the Interlocal Agreement by/among Weber County, Ogden Metro SWAT and Weber Fire District providing tactically trained EMTs to the Ogden Metro SWAT Team; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05072019.pdf,pdf,,,,ambiguous,Final Reading,2019-05-07#2(Final Reading),legislative/minutes/2019/2019-05-07_commission.md
2019-9,2019-06-04,Commissioner Harvey moved to adopt Resolution 31-2019 appointing Daniel Czech (through 12/31/2020) and reappointing Sheri Morreale (through 12/31/2022) to the Veterans Advisory Committee; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06042019.pdf,pdf,,,,ambiguous,First Reading,2019-06-04#3(First Reading),legislative/minutes/2019/2019-06-04_commission.md
2019-10,2019-06-11,Commissioner Harvey moved to approve the contract with Avaya/ConvergeOne to update hardware and Call Manager software to the current version; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06112019.pdf,pdf,,,,ambiguous,Final Reading,2019-06-11#9(Final Reading),legislative/minutes/2019/2019-06-11_commission.md
2019-11,2019-06-11,"Commissioner Harvey moved to adopt Resolution 35-2019 amending the West Central Weber County General Plan to extend the Future Agricultural/Residential area to 7900 West for land in the 7500 West-7900 West block, north of 900 South; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06112019.pdf,pdf,,,,ambiguous,,2019-06-11#13,legislative/minutes/2019/2019-06-11_commission.md
2019-12,2019-06-11,Commissioner Froerer moved to adopt Ordinance 2019-12 amending the Weber County Zoning Map to rezone property on 7900 West and 900 South from M-1 to A-2; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06112019.pdf,pdf,,,1788,high,,,legislative/minutes/2019/2019-06-11_commission.md
2019-13,2019-07-30,,,,https://www.webercountyutah.gov/commission/documents/minutes/min_07302019.pdf,pdf,,,,unlinked,,,legislative/minutes/2019/2019-07-30_commission.md
2019-14,2019-07-30,"Commissioner Froerer moved to adopt Ordinance 2019-14 amending the Weber County Land Use Code regarding code enforcement procedures and regulations including for junk, refuse, and unkempt yards; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_07302019.pdf,pdf,,,1871,high,,,legislative/minutes/2019/2019-07-30_commission.md
2019-15,2019-08-06,"Commissioner Harvey moved to adopt Ordinance 2019-15 amending the Land Use Code, Titles 101 and 106, to remove antiquated slope and road area requirements applicable to cluster subdivisions, PRUDs, and Master Planned Developments; Chair Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08062019.pdf,pdf,,,1881,high,,,legislative/minutes/2019/2019-08-06_commission.md
2019-16,2019-08-20,"Commissioner Harvey moved to adopt Ordinance 2019-16 amending the Weber County Fee Ordinance, Title 16, Chapter 2, Section 12; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08202019.pdf,pdf,,,1894,high,Final Reading,,legislative/minutes/2019/2019-08-20_commission.md
2019-17,2019-08-20,"Commissioner Harvey moved to adopt Ordinance 2019-17 amending theSurveying and Survey Monuments Ordinance, Title 45; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08202019.pdf,pdf,,,1895,high,Final Reading,2019-08-20#4,legislative/minutes/2019/2019-08-20_commission.md
2019-18,2019-09-10,Commissioner Harvey moved to adopt Ordinance 2019-18 establishing a County Weed Control Board; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09102019.pdf,pdf,,,1921,high,Final Reading,,legislative/minutes/2019/2019-09-10_commission.md
2019-19,2019-09-10,Commissioner Froerer moved to adopt Ordinance 2019-19 relating to Indigent Dead; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09102019.pdf,pdf,,,1923,high,Final Reading,2019-09-10#5,legislative/minutes/2019/2019-09-10_commission.md
2019-20,2019-09-17,Commissioner Harvey moved to adopt Ordinance 2019-20 amending the Weber County Fee Ordinance as it relates to record request fees for the County Attorney’s Office and user fees for the Weber County Sports Shooting Complex; Chair Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09172019.pdf,pdf,,,1931,high,Final Reading,,legislative/minutes/2019/2019-09-17_commission.md
2019-21,2019-10-08,Commissioner Harvey moved to adopt Ordinance 2019-21 final reading of an ordinance setting a four-year limit for property tax refunds; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_10082019.pdf,pdf,,,1950,high,Final Reading,,legislative/minutes/2019/2019-10-08_commission.md
2019-22,2019-10-08,"Commissioner Froerer moved to adopt Ordinance 2019-22 final reading of an ordinance governing the preparation, review, enactment, and publication of ordinances; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_10082019.pdf,pdf,,,1951,high,Final Reading,,legislative/minutes/2019/2019-10-08_commission.md
2019-23,2019-10-08,"Commissioner Harvey moved to approve a countywide policy governing the preparation, review, enactment, and publication of ordinances; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_10082019.pdf,pdf,,,,ambiguous,Final Reading,2019-10-08#6(Final Reading),legislative/minutes/2019/2019-10-08_commission.md
2019-24,2019-12-10,Commissioner Froerer moved to adopt Ordinance 2019-24 creating a special revenue fund for countywide flood control projects and drought emergencies; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12102019.pdf,pdf,,,2029,high,Final Reading,2019-12-10#3(First Reading),legislative/minutes/2019/2019-12-10_commission.md
2019-25,2019-12-17,Commissioner Harvey moved to adopt Ordinance 2019-25 amending the Weber County Fee Ordinance; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12172019.pdf,pdf,,,2051,high,Final Reading,2019-12-17#8,legislative/minutes/2019/2019-12-17_commission.md
2020-1,2020-01-14,Commissioner Harvey moved to adopt Ordinance 2020-1 authorizing Weber County residents to utilize the urban farming provisions of Utah Code Annotated Part 59-2-17; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_01142020.pdf,pdf,,,2079,high,Final Reading,2020-01-14#3,legislative/minutes/2020/2020-01-14_commission.md
2020-2,2020-01-28,"Commissioner Jenkins moved to adopt Ordinance 2020-2 amending Weber County Code §106-2-4 to allow lot averaging to occur in subdivisions in the AV-3 zone, and related minor clerical edits; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_01282020.pdf,pdf,,,2105,high,,,legislative/minutes/2020/2020-01-28_commission.md
2020-3,2020-02-04,"Commissioner Harvey moved to adopt Ordinance 2020-3 amending the Weber County Codes §104-5, §104-6, §104-7, §104-8 and §104-25 to regulate the cultivation and processing of medical cannabis, as required by State Code, and to provide related minor edits to clarify intent and consistency; Commissioner",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02042020.pdf,pdf,,,2113,high,,,legislative/minutes/2020/2020-02-04_commission.md
2020-4,2020-03-03,Commissioner Jenkins moved to adopt Ordinance 2020-4 amending certain (Golden spike Event Center-GSEC) fees to the Weber County Fee Ordinance; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03032020.pdf,pdf,,,2140,high,Final Reading,,legislative/minutes/2020/2020-03-03_commission.md
2020-5,2020-04-07,Commissioner Harvey moved to adopt Ordinance 2020-5 establishing a procedure to provide temporary relief from business personal property tax penalties/interest due to COVID-19 pandemic; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_04072020.pdf,pdf,,,2169,high,First Reading,,legislative/minutes/2020/2020-04-07_commission.md
2020-6,2020-05-19,Commissioner Harvey moved to adopt Ordinance 2020-6 vacating a 10-foot public utility easement located at the north and west lot lines of lot 16 of Cameron Village Cluster Subdivision; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05192020.pdf,pdf,,,2212,high,,,legislative/minutes/2020/2020-05-19_commission.md
2020-7,2020-06-16,Commissioner Harvey moved to adopt Ordinance 2020-7 establishing a Library Capital Projects Fund; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06162020.pdf,pdf,,,2238,high,Second Reading,,legislative/minutes/2020/2020-06-16_commission.md
2020-8,2020-06-16,Commissioner Harvey moved to adopt Ordinance 2020-8 amending Weber County Code Sections §108-16 and §110-2 to clarify Ogden Valley Outdoor Lighting and Illuminated Sign allowances; Chair Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06162020.pdf,pdf,,,2242,high,,,legislative/minutes/2020/2020-06-16_commission.md
2020-9,2020-06-16,"Commissioner Jenkins moved to adopt Ordinance 2020-9 amending the Weber County Code Sections §101-1-7 and §108-7 to add a definition of agricultural building, amend the definition of agricultural parcel, and include provisions for agricultural building exemptions; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06162020.pdf,pdf,,,2243,high,,,legislative/minutes/2020/2020-06-16_commission.md
2020-10,2020-07-28,"Commissioner Jenkins moved to adopt Ordinance 2020-10 amending the Weber County zoning map by rezoning approximately 4.59 acres from RE-15 zone to R-1-12 at approximately 6224 S 2225 E, that with prices increasing as they are it is within reason to rezone to R-1-12; Chair Froerer seconded",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_07282020.pdf,pdf,,,2301,high,,,legislative/minutes/2020/2020-07-28_commission.md
2020-11,2020-08-04,"Commissioner Jenkins moved to adopt Ordinance 2020-11 amending Ogden Valley’s setback regulations of the CV-1 and CV-2 Zones, and additional language that supports creation of street-oriented commercial storefronts; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08042020.pdf,pdf,,,2310,high,,,legislative/minutes/2020/2020-08-04_commission.md
2020-12,2020-08-11,"Commissioner Jenkins moved to adopt Ordinance 2020-12 to amend Weber County Codes §104-7 and 108-7 to allow cultivation and processing of cannabis in the A-2 zones dated August 4, 2020 with the language, “No more than one cannabis production establishment is allowed to be in operation in the A-2 and",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08112020.pdf,pdf,,,,ambiguous,,2020-08-11#6; 2020-08-04#9,legislative/minutes/2020/2020-08-11_commission.md
2020-13,2020-08-11,Commissioner Harvey moved to approve contract with Parson Materials and Construction for asphalt paving at the Weber County Transfer Station; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_08112020.pdf,pdf,,,,ambiguous,Final Reading,2020-08-11#2(Final Reading),legislative/minutes/2020/2020-08-11_commission.md
2020-14,2020-09-22,Commissioner Jenkins moved to adopt Ordinance 2020-14 amending the Weber County Zoning Map to rezone 4.7 acres of land located at approximately 4706 East 2650 North (Clark Lane) from AV-3 Zone to the CV-2 Zone; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09222020.pdf,pdf,,,2358,high,,,legislative/minutes/2020/2020-09-22_commission.md
2020-15,2020-09-22,"Commissioner Harvey moved to adopt Ordinance 2020-15 amending the Weber County Zoning Map to rezone approximately 3.35 acres of land located at 4708 East, 4736 East, and 4770 East, 2650 N. (Clark Lane) from the AV-3 Zone to the CV-2 Zone; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09222020.pdf,pdf,,,2359,high,,,legislative/minutes/2020/2020-09-22_commission.md
2020-16,2020-09-22,"Commissioner Jenkins moved to adopt Ordinance 2020-16 amending the Weber County Code sections §102- 1-5 and §102-5 regarding rezoning procedures and legislative amendments, and also creating a new chapter regarding development agreements, ZTA 2018-05; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09222020.pdf,pdf,,,2364,high,,,legislative/minutes/2020/2020-09-22_commission.md
2020-17,2020-09-22,Commissioner Jenkins moved to adopt Ordinance 2020-17 amending the Weber County Zoning Map to rezone approximately 5.24 acres of land located at approximately 4735 Clark Lane (2650 N.) from the AV- 3 Zone to the CV-2 Zone (this is for both county shed property and the leased property); Commissioner ,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09222020.pdf,pdf,,,2365,high,,,legislative/minutes/2020/2020-09-22_commission.md
2020-18,2020-09-29,"Commissioner Jenkins moved to adopt Ordinance 2020-18 vacating a portion of Old Snowbasin Road, located at approximately 6213 E. Old Snowbasin Road, Huntsville; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09292020.pdf,pdf,,,2374,high,,,legislative/minutes/2020/2020-09-29_commission.md
2020-19,2020-09-29,Commissioner Jenkins moved to adopt Ordinance 2020-19 vacating a 10-foot public utility easement located along southwest lot line of Lot 1 of Highland Cove Estates Subdivision; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_09292020.pdf,pdf,,,2375,high,,,legislative/minutes/2020/2020-09-29_commission.md
2020-20,2020-12-08,Commissioner Jenkins moved to hold this item for a week or two for further review of accessory dwelling units; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12082020.pdf,pdf,,,,ambiguous,,2020-12-08#10,legislative/minutes/2020/2020-12-08_commission.md
2020-21,2020-12-15,Commissioner Jenkins moved to adopt Ordinance 2020-21 amending fees for the Construction and Demolition Landfill (Sec 16-2-9 Solid Waste Fees); Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12152020.pdf,pdf,,,2450,high,Final Reading,2020-12-15#4(First Reading),legislative/minutes/2020/2020-12-15_commission.md
2020-22,2020-12-15,Commissioner Harvey moved to adopt Ordinance 2020-22 amending certain fees for the Peery’s Egyptian Theater and the Ogden Eccles Conference Center; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12152020.pdf,pdf,,,2457,high,Final Reading,,legislative/minutes/2020/2020-12-15_commission.md
2020-23,2020-12-15,Commissioner Jenkins moved to adopt Ordinance 2020-23 amending the Weber County Land Use Code adding a height limit for weeds and turf grasses; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12152020.pdf,pdf,,,2463,high,,,legislative/minutes/2020/2020-12-15_commission.md
2020-24,2020-12-15,Commissioner Jenkins moved to adopt Ordinance 2020-24 amending the Weber County Land Use Code to create standards for storage units in the commercial zones and other clerical edits; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12152020.pdf,pdf,,,2464,high,,,legislative/minutes/2020/2020-12-15_commission.md
2020-25,2020-12-22,"Commissioner Jenkins moved to adopt Ordinance 2020-25, final reading of an ordinance amending Title 12, Building Regulations and Site Permits, of the Weber County Code; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12222020.pdf,pdf,,,2467,high,Final Reading,,legislative/minutes/2020/2020-12-22_commission.md
2020-26,2020-12-22,"Commissioner Jenkins moved to adopt Ordinance 2020-26, final reading of an ordinance granting a non- exclusive franchise to All West/Utah, Inc., for the purpose of installing, operating, and maintaining a communications system within the public rights of way of Weber County; Commissioner Harvey seco",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12222020.pdf,pdf,,,2468,high,Final Reading,2020-12-22#5(Second Reading),legislative/minutes/2020/2020-12-22_commission.md
2020-27,2020-12-22,"Commissioner Jenkins moved to adopt Ordinance 2020-27 adopting accessory dwelling unit regulations and standards in the Weber County Land Use Code, and related ordinance amendments; Commissioner Harvey seconded",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12222020.pdf,pdf,,,2474,high,,,legislative/minutes/2020/2020-12-22_commission.md
2020-28,2020-12-22,"Commissioner Jenkins moved to adopt Ordinance 2020-28 rezoning 4.57 acres located at approximately 2137 North 5500 East, Eden, from the AV-3 Zone to the CV-2 Zone; Commissioner Harvey seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_12222020.pdf,pdf,,,2478,high,,,legislative/minutes/2020/2020-12-22_commission.md
2021-1,2021-01-19,Commissioner Jenkins moved to adopt Ordinance 2021-1 vacating a 10-foot public utility easement located on the north and west side of Lot 2 of Drysdale Subdivision Phase 2 (File #EV2020-03); Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_01192021.pdf,pdf,,,2510,high,,,legislative/minutes/2021/2021-01-19_commission.md
2021-2,2021-02-02,"Commissioner Froerer moved to adopt Ordinance 2021-2, amendment to an ordinance amending certain ordinances and repealing Ordinance 30-3-11; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02022021.pdf,pdf,,,2524,high,,,legislative/minutes/2021/2021-02-02_commission.md
2021-3,2021-02-16,Commissioner Jenkins moved to approve the contract with Laurie Shingle for transcription services; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02162021.pdf,pdf,,,,ambiguous,Final Reading,2021-02-16#2(Final Reading),legislative/minutes/2021/2021-02-16_commission.md
2021-4,2021-02-16,"Commissioner Froerer moved to adopt Ordinance 2021-4 vacating several public utility easements located on lots of the Uintah Highlands Subdivisions No. 6 & No. 7, as recommended by staff; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_02162021.pdf,pdf,,,2543,high,,,legislative/minutes/2021/2021-02-16_commission.md
2021-5,2021-03-23,Commissioner Froerer moved to adopt Ordinance 2021-5 authorizing the seasonal closure of Avon Pass Road and Ant Flat Road; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03232021.pdf,pdf,,,2567,high,Second Reading,,legislative/minutes/2021/2021-03-23_commission.md
2021-6,2021-03-23,"Commissioner Froerer moved to adopt Ordinance 2021-6 adopting a Master Planned Development Overlay Zone and repealing the Planned Residential Unit Development, as well as minor clerical edits and administrative code; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03232021.pdf,pdf,,,2582,high,,,legislative/minutes/2021/2021-03-23_commission.md
2021-7,2021-03-23,Commissioner Jenkins moved to adopt Ordinance 2021-7 vacating the 10-foot public utility easements located on both sides of the lot line between lots 63 and 64 of Durfee Creek Estates Number 2C – Ordinance 2021-7; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_03232021.pdf,pdf,,,2583,high,,,legislative/minutes/2021/2021-03-23_commission.md
2021-8,2021-04-06,"Commissioner Jenkins moved to adopt Ordinance 2021-8 vacating a 20-foot wide public utility easement approximately 512.93’ from the front property line along the eastern boundary of lot 1, Weber Industrial Park Plat A, Lot 8, Amended; Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_04062021.pdf,pdf,,,2602,high,,,legislative/minutes/2021/2021-04-06_commission.md
2021-9,2021-04-20,Commissioner Jenkins moved to adopt Ordinance 2021-9 terminating and dissolving certain redevelopment project; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_04202021.pdf,pdf,,,2613,high,,,legislative/minutes/2021/2021-04-20_commission.md
2021-10,2021-05-04,"Commissioner Jenkins moved to adopt Ordinance 2021-10, final reading of an ordinance amending fees for the Weber County Transfer Station (Sec 16-2-9 Solid Waste Fees); Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05042021.pdf,pdf,,,2619,high,Final Reading,,legislative/minutes/2021/2021-05-04_commission.md
2021-11,2021-05-04,Commissioner Jenkins moved to adopt Resolution 19-2021 approving amendments to the Operating and Capital Budgets for the Weber County 2021 calendar year; Commissioner Froerer seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05042021.pdf,pdf,,,,ambiguous,,2021-05-04#13,legislative/minutes/2021/2021-05-04_commission.md
2021-12,2021-05-04,Commissioner Froerer moved to adopt Ordinance 2021-12 vacating the 10-foot public utility easement located on the shared lot between lots 2 and 3 of Sun Dance Ridge Subdivision; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05042021.pdf,pdf,,,2630,high,,,legislative/minutes/2021/2021-05-04_commission.md
2021-13,2021-06-01,"Commissioner Froerer moved to adopt Ordinance 2021-13, final reading to update and clarify campaign finance reporting for county and school board candidates; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06012021.pdf,pdf,,,2662,high,Final Reading,2021-05-11#6(Final Reading),legislative/minutes/2021/2021-06-01_commission.md
2021-14,2021-06-01,"Commissioner Jenkins moved to adopt Ordinance 2021-14 vacating 5 feet of a 10-foot public utility easement, located along parcel D6, Summit Eden Phase 1D, Amendment. (EV2021-05); Commissioner Froerer seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06012021.pdf,pdf,,,2665,high,,2021-05-11#9,legislative/minutes/2021/2021-06-01_commission.md
2021-15,2021-06-01,"Commissioner Froerer moved to adopt Ordinance 2021-15 vacating a portion of the Old Snowbasin Road, located at approximately 6213 Old Snowbasin Road in Huntsville; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_06012021.pdf,pdf,,,2666,high,,2021-05-11#10,legislative/minutes/2021/2021-06-01_commission.md
2021-16,2021-05-25,Commissioner Froerer moved to adopt Ordinance 2021-16 to allow the use of a gun range and training course by conditional use permit in the Manufacturing M-3 Zone; Commissioner Harvey seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05252021.pdf,pdf,,,2653,high,,,legislative/minutes/2021/2021-05-25_commission.md
2021-17,2021-05-25,"Commissioner Jenkins moved to adopt Ordinance 2021-17, an amendment to the culinary and second",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05252021.pdf,pdf,,,2654,high,,,legislative/minutes/2021/2021-05-25_commission.md
2021-18,2021-05-25,Commissioner Froerer moved to adopt Ordinance 2021-18 amending the subdivision ordinance to allow or require private streets in certain circumstances; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_05252021.pdf,pdf,,,2655,high,,,legislative/minutes/2021/2021-05-25_commission.md
2021-22,2021-07-06,"Commissioner Froerer moved to approve the final reading of Ordinance 2021-22, amending fees for the Ogden Eccles Conference Center and Peery’s Egyptian Theater; Commissioner Jenkins seconded.",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_07062021.pdf,pdf,,,2692,high,Final Reading,,legislative/minutes/2021/2021-07-06_commission.md
2021-23,2021-11-09,"Commissioner Jenkins moved to approve of amendments to Ordinance 2021-23 of the County Commissioners of Weber County amending various sections of the county’s subdivision ordinance to encourage public street connectivity, to provide related amendments regarding the provision of street and lot develo",,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_11092021.pdf,pdf,,,2793,high,,2021-07-06#9; 2021-07-06#7,legislative/minutes/2021/2021-11-09_commission.md
2021-26,2021-10-19,Commissioner Froerer moved to approve Weber County Policy on Expressive Activity Restrictions; Commissioner Jenkins seconded.,,adopted,https://www.webercountyutah.gov/commission/documents/minutes/min_10192021.pdf,pdf,,,,ambiguous,Final Reading,2021-10-19#3(Final Reading),legislative/minutes/2021/2021-10-19_commission.md
