ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,code_section,adoption_date_raw,codified,linkage_note,minutes_source
2025-02,2025-01-22,2025-01-22,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,1-22-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-04,2025-02-12,2025-02-12,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,2-12-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-05,2025-03-12,2025-03-12,Short-term rentals; correcting technical errors,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,2025-03-12,3,low,4.04.010 — 4.04.060,3-12-2025,yes,recorded ordinance-adopting motion on this date; specific ordinance unconfirmed (motion text truncated at item title),meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
2025-06,2025-03-12,2025-03-12,Standard road profile for Haven Avenue,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,2025-03-12,4,medium,17.10.120,3-12-2025,yes,cited code section matches motion text,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
2025-07,2025-03-26,2025-03-26,Compensation for civilian review board members,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,2.070.030 G.,3-26-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-08,2025-03-26,2025-03-26,Compensation rate for CRB members,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,3-26-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-09,2025-04-23,2025-04-23,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,4-23-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-10,2025-04-23,2025-04-23,Land use and development,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,4-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-11,2025-04-23,2025-04-23,Abandonment of right-of-way,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,4-23-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-13,2025-05-28,2025-05-28,Vacation of subdivision,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,5-28-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-14,2025-05-28,2025-05-28,Adoption of amended and updated impact fee facilities plan and impact fee analysis,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,5-28-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-16,2025-05-28,2025-05-28,Impact fees for wastewater collection system,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,15.01.030 D.2.,5-28-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-17,2025-05-28,2025-05-28,Impact fees for wastewater collection system,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.040 B.,5-28-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-31,2025-06-11,2025-06-11,Modify culinary water utility fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 A.,6-11-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-32,2025-07-09,2025-07-09,"Land use and development, implement new HT overlay district",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.03.185,7- 9-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-33,2025-07-23,2025-07-23,"Create transportation utility, implement transportation utility fees, establish transportation utility enterprise fund",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,12.30.010 — 12.30.070,7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-34,2025-07-23,2025-07-23,Set rate for transportation utility fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 G.,7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-35,2025-07-23,2025-07-23,Modify police department fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.070,7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-36,2025-07-23,2025-07-23,Modify general fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.020 A.(Table),7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-37,2025-07-23,2025-07-23,Modify city recorder fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.060 C.(Table),7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-38,2025-07-23,2025-07-23,"Land use and development, CF overlay district",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.03.010,7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-39,2025-07-23,2025-07-23,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,7-23-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-40,2025-07-23,2025-07-23,"Land use and development, update commercial neighborhood land use district",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.03.070,7-23-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-41,2025-08-13,2025-08-13,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,8-13-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-43,2025-08-27,2025-08-27,Disposal of surplus city personal property,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,"3.16.010 — 3.16.030 ,",8-27-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-44,2025-08-27,2025-08-27,Modify animal services fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.010,8-27-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-45,2025-08-27,2025-08-27,Modify parks and community center fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.110,8-27-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-46,2025-09-10,2025-09-10,Reflect legislative developments and ensure compliance with city's municipal separate storm sewer system permit,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Ch. 13.25,9-10-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2024-47,2025-10-15,2025-10-15,"Establish definition of luxury vehicle, amend definition of automotive restoration, and amend land use matrix for business park district",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,10-15-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-48,2025-10-29,2025-10-29,Zoning map,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,Not included,10-29-2025,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-49,2025-10-29,2025-10-29,Modify general fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.020 C.,10-29-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2025-50,2025-10-29,2025-10-29,Adjust household waste and recyclable waste container fees,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,3.11.100 F.,10-29-2025,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2026-01,2026-01-14,2026-01-14,Update definitions and make technical changes,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,12.30.020,1-14-2026,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2026-02,2026-01-28,2026-01-28,"Authorize dwelling, micro-unit conditional land use",https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,yes,,,,none,17.01.010,1-28-2026,yes,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
2026-03,2026-01-28,2026-01-28,Amending exhibit B of ordinance 2025-11,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,"parsed Municode COCOTADILI comparative table (api.municode.com, born-digital)",raw/municode_cocotadili_comparative_table.json,no,,,,none,Not included,1-28-2026,no,no recorded ordinance-adopting motion on this date (coverage cliff: council minutes largely unpublished 2021-mid..2025),
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,10,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,11,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,12,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,5-2 Pass,2026-06-17,13,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,An Ordinance of the South Salt Lake City Council Adopting a Final Tax Rate for the,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,14,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,An Ordinance of the South Salt Lake City Council Adopting a Proposed Tax Rate for the,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,4-3 Pass,2026-06-17,15,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,16,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,Council Action to Adopt and Operate on Each Fund Budget of the Fiscal Year 2026-,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,3,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,4-3 Pass,2026-06-17,4,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,5,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,6,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,7,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,8,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
,2026-06-17,2026-06-17,motion to approve the Ordinance,https://library.municode.com/ut/south_salt_lake/codes/code_of_ordinances?nodeId=COCOTADILI,2026-07-13,json,derived from meeting_minutes/all_votes.csv motion text,raw/municode_cocotadili_comparative_table.json,no,7-0 Pass,2026-06-17,9,within_source,,,no,adopted after Municode codification cutoff (2026-01-28); known only from recorded minutes; un-numbered FY2026-27 budget/tax ordinance,meeting_minutes/all_votes.csv (SSL recorded PMN minutes)
