ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,pmn_event_date,adoption_date_source,linkage_note
O23-10,2023-06-27,2023-06-27,"O23-10 AN ORDINANCE AMENDING SECTIONS 7.04.020 (SOLID WASTE), 13.08.010 (WATER), 13.32.130 (WASTEWATER), 13.48.060 (STORMWATER), AND 15.20.260 (POWER) OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE FINANCIAL STANDARDS OF THE SOLID WASTE, WATER, WASTEWA",https://www.utah.gov/pmn/files/996425.PDF,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-10_n843949_f996425.PDF,no,Motion passes 5-0,2023-06-27,7,medium,843949,https://www.utah.gov/pmn/sitemap/notice/843949.html,2023-06-27,pmn-event,
O23-11,2023-07-18,2023-07-18,O23-11 AN ORDINANCE AMENDING SECTION 17.16.010 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE APPOINTMENT OF HEARING OFFICERS FOR LAND USE APPEALS AND VARIANCES.,https://www.utah.gov/pmn/files/1006851.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-11_n850025_f1006851.pdf,yes,Motion passes 3-0,2023-07-18,3,medium,850025,https://www.utah.gov/pmn/sitemap/notice/850025.html,2023-07-18,pdf+calendar,
O23-12,2023-07-18,2023-07-18,"O23-12 AN ORDINANCE AMENDING SECTIONS 15.20.150, 15.20.170, 15.20.180, 15.20.190, 15.20.200, 15.20.210, 15.20.220, 15.20.230, AND 15.20.240 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO POWER RATE INCREASES AND CHANGES TO APPLICABLE ELECTRICAL SERVICE SCH",https://www.utah.gov/pmn/files/1006867.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-12_n850029_f1006867.pdf,no,,2023-07-18,,low,850029,https://www.utah.gov/pmn/sitemap/notice/850029.html,2023-07-18,pdf+calendar,
O23-13,2023-08-22,2023-08-22,"O23-13 AN ORDINANCE ADOPTING THE RATE OF TAX LEVIES FOR THE FISCAL YEAR COMMENCING JULY 1, 2023, AND ENDING JUNE 30, 2024.",https://www.utah.gov/pmn/files/1016291.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-13_n855447_f1016291.pdf,no,Motion passes 5-0,2023-08-22,2,medium,855447,https://www.utah.gov/pmn/sitemap/notice/855447.html,2023-08-22,pdf+calendar,
O23-15,2023-09-19,2023-09-19,O23-15 Amending 3.14.060 and 3.14.070 RE Impact Fee Adjustments,https://www.utah.gov/pmn/files/1026121.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-15_n860959_f1026121.pdf,no,Motion passes 5-0,2023-09-19,1,medium,860959,https://www.utah.gov/pmn/sitemap/notice/860959.html,2023-09-19,pmn-event,
O23-16,2023-09-19,2023-09-19,O23-16 Amending the City's Fiscal Year 2023-24 Budget,https://www.utah.gov/pmn/files/1026125.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-16_n860963_f1026125.pdf,no,,2023-09-19,,low,860963,https://www.utah.gov/pmn/sitemap/notice/860963.html,2023-09-19,pdf+calendar,
O23-17,2023-09-19,2023-09-19,O23-17 Amending 17.72.070 RE Parking Requirements for Beauty and Barber Shops,https://www.utah.gov/pmn/files/1026127.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-17_n860967_f1026127.pdf,yes,Motion passes 5-0,2023-09-19,2,medium,860967,https://www.utah.gov/pmn/sitemap/notice/860967.html,2023-09-19,pdf+calendar,
O23-18,2023-10-03,2023-10-03,O23-18 Amending 15.20.230 RE Electric Service Schedule 15 Voltage Discounts-Large Customers,https://www.utah.gov/pmn/files/1036109.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-18_n866393_f1036109.pdf,no,Motion passes 5-0,2023-10-03,4,medium,866393,https://www.utah.gov/pmn/sitemap/notice/866393.html,2023-10-03,pdf+calendar,
O23-19,2023-10-17,2023-10-17,O23-19 Amending Land Use located at 770 and 780 West 5300 South and 845 West Clover Meadow Drive,https://www.utah.gov/pmn/files/1038977.PDF,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-19_n868083_f1038977.PDF,yes,,2023-10-17,,low,868083,https://www.utah.gov/pmn/sitemap/notice/868083.html,2023-10-17,pdf+calendar,
O23-20,2023-10-17,2023-10-17,O23-20 Amending 3.10.110 RE Procurement Code for Minimal and Small Purchases,https://www.utah.gov/pmn/files/1038981.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O23-20_n868087_f1038981.pdf,no,Motion passes 4-0,2023-10-17,5,medium,868087,https://www.utah.gov/pmn/sitemap/notice/868087.html,2023-10-17,pdf+calendar,
O24-01,2024-01-02,2024-01-02,O24-01 AN ORDINANCE AMENDING SECTIONS 15.24.010 AND 15.24.020 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE INTERNATIONAL FIRE CODE AND COLLECTED PERMIT FEES,https://www.utah.gov/pmn/files/1070545.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-01_n885863_f1070545.pdf,no,Motion passed: 5-0,2024-01-02,3,medium,885863,https://www.utah.gov/pmn/sitemap/notice/885863.html,2024-01-02,pdf+calendar,
O24-02,2024-01-16,2024-01-16,O24-02 Amending Section 16 regarding Subdivision Approval Procedures,https://www.utah.gov/pmn/files/1075189.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-02_n888253_f1075189.pdf,yes,Motion passed: 4-1,2024-01-16,2,medium,888253,https://www.utah.gov/pmn/sitemap/notice/888253.html,2024-01-16,pdf+calendar,
O24-03,2024-02-06,2024-02-06,O24-03 Amending 17.152.020 and 17.152.030 M-G Zone Allowing Land Use No. 6600 as Permitted Use Instead of Conditional Use,https://www.utah.gov/pmn/files/1089341.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-03_n895277_f1089341.pdf,yes,,2024-02-06,,low,895277,https://www.utah.gov/pmn/sitemap/notice/895277.html,2024-02-06,pdf+calendar,
O24-04,2024-02-06,2024-02-06,Ordinance O24-04 - An Ordinance Amending the City's Fiscal Year 2023-2024 Budget,https://www.utah.gov/pmn/files/1087285.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-04_n894369_f1087285.pdf,no,Motion passed: 5-0,2024-02-06,3,medium,894369,https://www.utah.gov/pmn/sitemap/notice/894369.html,2024-02-06,pdf+calendar,
O24-05,2024-02-20,2024-02-20,O24-05 Amending 3.10.410 RE Procurement Code Change Orders,https://www.utah.gov/pmn/files/1089347.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-05_n895281_f1089347.pdf,no,,2024-02-20,,low,895281,https://www.utah.gov/pmn/sitemap/notice/895281.html,2024-02-20,pdf+calendar,
O24-06,2024-03-19,2024-03-19,Ordinance O24-06  - AN ORDINANCE AMENDING SECTION 3.14.110 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO WASTEWATER SYSTEM IMPACT FEES.,https://www.utah.gov/pmn/files/1102369.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-06_n902275_f1102369.pdf,no,Motion passed: 5-0,2024-03-19,4,medium,902275,https://www.utah.gov/pmn/sitemap/notice/902275.html,2024-03-19,pdf+calendar,
O24-07,2024-04-02,2024-04-02,O24-07 Amending the City's FY 2023-2024 Budget,https://www.utah.gov/pmn/files/1107427.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-07_n905047_f1107427.pdf,no,Motion failed: 2-3,2024-04-02,3,medium,905047,https://www.utah.gov/pmn/sitemap/notice/905047.html,2024-04-02,pmn-event,
O24-08,2024-05-07,2024-05-07,O24-08 AN ORDINANCE RELATING TO LAND USE; 1177 West Bullion Street,https://www.utah.gov/pmn/files/1124549.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-08_n914869_f1124549.pdf,yes,Motion passed: 4-1,2024-05-07,2,medium,914869,https://www.utah.gov/pmn/sitemap/notice/914869.html,2024-05-07,pdf+calendar,
O24-09,2024-05-07,2024-05-07,O24-09 AN ORDINANCE RELATING TO LAND USE; Adopting the Murray City Center District (MCCD) Strategic Area Plan,https://www.utah.gov/pmn/files/1124551.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-09_n914871_f1124551.pdf,yes,Motion passed: 4-1,2024-05-07,3,medium,914871,https://www.utah.gov/pmn/sitemap/notice/914871.html,2024-05-07,pdf+calendar,
O24-10,2024-06-04,2024-06-04,O24-10 - AN ORDINANCE ADOPTING THE TRANSFER OF MONIES FROM ENTERPRISE FUNDS TO OTHER CITY FUNDS,https://www.utah.gov/pmn/files/1135345.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-10_n921131_f1135345.pdf,no,,2024-06-04,,low,921131,https://www.utah.gov/pmn/sitemap/notice/921131.html,2024-06-04,pdf+calendar,
O24-11,2024-06-04,2024-06-04,O24-11 ORDINANCE APPROVING AND ADOPTING COMPENSATION INCREASES FOR THE EXECUTIVE MUNICIPAL OFFICERS OF THE CITY FOR FISCAL YEAR 2024-2025.,https://www.utah.gov/pmn/files/1135347.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-11_n921133_f1135347.pdf,no,Motion passed: 4-0,2024-06-04,4,medium,921133,https://www.utah.gov/pmn/sitemap/notice/921133.html,2024-06-04,pdf+calendar,
O24-12,2024-06-04,2024-06-04,"O24-12 AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM R-1-8 (SINGLE FAMILY LOW DENSITY) TO R-1-6 (SINGLE FAMILY LOW/MEDIUM DENSITY) FOR THE PROPERTIES LOCATED AT 5991 AND 6001 SOUTH BELVIEW AVENUE, MURRAY CITY",https://www.utah.gov/pmn/files/1135349.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-12_n921135_f1135349.pdf,yes,Motion passed: 3-1,2024-06-04,5,medium,921135,https://www.utah.gov/pmn/sitemap/notice/921135.html,2024-06-04,pdf+calendar,
O24-13,2024-06-18,2024-06-18,"O24-13 AN ORDINANCE ...AMENDS THE ZONING MAP FROM C-D (COMMERCIAL DEVELOPMENT) TO R-M-20 (MULTIPLE FAMILY HIGH DENSITY RESIDENTIAL) FOR THE PROPERTY LOCATED AT 5425 SOUTH VINE STREET, MURRAY CITY",https://www.utah.gov/pmn/files/1140061.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-13_n923675_f1140061.pdf,yes,Motion passed: 3-0,2024-06-18,3,medium,923675,https://www.utah.gov/pmn/sitemap/notice/923675.html,2024-06-18,pdf+calendar,
O24-14,2024-06-18,2024-06-18,O24-14 Amending the City's Fiscal Year 2023-2024 Budget,https://www.utah.gov/pmn/files/1140291.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-14_n923791_f1140291.pdf,no,Motion passed: 3-0,2024-06-18,4,medium,923791,https://www.utah.gov/pmn/sitemap/notice/923791.html,2024-06-18,pdf+calendar,
O24-15,2024-07-16,2024-07-16,"O24-15 Land Use, Amending 1151 East 6600 South from R-1-8 to R-2-10",https://www.utah.gov/pmn/files/1151881.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-15_n930265_f1151881.pdf,yes,Motion passed: 5-0,2024-07-16,2,medium,930265,https://www.utah.gov/pmn/sitemap/notice/930265.html,2024-07-16,pdf+calendar,
O24-16,2024-07-16,2024-07-16,"O24-16 Land Use, Amending Plan to Adopt the Murray North Station Area Plan",https://www.utah.gov/pmn/files/1151885.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-16_n930267_f1151885.pdf,yes,Motion passed: 5-0,2024-07-16,3,medium,930267,https://www.utah.gov/pmn/sitemap/notice/930267.html,2024-07-16,pdf+calendar,
O24-17,2024-07-23,2024-07-23,O24-17 AN ORDINANCE ESTABLISHING A TEMPORARY LAND USE REGULATION PURSUANT TO UTAH CODE ANNOTATED SECTION 10-9A-504 RELATING TO SHORT TERM RENTALS.,https://www.utah.gov/pmn/files/1151891.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-17_n930269_f1151891.pdf,yes,Motion passed: 5-0,2024-07-23,5,medium,930269,https://www.utah.gov/pmn/sitemap/notice/930269.html,2024-07-23,pdf+calendar,
O24-18,2024-08-06,2024-08-06,O24-18 AN ORDINANCE AMENDING SECTION 2.62.120 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO EMPLOYEE HOLIDAY VACATIONS,https://www.utah.gov/pmn/files/1158504.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-18_n934072_f1158504.pdf,yes,Motion passed: 4-1,2024-08-06,5,medium,934072,https://www.utah.gov/pmn/sitemap/notice/934072.html,2024-06-06,pdf+calendar,
O24-19,2024-08-13,2024-08-13,"O24-19 AN ORDINANCE ADOPTING THE RATE OF TAX LEVIES FOR THE FISCAL YEAR COMMENCING JULY 1, 2024, AND ENDING JUNE 30, 2025",https://www.utah.gov/pmn/files/1158514.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-19_n934078_f1158514.pdf,no,Motion passed: 4-0,2024-08-13,2,medium,934078,https://www.utah.gov/pmn/sitemap/notice/934078.html,2024-08-13,pdf+calendar,
O24-20,2024-08-13,2024-08-13,O24-20 AN ORDINANCE ADOPTING THE FINAL 2024-2025 FISCAL YEAR BUDGETS FOR MURRAY CITY INCLUDING THE LIBRARY FUND BUDGET,https://www.utah.gov/pmn/files/1158520.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-20_n934080_f1158520.pdf,no,Motion passed: 4-0,2024-08-13,3,medium,934080,https://www.utah.gov/pmn/sitemap/notice/934080.html,2024-08-13,pdf+calendar,
O24-22,2024-09-01,2024-09-01,"O24-22 AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM A-1 (AGRICULTURAL) TO R-1-8 (SINGLE FAMILY LOW-DENSITY) FOR THE PROPERTY LOCATED AT 5712 SOUTH 800 WEST, MURRAY CITY",https://www.utah.gov/pmn/files/1171969.pdf,2026-07-13,text,pdftotext -layout (born-digital PDF),raw/O24-22_n941141_f1171969.pdf,yes,Motion passed: 5-0,2024-09-10,5,medium,941141,https://www.utah.gov/pmn/sitemap/notice/941141.html,2024-09-10,pdf-only,linked via PMN event date 2024-09-10; sidecar date 2024-09-01
O24-21,2024-09-10,2024-09-10,"O24-21 AN ORDINANCE RELATING TO LAND USE; AMENDS THE GENERAL PLAN FROM OFFICE TO LOW DENSITY RESIDENTIAL AND AMENDS THE ZONING MAP FROM G-O (GENERAL OFFICE) TO R-1-8 (LOW DENSITY SINGLE FAMILY) FOR THE PROPERTY LOCATED AT 5172 SOUTH 935 EAST, MURRAY CITY",https://www.utah.gov/pmn/files/1171971.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-21_n941143_f1171971.pdf,yes,Motion passed: 5-0,2024-09-10,4,medium,941143,https://www.utah.gov/pmn/sitemap/notice/941143.html,2024-09-10,pdf+calendar,
O24-23,2024-09-17,2024-09-17,O24-23 AN ORDINANCE AMENDING THE CITYS FISCAL YEAR 2024-2025 BUDGET,https://www.utah.gov/pmn/files/1172961.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-23_n941631_f1172961.pdf,no,Motion passed: 4-0,2024-09-17,3,medium,941631,https://www.utah.gov/pmn/sitemap/notice/941631.html,2024-09-17,pdf+calendar,
O24-24,2024-10-15,2024-10-15,"O24-24 AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM R-1-8 (SINGLE FAMILY LOW-DENSITY) TO R-N-B (RESIDENTIAL NEIGHBORHOOD BUSINESS) FOR THE PROPERTY LOCATED AT 323 EAST WINCHESTER STREET, MURRAY CITY",https://www.utah.gov/pmn/files/1186969.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-24_n948951_f1186969.pdf,yes,Motion passed: 5-0,2024-10-15,2,medium,948951,https://www.utah.gov/pmn/sitemap/notice/948951.html,2024-10-15,pdf+calendar,
O24-25,2024-11-12,2024-11-12,O24-25 AN ORDINANCE AMENDING SECTIONS 17.64.020 AND 17.64.090 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO RESIDENTIAL FENCING REGULATIONS AND SETBACKS AND FENCING BETWEEN RESIDENTIAL AND NON-RESIDENTIAL ZONING DISTRICTS,https://www.utah.gov/pmn/files/1194911.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-25_n953411_f1194911.pdf,yes,Motion passed: 5-0,2024-11-12,2,medium,953411,https://www.utah.gov/pmn/sitemap/notice/953411.html,2024-11-12,pmn-event,
O24-26,2024-11-19,2024-11-19,"O24-26 Amending 17.48.040, 17.78.050, 17.78.090 RE Detached Accessory Dwelling Units",https://www.utah.gov/pmn/files/1201723.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-26_n956783_f1201723.pdf,yes,Motion passed: 3-0,2024-11-19,3,medium,956783,https://www.utah.gov/pmn/sitemap/notice/956783.html,2024-11-19,pdf+calendar,
O24-27,2024-11-19,2024-11-19,O24-27 Amending 17.48.040 and 17.48.200 RE Screen Signs in Commercial and Manufacturing Zone,https://www.utah.gov/pmn/files/1201727.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-27_n956787_f1201727.pdf,yes,Motion passed: 3-0,2024-11-19,4,medium,956787,https://www.utah.gov/pmn/sitemap/notice/956787.html,2024-11-19,pdf+calendar,
O24-28,2024-11-19,2024-11-19,O24-28 Amending 17.170.120 RE Height Regulations in MCCD,https://www.utah.gov/pmn/files/1201731.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-28_n956791_f1201731.pdf,yes,Motion passed: 3-0,2024-11-19,5,medium,956791,https://www.utah.gov/pmn/sitemap/notice/956791.html,2024-11-19,pdf+calendar,
O24-29,2024-11-19,2024-11-19,"O24-29 Amending 2.10.030, 2.23.010 RE Duties of Risk Management and Human Resources",https://www.utah.gov/pmn/files/1201733.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-29_n956793_f1201733.pdf,no,Motion passed: 3-0,2024-11-19,6,medium,956793,https://www.utah.gov/pmn/sitemap/notice/956793.html,2024-11-19,pdf+calendar,
O24-30,2024-12-03,2024-12-03,O24-30 AN ORDINANCE ENACTING SECTION 17.76.190 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO RESIDENTIAL SHORT-TERM RENTALS,https://www.utah.gov/pmn/files/1209213.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-30_n960891_f1209213.pdf,yes,Motion passed: 4-1,2024-12-03,4,medium,960891,https://www.utah.gov/pmn/sitemap/notice/960891.html,2024-12-03,pdf+calendar,
O24-31,2024-12-03,2024-12-03,O24-31 AN ORDINANCE AMENDING SECTIONS 12.28.030 AND 12.28.040 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO GOLF COURSE FEES.,https://www.utah.gov/pmn/files/1209215.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-31_n960893_f1209215.pdf,no,Motion Passed: 5-0,2024-12-03,5,medium,960893,https://www.utah.gov/pmn/sitemap/notice/960893.html,2024-12-03,pdf+calendar,
O24-32,2024-12-03,2024-12-03,O24-32 AN ORDINANCE ANNEXING REAL PROPERTY LOCATED BETWEEN APPROXIMATELY VAN WINKLE EXPRESSWAY TO 900 EAST AND 4800 SOUTH TO THE BOUNDARY OF MURRAY CITY AT 4840-4890 SOUTH.,https://www.utah.gov/pmn/files/1209217.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-32_n960895_f1209217.pdf,yes,Motion Passed: 5-0,2024-12-03,6,medium,960895,https://www.utah.gov/pmn/sitemap/notice/960895.html,2024-12-03,pdf+calendar,
O24-32,2024-12-03,2024-12-03,O24-32 AN ORDINANCE ANNEXING REAL PROPERTY LOCATED BETWEEN APPROXIMATELY VAN WINKLE EXPRESSWAY TO 900 EAST AND 4800 SOUTH TO THE BOUNDARY OF MURRAY CITY AT 4840-4890 SOUTH.,https://www.utah.gov/pmn/files/1213943.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-32_n960895_f1213943.pdf,yes,Motion Passed: 5-0,2024-12-03,6,medium,960895,https://www.utah.gov/pmn/sitemap/notice/960895.html,2024-12-03,pdf+calendar,
O25-01,2025-01-21,2025-01-21,O25-01 - AN ORDINANCE AMENDING THE CITYS FISCAL YEAR 2024-2025 BUDGET,https://www.utah.gov/pmn/files/1225979.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-01_n970309_f1225979.pdf,no,Motion passed: 5-0,2025-01-21,1,medium,970309,https://www.utah.gov/pmn/sitemap/notice/970309.html,2025-01-21,pmn-event,date has 2 minutes documents; motion_no is in minutes/2025/2025-01-20/2025-01-21_city-council-meeting-adid7985.md
O25-02,2025-02-04,2025-02-04,O25-02 AN ORDINANCE AMENDING SECTION 17.12.070 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO COMPENSATION FOR PLANNING COMMISSION MEMBERS,https://www.utah.gov/pmn/files/1231069.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-02_n973117_f1231069.pdf,yes,Motion passed: 5-0,2025-02-04,3,medium,973117,https://www.utah.gov/pmn/sitemap/notice/973117.html,2025-02-04,pdf+calendar,
O25-03,2025-02-18,2025-02-18,O25-03 AN ORDINANCE RELATING TO LAND USE; AMENDS THE GENERAL PLAN FROM OFFICE TO HIGH DENSITY RESIDENTIAL AND AMENDS THE ZONING MAP FROM G-O (GENERAL OFFICE) TO R-M-25 (MULTI-FAMILY HIGH DENSITY RESIDENTIAL) FOR THE PROPERTY LOCATED AT 825-865 EAST 4800 S,https://www.utah.gov/pmn/files/1238715.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-03_n976907_f1238715.pdf,yes,Motion passed: 4-1,2025-02-18,3,medium,976907,https://www.utah.gov/pmn/sitemap/notice/976907.html,2025-02-18,pdf+calendar,
O25-04,2025-03-04,2025-03-04,O25-04 AN ORDINANCE AMENDING SECTION 3.14.110 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO WATER SYSTEM IMPACT FEES,https://www.utah.gov/pmn/files/1243285.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-04_n979297_f1243285.pdf,no,Motion passed: 5-0,2025-03-04,4,medium,979297,https://www.utah.gov/pmn/sitemap/notice/979297.html,2025-03-04,pdf+calendar,
O25-05,2025-03-04,2025-03-04,O25-05 AN ORDINANCE AMENDING SECTION 13.08.020 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO METERED WATER RATES FOR THE CITY.,https://www.utah.gov/pmn/files/1243289.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-05_n979301_f1243289.pdf,no,Motion passed: 5-0,2025-03-04,5,medium,979301,https://www.utah.gov/pmn/sitemap/notice/979301.html,2025-03-04,pdf+calendar,
O25-06,2025-03-04,2025-03-04,O25-06 AN ORDINANCE AMENDING SECTION 13.08.080 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MINIMUM SIZE OF WATER SERVICE PIPES,https://www.utah.gov/pmn/files/1243291.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-06_n979303_f1243291.pdf,no,Motion passed: 5-0,2025-03-04,6,medium,979303,https://www.utah.gov/pmn/sitemap/notice/979303.html,2025-03-04,pdf+calendar,
O25-07,2025-03-04,2025-03-04,O24-07 AN ORDINANCE ENACTING SECTION 13.08.025 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO A NEW CONSTRUCTION WATER METER AND AMI EQUIPMENT FEE SCHEDULE,https://www.utah.gov/pmn/files/1243295.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O24-07_n979307_f1243295.pdf,no,Motion passed: 5-0,2025-03-04,7,medium,979307,https://www.utah.gov/pmn/sitemap/notice/979307.html,2025-03-04,pdf+calendar,PMN notice title mislabels this as O24-07; signed document prints ORDINANCE NO. 25-07 (adoption year 2025-03-04) - document number used
O25-08,2025-03-04,2025-03-04,O25-08 AN ORDINANCE AMENDING SECTION 13.32.060 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO MONTHLY SERVICE CHARGES FOR USERS OF THE SEWER SYSTEM,https://www.utah.gov/pmn/files/1243297.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-08_n979311_f1243297.pdf,no,Motion passed: 5-0,2025-03-04,8,medium,979311,https://www.utah.gov/pmn/sitemap/notice/979311.html,2025-03-04,pdf+calendar,
O25-09,2025-03-18,2025-03-18,O25-09 AN ORDINANCE ENACTING CHAPTER 3.58 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO DONATIONS AND SPONSORSHIPS.,https://www.utah.gov/pmn/files/1252141.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-09_n983929_f1252141.pdf,no,Motion passed: 4-0,2025-03-18,3,medium,983929,https://www.utah.gov/pmn/sitemap/notice/983929.html,2025-03-18,pdf+calendar,
O25-10,2025-03-18,2025-03-18,O25-10 AN ORDINANCE ENACTING CHAPTER 3.60 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO FEES FOR USE OF PRESERVING THE MURRAY CITY THEATER AND MURRAY PARK AMPHITHEATER.,https://www.utah.gov/pmn/files/1252143.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-10_n983931_f1252143.pdf,no,Motion passed: 4-0,2025-03-18,4,medium,983931,https://www.utah.gov/pmn/sitemap/notice/983931.html,2025-03-18,pdf+calendar,
