session,bill_no,title,sponsor,relevance,bill_url
2016GS,HB0463,Personal Representative Amendments,"Rep. Froerer, G.",,https://le.utah.gov/~2016/bills/static/HB0463.html
2016GS,HB0464,Public Lands Wildfire Study,"Rep. Ivory, K.",,https://le.utah.gov/~2016/bills/static/HB0464.html
2016GS,HB0465,Expungement Act Amendments,"Rep. Hutchings, E.",,https://le.utah.gov/~2016/bills/static/HB0465.html
2016GS,HB0466,Renewable Energy Systems Tax Credit Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2016/bills/static/HB0466.html
2016GS,HB0467,Occupational Licensing Amendments,"Rep. Thurston, N.",,https://le.utah.gov/~2016/bills/static/HB0467.html
2016GS,HB0468,Public Utility Regulatory Restricted Account Amendments,"Rep. Pitcher, D.",,https://le.utah.gov/~2016/bills/static/HB0468.html
2016GS,HB0469,Divorce Amendments,"Rep. Lifferth, D.",,https://le.utah.gov/~2016/bills/static/HB0469.html
2016GS,HB0470,Criteria for Determination of Alimony,"Rep. Daw, B.",,https://le.utah.gov/~2016/bills/static/HB0470.html
2016GS,HB0471,Powersport Vehicle Franchise Amendments,"Rep. Schultz, M.",,https://le.utah.gov/~2016/bills/static/HB0471.html
2016GS,HB0472,Gun Owners Privacy Protection Act,"Rep. Oda, C.",,https://le.utah.gov/~2016/bills/static/HB0472.html
2016GS,HB0473,Local Government Revisions,"Rep. Knotwell, J.",,https://le.utah.gov/~2016/bills/static/HB0473.html
2016GS,HB0474,Economic Revitalization and Investment Amendments,"Rep. Edwards, R.",,https://le.utah.gov/~2016/bills/static/HB0474.html
2016GS,HB0475,Driver License Amendments,"Rep. Cunningham, R.",,https://le.utah.gov/~2016/bills/static/HB0475.html
2016GS,HB0476,Paint Stewardship Act,"Rep. Ipson, D.",,https://le.utah.gov/~2016/bills/static/HB0476.html
2016GS,HB0477,Suicide Prevention Modifications,"Rep. Eliason, S.",,https://le.utah.gov/~2016/bills/static/HB0477.html
2016GS,HB0478,Budget and Reporting Requirements Amendments,"Rep. Wilson, B.",,https://le.utah.gov/~2016/bills/static/HB0478.html
2016GS,HB0479,Jail Contracting Rate Amendments,"Rep. Noel, M.",,https://le.utah.gov/~2016/bills/static/HB0479.html
2016GS,HB0480,Crime Victim Notification Amendments,"Rep. Hutchings, E.",,https://le.utah.gov/~2016/bills/static/HB0480.html
2016GS,HB0481,Political Party and Election Amendments,"Rep. Powell, K.",,https://le.utah.gov/~2016/bills/static/HB0481.html
2016GS,HB0482,Imputed Income Amendments,"Rep. Anderegg, J.",,https://le.utah.gov/~2016/bills/static/HB0482.html
2016GS,HB0483,Spinal Cord and Brain Injury Rehabilitation Fund Amendments,"Rep. Hutchings, E.",,https://le.utah.gov/~2016/bills/static/HB0483.html
2016GS,HB0484,Athletic Trainers in High Schools,"Rep. Ray, P.",,https://le.utah.gov/~2016/bills/static/HB0484.html
2016GS,HB0485,School Funding Modifications,"Rep. Briscoe, J.",,https://le.utah.gov/~2016/bills/static/HB0485.html
2016GS,HB0486,Health Amendments,"Rep. Thurston, N.",,https://le.utah.gov/~2016/bills/static/HB0486.html
2016GS,HB0487,Criminal Code and Criminal Procedure Amendments,"Rep. Hutchings, E.",,https://le.utah.gov/~2016/bills/static/HB0487.html
2016GS,HB0488,Notification Requirements for Ballot Proposals,"Rep. Anderegg, J.",,https://le.utah.gov/~2016/bills/static/HB0488.html
2016GS,SB0001,Higher Education Base Budget,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0001.html
2016GS,SB0002,Public Education Budget Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0002.html
2016GS,SB0003,Current Fiscal Year Supplemental Appropriations,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0003.html
2016GS,SB0004,"Business, Economic Development, and Labor Base Budget","Sen. Shiozawa, B.",,https://le.utah.gov/~2016/bills/static/SB0004.html
2016GS,SB0005,Retirement and Independent Entities Base Budget,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0005.html
2016GS,SB0006,Infrastructure and General Government Base Budget,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0006.html
2016GS,SB0007,"National Guard, Veterans' Affairs, and Legislature Base Budget","Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0007.html
2016GS,SB0008,State Agency and Higher Education Compensation Appropriations,"Sen. Stevenson, J.",,https://le.utah.gov/~2016/bills/static/SB0008.html
2016GS,SB0011,Cancellation of Auto Insurance Coverage,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0011.html
2016GS,SB0012,Passenger Carrier Requirements,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0012.html
2016GS,SB0013,State Facility Energy Efficiency Fund Amendments,"Sen. Jenkins, S.",,https://le.utah.gov/~2016/bills/static/SB0013.html
2016GS,SB0014,American Indian and Alaskan Native Amendments,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0014.html
2016GS,SB0015,Apportionment of Business Income Amendments,"Sen. Henderson, D.",,https://le.utah.gov/~2016/bills/static/SB0015.html
2016GS,SB0016,Tax Credit Amendments,"Sen. Henderson, D.",,https://le.utah.gov/~2016/bills/static/SB0016.html
2016GS,SB0017,Revenue and Taxation Amendments,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0017.html
2016GS,SB0018,Workforce Services Job Listings Amendments,"Sen. Knudson, P.",,https://le.utah.gov/~2016/bills/static/SB0018.html
2016GS,SB0019,Phased Retirement,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0019.html
2016GS,SB0020,Retirement Systems Audit Recommendations Amendments,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0020.html
2016GS,SB0021,Repeal of Health and Human Services Reports and Programs,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0021.html
2016GS,SB0022,Foreclosure of Residential Rental Property,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0022.html
2016GS,SB0023,Water Law - Protected Purchaser Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0023.html
2016GS,SB0024,Utah Housing Corporation Sunset Extension,"Sen. Weiler, T.",housing,https://le.utah.gov/~2016/bills/static/SB0024.html
2016GS,SB0025,Ballot Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0025.html
2016GS,SB0026,Election Notice Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0026.html
2016GS,SB0027,Absentee Ballot Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0027.html
2016GS,SB0028,Water System Conservation Pricing,"Sen. Jenkins, S.",,https://le.utah.gov/~2016/bills/static/SB0028.html
2016GS,SB0029,Retirement Systems Amendments,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0029.html
2016GS,SB0030,"Department of Commerce Boards, Committees, and Commissions Concurrence Amendments","Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0030.html
2016GS,SB0031,Tax Commission Levy Process,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0031.html
2016GS,SB0032,Reauthorization of Hospital Provider Assessment Act,"Sen. Shiozawa, B.",,https://le.utah.gov/~2016/bills/static/SB0032.html
2016GS,SB0033,Occupational Safety and Health Amendments,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0033.html
2016GS,SB0034,Sewer Lateral Disclosures,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0034.html
2016GS,SB0035,Veteran License Plates Amendments,"Sen. Knudson, P.",,https://le.utah.gov/~2016/bills/static/SB0035.html
2016GS,SB0036,Postretirement Employment Exceptions,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0036.html
2016GS,SB0037,Human Resource Management Rate Committee,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0037.html
2016GS,SB0038,School Funding Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0038.html
2016GS,SB0039,Medicaid Coverage for Adult Dental Services,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0039.html
2016GS,SB0040,Utah Revised Nonprofit Corporation Act Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0040.html
2016GS,SB0041,Appointment of County Assessors,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0041.html
2016GS,SB0042,Public Notice of Court Recording,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0042.html
2016GS,SB0043,Firearm Safety and Violence Prevention in Public Schools,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0043.html
2016GS,SB0044,Construction Code Amendments,"Sen. Dayton, M.",building,https://le.utah.gov/~2016/bills/static/SB0044.html
2016GS,SB0045,Compulsory Education Revisions,"Sen. Jackson, A.",,https://le.utah.gov/~2016/bills/static/SB0045.html
2016GS,SB0046,State Education Governance Revisions,"Sen. Jackson, A.",,https://le.utah.gov/~2016/bills/static/SB0046.html
2016GS,SB0047,College Credit for Public Safety Officers,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0047.html
2016GS,SB0048,Board Membership Restrictions,"Sen. Escamilla, L.",,https://le.utah.gov/~2016/bills/static/SB0048.html
2016GS,SB0049,Statute of Limitations on Environmental Code Violations,"Sen. Escamilla, L.",,https://le.utah.gov/~2016/bills/static/SB0049.html
2016GS,SB0050,Health Code Repealer,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0050.html
2016GS,SB0051,Teacher Leader Role,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0051.html
2016GS,SB0052,Rate Committee Modifications,"Sen. Hinkins, D.",,https://le.utah.gov/~2016/bills/static/SB0052.html
2016GS,SB0053,Veteran's Definition Amendments,"Sen. Knudson, P.",,https://le.utah.gov/~2016/bills/static/SB0053.html
2016GS,SB0054,Controlled Substance Database Modifications,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0054.html
2016GS,SB0055,Financial Institutions Amendments,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0055.html
2016GS,SB0056,Nurse Practice Act Amendments,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0056.html
2016GS,SB0057,Public Safety Emergency Management Amendments,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0057.html
2016GS,SB0058,Nurse Practitioner Amendments,"Sen. Hinkins, D.",,https://le.utah.gov/~2016/bills/static/SB0058.html
2016GS,SB0059,Antidiscrimination and Workplace Accommodations Revisions,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0059.html
2016GS,SB0060,Low-income Housing Tax Credit Allocation Amendments,"Sen. Weiler, T.",housing,https://le.utah.gov/~2016/bills/static/SB0060.html
2016GS,SB0061,Smoking in Public Places Amendments,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0061.html
2016GS,SB0062,Jrotc Instructor Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0062.html
2016GS,SB0063,Survey Monument Replacement,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0063.html
2016GS,SB0064,Special Group License Plate Modifications,"Sen. Escamilla, L.",,https://le.utah.gov/~2016/bills/static/SB0064.html
2016GS,SB0065,Sales and Use Tax Reporting Requirements,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0065.html
2016GS,SB0066,Environmental Code Fines,"Sen. Escamilla, L.",,https://le.utah.gov/~2016/bills/static/SB0066.html
2016GS,SB0067,Partnerships for Student Success,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0067.html
2016GS,SB0068,Property Tax Amendments,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0068.html
2016GS,SB0069,Children's Heart Disease Special Group License Plates,"Sen. Hinkins, D.",,https://le.utah.gov/~2016/bills/static/SB0069.html
2016GS,SB0070,Insurance Modifications,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0070.html
2016GS,SB0071,Children's Justice Center Amendments,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0071.html
2016GS,SB0072,School and Institutional Trust Lands Management Act Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0072.html
2016GS,SB0073,Medical Cannabis Act,"Sen. Madsen, M.",,https://le.utah.gov/~2016/bills/static/SB0073.html
2016GS,SB0074,Aviation Amendments,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0074.html
2016GS,SB0075,Water Rights Adjudication Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0075.html
2016GS,SB0076,Workers' Compensation for Volunteers,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0076.html
2016GS,SB0077,Medicaid Expansion Proposal,"Sen. Davis, G.",,https://le.utah.gov/~2016/bills/static/SB0077.html
2016GS,SB0078,State Board of Education Candidate Selection,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0078.html
2016GS,SB0079,Child Welfare Revisions,"Sen. Jackson, A.",,https://le.utah.gov/~2016/bills/static/SB0079.html
2016GS,SB0080,Infrastructure Funding Amendments,"Sen. Adams, J. S.",,https://le.utah.gov/~2016/bills/static/SB0080.html
2016GS,SB0081,Redistricting Advisory Commission,"Sen. Iwamoto, J.",,https://le.utah.gov/~2016/bills/static/SB0081.html
2016GS,SB0082,Child Welfare Modifications,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0082.html
2016GS,SB0083,Alcoholic Beverage Control Budget,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0083.html
2016GS,SB0084,Alcoholic Beverage Control Facilitator Act,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0084.html
2016GS,SB0085,Sales and Use Tax Compliance Amendments,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0085.html
2016GS,SB0086,School Building Coordination,"Sen. Jackson, A.",,https://le.utah.gov/~2016/bills/static/SB0086.html
2016GS,SB0087,Administrative Rulemaking Act Modifications,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0087.html
2016GS,SB0088,Reauthorization of Administrative Rules,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0088.html
2016GS,SB0089,Cannabis-based Medicine Amendments,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0089.html
2016GS,SB0090,Falsification of Information in a Protective Order Proceeding,"Sen. Jackson, A.",,https://le.utah.gov/~2016/bills/static/SB0090.html
2016GS,SB0091,Board of Education Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0091.html
2016GS,SB0092,Water Conservation Amendments,"Sen. Jenkins, S.",,https://le.utah.gov/~2016/bills/static/SB0092.html
2016GS,SB0093,Computer Science Initiative for Public Schools,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0093.html
2016GS,SB0094,Law Enforcement Use of Body Cameras,"Sen. Thatcher, D.",,https://le.utah.gov/~2016/bills/static/SB0094.html
2016GS,SB0095,General Obligation Bonds Amendments,"Sen. Fillmore, L.",,https://le.utah.gov/~2016/bills/static/SB0095.html
2016GS,SB0096,Uniform Deployed Parents Custody and Parent-time Act,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0096.html
2016GS,SB0097,Concealed Firearms Amendments,"Sen. Hinkins, D.",,https://le.utah.gov/~2016/bills/static/SB0097.html
2016GS,SB0098,Arts and Cultural Education Spending,"Sen. Dabakis, J.",,https://le.utah.gov/~2016/bills/static/SB0098.html
2016GS,SB0099,Transparency for Political Subdivisions,"Sen. Henderson, D.",subdivision,https://le.utah.gov/~2016/bills/static/SB0099.html
2016GS,SB0100,Traffic Fines Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0100.html
2016GS,SB0101,High Quality School Readiness Program Expansion,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0101.html
2016GS,SB0102,High Cost Infrastructure Tax Credit Amendments,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0102.html
2016GS,SB0103,Strategic Workforce Investments,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0103.html
2016GS,SB0104,Amendments to Income Tax,"Sen. Dabakis, J.",,https://le.utah.gov/~2016/bills/static/SB0104.html
2016GS,SB0105,Bail Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0105.html
2016GS,SB0106,Assault Offense Amendments,"Sen. Shiozawa, B.",,https://le.utah.gov/~2016/bills/static/SB0106.html
2016GS,SB0107,Hate Crimes Amendments,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0107.html
2016GS,SB0108,Birthing Center Amendments,"Sen. Henderson, D.",,https://le.utah.gov/~2016/bills/static/SB0108.html
2016GS,SB0109,School and Institutional Trust Lands Amendments,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0109.html
2016GS,SB0110,Water Quality Amendments,"Sen. Hinkins, D.",,https://le.utah.gov/~2016/bills/static/SB0110.html
2016GS,SB0111,Guardianship - Right of Association,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0111.html
2016GS,SB0112,Property Tax Assessment Amount Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0112.html
2016GS,SB0113,Subjecting a Minor to Sexual Material,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0113.html
2016GS,SB0114,Municipal Utilities Amendments,"Sen. Stevenson, J.",,https://le.utah.gov/~2016/bills/static/SB0114.html
2016GS,SB0115,Sustainable Transportation and Energy Plan Act,"Sen. Adams, J. S.",,https://le.utah.gov/~2016/bills/static/SB0115.html
2016GS,SB0116,Water Law - Nonprofit Corporation Amendments,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0116.html
2016GS,SB0117,Commercial Interior Design Certification Modifications,"Sen. Escamilla, L.",,https://le.utah.gov/~2016/bills/static/SB0117.html
2016GS,SB0118,Uintah Basin Air Quality Research Project,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0118.html
2016GS,SB0119,Debt Collection Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0119.html
2016GS,SB0120,Property Tax Notice Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0120.html
2016GS,SB0121,Electric Assisted Bicycle Amendments,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0121.html
2016GS,SB0122,Wildland Fire Policy Updates,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0122.html
2016GS,SB0123,Office of Licensing Amendments,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0123.html
2016GS,SB0124,Gang Enhancement Provision Amendments,"Sen. Thatcher, D.",,https://le.utah.gov/~2016/bills/static/SB0124.html
2016GS,SB0125,After-school Programs Amendments,"Sen. Escamilla, L.",,https://le.utah.gov/~2016/bills/static/SB0125.html
2016GS,SB0126,Committee Authority Amendments,"Sen. Henderson, D.",,https://le.utah.gov/~2016/bills/static/SB0126.html
2016GS,SB0127,Labor Commission Amendments,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0127.html
2016GS,SB0128,Taxing Entities' Tax Rate Amendments,"Sen. Henderson, D.",,https://le.utah.gov/~2016/bills/static/SB0128.html
2016GS,SB0129,Driving Privilege Card Amendments,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0129.html
2016GS,SB0130,Tattoo Removal,"Sen. Adams, J. S.",,https://le.utah.gov/~2016/bills/static/SB0130.html
2016GS,SB0131,Utah College of Applied Technology Governance Amendments,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0131.html
2016GS,SB0132,Commercial Driver License Amendments,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0132.html
2016GS,SB0133,Small Employer Retirement Amendments,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0133.html
2016GS,SB0134,Oil and Gas Conservation Account Amendments,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0134.html
2016GS,SB0135,Administrative Law Judge Amendments,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0135.html
2016GS,SB0136,Division of Occupational and Professional Licensing Amendments,"Sen. Vickers, E.",,https://le.utah.gov/~2016/bills/static/SB0136.html
2016GS,SB0137,"County Option Funding for Botanical, Cultural, Recreational, and Zoological Organizations and Facilities","Sen. Shiozawa, B.",,https://le.utah.gov/~2016/bills/static/SB0137.html
2016GS,SB0138,Health Insurance Coverage for Emergency Care,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0138.html
2016GS,SB0139,Board of Education Approval Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0139.html
2016GS,SB0140,Home and Community-based Services Amendments,"Sen. Iwamoto, J.",,https://le.utah.gov/~2016/bills/static/SB0140.html
2016GS,SB0141,Alcohol Amendments,"Sen. Dabakis, J.",,https://le.utah.gov/~2016/bills/static/SB0141.html
2016GS,SB0142,Improvement District Amendments,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0142.html
2016GS,SB0143,Competency-based Learning Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0143.html
2016GS,SB0144,Dead Domestic Animal Disposal Amendments,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0144.html
2016GS,SB0145,Property Taxes on Former Prison Property,"Sen. Fillmore, L.",,https://le.utah.gov/~2016/bills/static/SB0145.html
2016GS,SB0146,Workers' Compensation Amendments,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0146.html
2016GS,SB0147,Revisor's Technical Corrections to Utah Code,"Sen. Okerlund, R.",,https://le.utah.gov/~2016/bills/static/SB0147.html
2016GS,SB0148,Workforce Services Revisions,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0148.html
2016GS,SB0149,School Grading Modifications,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0149.html
2016GS,SB0150,Metro Township Amendments,"Sen. Mayne, K.",incorporation,https://le.utah.gov/~2016/bills/static/SB0150.html
2016GS,SB0151,Community Development and Renewal Agencies Act Revisions,"Sen. Harper, W.",development,https://le.utah.gov/~2016/bills/static/SB0151.html
2016GS,SB0152,Accelerated Foreign Language Course Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0152.html
2016GS,SB0153,Self-reliance Training for Public Assistance Recipients,"Sen. Fillmore, L.",,https://le.utah.gov/~2016/bills/static/SB0153.html
2016GS,SB0154,Medicaid Accountable Care Organizations,"Sen. Adams, J. S.",,https://le.utah.gov/~2016/bills/static/SB0154.html
2016GS,SB0155,Indigent Defense,"Sen. Weiler, T.",,https://le.utah.gov/~2016/bills/static/SB0155.html
2016GS,SB0156,State Facilities Amendments,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0156.html
2016GS,SB0157,Pawnshop Amendments,"Sen. Thatcher, D.",,https://le.utah.gov/~2016/bills/static/SB0157.html
2016GS,SB0158,Juvenile Court and Child Abuse Amendments,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0158.html
2016GS,SB0159,Severance Tax Exemption Extension,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0159.html
2016GS,SB0160,Federal Funds Budget Reserve Account,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0160.html
2016GS,SB0161,Highway Signage Amendments,"Sen. Adams, J. S.",,https://le.utah.gov/~2016/bills/static/SB0161.html
2016GS,SB0162,Crime Victims Council Amendments,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0162.html
2016GS,SB0163,Kindergarten Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0163.html
2016GS,SB0164,Local Government Modifications,"Sen. Henderson, D.",,https://le.utah.gov/~2016/bills/static/SB0164.html
2016GS,SB0165,Public Education Appointment and Hiring,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0165.html
2016GS,SB0166,"Utah Science, Technology, and Research Modifications","Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0166.html
2016GS,SB0167,Dental Managed Care Amendments,"Sen. Christensen, A.",,https://le.utah.gov/~2016/bills/static/SB0167.html
2016GS,SB0168,Property Tax Revisions,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0168.html
2016GS,SB0169,Olene Walker Housing Loan Fund Amendments,"Sen. Weiler, T.",housing,https://le.utah.gov/~2016/bills/static/SB0169.html
2016GS,SB0170,Indigenous Peoples Day,"Sen. Dabakis, J.",,https://le.utah.gov/~2016/bills/static/SB0170.html
2016GS,SB0171,Economic Development Tax Credits Amendments,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0171.html
2016GS,SB0172,Utah State Developmental Center Amendments,"Sen. Dayton, M.",,https://le.utah.gov/~2016/bills/static/SB0172.html
2016GS,SB0173,State Fair Park Revisions,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0173.html
2016GS,SB0174,Salvage Vehicle Purchaser Amendments,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0174.html
2016GS,SB0175,Fair Housing Act Option Amendments,"Sen. Dayton, M.",housing,https://le.utah.gov/~2016/bills/static/SB0175.html
2016GS,SB0176,Office of the State Board of Education Employment Amendments,"Sen. Stephenson, H.",,https://le.utah.gov/~2016/bills/static/SB0176.html
2016GS,SB0177,Nighttime Highway Construction Noise Amendments,"Sen. Van Tassell, K.",,https://le.utah.gov/~2016/bills/static/SB0177.html
2016GS,SB0178,Economic Development Revisions,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0178.html
2016GS,SB0179,Uniform Parentage Act Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0179.html
2016GS,SB0180,Optional Tax Increase Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0180.html
2016GS,SB0181,Judiciary Amendments,"Sen. Hillyard, L.",,https://le.utah.gov/~2016/bills/static/SB0181.html
2016GS,SB0182,Sales and Use Tax Revisions,"Sen. Harper, W.",,https://le.utah.gov/~2016/bills/static/SB0182.html
2016GS,SB0183,Department of Public Safety Amendments,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0183.html
2016GS,SB0184,Procurement Code Modifications,"Sen. Jenkins, S.",,https://le.utah.gov/~2016/bills/static/SB0184.html
2016GS,SB0185,Labor Remedy Amendments,"Sen. Iwamoto, J.",,https://le.utah.gov/~2016/bills/static/SB0185.html
2016GS,SB0186,Air Quality Incentives,"Sen. Bramble, C.",,https://le.utah.gov/~2016/bills/static/SB0186.html
2016GS,SB0187,Reclassification of Misdemeanors,"Sen. Thatcher, D.",,https://le.utah.gov/~2016/bills/static/SB0187.html
2016GS,SB0188,Higher Education Capital Facilities,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0188.html
2016GS,SB0189,Death Penalty Amendments,"Sen. Urquhart, S.",,https://le.utah.gov/~2016/bills/static/SB0189.html
2016GS,SB0190,Open and Public Meetings Law Revisions,"Sen. Mayne, K.",,https://le.utah.gov/~2016/bills/static/SB0190.html
2016GS,SB0191,School Turnaround and Leadership Development Act Amendments,"Sen. Millner, A.",,https://le.utah.gov/~2016/bills/static/SB0191.html
