ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,disposition
21-47,2021-12-15,2021-12-15,"approving an annexation petition from Third Cadence LLC/Ty McCutcheon and G & N Wood Properties, L.L.C. of approximately 170.437 acres of real property from Salt Lake County to the City of West Jordan",meeting_minutes/minutes/2021/2021-12-13/2021-12-15_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2021-12-15,14,within_source,adopted
22-01,2022-01-26,2022-01-26,amending the City of West Jordan Annual Budget for Fiscal Year 2022,meeting_minutes/minutes/2022/2022-01-24/2022-01-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-01-26,1,within_source,adopted
22-02,2022-01-26,2022-01-26,amending the Consolidated Fee Schedule,meeting_minutes/minutes/2022/2022-01-24/2022-01-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-01-26,3,within_source,adopted
22-03,2022-01-26,2022-01-26,"Helipad and helicopter operations, Sections 13-5E-3, 13-5F-2, 13-5K-2, and 13-19-1 through 13-19-6 inclusive",meeting_minutes/minutes/2022/2022-01-24/2022-01-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-01-26,4,within_source,adopted
22-04,2022-02-23,2022-02-23,approving amendments to Council Appointments/Advice & Consent,meeting_minutes/minutes/2022/2022-02-21/2022-02-23_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-02-23,1,within_source,adopted
22-05,2022-01-26,2022-01-26,setting the Annual Assessment for the Highlands Special Improvement District for Fiscal Year 2022,meeting_minutes/minutes/2022/2022-01-24/2022-01-26_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-01-26,2,within_source,adopted
22-06,2022-05-11,2022-05-11,amending the 2009 West Jordan City Code Section 1-9-6 part-time position hours and pay,meeting_minutes/minutes/2022/2022-05-09/2022-05-11_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-05-11,5,within_source,adopted
22-07,2022-03-09,2022-03-09,"rezoning 1.05 acres from RR-1A Zone and 0.093 acres from R-3-8 (ZC) Zone to R-1-8C Zone (Single- family residential 8,000 square foot lots) for PHD Estates located at approximately 1517 West 8600 Sout",meeting_minutes/minutes/2022/2022-03-07/2022-03-09_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2022-03-09,3,within_source,adopted
22-08,2022-04-13,2022-04-13,Rezone (signed ordinance retrieved; NOT cited in any all_votes.csv motion — see AVAILABILITY.md),https://www.westjordan.utah.gov/wp-content/uploads/2022/04/Ordinance-No.-22-08-Hidden-Cove-Rezone.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-08-Hidden-Cove-Rezone.pdf,Y,,,,none,pdf_only
22-09,2022-04-27,2022-04-27,"amending the 2009 West Jordan City Code (revisions to Board of Health, Sections 5-1-1 through 5-1-6 inclusive and 5-4-1.)",meeting_minutes/minutes/2022/2022-04-25/2022-04-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-04-27,5,within_source,adopted
22-10,2022-03-23,2022-03-23,amendments to the budget for Fiscal Year 2022,meeting_minutes/minutes/2022/2022-03-21/2022-03-23_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-03-23,2,within_source,adopted
22-11,2022-04-13,2022-04-13,approving Engineering Standards additions regarding Narrow Trench Excavation,meeting_minutes/minutes/2022/2022-04-11/2022-04-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-04-13,4,within_source,adopted
22-12,2022-04-13,2022-04-13,amending the Consolidated Fee Schedule,meeting_minutes/minutes/2022/2022-04-11/2022-04-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-04-13,5,within_source,adopted
22-14,2022-07-27,2022-07-27,amending the 2009 West Jordan City Code amending Chapter 5 of Title 13 Adopting Article N “Southwest Quadrant Mixed Use”; amending Section 13-5-1 “Zoning Districts”; and amending 13-7-B “Site Plans”; ,https://www.westjordan.utah.gov/wp-content/uploads/2022/08/Ordinance-No-22-14-compressed.pdf,2026-07-03,scanned,"tesseract OCR (scanned image PDF, 200dpi)",raw/Ordinance-No.-22-14-Adopting-Article-M-Title-13-Ch5-signed.pdf,Y,6-1 Pass,2022-07-27,1,high,adopted
22-15,2022-04-27,2022-04-27,"amending the 2009 West Jordan City Code (revisions allowing Pet Groomers as a Permitted Use in certain Agricultural, Planned Development, and Manufacturing Zones; Sections 13-5A-2, 13-5C-4, and 13-5F-",meeting_minutes/minutes/2022/2022-04-25/2022-04-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-04-27,3,within_source,adopted
22-16,2022-04-27,2022-04-27,"amending the 2009 West Jordan City Code (repealing fencing and screening setback requirements in the Professional Office, Commercial, and Manufacturing Zones, Section 13-14-4)",meeting_minutes/minutes/2022/2022-04-25/2022-04-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2022-04-27,4,within_source,adopted
22-17,2022-04-13,2022-04-13,amending the annual budget for Fiscal Year 2022,meeting_minutes/minutes/2022/2022-04-11/2022-04-13_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-04-13,6,within_source,adopted
22-18,2022-04-27,2022-04-27,amending the annual budget for Fiscal Year 2022,meeting_minutes/minutes/2022/2022-04-25/2022-04-27_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2022-04-27,6,within_source,adopted
22-19,2022-07-13,2022-07-13,a petition by Gardner Company / Ben Seastrand requesting the approval of a Master Development Agreement for Jones Landing located at 6835 West 9800 South,https://www.westjordan.utah.gov/wp-content/uploads/2022/07/Ordinance-No.-22-19-Jones-Landing-MDA-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-19-Jones-Landing-MDA-signed.pdf,Y,7-0 Pass,2022-07-13,1,high,adopted
22-20,2022-05-25,2022-05-25,for a rezone of .66 acres from RR-.5 Zone to R-1-10E Zone for Jones Estates located at 7553 South 2700 West,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/Ordinance-No.-22-20-Rezone-for-Jones-Estates-Subdivision-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-20-Rezone-for-Jones-Estates-Subdivision-signed.pdf,Y,6-0 Pass,2022-05-25,3,high,adopted
22-21,2022-06-08,2022-06-08,amending Section 13- 5b-8 Accessory Dwelling Units for single family dwellings in residential zones,meeting_minutes/minutes/2022/2022-06-06/2022-06-08_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2022-06-08,7,within_source,adopted
22-22,2022-05-11,2022-05-11,"amending the 2009 West Jordan City Code (Development Plan Process and Zoning Administrator Authority) Amend Sections 13-5C-7, 13-5I-13, 13-5J-10, 13-6G-17, 13-6H-12, 13-6I-7, 13-6K-3, and 15-3-8; and ",https://www.westjordan.utah.gov/wp-content/uploads/2022/07/Ordinance-No.-22-22-Approving-Zoning-Map-Amendment-for-Jones-Landing-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-22-Approving-Zoning-Map-Amendment-for-Jones-Landing-signed.pdf,Y,7-0 Pass,2022-05-11,2,high,adopted
22-23,2022-05-25,2022-05-25,"amending the 2009 West Jordan City Code Title 9, Chapter 6, Sections 1 through 8 (Utilities, Drought Management)",meeting_minutes/minutes/2022/2022-05-23/2022-05-25_city-council-regular-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-05-25,4,within_source,adopted
22-25,2022-12-21,2022-12-21,a petition by Todd Amberry / Canyon Stone Capital for a Master Development agreement for Welby West approximately 11.54 acres of property located at approximately 8945 South 4800 West with Substitute ,meeting_minutes/minutes/2022/2022-12-19/2022-12-21_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-3 Pass,2022-12-21,9,within_source,adopted
22-26,2022-12-21,2022-12-21,"amending the General Plan Land Use Map for Welby West from Neighborhood Commercial and rezone from SC-2 Zone (Community Shopping Center) and R-1-10 Zone (Single-Family Residential Zone, with 10,000 sq",meeting_minutes/minutes/2022/2022-12-19/2022-12-21_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-3 Pass,2022-12-21,10,within_source,adopted
22-28,2022-05-25,2022-05-25,"amending the 2009 West Jordan City Code Section 13-5A-2 adding Accessory Dwelling Units in the A-1, A-5, and A-20 zoning districts as a permitted use",https://www.westjordan.utah.gov/wp-content/uploads/2022/06/Ordinance-No.-22-28-ADUs-in-Agricultural-Zones-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-28-ADUs-in-Agricultural-Zones-signed.pdf,Y,6-0 Pass,2022-05-25,5,high,adopted
22-29,2022-06-08,2022-06-08,a petition by Efrain Ortega for a Future Land Use Map amendment for 0.82 acres of property from Parks and Open Lands to Professional Office Space and a Rezone of 0.39 from the R-1-8A Zone to the P-O Z,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/Ordinance-No.-22-29-Approving-Zone-Change-and-FLUMA-for-Ortega-Property-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-29-Approving-Zone-Change-and-FLUMA-for-Ortega-Property-signed.pdf,Y,7-0 Pass,2022-06-08,4,high,adopted
22-30,2022-12-07,2022-12-07,"amending the 2009 West Jordan City Code Title 8, Chapter 14, Section 7 (Grave Decorations) and Title 8, Chapter 14, Section 8 (Markers and Monuments)",meeting_minutes/minutes/2022/2022-12-05/2022-12-07_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,4-0 Pass,2022-12-07,3,within_source,adopted
22-31,,2022-09-28,"amending the General Plan Land Use Map for Mountain America Redevelopment from Professional Office to Community Commercial, and a Rezone from the P-O Zone (Professional Office) to the SC-2 Zone (Commu",meeting_minutes/minutes/2022/2022-09-26/2022-09-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-1 Pass,2022-09-28,3,within_source,denied
22-33,2022-07-27,2022-07-27,"amending the 2009 West Jordan City Code Section 12-4-1 “Material Enhancement” adding language that legal non-conforming signs can be relocated and reconstructed, as a result of road widening, only if ",meeting_minutes/minutes/2022/2022-07-25/2022-07-27_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-07-27,2,within_source,adopted
22-34,2022-06-22,2022-06-22,for MDA Stone Creek Master Development Plan for the Villas at Stone Creek,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/Ordinance-No.-22-34-Approving-MDA-for-Stone-Creek-Development-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-34-Approving-MDA-for-Stone-Creek-Development-signed.pdf,Y,6-1 Pass,2022-06-22,6,high,adopted
22-35,2022-06-22,2022-06-22,for GPLUM Stone Creek Master Development Plan for the Villas at Stone Creek,https://www.westjordan.utah.gov/wp-content/uploads/2022/06/Ordinance-No.-22-35-Approving-General-Plan-Map-Amendment-for-Stone-Creek-Development-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-35-Approving-General-Plan-Map-Amendment-for-Stone-Creek-Development-signed.pdf,Y,6-1 Pass,2022-06-22,7,high,adopted
22-36,2022-06-22,2022-06-22,"amending the Budget for Fiscal Year 2022, with changes as discussed. Chair Whitelock",meeting_minutes/minutes/2022/2022-06-20/2022-06-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-06-22,4,within_source,adopted
22-37,2022-08-10,2022-08-10,"amending the 2009 West Jordan City Code Chapter 5 of Title 13 Adopting Article M “integrated Housing” and amending Section 13-5-1 Zoning Districts”, striking lines 471 and 472, and 521 and 522, statin",https://www.westjordan.utah.gov/wp-content/uploads/2022/08/Ordinance-No.-22-37-Adoping-Integrated-Housing-and-Amd-Zoning-Districts-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-37-Adoping-Integrated-Housing-and-Amd-Zoning-Districts-signed.pdf,Y,7-0 Pass,2022-08-10,3,high,adopted
22-39,2022-08-24,2022-08-24,a petition from Barrett Peterson/Peterson Development to rezone 7.26 acres of property located at approximately 7662 South 5490 West from R-3-20 (SHO) Zone (Multi-family Residential 20 units per acre ,meeting_minutes/minutes/2022/2022-08-22/2022-08-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-2 Pass,2022-08-24,2,within_source,adopted
22-42,2022-08-10,2022-08-10,"amending West Jordan Municipal Code by creating Title 1-4 -Elected Official Compensation and deleting Title 1-6-4 and 1-7-2 and consolidating in a new section, striking words in lines 71 and 72: “The ",meeting_minutes/minutes/2022/2022-08-08/2022-08-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2022-08-10,9,within_source,adopted
22-43,2022-08-24,2022-08-24,amending the Moderate-Income Housing Element of the 2012 General Plan,meeting_minutes/minutes/2022/2022-08-22/2022-08-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2022-08-24,5,within_source,adopted
22-44,2022-10-12,2022-10-12,to rename New Bingham Highway (from 7800 S to 5600 W) to Copper Hills Parkway,meeting_minutes/minutes/2022/2022-10-10/2022-10-12_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-10-12,7,within_source,adopted
22-46,2022-10-26,2022-10-26,"adopting the 2023 City Council meeting annual calendar presented as Option C, with an additional meeting on May 9, 2023, for discussion of the budget. Chair Whitelock",meeting_minutes/minutes/2022/2022-10-24/2022-10-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,4-2 Pass,2022-10-26,4,within_source,adopted
22-47,2022-11-02,2022-11-02,"a petition by Ryan Peterson/Kick Creek LLC requesting a rezone of approximately 1.276 acres from HFR Zone (High Density, Multi-Family Residential) to SC-2 Zone (Community Shopping Center) for Promonto",https://www.westjordan.utah.gov/wp-content/uploads/2022/11/Ordinance-No.-22-47-Promontory-at-the-Highlands-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-47-Promontory-at-the-Highlands-Rezone-signed.pdf,Y,7-0 Pass,2022-11-02,1,high,adopted
22-48,2022-10-26,2022-10-26,"amending the City’s Annual Budget for Fiscal Year 2023 with an amendment to add $500,000 for a sound wall project on 9000 South",meeting_minutes/minutes/2022/2022-10-24/2022-10-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2022-10-26,1,within_source,adopted
22-49,2022-11-16,2022-11-16,amending Section 13-7E-8 Conditional Use Permits Development Procedures amending the criteria for approval to comply with recent changes in UCA 10-9a-507 to the Committee of the Whole,meeting_minutes/minutes/2022/2022-11-14/2022-11-16_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-0 Pass,2022-11-16,4,within_source,adopted
22-52,2022-12-07,2022-12-07,"amending the Preliminary Master Development Plan for Copper Rim Town Center (IOZ) located at approximately 5950 West 7800 South, to revise approved fencing in the commercial area along the Mountain Vi",meeting_minutes/minutes/2022/2022-12-05/2022-12-07_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-0 Pass,2022-12-07,4,within_source,adopted
22-54,2022-12-21,2022-12-21,amendment to the Moderate-Income Housing element of the 2012 West Jordan City General Plan,https://www.westjordan.utah.gov/wp-content/uploads/2023/01/Ordinance-No.-22-54-Approving-Moderate-Income-Housing-Element-to-General-Plan-update-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-22-54-Approving-Moderate-Income-Housing-Element-to-General-Plan-update-signed.pdf,Y,7-0 Pass,2022-12-21,5,high,adopted
23-01,2023-01-25,2023-01-25,"a petition by Ryan Peterson/Peterson Development Company, LLC for approval of a Development Agreement for approximately 18.76 acres of property located at approximately 7652 South Highlands Loop Road ",meeting_minutes/minutes/2023/2023-01-23/2023-01-25_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-01-25,2,within_source,adopted
23-02,2023-02-22,2023-02-22,"amending West Jordan City Code Title 2, Chapter 6, Section 1, 2, and 3 regarding monetary and non-monetary assistance",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-02-22,6,within_source,adopted
23-03,2023-02-22,2023-02-22,"amending West Jordan City Code Title 3, Chapter 4 Section 1 and 2 regarding waiver of fees, fines and non-profit assistance",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-02-22,7,within_source,adopted
23-04,2023-02-22,2023-02-22,"amending the 2009 West Jordan City Code Title 1, Chapter 7, Section 5 Discretionary Authority of the Mayor and Section 6 Limitations of Authority of the Mayor",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-02-22,8,within_source,adopted
23-05,2023-02-08,2023-02-08,amending the West Jordan 2009 Code to update administrative and council procedures for zoning and amending the General Plan review process - adopting Option 1 and substituting the word “complete” with,meeting_minutes/minutes/2023/2023-02-06/2023-02-08_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2023-02-08,1,within_source,adopted
23-06,2023-02-22,2023-02-22,"amendments to Nuisance Animals and Animal Licensing Provisions in West Jordan City Code Title 6, Chapter 3, Section 6-3B-3 and 6-3B-4 - adding 200 feet and valid for three years",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-02-22,4,within_source,adopted
23-07,,2023-02-22,"a petition by Brandon Pehrson / Next Level Homes, LLC requesting a rezone of 9 acres from R-1-10G (Single-family residential 10,000 square foot minimum lots) to R-1-6 (MDA) (Single-family residential ",meeting_minutes/minutes/2023/2023-02-20/2023-02-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,4-3 Pass,2023-02-22,3,within_source,tabled
23-08,2023-05-02,2023-05-02,Rezone (signed ordinance retrieved; NOT cited in any all_votes.csv motion — see AVAILABILITY.md),https://www.westjordan.utah.gov/wp-content/uploads/2023/05/Ordinance-No.-23-08-Jordan-River-Heights-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-23-08-Jordan-River-Heights-Rezone-signed.pdf,Y,,,,none,pdf_only
23-09,2023-03-22,2023-03-22,"amending Title 13-13-10(G) “Landscaping Requirements” and 13-18-10(E)(2) “Urban Forestry” changing the clearance of tree canopy height from 15 feet to 14 feet, referencing Attachment 2",meeting_minutes/minutes/2023/2023-03-20/2023-03-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-2 Pass,2023-03-22,2,within_source,adopted
23-10,2023-06-28,2023-06-28,"adopting the 2023 General Plan and amended Future Land Use Map as the comprehensive and long-range plan for the City of West Jordan, including addition of an acknowledgement page",https://www.westjordan.utah.gov/wp-content/uploads/2023/07/Ordinance-No.-23-10-2023-General-Plan-and-FLUM-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-23-10-2023-General-Plan-and-FLUM-signed.pdf,Y,7-0 Pass,2023-06-28,2,high,adopted
23-11,2023-06-14,2023-06-14,amending Conditional Use Permits and Appeals to conform with Utah Code 10-9a-507,meeting_minutes/minutes/2023/2023-06-12/2023-06-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-0 Pass,2023-06-14,4,within_source,adopted
23-12,2023-03-22,2023-03-22,an ordinance amending the 2009 West Jordan City Code (General Business Regulations and Licensing Requirements; amending City Code sections 4-1A-1 through 4-1D-5 inclusive),meeting_minutes/minutes/2023/2023-03-20/2023-03-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2023-03-22,5,within_source,adopted
23-13,2023-03-08,2023-03-08,"amending West Jordan City Code Title 1 relating to change in government definitions, mayor’s compensation, city council, public meetings, and elections, amending page 9 line 129 to add Council Chair",meeting_minutes/minutes/2023/2023-03-06/2023-03-08_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-03-08,12,within_source,adopted
23-14,2023-06-28,2023-06-28,amending the City’s Annual Budget for FY 2023,meeting_minutes/minutes/2023/2023-06-26/2023-06-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-06-28,7,within_source,adopted
23-15,2023-04-12,2023-04-12,amending West Jordan City Code 1-6-15 replacing references to ‘local districts’ with ‘special districts.’ Chair McConnehey,meeting_minutes/minutes/2023/2023-04-10/2023-04-12_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-04-12,3,within_source,adopted
23-16,,2023-05-10,regarding a petition from Nhung Cao requesting a rezone of 0.22 acres located at 1897 West 7800 South from an R-1-8A Zone (single-family residential) to a P-O Zone (professional office),https://www.westjordan.utah.gov/wp-content/uploads/2023/05/Ordinance-No.-23-16-Lacier-Lash-Rezone-signed-2.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-23-16-Lacier-Lash-Rezone-signed-2.pdf,Y,,2023-05-10,1,high,unclear
23-18,2023-07-26,2023-07-26,amending section 13-6K-4B Interchange Overlay Zone to be consisten with the IOZ Map adopted in 2021,https://www.westjordan.utah.gov/wp-content/uploads/2023/08/Ordinance-No.-23-18-Code-Text-Amendment-for-IOZ-Overlay-Zone-for-072623-Council-Mtg-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-23-18-Code-Text-Amendment-for-IOZ-Overlay-Zone-for-072623-Council-Mtg-signed.pdf,Y,7-0 Pass,2023-07-26,1,high,adopted
23-19,2023-06-28,2023-06-28,"amending the 2009 West Jordan City Code adding a definition for petting zoos and allowing petting zoos as a conditional use in the P-C and P-F zones; amending City Code Sections 13-2-3, 13-5C-4, and 1",meeting_minutes/minutes/2023/2023-06-26/2023-06-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,5-2 Pass,2023-06-28,5,within_source,adopted
23-20,2023-06-14,2023-06-14,adopting the City of West Jordan 2023 Storm Drain Master Plan Update,meeting_minutes/minutes/2023/2023-06-12/2023-06-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-06-14,2,within_source,adopted
23-21,2023-06-14,2023-06-14,adopting Low Impact Development design and construction standards for the City of West Jordan,meeting_minutes/minutes/2023/2023-06-12/2023-06-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-06-14,3,within_source,adopted
23-22,2023-08-23,2023-08-23,adopting a .001499 property tax rate for tax year 2023,meeting_minutes/minutes/2023/2023-08-21/2023-08-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,4-3 Pass,2023-08-23,2,within_source,adopted
23-23,2023-08-23,2023-08-23,adopting the Final Budget for Fiscal Year 2024,meeting_minutes/minutes/2023/2023-08-21/2023-08-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2023-08-23,3,within_source,adopted
23-24,2023-10-11,2023-10-11,"amending City Code Section 13-2-3 (Zoning Regulations), 14-2-2 adding a definition of “Material Change”, and clarifying Section 14-2-3 (Subdivision Regulations) that stormwater impact fees are due wit",https://www.westjordan.utah.gov/wp-content/uploads/2023/10/Ordinance-No.-23-24-Text-Amendment-for-Material-Change-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-23-24-Text-Amendment-for-Material-Change-signed.pdf,Y,6-0 Pass,2023-10-11,2,high,adopted
23-25,2023-08-09,2023-08-09,amending the 2009 West Jordan City Code (General Business Regulations and Licensing Requirements; amending city code Sections 4-1a-1 through 4-1d-5 inclusive),meeting_minutes/minutes/2023/2023-08-07/2023-08-09_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-08-09,3,within_source,adopted
23-26,2023-09-13,2023-09-13,amending City Code Sections 13-5C-1 and 13-5C-5 regarding Planned Development (PRD/PC) Zones and Section 13-5b-3 regarding residential bulk standards,meeting_minutes/minutes/2023/2023-09-11/2023-09-13_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-09-13,2,within_source,adopted
23-27,2023-09-13,2023-09-13,"amending the 2009 West Jordan City Code section 13-5F-2 permitting Day-Care, General and Day-Care, Limited in the Light Manufacturing (M- 1) Zone",https://www.westjordan.utah.gov/wp-content/uploads/2023/09/Ordinance-No.-23-27-Text-Amendment-for-Day-Cares-in-the-M1-Zone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-23-27-Text-Amendment-for-Day-Cares-in-the-M1-Zone-signed.pdf,Y,7-0 Pass,2023-09-13,3,high,adopted
23-28,2023-08-23,2023-08-23,a petition by Peterson Development to vacate Commerce Street at approximately 4950 West 7800 South to accommodate the Villas at Stone Creek development in the Planned Community Zoning district,meeting_minutes/minutes/2023/2023-08-21/2023-08-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2023-08-23,1,within_source,adopted
23-29,2023-09-27,2023-09-27,"through 23-34 to amend and adopt Impact Fee Studies, Facilities Plans, and Analyses, and enacting Impact Fees and Schedules for Police (23- 29), Fire (23-30), Parks (23-31), Sanitary Sewer (23-32), Cu",meeting_minutes/minutes/2023/2023-09-25/2023-09-27_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-09-27,2,within_source,adopted
23-35,2023-09-27,2023-09-27,amending the 2009 West Jordan City Code Section 3-7-7 Level of Service and Fee Coefficients,meeting_minutes/minutes/2023/2023-09-25/2023-09-27_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-09-27,3,within_source,adopted
23-37,2023-10-25,2023-10-25,amending City Code to add Section 9-4-4 Sanitary Sewer Pumping and Lift Stations,meeting_minutes/minutes/2023/2023-10-23/2023-10-25_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-10-25,5,within_source,adopted
