ordinance_no,adoption_date,land_use_type,code_titles,code_title_names,motion_id,match_confidence,source_url,notes
2022-10,2022-02-22,non_land_use,9,"Public Peace, Morals and Welfare",1752,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-02-22 (motion_id 1752, unique, bundled roll call; guards: number+agenda-item+date)"
2022-16,2022-05-10,non_land_use,5,Business Licenses and Regulations,1824,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-05-10 (motion_id 1824, unique; guards: number+agenda-item+date)"
2022-18,2022-07-12,non_land_use,8,Health and Safety,1859,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-07-12 (motion_id 1859, unique; guards: number+agenda-item+date)"
2022-19,2022-07-12,non_land_use,2,Administration and Personnel,1860,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-07-12 (motion_id 1860, unique; guards: number+agenda-item+date)"
2022-26A,2022-09-27,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2022-26,,non_land_use,9,"Public Peace, Morals and Welfare",,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 2 candidate adoption motions (2022-07-26; 2022-09-27) - ambiguous, and only motion_resolution='unique' is quoted"
2022-30,2022-09-27,land_use,17,Zoning Regulations,1946,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-09-27 (motion_id 1946, unique; guards: number+agenda-item+date)"
2022-31,2022-09-27,land_use,17,Zoning Regulations,1947,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-09-27 (motion_id 1947, unique; guards: number+agenda-item+date)"
2022-32,2022-10-25,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2022-33,,non_land_use,8,Health and Safety,1949,high,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,"cited in the codified County Code source-notes; date only where the code printed it | enacting Council roll call 2022-09-27 (motion_id 1949, unique; guards: number+agenda-item+date)"
2022-34,2022-12-31,non_land_use,2;3,Administration and Personnel; Revenue and Finance,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 2 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2022-35,2022-12-12,non_land_use,2,Administration and Personnel,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 1 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2022-36,2022-12-06,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2022-37,2022-12-12,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2022-38,2022-12-13,non_land_use,3,Revenue and Finance,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2022-39,2022-12-13,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2022-40,2022-12-13,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2023-02,2023-02-14,land_use,17,Zoning Regulations,,unlinked,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it | NOT LINKED: 1 Council motion(s) name this ordinance but none is a verified enacting roll call (no passing adoption motion under its own agenda item on a consistent date)
2023-03,2023-01-24,non_land_use,6,Animals,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2023-06,2023-02-14,non_land_use,2,Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2023-13,2023-05-09,land_use,17;2,Zoning Regulations; Administration and Personnel,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2023-14,2023-04-11,land_use,15,Buildings and Construction,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
2023-18,2023-05-09,,,,,,https://www.cachecounty.gov/assets/department/clerk/cachecountyut-ut-2.pdf,cited in the codified County Code source-notes; date only where the code printed it
