ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,motion_type,doc_type
2024-013,2024-03-07,2024-03-07,"approve Ordinance No. 2024-013 amending an approved PD-R (Planned Development Residential) on approximately 5.92 acres, located at approximately 2000 South Mesa Palms Way for the purpose of building 51 townhome units, with the conditions that the drainage plan be brought to the City Manager before this is finalized and roof drainage is conveyed to the street on the south property line.",meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-03-07,9,within_source,Land-Use/Zoning,ordinance
2024-014,2024-03-07,2024-03-07,"approve Ordinance No. 2024-014 amending an approved PD-C (Planned Development Commercial) on approximately 18 acres, located along River Road and George Washington Boulevard for the purpose of creating a master signage plan for the River Crossing Development including the prior agreed upon 15’ limit and removal of the electronic message board.",meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-03-07,11,within_source,Land-Use/Zoning,ordinance
2024-015,2024-03-07,2024-03-07,"approve Ordinance No. 2024-015 amending an approved PD-C (Planned Development Commercial) on approximately 1.92 acres, located along Pioneer Road and north of Sun River Parkway for the purpose of building a Les Schwab Tire Center, with conditions from the Planning Commission and staff.",meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-03-07,12,within_source,Land-Use/Zoning,ordinance
2024-017,2024-03-07,2024-03-07,"approve Ordinance No. 2024-017 amending Title 9-3-C, Endangered Species Act Impact Fees, of the St. George City Code, to update the provisions as requested by Washington County who administers the Habitat Conservation Plan which is in place to protect the Mojave Desert Tortoise Habitat. Guzman: 01:49:45 Guzman, and vote: 01:52:05",meeting_minutes/minutes/2024/2024-03-04/2024-03-07_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-1 Pass (The motion carried.),2024-03-07,14,within_source,Ordinance,ordinance
2024-019,2024-04-04,2024-04-04,approve Ordinance No. 2024-019 amending 10-13-C of the St. George City Code pertaining to Development and the Flood and Erosion Hazard Overlay Zone.,meeting_minutes/minutes/2024/2024-04-01/2024-04-04_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-04-04,3,within_source,Ordinance,ordinance
2024-020,2024-04-04,2024-04-04,"approve Ordinance No. 2024-020 amending an approved PD-C (Planned Development Commercial) on 0.89 acres located on the southeast corner of River Road and George Washington Boulevard, with the conditions from the Planning Commission which would be the updated exterior.",meeting_minutes/minutes/2024/2024-04-01/2024-04-04_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-04-04,4,within_source,Land-Use/Zoning,ordinance
2024-021,2024-05-02,2024-05-02,"approve Ordinance No. 2024-021 to vacate a portion of a flood control easement located at the rear of Lots 33 and 34, River Bend Estates at Sunbrook.",meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,2,within_source,Land-Use/Zoning,ordinance
2024-022,2024-05-02,2024-05-02,approve Ordinance No. 2024-022 vacating a portion of a municipal utility easement located between Lots 123 and 124 of the Cecita Crest at Divario Phase 3.,meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,3,within_source,Land-Use/Zoning,ordinance
2024-023,2024-05-02,2024-05-02,"approve Ordinance No. 2024-023 vacating a public utility easement located on west lot line of Lot 1, Morwood Subdivision with the conditions that the utility easement continue along Valley View and along the south side of the property.",meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,4,within_source,Land-Use/Zoning,ordinance
2024-024,2024-05-02,2024-05-02,approve Ordinance No. 2024-024 vacating a portion of a municipal utility easement located between Lots 13 and 14 of the Banded Ridge Subdivision.,meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,5,within_source,Land-Use/Zoning,ordinance
2024-025,2024-05-02,2024-05-02,"approve Ordinance No. 2024-025 changing the general plan land-use map from LDR (Low Density Residential) and OS (Open Space) to COM (Commercial) and OS (Open Space) on approximately 7.13 acres with as Mr. Terry stated, the demarcation line being the retaining wall on the east side of the property.",meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,6,within_source,Land-Use/Zoning,ordinance
2024-026,2024-05-02,2024-05-02,"approve Ordinance No. 2024-026 changing the general plan land-use map from RES (Residential), OS(Open Space), FP (Floodplain) and PK (Park) to COM (Commercial) and OS (Open Space). on approximately 115 acres.",meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,7,within_source,Land-Use/Zoning,ordinance
2024-027,2024-05-02,2024-05-02,approve Ordinance No. 2024-027 amending Title 7 Chapter 5 Section 10 of the City code to allow for polyurethane casket vaults in City cemeteries.,meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,12,within_source,Ordinance,ordinance
2024-028,2024-05-02,2024-05-02,approve Ordinance No. 2024-028 enacting Title 6 Chapter 6 Sections 1 through 6 of the City Code authorizing golf cart usage within the City.,meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,13,within_source,Ordinance,ordinance
2024-029,2024-05-02,2024-05-02,approve Ordinance No. 2024-029 amending the administrative appeals processes.,meeting_minutes/minutes/2024/2024-04-29/2024-05-02_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-05-02,14,within_source,Ordinance,ordinance
2024-030,2024-06-13,2024-06-13,approve Ordinance No. 2024-030 vacating a portion of 250 West Street located between approximately 850 South and 900 South Street.,meeting_minutes/minutes/2024/2024-06-10/2024-06-13_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-06-13,2,within_source,Land-Use/Zoning,ordinance
2024-031,2024-06-13,2024-06-13,"approve Ordinance No. 2024-031 vacating a portion of a public utility and drainage easement located along the northwesterly lot line of Lot 38, Anasazi Ridge at Entrada Phase 3.",meeting_minutes/minutes/2024/2024-06-10/2024-06-13_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-06-13,3,within_source,Land-Use/Zoning,ordinance
2024-032,2024-06-13,2024-06-13,"approve Ordinance No. 2024-032 vacating a portion of a public utility easement located west of Lot 1, Morwood Subdivision.",meeting_minutes/minutes/2024/2024-06-10/2024-06-13_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,3-2 Pass (The motion carried.),2024-06-13,4,within_source,Land-Use/Zoning,ordinance
2024-035,2024-06-13,2024-06-13,"approve Ordinance No. 2024-035 amending Title 10-10-1, Airport Vicinity Zones, of the City Code, to add various permitted uses associated with movie studios to the C-RM (Mixed-use Commercial) and the ASBP (Airport Supporting Business Park) zones.",meeting_minutes/minutes/2024/2024-06-10/2024-06-13_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-06-13,8,within_source,Ordinance,ordinance
2024-036,2024-06-13,2024-06-13,"approve Ordinance No. 2024-036 amending the city zoning map from PD-R (Planned Development Residential) to C-RM (Mixed Use Commercial) on approximately 50.8 acres generally located southeast off exit 7 along Southern Parkway and northeast of Airport Road, with conditions from Planning Commission.",meeting_minutes/minutes/2024/2024-06-10/2024-06-13_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-06-13,9,within_source,Land-Use/Zoning,ordinance
2024-037,2024-06-20,2024-06-20,"approve Ordinance No. 2024-037 amending an approved PD-C (Planned Development Commercial) on approximately 2.59 acres located on the east side of 1470 East at approximately 300 South, for the purpose of adding a 92-room hotel on the site, with conditions from the Planning Commission.",meeting_minutes/minutes/2024/2024-06-17/2024-06-20_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-06-20,11,within_source,Land-Use/Zoning,ordinance
2024-039,2024-07-18,2024-07-18,"approve Ordinance No. 2024-039 amending an approved PD-C (Planned Development Commercial) on approximately .97 acres for the purpose of adding a 2,990 square foot financial institution.",meeting_minutes/minutes/2024/2024-07-15/2024-07-18_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-07-18,3,within_source,Land-Use/Zoning,ordinance
2024-041,2024-07-18,2024-07-18,"approve Ordinance No. 2024-041 amending the City Zoning Map by amending the zone from RE-37.5 (Residential Estates 37,500 square feet minimum lot size) to PD-C (Planned Development Commercial) on approximately 1.2 acres located on the northwest corner of Sugar Leo Road and Pioneer Road to establish a use list and approve a site plan for construction of a parking lot and placement of a future office building, with the conditions from the Planning Commission.",meeting_minutes/minutes/2024/2024-07-15/2024-07-18_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-07-18,5,within_source,Land-Use/Zoning,ordinance
2024-042,2024-07-18,2024-07-18,"approve Ordinance No. 2024-042 amending the City Zoning Map by amending the zone from OS (Open Space) and A-20 (Agriculture, 20-acre minimum lot size) to PD-C (Planned Development Commercial) on approximately 12.88 acres generally located on the west side of River Road between approximately 2700-2900 South for the purpose of building a grocery and hardware store on the property, with all of the conditions from the Planning Commission in addition, the landscape buffer in the back instead of a retaining wall, no deliveries between the hours as limited on other grocery stores, median on the northerly exit to prevent left exit and roof color mitigation that it be an earth tone, some shade of brown or gray, including the proposed use list.",meeting_minutes/minutes/2024/2024-07-15/2024-07-18_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-07-18,6,within_source,Land-Use/Zoning,ordinance
2024-043,2024-07-18,2024-07-18,approve Ordinance No. 2024-043 amending Title 10-8D-8(B) of City Code (PD-MU – Planned Development – Mixed-Use standards) to eliminate the 70-foot cap on height in the PD-MU (Planned Development Mixed Use) zone.,meeting_minutes/minutes/2024/2024-07-15/2024-07-18_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-07-18,7,within_source,Land-Use/Zoning,ordinance
2024-045,2024-08-01,2024-08-01,"approve Ordinance No. 2024-045 amending the city zoning map by amending the existing Desert Color Planned Development Residential (PDR) zone on approximately 2.35 acres located generally west of Pura Circle and south of Sandura Lane within the Desert Color Resort phases 4B and 6 subdivision plats, with the condition that the applicant goes through the site planning process prior to any construction.",meeting_minutes/minutes/2024/2024-07-29/2024-08-01_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2024-08-01,4,within_source,Land-Use/Zoning,ordinance
2024-047,2024-09-19,2024-09-19,"approve Ordinance No. 2024-047 to vacate an existing public utility easement located on Lots 2, 3, 4, and 5 of the Western Rock Subdivision Amended and Extended.",meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,4,within_source,Land-Use/Zoning,ordinance
2024-048,2024-09-19,2024-09-19,approve Ordinance No. 2024-048 to vacate an existing utility and roadway easement located in the proposed Ledges of St. George Fairways East Phase 3.,meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,5,within_source,Land-Use/Zoning,ordinance
2024-049,2024-09-19,2024-09-19,approve Ordinance No. 2024-049 to vacate an existing right of way for electric transmission and distribution line located in the proposed Ledges of St. George Fairways East Phases 2 and 3 subdivisions.,meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,6,within_source,Land-Use/Zoning,ordinance
2024-050,2024-09-19,2024-09-19,approve Ordinance No. 2024-050 to vacate a public utility easement located south of Lot 10 of the Dixie Commons subdivision.,meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,7,within_source,Land-Use/Zoning,ordinance
2024-051,2024-09-19,2024-09-19,"approve Ordinance No. 2024-051 to vacate a municipal utility easement located on Lot 10, Banded Hills Subdivision.",meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,8,within_source,Land-Use/Zoning,ordinance
2024-052,2024-09-19,2024-09-19,"approve Ordinance No. 2024-052 amending the City Zoning Map from R-1-8 (Single Family Residential 8,000 minimum sq ft lots) and RE-37.5 (Residential Estates 37,500 minimum sq ft lots) to C-2 (Commercial) and OS (Open Space) on approximately 1.63 acres located at 2121 West Sunset Boulevard.",meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,9,within_source,Land-Use/Zoning,ordinance
2024-055,2024-09-19,2024-09-19,"approve Ordinance No. 2024-055 to amend the Desert Color PD-C (Planned Development Commercial) zone on approximately 1.36 acres located on Desert Color Parkway, near Southern Parkway.",meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,12,within_source,Land-Use/Zoning,ordinance
2024-056,2024-09-19,2024-09-19,approve Ordinance No. 2024-056 amending the Southgate PD-C (Planned Development Commercial) zone on approximately 2.98 acres located at 1630 Auto Mall Drive.,meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,13,within_source,Land-Use/Zoning,ordinance
2024-057,2024-09-19,2024-09-19,"approve Ordinance No. 2024-057 amending the existing Dixie Commons PD-C (Planned Development Commercial) zone on approximately .93 acres located at 1664 South Dixie Drive, including all of the Planning Commission’s recommendations.",meeting_minutes/minutes/2024/2024-09-16/2024-09-19_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,4-0 Pass (The vote was unanimous and the motion carried.),2024-09-19,14,within_source,Land-Use/Zoning,ordinance
2024-058,2024-10-03,2024-10-03,"vacating an existing municipal utility easement located on the common lot line of Lots 1804 and 1805, Stone Cliff Phase 18",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-10-03,4,high,Land-Use/Zoning,ordinance
2024-059,2024-10-03,2024-10-03,"amending an approved PD-C (Planned Development Commercial) on approximately 0.65 acres, located just south of Medical Center Drive and 1450 East",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-10-03,6,high,Land-Use/Zoning,ordinance
2024-060,2024-10-03,2024-10-03,amending the White Dome Commercial PD-C (Planned Development Commercial) zone on approximately 29.26 acres located east of River Road between White Dome Drive and Southern Parkway,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-10-03,7,high,Land-Use/Zoning,ordinance
2024-061,2024-10-03,2024-10-03,amending Section 9-1-1 of City Code to adopt the most recent version of the construction codes adopted by the state of Utah including appendices and amendments,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-10-03,8,high,Ordinance,ordinance
2024-062,2024-10-03,2024-10-03,amending Title 10 of the City Code to add provisions for Live/Work Units to be allowed in the downtown residential zones with specific standards,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-10-03,9,high,Ordinance,ordinance
2024-063,2024-10-03,2024-10-03,amending Sections 10-7F-2 (PD-R - Planned Development Residential) and 10-8D-2 (PD-C -Planned Development Commercial) of City Code to extend the expiration date from one year to eighteen months,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,,2024-10-03,,medium,,ordinance
2024-064,2024-10-03,2024-10-03,"amending the Sections 10-18 (Walls, Fences and Hedges) and 10-18A (Rockery Walls) of City Code to address allowed heights, setbacks, separation and rock cut slopes and to address inconsistencies and provide clarification between these two ordinances",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.03%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.10.03 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-10-03,11,high,Ordinance,ordinance
2024-065,2024-10-17,2024-10-17,"amending a portion of the City Code, Title 10-8C-1, the allowed uses in the Manufacturing Zones. (Case No. 2024-ZRA-016)",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.10.17%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2024.10.17 Ordinances Approved and Adopted by the City Council.pdf,,,2024-10-17,,medium,,ordinance
2024-066,2024-11-07,2024-11-07,to vacate a portion of an existing municipal utility easement located on the eastern boundary of Lots 11 and 30 of the Woodhaven Estates Subdivision,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.11.07%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.11.07 Ordinances Approved and Adopted by the City Council.pdf,,3-0 Pass (The vote was unanimous and the motion carried.),2024-11-07,2,high,Land-Use/Zoning,ordinance
2024-067,2024-11-07,2024-11-07,to vacate a portion of an existing public utility and drainage easement located on the southern boundary of Lot 12 of Ancestor Estates Phase 2,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.11.07%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.11.07 Ordinances Approved and Adopted by the City Council.pdf,,3-0 Pass (The vote was unanimous and the motion carried.),2024-11-07,3,high,Land-Use/Zoning,ordinance
2024-068,2024-11-07,2024-11-07,to vacate Lot 21 from the Ancestor Estates Phase 3 subdivision,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.11.07%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.11.07 Ordinances Approved and Adopted by the City Council.pdf,,3-0 Pass (The vote was unanimous and the motion carried.),2024-11-07,4,high,Land-Use/Zoning,ordinance
2024-069,2024-11-07,2024-11-07,"to amend the City zoning map from A-20 (Agricultural, 20-acre minimum lot size) to PD-R (Planned Development Residential) on approximately 35.16 acres generally located southeast off exit 6 along Southern Parkway at the eastern terminus of Desert Canyons Parkway",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.11.07%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.11.07 Ordinances Approved and Adopted by the City Council.pdf,,3-0 Pass (The vote was unanimous and the motion carried.),2024-11-07,5,high,Land-Use/Zoning,ordinance
2024-070,2024-11-07,2024-11-07,to amend an approved PD-C (Planned Development Commercial) on approximately 3.44 acres located on the northeast corner of Black Ridge Drive and 250 West,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.11.07%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2024.11.07 Ordinances Approved and Adopted by the City Council.pdf,,,2024-11-07,,medium,,ordinance
2024-073,2024-11-21,2024-11-21,"amending Title 9, Chapter 14, Sections 1 and 7 of City Code relating to Stormwater Management",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.11.21%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.11.21 Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2024-11-21,5,high,Ordinance,ordinance
2024-074,2024-12-05,2024-12-05,"to vacate a segment of the existing roadway on Five Sisters Drive, located on the south side of its intersection with Howard Lane (at approximately 1840 East and 1030 South)",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.12.05%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.12.05 Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2024-12-05,2,high,Land-Use/Zoning,ordinance
2024-075,2024-12-05,2024-12-05,"to vacate a segment of the existing roadway on Black Mountain Drive, situated near I-15 at approximately 1110 West. Ordinance 2024-076 amending the city zoning map by amending the existing Desert Color Planned Development Commercial (PD-C) zone on approximately 1.31 acres located at the terminus of ",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.12.05%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2024.12.05 Ordinances Approved and Adopted by the City Council.pdf,,,2024-12-05,,medium,,ordinance
