date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,district,filing_phase,source,source_id,in_election_results,election_winner,date_precision,pages,text_chars
2025-10-27,Heidi Roggenbuck,Council,2025,interim,,Heidi Roggenbuck General Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3569,2026-07-06,text,pdftotext -layout,raw/2025_3569_Heidi-Roggenbuck-General-Financial-Statement.pdf,At-Large,general,city_archive_center,ADID3569,yes,False,inferred,3,5930
2025-11-30,Heidi Roggenbuck,Council,2025,summary,,Heidi Roggenbuck- Final Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3570,2026-07-06,text,pdftotext -layout,raw/2025_3570_Heidi-Roggenbuck-Final-Financial-Statement.pdf,At-Large,final,city_archive_center,ADID3570,yes,False,inferred,3,6017
2025-08-05,Jim M Vesock,Council,2025,interim,,Jim M Vesock- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3574,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3574_Jim-M-Vesock-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3574,no,,inferred,3,2972
2025-11-30,Jim M Vesock,Council,2025,summary,,Jim M Vesock- Final Campaign Finance Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3573,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3573_Jim-M-Vesock-Final-Campaign-Finance-Statement.pdf,,final,city_archive_center,ADID3573,no,,inferred,3,1629
2025-10-10,June Freeman Hesleph,Mayor,2025,interim,,June Freeman Hesleph Post Primary Financial Disclosure (corrected)_202510102007336553,https://www.wvc-ut.gov/Archive.aspx?ADID=3577,2026-07-06,text,pdftotext -layout,raw/2025_3577_June-Freeman-Hesleph-Post-Primary-Financial-Disclosure-corre.pdf,,post-primary,city_archive_center,ADID3577,yes,False,day,3,6703
2025-10-27,June Freeman Hesleph,Mayor,2025,interim,,June Freeman Hesleph General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3576,2026-07-06,text,pdftotext -layout,raw/2025_3576_June-Freeman-Hesleph-General-Financial-Disclosure.pdf,,general,city_archive_center,ADID3576,yes,False,inferred,3,6452
2025-12-29,June Freeman Hesleph,Mayor,2025,summary,,June Freeman Hesleph Final Campaign Finance Statement_202512290437110419,https://www.wvc-ut.gov/Archive.aspx?ADID=3575,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3575_June-Freeman-Hesleph-Final-Campaign-Finance-Statement.pdf,,final,city_archive_center,ADID3575,yes,False,day,3,1712
2025-08-05,Justin Turcsanski,Council,2025,interim,,Justin Turcsanski- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3578,2026-07-06,text,pdftotext -layout,raw/2025_3578_Justin-Turcsanski-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3578,no,,inferred,2,3766
2025-11-30,Justin Turcsanski,Council,2025,summary,,Turcsanski Campaign Finance Statement.docx,https://www.wvc-ut.gov/Archive.aspx?ADID=3598,2026-07-06,text,pdftotext -layout,raw/2025_3598_Turcsanski-Campaign-Finance-Statement-docx.pdf,,final,city_archive_center,ADID3598,no,,inferred,3,3572
2025-08-05,Karen Lang,Mayor,2025,interim,,Karen Lang- Primary Financial Disclosure (not required- voluntary submission),https://www.wvc-ut.gov/Archive.aspx?ADID=3582,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3582_Karen-Lang-Primary-Financial-Disclosure-not-required-volunta.pdf,,primary,city_archive_center,ADID3582,yes,True,inferred,3,2109
2025-09-15,Karen Lang,Mayor,2025,interim,,Karen Lang- Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3581,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3581_Karen-Lang-Post-Primary-Financial-Disclosure.pdf,,post-primary,city_archive_center,ADID3581,yes,True,inferred,3,2666
2025-10-27,Karen Lang,Mayor,2025,interim,,Karen Lang- General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3580,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3580_Karen-Lang-General-Financial-Disclosure.pdf,,general,city_archive_center,ADID3580,yes,True,inferred,2,1389
2025-11-30,Karen Lang,Mayor,2025,summary,,Karen Lang- Final Financial Disclosure Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3579,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3579_Karen-Lang-Final-Financial-Disclosure-Statement.pdf,,final,city_archive_center,ADID3579,yes,True,inferred,2,1818
2025-08-05,Lars Nordfelt,Council,2025,interim,,Lars Nordfelt- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3586,2026-07-06,text,pdftotext -layout,raw/2025_3586_Lars-Nordfelt-Primary-Financial-Disclosure.pdf,At-Large,primary,city_archive_center,ADID3586,yes,True,inferred,2,4960
2025-09-15,Lars Nordfelt,Council,2025,interim,,Lars Nordfelt- Post Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3585,2026-07-06,text,pdftotext -layout,raw/2025_3585_Lars-Nordfelt-Post-Primary-Financial-Disclosure.pdf,At-Large,post-primary,city_archive_center,ADID3585,yes,True,inferred,3,6050
2025-10-27,Lars Nordfelt,Council,2025,interim,,Lars Nordfelt General Financial Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3583,2026-07-06,text,pdftotext -layout,raw/2025_3583_Lars-Nordfelt-General-Financial-Statement.pdf,At-Large,general,city_archive_center,ADID3583,yes,True,inferred,3,6029
2025-11-30,Lars Nordfelt,Council,2025,summary,,Lars Nordfelt- Final Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3584,2026-07-06,text,pdftotext -layout,raw/2025_3584_Lars-Nordfelt-Final-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3584,yes,True,inferred,2,3652
2025-11-30,Rocky A Thomas,Council,2025,summary,,Rocky A Thomas- Final Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3587,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3587_Rocky-A-Thomas-Final-Financial-Disclosure.pdf,,final,city_archive_center,ADID3587,no,,inferred,1,948
2025-08-05,Rocky Thomas,Council,2025,interim,,Rocky Thomas- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3588,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3588_Rocky-Thomas-Primary-Financial-Disclosure.pdf,,primary,city_archive_center,ADID3588,no,,inferred,3,1860
2025-08-05,Ryan Mahoney,Council,2025,interim,,Ryan Mahoney- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3592,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3592_Ryan-Mahoney-Primary-Financial-Disclosure.pdf,At-Large,primary,city_archive_center,ADID3592,yes,False,inferred,4,2124
2025-09-15,Ryan Mahoney,Council,2025,interim,,Ryan Mahoney- Post Primary Financial Disclosure (Write-In Candidate),https://www.wvc-ut.gov/Archive.aspx?ADID=3591,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3591_Ryan-Mahoney-Post-Primary-Financial-Disclosure-Write-In-Cand.pdf,At-Large,post-primary,city_archive_center,ADID3591,yes,False,inferred,3,1908
2025-10-27,Ryan Mahoney,Council,2025,interim,,Ryan Mahoney General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3589,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3589_Ryan-Mahoney-General-Financial-Disclosure.pdf,At-Large,general,city_archive_center,ADID3589,yes,False,inferred,3,2008
2025-11-30,Ryan Mahoney,Council,2025,summary,,Ryan Mahoney- Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3590,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3590_Ryan-Mahoney-Final-Campaign-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3590,yes,False,inferred,1,936
2025-11-30,Ryan Mahoney,Council,2025,summary,,Ryan Mahony (write-in)- Final Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3593,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3593_Ryan-Mahony-write-in-Final-Financial-Disclosure.pdf,At-Large,final,city_archive_center,ADID3593,yes,False,inferred,1,972
2025-08-05,Scott Harmon,Council,2025,interim,,Scott Harmon- Primary Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3597,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3597_Scott-Harmon-Primary-Financial-Disclosure.pdf,2,primary,city_archive_center,ADID3597,yes,True,inferred,3,2252
2025-09-15,Scott Harmon,Council,2025,interim,,Scott Harmon- Post Primary Financial Disclosure Statement,https://www.wvc-ut.gov/Archive.aspx?ADID=3596,2026-07-06,text,pdftotext -layout,raw/2025_3596_Scott-Harmon-Post-Primary-Financial-Disclosure-Statement.pdf,2,post-primary,city_archive_center,ADID3596,yes,True,inferred,3,6783
2025-10-27,Scott Harmon,Council,2025,interim,,Scott Harmon General Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3594,2026-07-06,scanned,ocr:tesseract --psm 6 @300dpi (pdftoppm),raw/2025_3594_Scott-Harmon-General-Financial-Disclosure.pdf,2,general,city_archive_center,ADID3594,yes,True,inferred,3,1645
2025-11-30,Scott Harmon,Council,2025,summary,,Scott Harmon- Final Campaign Financial Disclosure,https://www.wvc-ut.gov/Archive.aspx?ADID=3595,2026-07-06,text,pdftotext -layout,raw/2025_3595_Scott-Harmon-Final-Campaign-Financial-Disclosure.pdf,2,final,city_archive_center,ADID3595,yes,True,inferred,4,6233
