legistar_matter_id,matter_file,name,title,matter_type,status,intro_body,intro_date,agenda_date,passed_date,enactment_number,application_id
4043,ANEX-08-20-5890(PC),,Escalante/Barcelona Annexation (R-1-10 Zone) 8340-8511 S. Escalante Drive and 2412-2566 E. Barcelona Drive [Community - #18],Planning Item,Reported to Council,Planning Commission,2020-08-20,2020-09-17,,,4043
4044,ANEX-08-20-5891(PC),,"Rossett Green Lane Annexation (R-1-40 and R-1-15 Zones) 2072, 2100 and 2140 East Creek Road and 8215-8265 South Rossett Green Lane [Community #18]",Planning Item,Reported to Council,Planning Commission,2020-08-20,2020-09-17,,,4044
4045,20-288,,Council Chair requesting the Council receive training regarding free speech during City Council meetings,Informational Report,Agenda Ready,City Council,2020-08-20,2020-08-25,,,
4046,20-289,,Council Member Zoltanski proposing Site Sign Posting Requirements for Public Meetings on rezoning and other land-use decisions.,Resolution,Agenda Ready,City Council,2020-08-20,2020-08-25,,,4046
4047,ZONE-07-20-5877(PC),,Copper Creek Rezone 1368 E. Copper Creek Road from CN and R-1-8 to RM (12) [Community #16 - Falcon Park],Ordinance,Reported to Council,Planning Commission,2020-08-24,2020-09-03,,,4047
4048,20-291,,Meeting of the Redevelopment Agency of Sandy City.,Resolution,Agenda Ready,City Council,2020-08-26,2020-09-08,,,
4049,20-292,,Field trip map,Informational Report,Agenda Ready,Planning Commission,2020-08-26,2020-09-03,,,
4050,20-293,,Planning Commission minutes from 8.20.2020 (Draft),Minutes,Passed,Planning Commission,2020-08-26,2020-09-03,2020-09-03,,
4051,20-294,,City Council Office recommending adoption of policy amendments as identified by the City Attorney's Office on public comment and orderly conduct.,Resolution,Consent Agenda,City Council,2020-08-26,2020-09-01,,,
4052,20-295,,"Possible Closed Session: character, professional competence, or physical or mental health of an individual or individuals.",Resolution,Agenda Ready,City Council,2020-08-27,2020-09-01,,,
4053,20-296,,Discussion and direction on Council legal services contract.,Resolution,Agenda Ready,City Council,2020-08-27,2020-09-01,,,
4054,CODE-07-20-5879_CC,,"KLM Endeavors - Heavy Commercial Use in RD Zone Amend Title 21, Chapter 8 - Land Uses in the Commercial, Office, Industrial, Office, Industrial, Mixed Use, Transit Corridor, and Research and Development District of the Sandy Municipal Code",Planning Item,Agenda Ready,City Council,2020-08-27,2020-09-01,,,4054
4055,20-298,,"Approval of the August 18, 2020 City Council meeting minutes.",Minutes,Consent Agenda,City Council,2020-08-28,2020-09-01,,,
4056,20-299,,Public Works Department providing the Council with a presentation on Dimple Dell Road,Informational Report,Agenda Ready,City Council,2020-08-28,2020-09-08,,,
4057,20-300,,"Approval of the August 25, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-08-31,2020-09-08,,,
4058,20-301,,"Approval of the September 1, 2020 City Council Minutes",Minutes,Consent Agenda,City Council,2020-09-03,2020-09-08,,,
4059,20-302,,Budget Discussion Week 1,Informational Report,Agenda Ready,City Council,2020-09-04,2020-09-08,,,
4060,20-303,,Discussion and direction on Council legal services contract.,Resolution,Agenda Ready,City Council,2020-09-04,2020-09-08,,,
4061,CODE-09-20-5907,,"Amend Public Notice Requirements Amend Title 21, Chapter 36 - Notice Requirements, of the Sandy Municipal Code",Planning Item,Reported to Council,Planning Commission,2020-09-09,2020-09-17,,,4061
4062,20-305,,Planning Commission minutes for 09.03.2020 (Draft),Minutes,Passed,Planning Commission,2020-09-09,2020-09-17,2020-09-17,,
4063,20-306,,Field trip map for 9-17-2020,Informational Report,Agenda Ready,Planning Commission,2020-09-09,2020-09-17,,,
4064,ANEX-08-20-5890(CC),,Escalante/Barcelona Annexation (R-1-10 Zone) 8340-8511 South Escalante Drive and 2412-2566 East Barcelona Drive [Community #18],Planning Item,Agenda Ready,City Council,2020-09-09,2020-09-22,,,4064
4065,ANEX-08-20-5891(CC),,"Rossett Green Lane Annexation (R-1-40 and R-1-15 Zones) 2072, 2100 and 2140 East Creek Road and 8215-8265 South Rossett Green Lane [Community #18]",Planning Item,Agenda Ready,City Council,2020-09-09,2020-09-22,,,4065
4066,20-309,,Council Member Houseman requesting that the Council discuss priority based budgeting,Informational Report,Agenda Ready,City Council,2020-09-09,2020-09-15,,,
4070,ZONE-07-20-5877(CC),,"Community Development Department presenting a rezone application (File #ZONE-07-20-5877, Copper Creek Rezone) on behalf of Utah Development Group, requesting that 1.02 acres located at 1368 E. Copper Creek Road be rezoned from the CN and R-1-8 Zone to the RM(12) Zone.",Ordinance,Agenda Ready,City Council,2020-09-09,2020-09-22,,,4070
4071,20-314,,"Possible Closed Session to discuss the purchase, exchange or lease of real property.",Informational Report,Agenda Ready,City Council,2020-09-10,2020-09-15,,,
4073,CUP-08-20-5903,,Gleason Accessory Structure (Conditional Use Permit requesting increase in height) 12209 Hidden Valley Road [Community #25],Planning Item,Passed,Planning Commission,2020-09-10,2020-09-17,2020-09-17,,4073
4074,20-318,,Sandy City Storm Water Program and Storm Water Regulations,Informational Report,Agenda Ready,City Council,2020-09-11,2020-09-15,,,
4075,CUP-08-20-5885,,"Bowen Accessory Structure (Conditional Use - Increased square footage, and to allow a single structure to be over 1500 square feet) 3245 E. Bell Oaks Cir. [Community #30]",Planning Item,Passed,Planning Commission,2020-09-11,2020-09-17,2020-09-17,,4075
4076,20-320,,City Attorney's Office providing a briefing on development agreements.,Informational Report,Agenda Ready,City Council,2020-09-11,2020-09-15,,,
4077,20-321,,"Approval of the September 8, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-09-11,2020-09-15,,,
4079,ANEX-09-20-5912,,"The Community Development Department is recommending the City Council adopt Resolution #20-37c indicating the intent to annex an unincorporated area located at approximately 2411-2533 E. Robidoux Road and 8252-8337 S. Escalante Drive, setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Consent Agenda,City Council,2020-09-15,2020-09-22,,,
4080,ANEX-09-20-5913,,"The Community Development Department is recommending the City Council adopt Resolution #20-38c indicating the intent to annex an unincorporated area located at approximately 8360-8391 Sublette Circle, 2311-2356 Sublette Place, 8432-8504 Treasure Mountain Drive and 2330-2343 E. Germania Circle, setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Consent Agenda,City Council,2020-09-16,2020-09-22,,,
4082,20-326,,Budget Discussion Week 2 and Monthly Sales Tax Update,Informational Report,Agenda Ready,City Council,2020-09-17,2020-09-22,,,
4083,20-327,,Council Member Stroud introducing the new Superintendent of Canyons School District,Informational Report,Agenda Ready,City Council,2020-09-17,2020-09-22,,,
4084,20-328,,2020 Justice Assistance Grant (JAG) Public Hearing,Resolution,Agenda Ready,City Council,2020-09-17,2020-09-22,,,
4086,20-330,,This is a test item explaining how to participate in eComment,Informational Report,Agenda Ready,City Council,2020-09-23,2020-09-23,,,
4087,20-331,,Public Works Department recommending that the City Council adopt an inter local agreement with Salt Lake County.,Resolution,Agenda Ready,City Council,2020-09-23,2020-09-23,,,
4088,20-332,,Public hearing to consider an amendment to the Sandy City FY 2021 budget,Resolution,Agenda Ready,City Council,2020-09-23,2020-09-23,,,
4089,SUB-09-20-5905,,Montana Ranchos No. 6 Subdivision (Preliminary Review) 1933 E. Alla Panna Way [Community #16 - Falcon Park],Planning Item,Passed,Planning Commission,2020-09-23,2020-10-01,2020-10-01,,4089
4091,SPR-06-20-5869(PC2),,Challenger School (Reconsideration of Condition of Approval No. 4) 10670 S. 700 E. [Community #11 - Crescent],Planning Item,Passed,Planning Commission,2020-09-23,2020-10-01,2020-10-01,,4091
4092,SPEX-09-20-5918,,Montana Ranchos No. 6 Subdivision (Special Exception) 1933 E. Alla Panna Way [Community #16 - Falcon Park],Planning Item,Passed,Planning Commission,2020-09-24,2020-10-01,2020-10-01,,4092
4093,20-337,,"Field Trip for October 1, 2020",Informational Report,Agenda Ready,Planning Commission,2020-09-24,2020-10-01,,,
4094,20-338,,Planning Commission minutes 9.17.2020 (Draft),Minutes,Agenda Ready,Planning Commission,2020-09-24,2020-10-01,,,
4095,20-339,,"Approval of the September 15, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-09-24,2020-10-06,,,
4096,22,,City Council receiving a presentation and update on the Point of the Mountain,Informational Report,Agenda Ready,City Council,2020-09-30,2020-10-06,,,
4097,20-341,,Council Member Zoltanski requesting that the Council receive a presentation on a recent Eagle Scout Project,Informational Report,Agenda Ready,City Council,2020-10-01,2020-10-06,,,
4099,20-343,,Administration recommending the Council receive a presentation from Rocky Mountain Power (RMP) on the Wattsmart Communities Program.,Informational Report,Agenda Ready,City Council,2020-10-01,2020-10-06,,,
4100,20-344,,"Approval of the September 22, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-10-01,2020-10-06,,,
4101,20-345,,Budget Discussion Week 3,Informational Report,Agenda Ready,City Council,2020-10-01,2020-10-06,,,
4103,CODE-09-20-5907_CC,,"Amend Public Notice Requirements Amend Title 21, Chapter 36 - Notice Requirements, of the Sandy Municipal Code",Planning Item,Agenda Ready,City Council,2020-10-05,2020-10-20,,,4103
4104,ZONE-03-20-5825(CC),,"Community Development Department presenting a rezone application (File #ZONE-03-20-5825, Orchards at Farnsworth Farms Rezone) on behalf of DAI, requesting that 10.07 acres located at 11228 S. 700 E. be rezoned from the R-1-40A Zone to the PUD(12) Zone.",Ordinance,Agenda Ready,City Council,2020-10-05,2020-10-13,,,
4105,20-349,,Community Development Department providing a review of the Stadium Village Master Plan.,Informational Report,Agenda Ready,City Council,2020-10-05,2020-10-13,,,
4106,20-350,,Planning Commission minutes (10.1.2020) Draft,Minutes,Passed,Planning Commission,2020-10-06,2020-10-15,2020-10-15,,
4107,20-351,,Field trip map for 10.15.2020,Informational Report,Agenda Ready,Planning Commission,2020-10-06,2020-10-15,,,
4108,ANEX-09-20-5912(PC),,Robidoux Road Annexation (R-1-10) Zone 2411-2533 East Robidoux Road and 8252-8337 South Escalante Drive [Community #18],Planning Item,Reported to Council,Planning Commission,2020-10-06,2020-10-15,,,4108
4109,ANEX-09-20-5913(PC),,"Sublette Circle Annexation (R-1-10) Zone 8360-8391 South Sublette Circle, 2311-2356 East Sublette Place, 8432-8504 South Treasure Mountain Drive and 2330-2343 East Germania Circle [Community #18]",Planning Item,Reported to Council,Planning Commission,2020-10-06,2020-10-15,,,4109
4111,SUB-07-20-5884,,"Synergy Canyons Subdivision 1st Amendment, Amending Lots 1 & 2 (Preliminary Review) 9150 S. and 9270 S. Sandy Pkwy [Community #2 - Civic Center]",Planning Item,Passed,Planning Commission,2020-10-07,2020-10-15,2020-10-15,,4111
4112,SUB-09-20-5908,,Harris Lot Split Subdivision (Preliminary Review) 625 E. 8800 S. [Community #4 - Historic Sandy],Planning Item,Passed,Planning Commission,2020-10-07,2020-10-15,2020-10-15,,4112
4113,CUP-09-20-5911,,Marshall Accessory Structure (Conditional Use Permit requesting increase in square footage) 582 E. Pali Street [Community #10- Crescent],Planning Item,Passed,Planning Commission,2020-10-07,2020-10-15,2020-10-15,,4113
4114,CUP-09-20-5909,,Dawson Accessory Apartment (Conditional Use Permit) 92 E. Lee Lane [Community #11 - Crescent],Planning Item,Passed,Planning Commission,2020-10-07,2020-10-15,2020-10-15,,4114
4115,20-359,,Utah Ranked Choice Voting (URCV) requesting that the Council receive a presentation on ranked choice voting,Informational Report,Agenda Ready,City Council,2020-10-08,2020-10-13,,,
4121,20-368,,Bulk Waste Program: Impacts on Public Works,Informational Report,Agenda Ready,City Council,2020-10-15,2020-10-20,,,
4122,20-369,,"Approval of the October 6, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-10-16,2020-10-20,,,
4123,20-370,,Council Member Christensen introducing conceptual code changes relative to community cat colony caretakers.,Resolution,Agenda Ready,City Council,2020-10-16,2020-10-20,,,
4124,20-371,,"Council Member Houseman proposing the City Council ""Community Connectors"" program",Resolution,Agenda Ready,City Council,2020-10-16,2020-10-20,,,
4125,ANEX-09-20-5912(CC),,Robidoux Road Annexation (R-1-10) Zone 2411-2533 East Robidoux Road and 8252-8337 South Escalante Drive [Community #18],Planning Item,Agenda Ready,City Council,2020-10-20,2020-10-27,,,4125
4126,ANEX-09-20-5913(CC),,"Sublette Circle Annexation (R-1-10) Zone 8360-8391 South Sublette Circle, 2311-2356 East Sublette Place, 8432-8504 South Treasure Mountain Drive and 2330-2343 East Germania Circle [Community #18]",Planning Item,Agenda Ready,City Council,2020-10-20,2020-10-27,,,4126
4127,20-374,,"A proclamation of the Mayor and City Council declaring November 1, 2020 as ""Extra Mile Day"" in Sandy City.",Special Recognition,Agenda Ready,City Council,2020-10-22,2020-10-27,,,
4128,20-375,,Bulk Waste Program: Ordinance and Financing Review,Informational Report,Agenda Ready,City Council,2020-10-22,2020-10-27,,,
4131,20-378,,Recess of the City Council meeting and convene a meeting of the Redevelopment Agency of Sandy City,Resolution,Agenda Ready,City Council,2020-10-23,2020-10-27,,,
4132,20-379,,The Administrative Services Department is recommending the adoption of four resolutions as part of Fiscal Year 2021 Budget Carryover,Resolution,Agenda Ready,City Council,2020-10-23,2020-10-27,,,
4133,ZONE-03-20-5825(PC2),,Orchards at Farnsworth Farms Rezone (amended) 11228 S. 700 E. from R-1-40A to PUD(10) [Community #11 - Crescent],Ordinance,Agenda Ready,Planning Commission,2020-10-23,2020-11-05,,,4133
4134,20-381,,Field trip for 11-5-2020,Informational Report,Agenda Ready,Planning Commission,2020-10-29,2020-11-05,,,
4135,20-382,,Planning Commission minutes 10.15.2020 (Draft),Minutes,Agenda Ready,Planning Commission,2020-10-29,2020-11-05,,,
4136,20-383,,Council Member Christensen proposing the creation of a new zone,Resolution,Agenda Ready,City Council,2020-10-29,2020-11-03,,,
4137,20-384,,"Approval of the October 13, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-10-29,2020-11-03,,,
4138,20-385,,Parks and Recreation Department providing the Council with an update on Alta Canyon Sports Center,Informational Report,Agenda Ready,City Council,2020-10-30,2020-11-03,,,
4139,20-386,,Council Office recommending that the Council receive a presentation about the Sandy City Council Social Media Strategy,Informational Report,Agenda Ready,City Council,2020-10-30,2020-11-03,,,
4140,20-387,,"Budget Discussion Week 4, Sales Tax Revenue and Quarterly Financial Summary",Informational Report,Agenda Ready,City Council,2020-10-30,2020-11-03,,,
4141,GPA-11-20-5939,,Community Development Department conducting an annual review of the Moderate Income Housing Plan and presenting an annual report as required by Section 10-9a-408 of Utah Code.,Resolution,Agenda Ready,City Council,2020-10-30,2020-11-10,,,
4142,20-389,,Administration providing update on Emergency Communications.,Informational Report,Agenda Ready,City Council,2020-11-03,2020-11-17,,,
4143,GPA-11-20-5938 (CC),,Community Development Department presenting a general plan amendment (File #GPA-11-20-5938) to add an Active Transportation Plan.,Ordinance,Agenda Ready,City Council,2020-11-04,2020-12-08,,,
4144,GPA-11-20-5938 (PC),,Active Transportation Plan General Plan Amendment,Ordinance,Reported to Council,Planning Commission,2020-11-04,2020-11-19,,,4144
4145,20-392,,City Council receiving a presentation and update on the Point of the Mountain,Informational Report,Agenda Ready,City Council,2020-11-05,2020-11-10,,,
4146,ZONE-03-20-5825(CC2),,"Community Development Department presenting a rezone application (File #ZONE-03-20-5825, Orchards at Farnsworth Farms Rezone) on behalf of DAI, requesting that 10.07 acres located at 11228 S. 700 E. be rezoned from the R-1-40A Zone to the PUD(10) Zone.",Ordinance,Agenda Ready,City Council,2020-11-05,2020-11-17,,,
4149,20-396,,The Administrative Services Department is recommending the adoption of four resolutions as part of Fiscal Year 2021 Budget Carryover,Resolution,Agenda Ready,City Council,2020-11-05,2020-11-10,,,
4150,20-397,,Council Member Zoltanski introducing concepts to establish campaign contribution limits and enhanced reporting disclosures in Sandy City elections.,Resolution,Passed,City Council,2020-11-05,2020-11-10,2020-11-10,,
4151,20-398,,Council Member Nicholl requesting presentation on Running a Successful Community Cat Program.,Informational Report,Agenda Ready,City Council,2020-11-05,2020-11-10,,,
4152,20-399,,"Approval of the October 20, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-11-05,2020-11-10,,,
4153,20-400,,"Approval of the October 27, 2020 Minutes",Minutes,Consent Agenda,City Council,2020-11-05,2020-11-10,,,
4154,20-401,,"Approval of the November 3, 2020 Minutes",Resolution,Passed,City Council,2020-11-06,2020-11-17,2020-11-17,,
4156,CUP-10-20-5925,,Silva Soccer School (Conditional Use Permit for Indoor Recreation) 547 W. 9460 S. [Community #2 - Civic Center],Planning Item,Passed,Planning Commission,2020-11-12,2020-11-19,2020-11-19,,4156
4157,CUP-10-20-5926,,Johnson Accessory Structure (Conditional Use Permit to allow for an individual accessory structure to exceed 1500 square feet) 1454 E. Churchill Downs Dr [Community #22],Planning Item,Passed,Planning Commission,2020-11-12,2020-11-19,2020-11-19,,4157
4158,20-405,,"Field Trip for November 19, 2020",Informational Report,Agenda Ready,Planning Commission,2020-11-12,2020-11-19,,,
4159,20-406,,Planning Commission Minutes from 11.5.2020 (Draft),Minutes,Passed,Planning Commission,2020-11-12,2020-11-19,2020-11-19,,
4160,CUP-10-20-5928,,Mirage Auto Car Sales 198 W. 9240 S. [Community #2 - Civic Center],Resolution,Passed,Planning Commission,2020-11-12,2020-11-19,2020-11-19,,
4161,20-408,,"Canyons School District introducing Superintendent Rick Robins, and providing the Council with a District update",Informational Report,Agenda Ready - Work Session,City Council,2020-11-12,2020-11-17,,,
4162,SPR-08-20-5886,,Towne Ridge Retail Pads “B” and “C” (Preliminary Site Plan Review) 9680 and 9710 S. State Street [Community #2 - Civic Center],Planning Item,Passed,Planning Commission,2020-11-12,2020-11-19,2020-11-19,,4162
4163,CUP-11-20-5958,,"Towne Ridge Retail Pads ""B"" and ""C"" (Conditional Use Permit for Restaurant, Drive-up Window) 9680 S. 9710 S. State Street [Community #2- Civic Center]",Planning Item,Passed,Planning Commission,2020-11-13,2020-11-19,2020-11-19,,4163
4165,20-412,,"Council Member Sharkey recommending the Council authorize legislative staff and counsel to evaluate, compile, recommend and provide a draft policy concerning the Bulk Waste Program and its compliance with the law, and to procure resources as needed to complete the analysis and recommendations.",Resolution,Agenda Ready,City Council,2020-11-13,2020-11-17,,,
4166,20-413,,Council Member Stroud presenting concern and inviting discussion on speeding in residential areas.,Informational Report,Agenda Ready,City Council,2020-11-13,2020-11-17,,,
4167,20-414,,Planning Commission minutes (11.19.2020) Draft,Minutes,Passed,Planning Commission,2020-11-17,2020-12-03,2020-12-03,,
4168,20-415,,Field Trip for 12.3.2020,Informational Report,Agenda Ready,Planning Commission,2020-11-17,2020-12-03,,,
4169,SUB-09-20-5921,,Bell Canyon Preservation Trailhead Park Subdivision (Preliminary Review) 3400 E. 9900 S. [Community #30 - Granite],Planning Item,Passed,Planning Commission,2020-11-19,2020-12-03,2020-12-03,,4169
4171,CUP-11-20-5943,,Lucky's Auto Credit (Conditional Use Permit for Auto Sales) 9032 S. State Street [Community #2 - Civic Center],Planning Item,Passed,Planning Commission,2020-11-19,2020-12-03,2020-12-03,,4171
4172,ZONE-11-20-5944(PC),,Bell Canyon Preservation Rezone South corner at Wasatch Blvd. and Little Cottonwood Rd. (12 parcels) [Community #30 - Granite],Ordinance,Passed,Planning Commission,2020-11-20,2020-12-03,2020-12-03,,4172
4173,20-420,,Mayor Bradburn requesting the Council's advice and consent for the appointment of Lynn Pace as the Sandy City Attorney.,Appointment,Agenda Ready,City Council,2020-11-23,2020-11-30,,,
4174,20-421,,"Possible Closed Session: character, professional competence, or physical or mental health of an individual.",Resolution,Agenda Ready,City Council,2020-11-23,2020-11-30,,,
4175,ZONE-11-20-5944(CC),,"Community Development Department presenting a rezone application (File #ZONE-11-20-5944, Bell Canyon Preservation) on behalf of the Sandy City Parks and Recreation Department, requesting that 8.1 acres located at the south corner of the intersection of Wasatch Boulevard and Little Cottonwood Road.",Ordinance,Agenda Ready,City Council,2020-11-25,2021-01-05,,,4175
4176,20-423,,"Community Development Department presenting, and recommending approval of, the second amendment to the 2019 Annual Action Plan for the use of Community Development Block Grant funds awarded in the third round of HUD's distribution of it's CARES Act allocation.",Resolution,Agenda Ready,City Council,2020-11-25,2020-12-08,,,
4177,20-424,,Council reappointment of Florence Reynolds as a regular member of the Public Utilities Advisory Board,Appointment,Consent Agenda,City Council,2020-12-01,2020-12-15,,,
4178,20-425,,Council reappointment of Larry Bowler as a regular member of the Public Utilities Advisory Board,Appointment,Consent Agenda,City Council,2020-12-01,2020-12-15,,,
4179,20-426,,"Approval of the November 30, 2020 City Council Special Meeting minutes.",Minutes,Passed,City Council,2020-12-01,2020-12-08,2020-12-08,,
4180,20-427,,"Possible Closed Session: character, professional competence, or physical or mental health of an individual: Council Executive Director.",Resolution,Agenda Ready,City Council,2020-12-01,2020-12-08,,,
4181,20-428,,Council Office recommending that the Council adopt an annual meeting schedule for calendar year 2021,Resolution,Consent Agenda,City Council,2020-12-01,2020-12-15,,,
4182,20-429,,The appointment of Council Members as liaisons to various committees for Calendar Year 2021,Resolution,Agenda Ready,City Council,2020-12-02,2020-12-08,,,
4183,20-430,,Sandy City Fire Department would like to give special recognition to individuals for their life saving efforts at the Windmill Cove Apartment Fire.,Special Recognition,Agenda Ready,City Council,2020-12-02,2020-12-15,,,
4184,20-431,,Sandy City Fire Department would like to give special recognition to individuals for their life saving efforts at the Majestic Rockies Motel Fire.,Special Recognition,Agenda Ready,City Council,2020-12-02,2020-12-15,,,
4188,20-435,,Budget Discussion Week 5 and Sales Tax Revenue Update,Informational Report,Agenda Ready - Work Session,City Council,2020-12-04,2020-12-08,,,
4189,20-436,,"Approval of the November 10, 2020 Minutes",Minutes,Passed,City Council,2020-12-04,2020-12-08,2020-12-08,,
4191,20-438,,"Approval of the November 17, 2020 Minutes",Minutes,Passed,City Council,2020-12-04,2020-12-08,2020-12-08,,
4192,20-439,,City Council Office providing update on independent legal representation for the City Council.,Resolution,Agenda Ready,City Council,2020-12-04,2020-12-08,,,
4194,20-441,,Council reappointment of Martha Haddock as a regular member of the Historic Committee,Appointment,Consent Agenda,City Council,2020-12-07,2020-12-15,,,
4195,20-442,,Council reappointment of Sean Kowallis as a regular member of the Historic Committee,Appointment,Consent Agenda,City Council,2020-12-07,2020-12-15,,,
4196,20-443,,Recess of the City Council meeting and convene a meeting of the Redevelopment Agency of Sandy City.,Resolution,Agenda Ready,City Council,2020-12-07,2020-12-15,,,
4197,ANEX-11-20-5952(R),,"The Community Development Department is recommending the City Council adopt Resolution #20-44c indicating the intent to annex an unincorporated area located at approximately 1170 E. 8600 S., setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2020-12-07,2020-12-15,,,
4198,ANEX-11-20-5953(R),,"The Community Development Department is recommending the City Council adopt Resolution #20-45c indicating the intent to annex an unincorporated area located at approximately 10118 S. Alta Villa Drive, setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2020-12-07,2020-12-15,,,
4199,ANEX-11-20-5954(R),,"The Community Development Department is recommending the City Council adopt Resolution #20-46c indicating the intent to annex an unincorporated area located at approximately 9565 S. Wasatch Blvd. (see attached location map), setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2020-12-07,2020-12-15,,,
4200,20-447,,"Field Trip for Dec 17, 2020",Informational Report,Agenda Ready,Planning Commission,2020-12-08,2020-12-17,,,
4201,20-448,,Planning Commission minutes 12.03.2020 (DRAFT),Minutes,Passed,Planning Commission,2020-12-08,2020-12-17,2020-12-17,,
4202,CUP-07-18-5462(3),,"Planning Commission review of CUP#-07-18-5462, Conditional Use Permit for the 7-Eleven store, granting 7 day a week, 24 hour a day business operation within 250 feet of a residential zone 711 W. 9000 S. [Community#2 - Civic Center]",Planning Item,Held,Planning Commission,2020-12-08,2020-12-17,,,4202
4203,SPR-11-20-5949,,Water Pro Storage Facility (Preliminary Site Plan Review) 2555 E. Wasatch Blvd. [Community #27 - Lone Peak],Planning Item,Passed,Planning Commission,2020-12-08,2020-12-17,2020-12-17,,4203
4204,CUP-11-20-5950,,Water Pro Storage Facility (Amended Conditional Use Permit) 2555 E. Wasatch Blvd. [Community #27 - Lone Peak],Planning Item,Passed,Planning Commission,2020-12-08,2020-12-17,2020-12-17,,4204
4205,SUB-11-20-5961,,Pebble Hills Subdivision (Preliminary Review) 1165 E. 8600 S. [Community #6 - HIgh Point],Planning Item,Passed,Planning Commission,2020-12-08,2020-12-17,2020-12-17,,4205
4207,CUP-11-20-5946,,McKinley Childcare (Conditional Use Permit for Category II Home Occupation) 9694 S. 575 E. [Community #5],Planning Item,Passed,Planning Commission,2020-12-09,2020-12-17,2020-12-17,,4207
4208,CUP-11-20-5657,,Kair Accessory Apartment (Conditional Use Permit) 8161 S. 865 E. [Community #6 - High Point],Planning Item,Tabled,Planning Commission,2020-12-09,2020-12-17,,,4208
4209,CUP-11-20-5595,,Latimer Accessory Apartment (Conditional Use Permit) 11038 S. Foxmoor Dr. [Community #26],Resolution,Passed,Planning Commission,2020-12-09,2020-12-17,2020-12-17,,4209
4210,20-457,,Election of Chair and Vice Chair for next six months,Informational Report,Agenda Ready,Planning Commission,2020-12-09,2020-12-17,,,
4211,20-458,,Public Works presentation on hazardous concrete inventory and mitigation,Informational Report,Agenda Ready - Work Session,City Council,2020-12-10,2020-12-15,,,
4213,20-460,,Budget Discussion Week 6,Informational Report,Agenda Ready - Work Session,City Council,2020-12-10,2020-12-15,,,
4214,20-461,,City Council Office recommending extension of Council legal services and presenting concepts to incorporate in a revised legal services policy.,Resolution,Agenda Ready,City Council,2020-12-11,2020-12-15,,,
4215,20-462,,Council Office providing initial feedback and recommendation regarding campaign disclosures.,Resolution,Agenda Ready,City Council,2020-12-11,2020-12-15,,,
4216,20-463,,"Introduction of Alta View Hospital CEO, Scott Roberson.",Informational Report,Agenda Ready,City Council,2020-12-11,2020-12-15,,,
4217,20-464,,Administration requesting Council adopt resolution authorizing up to a six-month severance agreement for the City Attorney.,Resolution,Consent Agenda,City Council,2020-12-14,2020-12-15,,,
4218,20-465,,"Approval of the December 8, 2020 Minutes",Resolution,Consent Agenda,City Council,2020-12-15,2021-01-05,,,
4219,ANEX-11-20-5952(R2),,"The Community Development Department is recommending the City Council adopt Resolution #20-44c indicating the intent to annex an unincorporated area located at approximately 1170 E. 8600 S., setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2020-12-16,2021-01-05,,,
4220,ANEX-11-20-5953(R2),,"The Community Development Department is recommending the City Council adopt Resolution #20-45c indicating the intent to annex an unincorporated area located at approximately 10118 S. Alta Villa Drive, setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2020-12-16,2021-01-05,,,
4221,ANEX-11-20-5954(R2),,"The Community Development Department is recommending the City Council adopt Resolution #20-46c indicating the intent to annex an unincorporated area located at approximately 9565 S. Wasatch Blvd. (see attached location map), setting a public hearing to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2020-12-16,2021-01-05,,,
4222,20-466,,"Sandy City Fire Department's swearing in and badge pinning ceremony for new hire and promotions, and Ring the Bell program update.",Special Recognition,Agenda Ready,City Council,2020-12-18,2021-01-05,,,
4223,21-001,,City Council and Mayor honoring the life and service of Judge Dee Benson.,Special Recognition,Agenda Ready,City Council,2021-01-04,2021-01-05,,,
4224,21-002,,"Election of City Council Chair and Vice Chair for a term of January 5, 2021 through July 13, 2020.",Appointment,Agenda Ready,City Council,2021-01-04,2021-01-05,,,
4225,21-003,,City Council Office recommending annually required Open and Public Meeting Act training.,Informational Report,Agenda Ready,City Council,2021-01-04,2021-01-05,,,
4226,21-004,,"Council Member Nicholl introducing the Utah Compact on Racial Equity, Diversity, and Inclusion.",Resolution,Agenda Ready,City Council,2021-01-04,2021-01-05,,,
4227,21-005,,Mayor Bradburn requesting City Council advice and consent for the appointment of Dan Medina as Parks and Recreation Director.,Resolution,Agenda Ready,City Council,2021-01-06,2021-01-12,,,
