date,candidate,office,election_year,filing_type,reporting_period,title,source_url,retrieved_date,format,extraction_method,path,document_id,sha256,matched_election_candidate,join_confidence,provider
2025-07-15,Cyndi Sharkey,Mayor,2025,interim,Mayor 28 days before primary,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Mayor 28 days before primary),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Sharkey_Mayor-28-days-before-primary_FF0DB80E.pdf,FF0DB80E-84CF-4F4D-BDDE-8FF47353A5BB,976999be2a73f94803ba23e8101bc4bb4c5092a85ca8fc1ea34bf963eeb400ba,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-08-04,Cyndi Sharkey,Mayor,2025,interim,Mayor 7 days before primary,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Mayor 7 days before primary),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202508_Sharkey_Mayor-7-days-before-primary_17B418A1.pdf,17B418A1-298C-4769-BA4B-7B536A2EBBB4,842e1b8e5390ce225b9871273a6a1038f7c4113d2da81d8b21216493821416e7,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-07,Cyndi Sharkey,Mayor,2025,interim,Mayor 28 days before general,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Mayor 28 days before general),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Sharkey_Mayor-28-days-before-general_6503DB73.pdf,6503DB73-DCAC-4E0E-BE62-8ACCAD5E243F,4317831c598d8915dd6b21746286320007e97d62da734fcfa2e7cd7a12d31759,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-28,Cyndi Sharkey,Mayor,2025,interim,Mayor 7 days before general,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Mayor 7 days before general),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Sharkey_Mayor-7-days-before-general_5DC4AF0A.pdf,5DC4AF0A-9E34-47AF-A487-6414D22748BC,f2b0cea9c8fd8ff1ca9231d4ae1fcffc99e6d26241ad3df12364114eb2c2aeaa,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-12-04,Cyndi Sharkey,Mayor,2025,summary,Mayor 30 days after general,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Mayor 30 days after general),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202512_Sharkey_Mayor-30-days-after-general_2FC50938.pdf,2FC50938-0183-437B-BA77-BEEA5371341D,a095c5b381f6db1a001e9f94864b49cf8697544ed2bde3a5bc50feb47c8b3d90,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2026-01-14,Cyndi Sharkey,Mayor,2025,summary,Annual Disclosure Filed Jan 2026,Cyndi Sharkey — Sandy City Report of Contributions & Expenditures (Annual Disclosure Filed Jan 2026),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202601_Sharkey_Annual-Disclosure-Filed-Jan-2026_B8F05A68.pdf,B8F05A68-42F5-423A-A22B-8DD86209D6C6,876601d338ae0b0eefe0cd7f5fd08147e52c069c21adb8358999638156abd969,CYNDI SHARKEY,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-10,Kris Nicholl,Council District 3,2021,interim,1,Kris Nicholl — Sandy City Report of Contributions & Expenditures (1),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Nicholl_1_2C2D934E.pdf,2C2D934E-66BF-4B5C-AE80-FDCA90537E47,046439970b30fcd9dd1e8b405b776c7bcb597bd0d2f66911a52efdd2553c1ba5,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-13,Kris Nicholl,Council District 3,2021,interim,amedned,Kris Nicholl — Sandy City Report of Contributions & Expenditures (amedned),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Nicholl_amedned_33AF5D93.pdf,33AF5D93-9E8B-44F3-BD54-3DEC9C699BF9,e907dbb13bb9446670b54b431d186e6311f11edd54c2ee15819737d923fbd199,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-25,Kris Nicholl,Council District 3,2021,interim,Seven (7) days before the date of the municipal general election,Kris Nicholl — Sandy City Report of Contributions & Expenditures (Seven (7) days before the date of the municipal general election),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Nicholl_Seven-7-days-before-the-date-of-the-municipal-gene_AF38B249.pdf,AF38B249-F413-47B6-974A-7897C3D8F0FC,7cab543d9212e9b77be70098c12323a8ec8d5392b6cabece5bb89904aca89e9b,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-12-01,Kris Nicholl,Council District 3,2021,summary,Final Disclosure,Kris Nicholl — Sandy City Report of Contributions & Expenditures (Final Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202112_Nicholl_Final-Disclosure_FC866868.pdf,FC866868-8F0C-4010-A62B-8EC7E5A14823,fdb0c6f50033c4f6587e2943175735f2c0073b4f43205001ae1d43429e1d1052,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-07-14,Kris Nicholl,Council District 3,2025,interim,July 14 Disclosure,Kris Nicholl — Sandy City Report of Contributions & Expenditures (July 14 Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Nicholl_July-14-Disclosure_72868698.pdf,72868698-0B78-4E7F-AFCF-86F40FE06837,d63472a16cbdd9353eea1bf36ef671398a4c85b9738cbc9f3a342c632f571800,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-08-04,Kris Nicholl,Council District 3,2025,interim,8/5/2025,Kris Nicholl — Sandy City Report of Contributions & Expenditures (8/5/2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202508_Nicholl_8-5-2025_F467E477.pdf,F467E477-7879-4C01-80F5-E172E1C0123E,6372fa39bffc3a68392f046bb7d35e56c93678a84df374ed164850d6111724a1,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-07,Kris Nicholl,Council District 3,2025,interim,"October 7, 2025","Kris Nicholl — Sandy City Report of Contributions & Expenditures (October 7, 2025)",https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Nicholl_October-7-2025_BE57AC3C.pdf,BE57AC3C-DC73-402A-8E95-D0C21BDC5AB2,6e9a9e8ed0625c6853b9373ea42682c05c50dff86e0262a1e0e199210902b1e0,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-28,Kris Nicholl,Council District 3,2025,interim,10/28/2025,Kris Nicholl — Sandy City Report of Contributions & Expenditures (10/28/2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Nicholl_10-28-2025_A07A5B65.pdf,A07A5B65-5F37-46D0-B283-6FB495421FCA,9866ca2dab45505cfbbbd8495d29c591a2364ecb85f9777d89ee57cd63e114be,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2025-11-19,Kris Nicholl,Council District 3,2025,summary,Final 2025,Kris Nicholl — Sandy City Report of Contributions & Expenditures (Final 2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202511_Nicholl_Final-2025_31227599.pdf,31227599-2D71-4C3E-B088-2CAF333D1E86,df70335938b268fda8b8eb73d56d584029bb52d50a7ea0772487a1f2c67d4562,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2026-01-05,Kris Nicholl,Council District 3,2025,summary,Final 2025,Kris Nicholl — Sandy City Report of Contributions & Expenditures (Final 2025),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202601_Nicholl_Final-2025_61169850.pdf,61169850-2B3F-493D-841D-F1AE57B423DA,e5ac7820ef77d6c5a9848e8bfbebed64e2ecd32347262e52e47a0301635fbcf3,KRIS NICHOLL,exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-11,Monica Zoltanski,Mayor,2021,interim,Initial Disclosure 10/11/21,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (Initial Disclosure 10/11/21),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Zoltanski_Initial-Disclosure-10-11-21_2C3F9923.pdf,2C3F9923-2CC0-413D-BCF7-0D69AD867C0E,0e96ba108485aee0a6692c1e0f47ff83b38392c90f08e54e90b5e5b8d75c5459,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2021-10-25,Monica Zoltanski,Mayor,2021,interim,General Election Disclosures 10/26/21,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (General Election Disclosures 10/26/21),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202110_Zoltanski_General-Election-Disclosures-10-26-21_AC4C5732.pdf,AC4C5732-44AE-4692-99A6-01A6AC8628B0,ffa8f6034fac35ffefcc56859b508ee8f1f0d855a83f6669e911adc190949946,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2021-12-02,Monica Zoltanski,Mayor,2021,interim,votemonicaz@gmail.com,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (votemonicaz@gmail.com),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202112_Zoltanski_votemonicaz-gmail-com_50ED370E.pdf,50ED370E-2861-46AE-985D-A131AA669711,06038e90af8169b31f9d71361046a600c7285fd60d221b026274e5898c455790,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2022-03-23,Monica Zoltanski,Mayor,2021,summary,Annual Disclosure,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (Annual Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202203_Zoltanski_Annual-Disclosure_C5440216.pdf,C5440216-A06A-4446-8C68-105B438AE4B1,e9f346e7a98b3e0bc7e3a75fe76cf27a7dd9c4fb6618f9e35ff9a6df95f34b51,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2023-01-12,Monica Zoltanski,Mayor,2021,summary,2022 Year End Report,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (2022 Year End Report),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202301_Zoltanski_2022-Year-End-Report_686D6F95.pdf,686D6F95-9409-4792-B863-247F6054BA13,2bd5e57c96a959b068b6f47bf3c48b2eb1cfc5f118bf92681fcd6158e66c1ce3,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2024-01-11,Monica Zoltanski,Mayor,2023,summary,2023 Year End Report,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (2023 Year End Report),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202401_Zoltanski_2023-Year-End-Report_998ED415.pdf,998ED415-DE2B-4173-8908-A1D0B528209B,8d8413e8341f17cfc98d4df21342b747b836215f6f3f85137e540abbb92d27e9,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-01-13,Monica Zoltanski,Mayor,2023,summary,Year end 2024,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (Year end 2024),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202501_Zoltanski_Year-end-2024_FF67CA77.pdf,FF67CA77-73EE-417D-899A-331679D6B6F3,ce20b1b354746b3b69e6f0bbbac7ddabd2011350f5065447b84253535bf3f4b1,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-07-15,Monica Zoltanski,Mayor,2025,interim,July 15 2025 Report,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (July 15 2025 Report),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Zoltanski_July-15-2025-Report_7DA3F17E.pdf,7DA3F17E-9456-4ED8-8CFE-59D9251A5539,5f0cf49b870ce37c91f39e18ad7305bef08ee411a0387147fede624ea0d73d60,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2025-07-17,Monica Zoltanski,Mayor,2025,interim,July 15 2025 Amended,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (July 15 2025 Amended),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Zoltanski_July-15-2025-Amended_9E217718.pdf,9E217718-857C-436C-9576-D84BA4DF1C30,d73d762433ba4f72615754814214feebfdfb65b9579655882a9295fbd0a7eaab,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2025-08-05,Monica Zoltanski,Mayor,2025,interim,August 5th Report,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (August 5th Report),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202508_Zoltanski_August-5th-Report_AAC91E45.pdf,AAC91E45-0020-45D0-B470-D9CC5D6511CF,7bc9c215fc03482dce99e37d4767666902426be6c6321717a0d4375e8ba148e0,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-07,Monica Zoltanski,Mayor,2025,interim,"October 7, 2025","Monica Zoltanski — Sandy City Report of Contributions & Expenditures (October 7, 2025)",https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Zoltanski_October-7-2025_00CF1E04.pdf,00CF1E04-DA33-443D-A463-3D981DC4BDAC,7c3af88fd5e6cc4129d306887fc16072f3ae004a6632bb5764d5a5ff3ad0f563,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2025-10-28,Monica Zoltanski,Mayor,2025,interim,"October 28, 2025","Monica Zoltanski — Sandy City Report of Contributions & Expenditures (October 28, 2025)",https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Zoltanski_October-28-2025_DA310C3B.pdf,DA310C3B-F393-4FED-B49F-F0D5B522E140,aa7d505d089c370458a8002e54cb26c84a4cba239e9bfef63f9f5f538a54faf3,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2025-12-04,Monica Zoltanski,Mayor,2025,interim,"December 4, 2025","Monica Zoltanski — Sandy City Report of Contributions & Expenditures (December 4, 2025)",https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202512_Zoltanski_December-4-2025_CC160DED.pdf,CC160DED-3FBA-4DF6-9AE0-D8863B134189,6df824b8970ba464d26f2341f7a84f8371effa631926eb4786a7fd60d3939e15,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2026-01-14,Monica Zoltanski,Mayor,2025,interim,January 2026,Monica Zoltanski — Sandy City Report of Contributions & Expenditures (January 2026),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202601_Zoltanski_January-2026_A2769C96.pdf,A2769C96-3020-4B69-A3E4-449C8607184C,8e55e2113ec13b381165151aff02fecaa8dad3d39c4da90892490aa97d18183c,"MONICA ""MONICA Z"" ZOLTANSKI",exact,EasyVote (ecf-api.easyvoteapp.com)
2025-07-15,Parry Harrison,Council District 3,2025,interim,7.15.25 Disclosure,Parry Harrison — Sandy City Report of Contributions & Expenditures (7.15.25 Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Harrison_7-15-25-Disclosure_A221B6AF.pdf,A221B6AF-FA12-435B-AA9E-D25046310C1D,ba53af1ca8d88a16ab63c9a356812716873df79393c81b1dcb5ae371ee9d5fa2,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-07-17,Parry Harrison,Council District 3,2025,interim,Ammended 28 day primary disclosure,Parry Harrison — Sandy City Report of Contributions & Expenditures (Ammended 28 day primary disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202507_Harrison_Ammended-28-day-primary-disclosure_C85042C5.pdf,C85042C5-E9C9-4C5B-B28E-6412BB8F4BCF,bee6566956a87ac79fad7cf1c44046fe370aa61de5cf998ca47103a25a0881fe,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-08-05,Parry Harrison,Council District 3,2025,interim,8.5.25 7-day Disclosure,Parry Harrison — Sandy City Report of Contributions & Expenditures (8.5.25 7-day Disclosure),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202508_Harrison_8-5-25-7-day-Disclosure_3AE7514D.pdf,3AE7514D-75C1-4032-B9FE-04C4ACC69A75,c180bb933cade1083e1e11f61a8504b345ad06a2395091001d083923d9766504,,none,EasyVote (ecf-api.easyvoteapp.com)
2025-10-09,Parry Harrison,Council District 3,2025,summary,30 Day Post Primary,Parry Harrison — Sandy City Report of Contributions & Expenditures (30 Day Post Primary),https://sandycityut.easyvotecampaignfinance.com/home/publicfilings,2026-07-05,scanned,ocr_tesseract,raw/easyvote/202510_Harrison_30-Day-Post-Primary_36A56200.pdf,36A56200-4763-482C-832A-D8451F1E94C0,34c0c83a4d9b5a0a216c43566be76a3c5411d4ca416ebbaca8bfc1d2821c5231,,none,EasyVote (ecf-api.easyvoteapp.com)
