ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_type,status,minutes_files
07-11-2023,2023-07-11,2023-07-11,"Title 10 Zoning Code Amendments (lot size, frontage, setbacks, height; new half-acre residential zone)",https://www.utah.gov/pmn/files/1006347.pdf,2026-07-05,text,PMN Notice-of-Ordinance PDF corroborates number+subject; linked to council motion,raw/1006347.pdf,yes,Pass (unanimous),2023-07-11,2,high,zone_change,ADOPTED,meeting_minutes/minutes/2023/2023-07-10/2023-07-11_city-council-meeting.md
08-01-2023,2023-08-01,2023-08-01,limiting the building height in the CU-2 zone from 75 feet to 45,meeting_minutes/minutes/2023/2023-07-31/2023-08-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2023-08-01,2,within_source,zone_change,,meeting_minutes/minutes/2023/2023-07-31/2023-08-01_city-council-meeting.md
08-15-2023,2023-08-15,2023-08-15,REZONE PARCEL #XA00-0670-2 (431 N. MAIN) FROM CU-1 TO CU-2,meeting_minutes/minutes/2023/2023-08-14/2023-08-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-08-15,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2023/2023-08-14/2023-08-15_city-council-meeting.md
09-05-2023,2023-09-05,2023-09-05,TITLE 10 CODE CHANGE,meeting_minutes/minutes/2023/2023-09-04/2023-09-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2023-09-05,3,within_source,land_use_code,ADOPTED,meeting_minutes/minutes/2023/2023-09-04/2023-09-05_city-council-meeting.md
12-19-2023,2023-12-19,2023-12-19,CODE ADDITION FOR APPOINTED EMPLOYEES,meeting_minutes/minutes/2023/2023-12-18/2023-12-19_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,no,,,,none,,ADOPTED,meeting_minutes/minutes/2023/2023-12-18/2023-12-19_city-council-meeting.md
02-06-2024,2024-02-06,2024-02-06,VICIOUS DOG,meeting_minutes/minutes/2024/2024-02-05/2024-02-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass (unanimous),2024-02-06,7,within_source,,ADOPTED,meeting_minutes/minutes/2024/2024-02-05/2024-02-06_city-council-meeting.md
03-05-2024,2024-03-05,2024-03-05,changing the property owned by Marty Barber from an ID-3 zone to ID-1,meeting_minutes/minutes/2024/2024-03-04/2024-03-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2024-03-05,4,within_source,zone_change,,meeting_minutes/minutes/2024/2024-03-04/2024-03-05_city-council-meeting.md
04-16-2024,2024-04-16,2024-04-16,REZONE OF 1025 S MAIN STREET,meeting_minutes/minutes/2024/2024-04-15/2024-04-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-0 Pass,2024-04-16,3,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2024/2024-04-15/2024-04-16_city-council-meeting.md
05-07-2024,2024-05-07,2024-05-07,TEMPORARY LIVING,meeting_minutes/minutes/2024/2024-05-06/2024-05-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,5-0 Pass,2024-05-07,2,within_source,,ADOPTED,meeting_minutes/minutes/2024/2024-05-06/2024-05-07_city-council-meeting.md
06-04-2024,2024-06-04,2024-06-04,1620 NORTH ANNEXATION,meeting_minutes/minutes/2024/2024-06-03/2024-06-04_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-0 Pass,2024-06-04,3,within_source,annexation,ADOPTED,meeting_minutes/minutes/2024/2024-06-03/2024-06-04_city-council-meeting.md
06-18-2024,2024-06-18,2024-06-18,PAINTER SMITH ANNEXATION,meeting_minutes/minutes/2024/2024-06-17/2024-06-18_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,4-0 Pass,2024-06-18,4,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2024/2024-06-17/2024-06-18_city-council-meeting.md
07-02-2024,2024-07-02,2024-07-02,PARKING CODE,meeting_minutes/minutes/2024/2024-07-01/2024-07-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,5-0 Pass,2024-07-02,4,within_source,,ADOPTED,meeting_minutes/minutes/2024/2024-07-01/2024-07-02_city-council-meeting.md
07-02-2024-A,2024-07-02,2024-07-02,PARKING LOT CODE,meeting_minutes/minutes/2024/2024-07-01/2024-07-02_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,yes,,,,none,parking,ADOPTED,meeting_minutes/minutes/2024/2024-07-01/2024-07-02_city-council-meeting.md
08-20-2024,2024-08-20,2024-08-20,CU-1 AND CU-2 ZONES,meeting_minutes/minutes/2024/2024-08-19/2024-08-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,3-0 Pass,2024-08-20,2,within_source,zone_change,ADOPTED,meeting_minutes/minutes/2024/2024-08-19/2024-08-20_city-council-meeting.md
09-17-2024,2024-09-17,2024-09-17,with the plat amendment option to gain the density neede,meeting_minutes/minutes/2024/2024-09-16/2024-09-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2024-09-17,2,within_source,plat,,meeting_minutes/minutes/2024/2024-09-16/2024-09-17_city-council-meeting.md
10-15-2024,2024-10-15,2024-10-15,SHORT TERM RENTALS DRAFT REVIEWED AND,meeting_minutes/minutes/2024/2024-10-14/2024-10-15_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass (unanimous),2024-10-15,2,within_source,short_term_rental,TABLED,meeting_minutes/minutes/2024/2024-10-14/2024-10-15_city-council-meeting.md
11-05-2024,2024-11-05,2024-11-05,GOVERNING SHORT-TERM RENTALS,meeting_minutes/minutes/2024/2024-11-04/2024-11-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2024-11-05,3,within_source,short_term_rental,ADOPTED,meeting_minutes/minutes/2024/2024-11-04/2024-11-05_city-council-meeting.md
11-19-2024,2024-11-19,2024-11-19,BEER LICENSE CODE AMENDMENTS,meeting_minutes/minutes/2024/2024-11-18/2024-11-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,4-0 Pass,2024-11-19,4,within_source,,ADOPTED,meeting_minutes/minutes/2024/2024-11-18/2024-11-19_city-council-meeting.md
11-19-2024-A,2024-11-19,2024-11-19,REZONE OF MOUNTAIN COUNTRY EQUIPMENT PROPERTY: Mr,meeting_minutes/minutes/2024/2024-11-18/2024-11-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2024-11-19,2,within_source,zone_change,,meeting_minutes/minutes/2024/2024-11-18/2024-11-19_city-council-meeting.md
11-19-2024-B,2024-11-19,2024-11-19,REZONE OF NEPHI WESTERN FEDERAL CREDIT UNION PROPERTY: Mr,meeting_minutes/minutes/2024/2024-11-18/2024-11-19_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass,2024-11-19,3,within_source,zone_change,,meeting_minutes/minutes/2024/2024-11-18/2024-11-19_city-council-meeting.md
12-03-2024,2024-12-03,2024-12-03,issue a continuation review to the ordinance governing subdivision,meeting_minutes/minutes/2024/2024-12-02/2024-12-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,Pass (unanimous),2024-12-03,2,within_source,subdivision,APPROVED,meeting_minutes/minutes/2024/2024-12-16/2024-12-17_city-council-meeting.md
12-17-2024,2024-12-17,2024-12-17,SUBDIVISION CODE,meeting_minutes/minutes/2024/2024-12-16/2024-12-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,3-0 Pass,2024-12-17,2,within_source,subdivision,ADOPTED,meeting_minutes/minutes/2024/2024-12-16/2024-12-17_city-council-meeting.md
12-17-2024-A,2024-12-17,2024-12-17,RED CLIFFS STORAGE ANNEXATION,meeting_minutes/minutes/2024/2024-12-16/2024-12-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,yes,3-0 Pass,2024-12-17,5,within_source,annexation,ADOPTED,meeting_minutes/minutes/2024/2024-12-16/2024-12-17_city-council-meeting.md
01-18-2025,2025-01-18,2025-01-18,Councilor Skip Worwood moved to adopt . Councilor Jeramie Callaway seconded the motion. The motion passed on the following roll call vote,meeting_minutes/minutes/2025/2025-02-17/2025-02-18_city-council-meeting.md,2026-07-05,text,minutes header/motion text only; no discrete vote row on adoption date (audit signal),,no,,,,none,,,meeting_minutes/minutes/2025/2025-02-17/2025-02-18_city-council-meeting.md
02-18-2025,2025-02-18,2025-02-18,PUBLIC IMPROVEMENT REQUIREMENTS,meeting_minutes/minutes/2025/2025-02-17/2025-02-18_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,Pass,2025-02-18,2,within_source,subdivision,ADOPTED,meeting_minutes/minutes/2025/2025-02-17/2025-02-18_city-council-meeting.md
03-04-2025,2025-03-04,2025-03-04,—BACKFLOW PREVENTION,meeting_minutes/minutes/2025/2025-03-03/2025-03-04_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2025-03-04,4,within_source,,ADOPTED,meeting_minutes/minutes/2025/2025-03-03/2025-03-04_city-council-meeting.md
05-20-2025,2025-05-20,2025-05-20,ZONE CHANGE ORDINANCE,meeting_minutes/minutes/2025/2025-05-19/2025-05-20_city-council-meeting.md,2026-07-05,text,"reconstructed from meeting_minutes; same-day multi-ordinance, motion linked POSITIONALLY (suffix letter truncated in all_votes source)",,yes,4-0 Pass,2025-05-20,2,within_source,zone_change,,meeting_minutes/minutes/2025/2025-05-19/2025-05-20_city-council-meeting.md
09-02-2025,2025-09-02,2025-09-02,NUISANCE CODE UPDATE,meeting_minutes/minutes/2025/2025-09-01/2025-09-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2025-09-02,2,within_source,,,meeting_minutes/minutes/2025/2025-09-01/2025-09-02_city-council-meeting.md
09-02-2025-A,2025-09-02,2025-09-02,ATV CODE UPDATE Brought by a resident to the 5-13-2025 council meeting. She requested that the,meeting_minutes/minutes/2025/2025-09-01/2025-09-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2025-09-02,3,within_source,,,meeting_minutes/minutes/2025/2025-09-01/2025-09-02_city-council-meeting.md
09-02-2025-B,2025-09-02,2025-09-02,GOLF CART CODE UPDATE This code was,meeting_minutes/minutes/2025/2025-09-01/2025-09-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2025-09-02,4,within_source,,,meeting_minutes/minutes/2025/2025-09-01/2025-09-02_city-council-meeting.md
12-02-2025,2025-12-02,2025-12-02,"Creation of Industrial 4 Zone (ID4) for data centers with associated buildings, uses and utilities",https://www.utah.gov/pmn/files/1360629.pdf,2026-07-05,text,PMN Notice-of-Ordinance PDF corroborates number+subject; linked to council motion,raw/1360629.pdf,yes,Pass,2025-12-02,2,high,zone_change,,meeting_minutes/minutes/2025/2025-12-01/2025-12-02_city-council-meeting.md
12-02-2025-A,2025-12-02,2025-12-02,Adding 'Modular Data Center' and accessory uses/structures to the Industrial 1 (ID1) zone,https://www.utah.gov/pmn/files/1360627.pdf,2026-07-05,text,PMN Notice-of-Ordinance PDF corroborates number+subject; linked to council motion,raw/1360627.pdf,yes,Pass,2025-12-02,3,high,zone_change,,meeting_minutes/minutes/2025/2025-12-01/2025-12-02_city-council-meeting.md
01-20-2026,2026-01-20,2026-01-20,Jacobson Annexation (400 W) — annexing property and establishing R1-1/2 acre with Agricultural overlay zoning,https://www.utah.gov/pmn/files/1380331.pdf,2026-07-05,text,PMN Notice-of-Ordinance PDF corroborates number+subject; linked to council motion,raw/1380331.pdf,yes,4-0 Pass,2026-01-20,3,high,zone_change,,meeting_minutes/minutes/2026/2026-01-19/2026-01-20_city-council-meeting.md
05-05-2026-A,2026-05-05,2026-05-05,C. RESIDENTIAL HOME FACILITY CODE CHANGES- a. Mr,meeting_minutes/minutes/2026/2026-05-04/2026-05-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,1-0 Pass,2026-05-05,3,within_source,,,meeting_minutes/minutes/2026/2026-05-04/2026-05-05_city-council-meeting.md
06-02-2026,2026-06-02,2026-06-02,TRANSPORTATION MASTER PLAN ADOPTION The Transportation Master Plan was,meeting_minutes/minutes/2026/2026-06-01/2026-06-02_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes (ordinance number in minutes header/motion text),,no,Pass,2026-06-02,2,within_source,,,meeting_minutes/minutes/2026/2026-06-01/2026-06-02_city-council-meeting.md
