book,section_no,section_title,char_count
Code of Ordinances,4.06.020,Records Required,897
Code of Ordinances,4.06.030,Legibility Of Records,151
Code of Ordinances,4.06.040,Inspection Of Records And Premises,146
Code of Ordinances,4.06.050,Statement Of Origin Or Possession,759
Code of Ordinances,4.06.060,Ownership By Seller Of Pawned Property,764
Code of Ordinances,4.06.070,Pawn Ticket - Required,212
Code of Ordinances,4.06.080,Pawn Tickets - Copies,339
Code of Ordinances,4.06.090,Retention Of Property,444
Code of Ordinances,4.06.100,Hours Of Business,465
Code of Ordinances,4.06.110,Purchase From Minors,272
Code of Ordinances,4.06.120,Purchase By Minors,275
Code of Ordinances,4.06.130,"Thieves, Drunkards, Incompetent Persons",344
Code of Ordinances,4.06.140,Association With Alcoholic Beverage Business Prohibited,196
Code of Ordinances,4.06.150,Liability Of Principal,141
Code of Ordinances,4.06.160,Business Restricted,107
Code of Ordinances,4.06.170,Junkyard Premises,655
Code of Ordinances,4.07,Public Accommodations,47
Code of Ordinances,4.07.010,Standards,205
Code of Ordinances,4.07.020,Register To Be Kept,599
Code of Ordinances,4.08,Residential Solicitation,741
Code of Ordinances,4.08.010,Purpose,2060
Code of Ordinances,4.08.020,No Other County License Or Approval Required,1023
Code of Ordinances,4.08.030,Definitions,12785
Code of Ordinances,4.08.040,Exemptions From Chapter,1497
Code of Ordinances,4.08.050,Solicitation Prohibited,330
Code of Ordinances,4.08.060,Registration Of Solicitors,229
Code of Ordinances,4.08.070,Application Form,4679
Code of Ordinances,4.08.080,Written Disclosures,1610
Code of Ordinances,4.08.090,When Registration Begins,509
Code of Ordinances,4.08.100,Issuance Of Certificates,2247
Code of Ordinances,4.08.110,Form Of Certificate And Identification Badge,1085
Code of Ordinances,4.08.120,Maintenance Of Registry,536
Code of Ordinances,4.08.130,Non-Transferability Of Certificates,844
Code of Ordinances,4.08.140,"Denial, Suspension, Or Revocation Of A Certificate Of Registration",4276
Code of Ordinances,4.08.150,Appeal,3238
Code of Ordinances,4.08.160,Deceptive Soliciting Practices Prohibited,798
Code of Ordinances,4.08.170,"""No Solicitation"" Notice",691
Code of Ordinances,4.08.180,Duties Of Solicitors,1749
Code of Ordinances,4.08.190,Time Of Day Restrictions,216
Code of Ordinances,4.08.200,Buyer's Right To Cancel,482
Code of Ordinances,4.08.210,Penalties,240
Code of Ordinances,4.09,Alcoholic Beverages,1177
Code of Ordinances,4.09.010,Definitions,785
Code of Ordinances,4.09.020,Proximity Restrictions,446
Code of Ordinances,4.09.030,Hours Of Sale,425
Code of Ordinances,4.09.040,"Sale, Possession Of Beer",107
Code of Ordinances,4.09.050,Possession Or Consumption Of Alcoholic Beverages In Public Parks,202
Code of Ordinances,4.09.060,Furnishing False Evidence,245
Code of Ordinances,4.09.070,Minors,453
Code of Ordinances,4.09.090,Penalty,442
Code of Ordinances,4.09.100,License Required,196
Code of Ordinances,4.09.110,Separate Licenses,97
Code of Ordinances,4.09.120,Compliance With Laws,207
Code of Ordinances,4.09.130,Classifications,931
Code of Ordinances,4.09.140,Application,587
Code of Ordinances,4.09.150,Persons Not Entitled To License,769
Code of Ordinances,4.09.160,"Grant, Denial Or Revocation Of License",706
Code of Ordinances,4.09.170,Discretion Of Commission In Granting License,218
Code of Ordinances,4.09.180,License Not Vested Right,220
Code of Ordinances,4.09.190,Sheriff's Report,997
Code of Ordinances,4.09.200,County Health Department Approval,541
Code of Ordinances,4.09.210,Purchase Of Beer By Licensee,334
Code of Ordinances,4.09.220,Fee,273
Code of Ordinances,4.09.230,Single Event Beer License,3199
Code of Ordinances,4.09.240,Required Class A Beer Handler's Permit,1279
Code of Ordinances,4.09.250,Application Process For Class A Beer Handler's Permit,718
Code of Ordinances,4.09.260,Qualifications To Obtain A Class A Beer Handler's Permit,233
Code of Ordinances,4.09.270,Penalties For Violations By A Permit Holder,861
Code of Ordinances,4.09.280,Licensee Penalties,1760
Code of Ordinances,4.09.290,Right To A Hearing,1658
Code of Ordinances,4.09.300,Local Consent And License Required,266
Code of Ordinances,4.09.310,Application For Local Consent,340
Code of Ordinances,4.09.320,Qualifications,576
Code of Ordinances,4.09.330,Grant Or Denial Of Local Consent,1531
Code of Ordinances,4.09.340,Violation A Nuisance,223
Code of Ordinances,4.10,Cable Television Franchise,543
Code of Ordinances,4.10.010,Grant Of Authority,2308
Code of Ordinances,4.10.020,Conditions On Street Occupancy,2998
Code of Ordinances,4.10.030,Indemnity And Liability Coverage,1210
Code of Ordinances,4.10.040,Compliance With Applicable Laws And Ordinances,429
Code of Ordinances,4.10.050,Use Of System By County,676
Code of Ordinances,4.10.060,System Construction And Extension,3291
Code of Ordinances,4.10.070,Consent To Use Existing Utility Facilities,1172
Code of Ordinances,4.10.080,Franchise Payment,588
Code of Ordinances,4.10.090,Approval Of Transfer,496
Code of Ordinances,4.10.100,County Rules,363
Code of Ordinances,4.10.110,Supervision And Inspection,257
Code of Ordinances,4.10.120,Binding On Assigns,168
Code of Ordinances,4.10.130,Time To Commence Construction,303
Code of Ordinances,4.10.140,Forfeiture,413
Code of Ordinances,4.10.150,Rates,533
Code of Ordinances,4.10.160,Local Office Complaints,665
Code of Ordinances,5.01,In General,1040
Code of Ordinances,5.01.010,Definitions,5870
Code of Ordinances,5.01.020,Penalty,168
Code of Ordinances,5.01.030,Enforcement Generally,520
Code of Ordinances,5.01.040,Right Of Entry For Enforcement,205
Code of Ordinances,5.01.050,Power And Authority Of Animal Control Sergeant,315
Code of Ordinances,5.01.060,Investigations,253
Code of Ordinances,5.01.070,Hindering And Obstructing Enforcement,618
Code of Ordinances,5.01.080,Conditions Of Animal Ownership,670
Code of Ordinances,5.01.090,Wild Animals,222
Code of Ordinances,5.01.100,Dogs Running At Large,870
Code of Ordinances,5.01.110,Cats,396
Code of Ordinances,5.01.120,Public Nuisance,1774
Code of Ordinances,5.01.130,Attacks By Dogs,1319
Code of Ordinances,5.01.140,Vicious Animals,1611
Code of Ordinances,5.01.150,Possession Of A Vicious Dog,733
Code of Ordinances,5.01.160,Allowing Vicious Animals To Go At Large,472
Code of Ordinances,5.01.170,Guard Dogs,278
Code of Ordinances,5.01.180,Judicially Excluded Animals,353
Code of Ordinances,5.01.190,Livestock,2613
Code of Ordinances,5.01.200,Cruelty To Animals,1801
Code of Ordinances,5.01.210,Dog Fighting,1712
Code of Ordinances,5.01.220,Animal Fighting Exhibitions,395
Code of Ordinances,5.01.230,Authority To Arrest And Take Possession Of Dogs And Property,2244
Code of Ordinances,5.01.240,Officers Authority To Take Possession Of Animals - Lien For Care,954
Code of Ordinances,5.01.250,Number Of Animals,367
Code of Ordinances,5.01.260,Kennel Regulations,4473
Code of Ordinances,5.01.270,General Regulations Relating To Animals,3174
Code of Ordinances,5.01.280,Loss Of Privilege To Maintain Dog In County,528
Code of Ordinances,5.01.290,Injuries And Communicable Diseases,565
Code of Ordinances,5.01.300,"Fees, Charges, Etc.",239
Code of Ordinances,5.02,Impoundment,361
Code of Ordinances,5.02.010,Authorization And Record Keeping,729
Code of Ordinances,5.02.020,Animals To Be Impounded,728
Code of Ordinances,5.02.030,Capture By Individuals,564
Code of Ordinances,5.02.040,Information Upon Relinquishment,173
Code of Ordinances,5.02.050,Notice To Owner,424
Code of Ordinances,5.02.060,Redemption By Owner,958
Code of Ordinances,5.02.070,Holding Period,218
Code of Ordinances,5.02.080,Disposal Of Unredeemed Animals,1528
Code of Ordinances,5.02.090,Destruction Of Animals,381
Code of Ordinances,5.02.100,Redemption Of Unvaccinated Animal,796
Code of Ordinances,5.02.110,Vaccination,80
Code of Ordinances,5.03,Licensing And Registration,143
Code of Ordinances,5.03.010,Licenses Generally,4896
Code of Ordinances,5.03.020,Exceptions,1015
Code of Ordinances,5.03.030,Vaccination - Dogs,1383
Code of Ordinances,5.03.040,Vaccination - Cats,757
Code of Ordinances,5.03.050,Voluntary Registration Of Cats,481
Code of Ordinances,5.04,Rabies Control,332
Code of Ordinances,5.04.010,Report Of Bites,397
Code of Ordinances,5.04.020,Report Of Suspected Rabid Animals,377
Code of Ordinances,5.04.030,Investigation And Quarantine For Biting Or Suspected Rabid Animals,1565
Code of Ordinances,5.04.040,Examination Of Head,372
Code of Ordinances,5.04.050,Domesticated Animals,438
Code of Ordinances,5.04.060,Release,395
Code of Ordinances,5.04.070,Animals Possibly Exposed To Rabies,996
Code of Ordinances,5.040.080,Possession Of Animal In Violation Of Chapter A Misdemeanor,529
Code of Ordinances,6.01,Health Department,262
Code of Ordinances,6.01.010,Creation,154
Code of Ordinances,6.01.020,Organization,120
Code of Ordinances,6.01.030,Board Of Health,2227
Code of Ordinances,6.01.040,Local Health Officer,1272
Code of Ordinances,6.01.050,Powers And Duties Of The Utah County Health Department,131
Code of Ordinances,6.01.060,Abatement Of Nuisances,944
Code of Ordinances,6.01.070,Jurisdiction,309
Code of Ordinances,6.01.080,Rules And Regulations,278
Code of Ordinances,6.01.090,Financing,130
Code of Ordinances,6.02,Right Of Entry/Unlawful Acts - Criminal And Civil Liability,133
Code of Ordinances,6.02.010,Right Of Entry To Regulated Premises By Representatives For Inspection,779
Code of Ordinances,6.02.020,Unlawful Acts - Criminal And Civil Liability,3293
Code of Ordinances,6.03,Food Service,95
Code of Ordinances,6.03.010,Food Inspection,293
Code of Ordinances,6.03.020,Enforcement,729
Code of Ordinances,6.03.030,"Examination, Condemnation Of Food, Drink",452
Code of Ordinances,6.04,Vehicle Emission Inspection/Maintenance,61
Code of Ordinances,6.04.010,Adoption Of Rules And Regulations,296
Code of Ordinances,6.04.020,Penalties,81
Code of Ordinances,6.05,Utah County Drinking Water Source Protection Provisions,376
Code of Ordinances,6.05.010,Short Title And Purpose,706
Code of Ordinances,6.05.020,Definitions,8140
Code of Ordinances,6.05.030,Establishment Of Drinking Water Source Protection Zones,1848
Code of Ordinances,6.05.040,Identification Of Public Water Systems And Drinking Water Source Protection Zones,2395
Code of Ordinances,6.05.050,Allowed Uses,569
Code of Ordinances,6.05.060,Prohibited Uses,528
Code of Ordinances,6.05.070,Drinking Water Source Protection Requirements,1165
Code of Ordinances,6.05.080,Alleged Overly Protective Zones,4581
Code of Ordinances,6.05.090,Administration,673
Code of Ordinances,6.06,Utah State Fire Code,496
Code of Ordinances,6.06.010,Adoption Of Utah State Fire Code,1383
Code of Ordinances,6.06.020,Establishment And Duties Of Bureau Of Fire Prevention,2192
Code of Ordinances,6.06.030,Definitions - Utah State Fire Code,3644
Code of Ordinances,6.06.040,Fire Flow And Fire Sprinkler Requirements,3119
Code of Ordinances,6.06.050,Establishment Of Limits Of Districts In Which Storage Of Explosives And Blasting Agents Is To Be Prohibited,891
Code of Ordinances,6.06.060,Appeals,9682
Code of Ordinances,6.06.070,Penalties,377
Code of Ordinances,6.06.080,Superseding Conflicting Ordinances,195
Code of Ordinances,6.06.090,Recovery Of Fire Suppression Costs,777
Code of Ordinances,6.06.100,Exemptions Of Temporary Tents And Remote Yurts,333
Code of Ordinances,6.07,Fire Safety Permit,24
Code of Ordinances,6.07.010,Permit Required,452
Code of Ordinances,6.08,Open Fires,109
Code of Ordinances,6.08.010,Regulations For Open Fires,94
Code of Ordinances,6.08.020,Open Fire Permits,248
Code of Ordinances,6.08.030,Open Fire Or Smoking Areas Designated,997
Code of Ordinances,6.09,Fireworks Act,48
Code of Ordinances,6.09.010,Conformance With The Utah Fireworks Act,387
Code of Ordinances,6.10,General Fire Protection Standards,20
Code of Ordinances,6.10.010,Maintenance,770
Code of Ordinances,6.11,Wildland/Urban Interface Areas,259
Code of Ordinances,6.11.010,Scope,653
Code of Ordinances,6.11.020,Access,2001
Code of Ordinances,6.11.030,Emergency Water Supplies,2745
Code of Ordinances,6.11.040,Structural Design And Construction,11464
Code of Ordinances,6.11.050,Manufactured Homes,288
Code of Ordinances,6.11.060,Defensible Space Requirements,2158
Code of Ordinances,6.11.070,Storage Of Combustible Materials,599
Code of Ordinances,6.11.080,Fireworks,75
Code of Ordinances,6.11.090,Outdoor Fires,1846
Code of Ordinances,6.12,Hazardous Materials,50
Code of Ordinances,6.12.010,Definitions,1750
Code of Ordinances,6.12.020,Recovery Of Expenses,1068
Code of Ordinances,7.01,Miscellaneous Offenses,626
Code of Ordinances,7.01.010,Representation Of Articles Sold At Auction,200
Code of Ordinances,7.01.020,Boosters At Auctions,188
Code of Ordinances,7.01.030,Resisting Or Obstructing A Peace Officer,220
Code of Ordinances,7.01.040,Obstructing Service Of Process,176
Code of Ordinances,7.01.050,Refusing To Aid An Officer,302
Code of Ordinances,7.01.060,Personating A Public Officer,458
Code of Ordinances,7.01.070,Sale Of Tobacco To Minors,175
Code of Ordinances,7.01.080,Purchase Or Possession Of Tobacco By Minors,183
Code of Ordinances,7.01.090,Disposition Of Stolen Property,706
Code of Ordinances,7.01.100,"Prohibited Conduct In Hospitals, Treatment Facilities",1755
Code of Ordinances,7.01.110,County Sheriff To Designate Unsafe Areas,466
Code of Ordinances,7.01.120,Entrance Upon Unsafe Areas Prohibited,140
Code of Ordinances,7.01.130,Items Prohibited At Utah County Jail,444
Code of Ordinances,7.01.140,Penalties,199
Code of Ordinances,7.01.150,Prohibited Targets,750
Code of Ordinances,7.02,Weapons,238
Code of Ordinances,7.02.010,Adoption Of Utah Code Chapter 76-10 Part 5: Weapons,203
Code of Ordinances,7.02.020,Children To Be Accompanied By Adults While Hunting With Or Discharging Any Weapon,1147
Code of Ordinances,7.02.030,Discharge Of Weapons,1121
Code of Ordinances,7.02.040,"Night Hunting Restricted; Exceptions, Penalties",2190
Code of Ordinances,7.03,Large Public Gatherings,113
Code of Ordinances,7.03.010,In General,2615
Code of Ordinances,7.03.020,Permit,6150
Code of Ordinances,7.04,Curfew Ordinance,173
Code of Ordinances,7.04.010,Purpose,399
Code of Ordinances,7.04.020,Definitions,1162
Code of Ordinances,7.04.030,Sixteen-Year-Old Curfew,227
Code of Ordinances,7.04.040,Eighteen-Year-Old Curfew,297
Code of Ordinances,7.04.050,Parental Liability,180
Code of Ordinances,7.04.060,Exceptions,926
Code of Ordinances,7.04.070,Enforcement,589
Code of Ordinances,7.05,Use Of County Roads And County Property,143
Code of Ordinances,7.05.010,Purpose And Intent,384
Code of Ordinances,7.05.020,Definitions,1966
Code of Ordinances,7.05.030,Event Permits,1931
Code of Ordinances,7.05.040,Fees,329
Code of Ordinances,7.05.050,Insurance,608
Code of Ordinances,7.05.060,Revocation,274
Code of Ordinances,7.05.070,Penalties,309
Code of Ordinances,7.06,Lewdness,17
Code of Ordinances,7.06.010,Lewdness,1014
Code of Ordinances,7.07,Camping,271
Code of Ordinances,7.07.010,Definitions,1691
Code of Ordinances,7.07.020,Prohibitions Against Unauthorized Camping,962
Code of Ordinances,7.07.030,Authorized Camping Within The County,551
Code of Ordinances,7.07.040,Prohibitions Against Construction Of Structures,543
Code of Ordinances,7.07.050,Removal Of Unauthorized Campsites,729
Code of Ordinances,7.07.060,Disposition And Release Of Personal Property,537
Code of Ordinances,7.08,County Trails,361
Code of Ordinances,7.08.010,Prohibited Travel On County Trails,265
Code of Ordinances,7.08.020,Prohibited Travel On Other Trails Or Passageways,521
Code of Ordinances,7.08.030,Speed Limits On County Trails,148
Code of Ordinances,7.08.040,Speed Limits On Other Trails Or Passageways,276
Code of Ordinances,7.08.050,Defenses,293
Code of Ordinances,7.08.060,Penalties,162
Code of Ordinances,7.08.070,Lane Restrictions,626
Code of Ordinances,7.08.080,Walking Zones,156
Code of Ordinances,7.08.090,Safe Travel,503
Code of Ordinances,7.08.100,Passing,255
Code of Ordinances,7.08.110,Helmet,103
Code of Ordinances,7.08.120,Leash Requirement,172
Code of Ordinances,7.09,Nuisances,74
Code of Ordinances,7.09.010,Definitions,751
Code of Ordinances,7.09.020,Illustrative Enumeration,2172
Code of Ordinances,7.09.030,Prohibited,115
Code of Ordinances,7.10,Cleaning Of Real Property,446
Code of Ordinances,7.10.010,Definitions,705
Code of Ordinances,7.10.020,Real Property To Be Kept Clean,346
Code of Ordinances,7.10.030,Control Of Unsightly Wastes,486
Code of Ordinances,7.10.040,Abandonment Of Vehicles,235
Code of Ordinances,7.10.050,"Leaving Of Wrecked, Nonoperating Vehicle On Street",132
Code of Ordinances,7.10.060,Disposition Of Wrecked Or Discarded Vehicles,743
Code of Ordinances,7.10.070,Impounding,382
Code of Ordinances,7.10.080,Presumption,229
Code of Ordinances,7.10.090,Examination And Investigation,358
Code of Ordinances,7.10.100,Notice Of Violation,1047
Code of Ordinances,7.10.110,County To Clean Property,834
Code of Ordinances,7.10.120,Compelling Payment,373
Code of Ordinances,7.10.130,Collection By Lawsuit,328
Code of Ordinances,7.11,Utah County Weed Control,687
Code of Ordinances,7.11.010,Definitions,583
Code of Ordinances,7.11.020,Jurisdiction To Control Weeds,343
Code of Ordinances,7.11.030,Authority To Create County Noxious Weed Control Fund,153
Code of Ordinances,7.11.040,Utah County Weed Control Board,813
Code of Ordinances,7.11.050,Authority Of Utah County Weed Control Board,471
Code of Ordinances,7.11.060,Authority Of Commission To Designate County Noxious Weeds,364
Code of Ordinances,7.11.070,Authority To Create Weed Control Supervisor,274
Code of Ordinances,7.11.080,Duties Of Weed Control Supervisor,702
Code of Ordinances,7.11.090,Annual Notice Of Noxious Weeds,273
Code of Ordinances,7.11.100,Authority Of Utah County Weed Control Board To Provide Notice Of Violation,666
Code of Ordinances,7.11.110,Authority Of The County To Control Or Prevent The Spread Of Noxious Weeds And Seek Reimbursement From Property Owner,1407
Code of Ordinances,7.11.120,Appeal Process For Disputing A Notice Of Violation,693
Code of Ordinances,7.12,Unreasonable Noise,158
Code of Ordinances,7.12.010,"Declaration Of Intent, Policy, And Scope",858
Code of Ordinances,7.12.020,Definitions,1363
Code of Ordinances,7.12.030,Excessive Sound Levels,5240
Code of Ordinances,7.12.040,Monitoring And Enforcement,457
Code of Ordinances,7.12.050,Violations,399
Code of Ordinances,7.13,Utah County Criminal Justice Coordinating Council,143
Code of Ordinances,7.13.010,Definitions,385
Code of Ordinances,7.13.020,Establishment,2393
Code of Ordinances,7.13.030,Duties,721
Code of Ordinances,7.13.040,Authorization To Form A Multi-County Criminal Justice Coordinating Council,1574
Code of Ordinances,8.01,Roads And Highways,199
Code of Ordinances,8.01.010,Definitions,470
Code of Ordinances,8.01.020,Violations,332
Code of Ordinances,8.01.030,Plats And Descriptions,338
Code of Ordinances,8.01.040,Locating Of Lines,474
Code of Ordinances,8.01.050,Limitations On Use Of Vehicles,915
Code of Ordinances,8.01.060,Liability For Damages,589
Code of Ordinances,8.01.070,Recovery Of Damages,236
Code of Ordinances,8.02,Acquisition Of Property For Highway Purposes,213
Code of Ordinances,8.02.010,Contributions,144
Code of Ordinances,8.02.020,Public Use Constitutes Dedication,187
Code of Ordinances,8.02.030,Means Of Acquisition,240
Code of Ordinances,8.02.040,Interpretation,1438
Code of Ordinances,8.02.050,Sale Of Highway Property - Authorized,625
Code of Ordinances,8.02.060,Sale Of Highway Property - Conveyance,214
Code of Ordinances,8.03,Obstructions And Encroachments,98
Code of Ordinances,8.03.010,Generally,4068
Code of Ordinances,8.03.020,"Poles, Posts And Fences",2628
Code of Ordinances,8.03.030,"Bridges, Ditches, Water And Waterways",4192
Code of Ordinances,8.04,Sidewalks,160
Code of Ordinances,8.04.010,Construction To Conform To Grade,565
Code of Ordinances,8.04.020,Improvements On Or Near Sidewalks,579
Code of Ordinances,8.04.030,Obstruction Of Sidewalks,548
Code of Ordinances,8.04.040,Vehicles Or Animals On Sidewalks,295
Code of Ordinances,8.05,Excavations,115
Code of Ordinances,8.05.010,In General,3760
Code of Ordinances,8.05.020,Permit,2385
Code of Ordinances,8.05.030,Performance Standards In Addition To Utah County Development Standards,13730
Code of Ordinances,8.06,Road Access Permits,75
Code of Ordinances,8.06.010,In General,2212
Code of Ordinances,8.06.020,Permit,1988
Code of Ordinances,8.06.030,Standards,3722
Code of Ordinances,8.06.040,Enforcement,1373
Code of Ordinances,8.07,State Vehicle Regulations Adopted,457
Code of Ordinances,8.07.010,State Regulations Adopted,1571
Code of Ordinances,8.07.020,Applicability,375
Code of Ordinances,8.07.030,Vehicle Registration And Business Administration Code Adopted,237
Code of Ordinances,8.07.040,Penalties,181
Code of Ordinances,8.07.050,Duties And Powers Of The County Sheriff,256
Code of Ordinances,8.07.060,Obedience To County Sheriff,559
Code of Ordinances,8.07.070,Obedience To Police Officer,182
Code of Ordinances,8.07.080,Responsibility Of Parent Or Guardian,241
Code of Ordinances,8.07.090,Speed Restrictions - Generally,236
Code of Ordinances,8.07.100,Drinking In Vehicles,1688
Code of Ordinances,8.07.110,"Removal Of Brush, Foliage Or Other Obstruction Impairing View",497
Code of Ordinances,8.08,Traffic-Control Devices,292
Code of Ordinances,8.08.010,Traffic-Control Devices,291
Code of Ordinances,8.08.020,Authority To Install,418
Code of Ordinances,8.08.030,Manual And Specifications,472
Code of Ordinances,8.08.040,Obedience To Devices,306
Code of Ordinances,8.08.050,When Devices Required For Enforcement Purposes,471
Code of Ordinances,8.08.060,Presumption Of Legality,589
Code of Ordinances,8.08.070,"Display Of Unauthorized Signs, Etc",1007
Code of Ordinances,8.08.080,Damaging Traffic Signs,307
Code of Ordinances,8.09,Trespass By Vehicle,169
Code of Ordinances,8.09.010,Definitions,479
Code of Ordinances,8.09.020,Exceptions,749
Code of Ordinances,8.09.030,Permission Required - Private Property,270
Code of Ordinances,8.09.040,Permission Required - Public Property,391
Code of Ordinances,8.09.050,Possession Of Permission,623
Code of Ordinances,8.10,Parking,188
Code of Ordinances,8.10.010,Erection Of Traffic-Control Devices,414
Code of Ordinances,8.10.020,Regulation Of Parking,658
Code of Ordinances,8.10.030,Parking For Certain Purposes Prohibited,285
Code of Ordinances,8.10.040,Removal Of Illegally Parked Vehicle,329
Code of Ordinances,8.10.050,Liability,192
Code of Ordinances,8.11,County Governmental Complex Parking,132
Code of Ordinances,8.11.010,Enforcement By The County Sheriff,469
Code of Ordinances,8.11.020,General Rules And Information,308
Code of Ordinances,8.11.030,Parking Restrictions,1333
Code of Ordinances,8.11.040,Enforcement,555
Code of Ordinances,8.12,Civil Violations Procedure,447
Code of Ordinances,8.12.010,Position Of Civil Violations Hearing Examiner Created - Powers And Duties,612
Code of Ordinances,8.12.020,Acts Made Civil Infractions,275
Code of Ordinances,8.12.030,Notice Of Infraction,610
Code of Ordinances,8.12.040,Response To Notice Of Infraction- Payments By Mail,910
Code of Ordinances,8.12.050,Fee For Infractions - Payment,1301
Code of Ordinances,8.12.060,Contesting An Infraction - Hearing - Appeals,1584
Code of Ordinances,8.12.070,Special Provisions Relating To Parking Regulations,2369
Code of Ordinances,8.12.080,Civil Appeals,351
Code of Ordinances,8.12.090,Criminal Violation,674
Code of Ordinances,8.12.100,Civil Collection Actions,166
Code of Ordinances,8.13,Local Option Transportation Corridor Preservation Fee,288
Code of Ordinances,8.13.010,Title,123
Code of Ordinances,8.13.020,Purpose,346
Code of Ordinances,8.13.030,Local Option Transportation Corridor Preservation Fee,190
Code of Ordinances,8.13.040,Exemption To The Local Option Transportation Corridor Preservation Fee,344
Code of Ordinances,8.13.050,Use Of The Local Option Transportation Corridor Preservation Fee,496
Code of Ordinances,8.13.060,Notice,271
Code of Ordinances,8.13.070,Effective Date,52
Code of Ordinances,8.14,Public Land Survey Corners,491
Code of Ordinances,8.14.010,Title,86
Code of Ordinances,8.14.020,Purpose,355
Code of Ordinances,8.14.030,Public Land Corner Preservation Fund,91
Code of Ordinances,8.14.040,Fee,449
Code of Ordinances,8.14.050,Use Of Public Land Corner Preservation Fund,284
Code of Ordinances,8.14.060,Prohibition Against Covering Monuments,241
Code of Ordinances,8.14.070,Public Survey Monument Defined,1152
Code of Ordinances,8.14.080,Permit Application,164
Code of Ordinances,8.14.090,Permit Fee,346
Code of Ordinances,8.14.100,Licensed Land Surveyor Required,268
Code of Ordinances,8.14.110,Penalty For Work Without A Permit,213
Code of Ordinances,8.14.120,"County Restoration, Replacement, Repair Or Uncovering",475
Code of Ordinances,8.14.130,Stop Work Order,779
Code of Ordinances,8.14.140,Itemized Statement Of Expenses,862
Code of Ordinances,8.15,Planning,205
Code of Ordinances,8.15.010,Land Use Ordinance,179
Code of Ordinances,8.15.020,Copies Of Ordinance,189
Code of Ordinances,8.15.030,Penalties,246
Code of Ordinances,8.15.040,Development Standards,305
Code of Ordinances,8.15.050,Adoption Of Manual Of Standard Specifications,724
Code of Ordinances,8.15.060,Violations,86
Code of Ordinances,8.15.070,Civil Remedies,421
Code of Ordinances,8.16,Constitutional Taking Guidelines,153
Code of Ordinances,8.16.010,Purpose,520
Code of Ordinances,8.16.020,Definitions,927
Code of Ordinances,8.16.030,Exclusion From Chapter,218
Code of Ordinances,8.16.040,Guidelines Advisory,334
Code of Ordinances,8.16.050,Review Of Decision,4308
Code of Ordinances,8.16.060,Hearing Examiners,306
Code of Ordinances,8.17,Planning Area Advisory Planning Commission,149
Code of Ordinances,8.17.010,Definitions,504
Code of Ordinances,8.17.020,Appointment Of Members,1455
Code of Ordinances,8.17.030,Vacancies On Planning Commission,345
Code of Ordinances,8.17.040,Powers And Duties,1432
Code of Ordinances,8.17.050,Land Use Ordinance,443
Code of Ordinances,8.18,Building And Safety Codes,255
Code of Ordinances,8.18.010,Adoption Of Utah State Construction Code,256
Code of Ordinances,8.18.020,Copy On File,142
Code of Ordinances,8.18.030,Violations,446
Code of Ordinances,8.18.040,Penalties,377
Code of Ordinances,8.18.050,Appeals,9811
Code of Ordinances,8.18.060,Agricultural Structure Exemption,668
Code of Ordinances,8.18.070,Fees,120
Code of Ordinances,8.18.080,Review Of Single-Family Residential Building Permit Inspection,1450
Code of Ordinances,8.19,Stormwater,456
Code of Ordinances,8.19.010,General Provisions,12388
Code of Ordinances,8.19.020,Land Disturbance Permits,7930
Code of Ordinances,8.19.030,Stormwater System Design And Management Standards,18870
Code of Ordinances,8.19.040,Post Construction,4082
Code of Ordinances,8.19.050,Waivers,2491
Code of Ordinances,8.19.060,Existing Locations And Developments.,3049
Code of Ordinances,8.19.070,Illicit Discharges And Connections.,4084
Code of Ordinances,8.19.080,Enforcement Actions And Penalties.,4758
Code of Ordinances,8.19.090,Penalties,1811
Code of Ordinances,8.19.100,Appeals,789
Code of Ordinances,8.20,Property Identification And Addressing,230
Code of Ordinances,8.20.010,Purpose,502
Code of Ordinances,8.20.020,Definitions,456
Code of Ordinances,8.20.030,Addressing Authority,535
Code of Ordinances,8.20.040,Official Street And Address Files,582
Code of Ordinances,8.20.050,"Property Identification Assignment, And Approval",1026
Code of Ordinances,8.20.060,Change Of Address,1682
Code of Ordinances,8.20.070,Enforcement And Violation,1200
Code of Ordinances,9.01,Purpose And Cross Connections Of Water Systems Operated By Utah County,214
Code of Ordinances,9.01.010,Purpose,588
Code of Ordinances,9.01.020,Cross Connections,360
Code of Ordinances,9.01.030,Cross Connection Control Or Elimination,229
Code of Ordinances,9.01.040,Cross Connection Enforcement,522
Code of Ordinances,9.01.050,Cross Connection Hazard Assessment Surveys,772
Code of Ordinances,9.01.060,Termination Of Service,573
Code of Ordinances,9.02,Sewers,140
Code of Ordinances,9.02.010,Definitions,612
Code of Ordinances,9.02.020,Permit Required,205
Code of Ordinances,9.02.030,Application For Permit,278
Code of Ordinances,9.02.040,"Plans, Specifications",182
Code of Ordinances,9.02.050,Compliance With Permit,249
Code of Ordinances,9.03,"Open Wells, Cesspools, Privy Vaults",109
Code of Ordinances,9.03.010,Open Holes Prohibited,185
Code of Ordinances,9.03.020,Duty To Fill,240
Code of Ordinances,9.03.030,County May Fill,381
Code of Ordinances,9.03.040,County To Recover Cost,201
Code of Ordinances,9.04,Solid Waste,749
Code of Ordinances,9.04.010,Definitions,4068
Code of Ordinances,9.04.020,Enforcement And Supervision,392
Code of Ordinances,9.04.030,Complaints,215
