ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,date_basis,lu_basis,n_motions,origin,audit_flag
22-21,2022-12-06,2022-12-06,Ordinance 22-21 — Watermark Rezone 1262 E 2200 S - DENIED,https://www.loganutah.gov/departments/admin/council/22-21%20Watermark%20Rezone%201262%20E%202200%20S%20-%20DENIED.pdf?t=20221207111347653,2026-07-05,scanned,recorder_pdf,raw/ord_22-21_Watermark_Rezone_1262_E_2200_S_-_DENIED.pdf,yes,5-0 Pass,2022-12-06,7,high,Ordinance,council_motion,keyword,5,archive,
22-22,2022-12-06,2022-12-06,Ordinance 22-22 — Fairway Lofts Rezone 391 S 400 W,https://www.loganutah.gov/departments/admin/council/22-22%20Fairway%20Lofts%20Rezone%20391%20S%20400%20W.pdf?t=20221207111501424,2026-07-05,scanned,recorder_pdf,raw/ord_22-22_Fairway_Lofts_Rezone_391_S_400_W.pdf,yes,5-0 Pass,2022-12-06,8,high,Ordinance,council_motion,keyword,5,archive,
22-25,2022-12-06,2022-12-06,Ordinance 22-25 — LMC Chapter 2.36 Regulating Establishment of Neighborhood Councils,https://www.loganutah.gov/departments/admin/council/22-25%20LMC%20Chapter%202.36%20Regulating%20Establishment%20of%20Neighborhood%20Councils.pdf?t=20221207111636363,,na,recorder_listing,,no,5-0 Pass,2022-12-06,10,high,Ordinance,council_motion,,5,archive,
23-01,2023-01-17,2023-01-17,Ordinance 23-01 — Amending Section 2.02.390 of LMC Regulating Council Regular Meetings,https://www.loganutah.gov/departments/admin/council/23-01%20Amending%20Section%202.02.390%20of%20LMC%20Regulating%20Council%20Regular%20Meetings.pdf?t=20230118121744963,,na,recorder_listing,,no,5-0 Pass,2023-01-17,4,high,Ordinance,council_motion,,5,archive,
23-02,2023-02-21,2023-02-21,Ordinance 23-02 — Critical Lands Overlay,https://www.loganutah.gov/departments/admin/council/23-02%20Critical%20Lands%20Overlay.pdf?t=20230222112122173,2026-07-05,scanned,recorder_pdf,raw/ord_23-02_Critical_Lands_Overlay.pdf,yes,5-0 Pass,2023-02-21,2,high,Ordinance,council_motion,keyword,5,archive,
23-03,2023-03-21,2023-03-21,Ordinance 23-03 — Amending LMC Title 15.27 Flood Damage Prevention,https://www.loganutah.gov/departments/admin/council/23-03%20Amending%20LMC%20Title%2015.27%20Flood%20Damage%20Prevention.pdf?t=20230321215239618,2026-07-05,scanned,recorder_pdf,raw/ord_23-03_Amending_LMC_Title_15.27_Flood_Damage_Prevention.pdf,yes,5-0 Pass,2023-03-21,2,high,Ordinance,council_motion,keyword,10,archive,
23-04,2023-02-21,2023-02-21,Ordinance 23-04 — Stephens Multi Family Residence Zone - DENIED,https://www.loganutah.gov/departments/admin/council/23-04%20%20Stephens%20Multi%20Family%20Residence%20Zone%20-%20DENIED.pdf?t=20230222112157174,2026-07-05,scanned,recorder_pdf,raw/ord_23-04_Stephens_Multi_Family_Residence_Zone_-_DENIED.pdf,yes,5-0 Pass,2023-02-21,3,high,Ordinance,council_motion,keyword,5,archive,
23-05,2023-03-07,2023-03-07,Ordinance 23-05 — LDC Amendments Administrative Updates,https://www.loganutah.gov/departments/admin/council/23-05%20LDC%20Amendments%20Administrative%20Updates.pdf?t=2023030811074206,2026-07-05,scanned,recorder_pdf,raw/ord_23-05_LDC_Amendments_Administrative_Updates.pdf,yes,5-0 Pass,2023-03-07,3,high,Ordinance,council_motion,keyword,5,archive,
23-06,2023-03-07,2023-03-07,Ordinance 23-06 — LDC Amendments Residential Driveway Standards,https://www.loganutah.gov/departments/admin/council/23-06%20LDC%20Amendments%20Residential%20Driveway%20Standards.pdf?t=20230308110821587,2026-07-05,scanned,recorder_pdf,raw/ord_23-06_LDC_Amendments_Residential_Driveway_Standards.pdf,yes,5-0 Pass,2023-03-07,4,high,Ordinance,council_motion,keyword,5,archive,
23-07,2023-03-07,2023-03-07,Ordinance 23-07 — LDC Amendments Open Space and Landscaping,https://www.loganutah.gov/departments/admin/council/23-07%20LDC%20Amendments%20Open%20Space%20and%20Landscaping.pdf?t=20230308110857496,2026-07-05,scanned,recorder_pdf,raw/ord_23-07_LDC_Amendments_Open_Space_and_Landscaping.pdf,yes,5-0 Pass,2023-03-07,5,high,Ordinance,council_motion,keyword,5,archive,
23-08,2023-03-21,2023-03-21,Ordinance 23-08 — LDC Amendments Signs and Murals,https://www.loganutah.gov/departments/admin/council/23-08%20LDC%20Amendments%20Signs%20and%20Murals.pdf?t=20230321215322081,2026-07-05,scanned,recorder_pdf,raw/ord_23-08_LDC_Amendments_Signs_and_Murals.pdf,yes,5-0 Pass,2023-03-21,3,high,Ordinance,council_motion,keyword,5,archive,
23-09,2023-04-18,2023-04-18,Ordinance 23-09 — LDC Amendments Residential and Commercial Development Standards,https://www.loganutah.gov/departments/admin/council/23-09%20LDC%20Amendments%20Residential%20and%20Commercial%20Development%20Standards.pdf?t=2023042017093077,2026-07-05,scanned,recorder_pdf,raw/ord_23-09_LDC_Amendments_Residential_and_Commercial_Development_Standards.pdf,yes,4-0 Pass,2023-04-18,7,high,Ordinance,council_motion,keyword,5,archive,
23-10,2023-05-16,2023-05-16,Ordinance 23-10 — LDC Amendments Public Zones Homeless Shelter,https://www.loganutah.gov/departments/admin/23-10%20LDC%20Amendments%20Public%20Zones%20Homeless%20Shelter.pdf?t=2023051711281381,2026-07-05,scanned,recorder_pdf,raw/ord_23-10_LDC_Amendments_Public_Zones_Homeless_Shelter.pdf,yes,4-1 Pass,2023-05-16,5,high,Ordinance,council_motion,keyword,10,archive,
23-11,2023-04-18,2023-04-18,Ordinance 23-11 — Willets Rezone 1360 North 200 West,https://www.loganutah.gov/departments/admin/council/23-11%20Willets%20Rezone%201360%20North%20200%20West.pdf?t=20230421130514657,2026-07-05,scanned,recorder_pdf,raw/ord_23-11_Willets_Rezone_1360_North_200_West.pdf,yes,4-0 Pass,2023-04-18,9,high,Ordinance,council_motion,keyword,5,archive,
23-12,2023-04-18,2023-04-18,Ordinance 23-12 — LMC Amendment Regulating Excessive Nosie and Pollution Anti Idling,https://www.loganutah.gov/departments/admin/council/23-12%20LMC%20Amendment%20Regulating%20Excessive%20Nosie%20and%20Pollution%20Anti%20Idling.pdf?t=20230517112902164,,na,recorder_listing,,no,4-0 Pass,2023-04-18,2,high,Ordinance,council_motion,,5,archive,
23-13,2023-04-18,2023-04-18,Ordinance 23-13 — LMC Amendment Regulating Telecommunications Rights of Way,https://www.loganutah.gov/departments/admin/council/23-13%20LMC%20Amendment%20Regulating%20Telecommunications%20Rights%20of%20Way.pdf?t=2023042017103348,,na,recorder_listing,,no,4-0 Pass,2023-04-18,3,high,Ordinance,council_motion,,5,archive,
23-14,2023-04-18,2023-04-18,Ordinance 23-14 — LMC Amendment Regulating Telecommunications Tax Rate,https://www.loganutah.gov/departments/admin/council/23-14%20LMC%20Amendment%20Regulating%20Telecommunications%20Tax%20Rate.pdf?t=20230420171108649,,na,recorder_listing,,no,4-0 Pass,2023-04-18,4,high,Ordinance,council_motion,,5,archive,
23-15,,2023-05-09,Ordinance 23-15 — Tempki Subdivision Easement 1793 Mount Logan Drive,https://www.loganutah.gov/departments/admin/council/23-15%20Tempki%20Subdivision%20Easement%201793%20Mount%20Logan%20Drive.pdf?t=20230509122844623,2026-07-05,scanned,recorder_pdf,raw/ord_23-15_Tempki_Subdivision_Easement_1793_Mount_Logan_Drive.pdf,yes,,,,none,Ordinance,recorder_posted,keyword,0,archive,adopted_no_vote_row
23-16,2023-05-16,2023-05-16,Ordinance 23-16 — Sugar Creek Rezone 1095 West 600 South,https://www.loganutah.gov/departments/admin/council/23-16%20Sugar%20Creek%20Rezone%201095%20West%20600%20South.pdf?t=20230517163658313,2026-07-05,scanned,recorder_pdf,raw/ord_23-16_Sugar_Creek_Rezone_1095_West_600_South.pdf,yes,4-1 Pass,2023-05-16,4,high,Ordinance,council_motion,keyword,10,archive,
23-17,,2023-06-21,Ordinance 23-17 — Salary Schedules for Logan Elected Officials,https://www.loganutah.gov/departments/admin/council/23-17%20Salary%20Schedules%20for%20Logan%20Elected%20Officials.pdf?t=20230621114004509,2026-07-05,scanned,recorder_pdf,raw/ord_23-17_Salary_Schedules_for_Logan_Elected_Officials.pdf,no,,,,none,Ordinance,recorder_posted,,0,archive,adopted_no_vote_row
23-18,2023-06-20,2023-06-20,Ordinance 23-18 — LDC Amendment District and Corridor Zone Uses,https://www.loganutah.gov/departments/admin/council/23-18%20LDC%20Amendment%20District%20and%20Corridor%20Zone%20Uses.pdf?t=20230621114039972,2026-07-05,scanned,recorder_pdf,raw/ord_23-18_LDC_Amendment_District_and_Corridor_Zone_Uses.pdf,yes,3-0 Pass,2023-06-20,3,high,Ordinance,council_motion,keyword,5,archive,
23-19,2023-06-20,2023-06-20,Ordinance 23-19 — Little Wonders Rezone,https://www.loganutah.gov/departments/admin/council/23-19%20Little%20Wonders%20Rezone.pdf?t=20230621114126371,2026-07-05,scanned,recorder_pdf,raw/ord_23-19_Little_Wonders_Rezone.pdf,yes,3-0 Pass,2023-06-20,4,high,Ordinance,council_motion,keyword,5,archive,
23-20,2023-07-18,2023-07-18,Ordinance 23-20 — Majestic Mountain Meadows Vacation Easements,https://www.loganutah.gov/departments/admin/council/23-20%20Majestic%20Mountain%20Meadows%20Vacation%20Easements.pdf?t=20230802163057436,2026-07-05,scanned,recorder_pdf,raw/ord_23-20_Majestic_Mountain_Meadows_Vacation_Easements.pdf,yes,5-0 Pass,2023-07-18,5,high,Ordinance,council_motion,keyword,5,archive,
23-21,2023-07-18,2023-07-18,Ordinance 23-21 — Jed Willets Downzone 1354 N 220 W,https://www.loganutah.gov/departments/admin/council/23-21%20Jed%20Willets%20Downzone%201354%20N%20220%20W.pdf?t=20230719161305315,2026-07-05,scanned,recorder_pdf,raw/ord_23-21_Jed_Willets_Downzone_1354_N_220_W.pdf,yes,5-0 Pass,2023-07-18,4,high,Ordinance,council_motion,keyword,5,archive,
23-22,2023-08-01,2023-08-01,Ordinance 23-22 — LDC Planned Development Overlay Zone,https://www.loganutah.gov/departments/admin/council/23-22%20LDC%20Planned%20Development%20Overlay%20Zone.pdf?t=20230802163139299,2026-07-05,scanned,recorder_pdf,raw/ord_23-22_LDC_Planned_Development_Overlay_Zone.pdf,yes,5-0 Pass,2023-08-01,2,high,Ordinance,council_motion,keyword,5,archive,
23-23,2023-08-01,2023-08-01,Ordinance 23-23 — 1400 North Main Community Reinvestment Project Area Plan,https://www.loganutah.gov/departments/admin/council/23-23%201400%20North%20Main%20Community%20Reinvestment%20Project%20Area%20Plan.pdf?t=20230802175856363,2026-07-05,scanned,recorder_pdf,raw/ord_23-23_1400_North_Main_Community_Reinvestment_Project_Area_Plan.pdf,yes,4-0 Pass,2023-08-01,8,high,Ordinance,council_motion,keyword,4,archive,
23-24,2023-08-01,2023-08-01,Ordinance 23-24 — Walmart Sewer Line Easement,https://www.loganutah.gov/departments/admin/council/23-24%20Walmart%20Sewer%20Line%20Easement.pdf?t=20230802163300882,2026-07-05,scanned,recorder_pdf,raw/ord_23-24_Walmart_Sewer_Line_Easement.pdf,yes,5-0 Pass,2023-08-01,4,high,Ordinance,council_motion,keyword,5,archive,
23-25,2023-08-01,2023-08-01,Ordinance 23-25 — Wilkes 200 North Subdivision Easement,https://www.loganutah.gov/departments/admin/council/23-25%20Wilkes%20200%20North%20Subdivision%20Easement.pdf?t=202308021633453,2026-07-05,scanned,recorder_pdf,raw/ord_23-25_Wilkes_200_North_Subdivision_Easement.pdf,yes,5-0 Pass,2023-08-01,5,high,Ordinance,council_motion,keyword,5,archive,
23-26,2023-08-01,2023-08-01,Ordinance 23-26 — Willow Lakes Vacation Right of Way,https://www.loganutah.gov/departments/admin/council/23-26%20Willow%20Lakes%20Vacation%20Right%20of%20Way.pdf?t=20230802163429991,2026-07-05,scanned,recorder_pdf,raw/ord_23-26_Willow_Lakes_Vacation_Right_of_Way.pdf,yes,5-0 Pass,2023-08-01,6,high,Ordinance,council_motion,keyword,5,archive,
23-27,2023-08-15,2023-08-15,Ordinance 23-27 — Palatial Living Storage Rezone,https://www.loganutah.gov/departments/admin/council/23-27%20Palatial%20Living%20Storage%20Rezone.pdf?t=2023081611532636,2026-07-05,scanned,recorder_pdf,raw/ord_23-27_Palatial_Living_Storage_Rezone.pdf,yes,4-0 Pass,2023-08-15,4,high,Ordinance,council_motion,keyword,5,archive,
23-28,2023-08-15,2023-08-15,Ordinance 23-28 — Cache Valley Marketplace Code Amendment and Rezone,https://www.loganutah.gov/departments/admin/council/23-28%20Cache%20Valley%20Marketplace%20Code%20Amendment%20and%20Rezone.pdf?t=20230816115615989,2026-07-05,scanned,recorder_pdf,raw/ord_23-28_Cache_Valley_Marketplace_Code_Amendment_and_Rezone.pdf,yes,4-0 Pass,2023-08-15,3,high,Ordinance,council_motion,keyword,5,archive,
23-29,2023-09-05,2023-09-05,Ordinance 23-29 — Logan Crossroads 59 East Golf Course Road,https://www.loganutah.gov/departments/admin/council/23-29%20Logan%20Crossroads%2059%20East%20Golf%20Course%20Road.pdf?t=20230906111400968,2026-07-05,scanned,recorder_pdf,raw/ord_23-29_Logan_Crossroads_59_East_Golf_Course_Road.pdf,yes,5-0 Pass,2023-09-05,3,high,Ordinance,council_motion,address,5,archive,
23-30,2023-09-05,2023-09-05,Ordinance 23-30 — Latitude 41 774 South Main,https://www.loganutah.gov/departments/admin/council/23-30%20Latitude%2041%20774%20South%20Main.pdf?t=20230906111441313,2026-07-05,scanned,recorder_pdf,raw/ord_23-30_Latitude_41_774_South_Main.pdf,yes,5-0 Pass,2023-09-05,4,high,Ordinance,council_motion,address,5,archive,
23-31,2025-02-18,2025-02-18,Ordinance 23-31 — LMC Amendment Section 12.36.020 Regulating Sewers and Sewage Disposal,https://www.loganutah.gov/departments/admin/council/23-31%20LMC%20Amendment%20Section%2012.36.020%20Regulating%20Sewers%20and%20Sewage%20Disposal.pdf?t=20250219124914556,,na,recorder_listing,,no,4-0 Pass,2025-02-18,5,high,Ordinance,council_motion,,30,archive,
23-32,2023-11-07,2023-11-07,Ordinance 23-32 — Code Amendments Moderate Income Housing,https://www.loganutah.gov/departments/admin/council/23-32%20Code%20Amendments%20Moderate%20Income%20Housing.pdf?t=2023112711580957,2026-07-05,scanned,recorder_pdf,raw/ord_23-32_Code_Amendments_Moderate_Income_Housing.pdf,yes,4-0 Pass,2023-11-07,4,high,Ordinance,council_motion,keyword,5,archive,
23-33,2023-11-07,2023-11-07,"Ordinance 23-33 — (from motion) continue Ordinance 23-33 to the December 5, 2023 Council mee",meeting_minutes/minutes/2023/2023-11-06/2023-11-07_city-council-meeting.md,,na,minutes_motion_text,,no,4-0 Pass,2023-11-07,3,within_source,Ordinance,council_motion,,5,votes,no_archive_pdf
23-34,2023-11-21,2023-11-21,Ordinance 23-34 — Purchasing Procedures,https://www.loganutah.gov/departments/admin/council/23-34%20Purchasing%20Procedures.pdf?t=20231127115848148,,na,recorder_listing,,no,5-0 Pass,2023-11-21,4,high,Ordinance,council_motion,,5,archive,
23-35,2024-01-16,2024-01-16,Ordinance 23-35 — Rezone 100 North Historic Project Area - DENIED,https://www.loganutah.gov/departments/admin/council/23-35%20Rezone%20100%20North%20Historic%20Project%20Area%20-%20DENIED.pdf?t=20240117130354704,2026-07-05,scanned,recorder_pdf,raw/ord_23-35_Rezone_100_North_Historic_Project_Area_-_DENIED.pdf,yes,4-0 Pass,2024-01-16,6,high,Ordinance,council_motion,keyword,10,archive,
23-36,2023-12-05,2023-12-05,Ordinance 23-36 — Rezone Bear River Mental Health Crisis Receiving Center,https://www.loganutah.gov/departments/admin/council/23-36%20Rezone%20Bear%20River%20Mental%20Health%20Crisis%20Receiving%20Center.pdf?t=20231206121826425,2026-07-05,scanned,recorder_pdf,raw/ord_23-36_Rezone_Bear_River_Mental_Health_Crisis_Receiving_Center.pdf,yes,5-0 Pass,2023-12-05,5,high,Ordinance,council_motion,keyword,5,archive,
24-01,,2024-01-17,Ordinance 24-01 — Little Bloomsbury Rezone 181 North 200 East - DENIED,https://www.loganutah.gov/departments/admin/council/24-01%20Little%20Bloomsbury%20Rezone%20181%20North%20200%20East%20-%20DENIED.pdf?t=20240117130507079,2026-07-05,scanned,recorder_pdf,raw/ord_24-01_Little_Bloomsbury_Rezone_181_North_200_East_-_DENIED.pdf,yes,,,,none,Ordinance,recorder_posted,keyword,0,archive,adopted_no_vote_row
24-02,2024-01-16,2024-01-16,Ordinance 24-02 — Logan Secure Storage 1950 N 1000 W - DENIED,https://www.loganutah.gov/departments/admin/council/24-02%20Logan%20Secure%20Storage%201950%20N%201000%20W%20-%20DENIED.pdf?t=20240117130547564,2026-07-05,scanned,recorder_pdf,raw/ord_24-02_Logan_Secure_Storage_1950_N_1000_W_-_DENIED.pdf,yes,4-0 Pass,2024-01-16,4,high,Ordinance,council_motion,address,5,archive,
24-03,2024-02-20,2024-02-20,Ordinance 24-03 — LDC Amendments Chapter 17.11 Alcohol District and Corridors and 17.62 Definitions,https://www.loganutah.gov/departments/admin/council/24-03%20LDC%20Amendments%20Chapter%2017.11%20Alcohol%20District%20and%20Corridors%20and%2017.62%20Definitions.pdf?t=20240221114810628,2026-07-05,scanned,recorder_pdf,raw/ord_24-03_LDC_Amendments_Chapter_17.11_Alcohol_District_and_Corridors_and_17.62_Defi.pdf,yes,5-0 Pass,2024-02-20,3,high,Ordinance,council_motion,keyword,5,archive,
24-04,2024-02-20,2024-02-20,Ordinance 24-04 — LMC Amendments Section 5.10 Alcoholic Beverages,https://www.loganutah.gov/departments/admin/council/24-04%20LMC%20Amendments%20Section%205.10%20Alcoholic%20Beverages.pdf?t=20240221114856479,,na,recorder_listing,,no,5-0 Pass,2024-02-20,4,high,Ordinance,council_motion,,5,archive,
24-05,2024-03-05,2024-03-05,Ordinance 24-05 — LDC Amendments Engineering Design Standards,https://www.loganutah.gov/departments/admin/council/24-05%20LDC%20Amendments%20Engineering%20Design%20Standards.pdf?t=20240306113641927,2026-07-05,scanned,recorder_pdf,raw/ord_24-05_LDC_Amendments_Engineering_Design_Standards.pdf,yes,5-0 Pass,2024-03-05,8,high,Ordinance,council_motion,keyword,5,archive,
24-06,2024-03-05,2024-03-05,Ordinance 24-06 — LMC Amendment Regulating Stopping Standing or Parking Vehicles,https://www.loganutah.gov/departments/admin/council/24-06%20LMC%20Amendment%20Regulating%20Stopping%20Standing%20or%20Parking%20Vehicles.pdf?t=20240306113721976,,na,recorder_listing,,no,5-0 Pass,2024-03-05,9,high,Ordinance,council_motion,,5,archive,
24-07,2024-03-05,2024-03-05,Ordinance 24-07 — LMC Amendment Utility Disconnecton Notification,https://www.loganutah.gov/departments/admin/council/24-07%20LMC%20Amendment%20Utility%20Disconnecton%20Notification.pdf?t=20240306113803546,2026-07-05,scanned,recorder_pdf,raw/ord_24-07_LMC_Amendment_Utility_Disconnecton_Notification.pdf,yes,5-0 Pass,2024-03-05,4,high,Ordinance,council_motion,keyword,5,archive,
24-08,2024-03-05,2024-03-05,Ordinance 24-08 — Little Bloomsbury Rezone,https://www.loganutah.gov/departments/admin/council/24-08%20Little%20Bloomsbury%20Rezone.pdf?t=20240306113855591,2026-07-05,scanned,recorder_pdf,raw/ord_24-08_Little_Bloomsbury_Rezone.pdf,yes,4-1 Pass,2024-03-05,7,high,Ordinance,council_motion,keyword,5,archive,
24-09,2024-03-19,2024-03-19,Ordinance 24-09 — LDC Amendments Subdivisions,https://www.loganutah.gov/departments/admin/council/24-09%20LDC%20Amendments%20Subdivisions.pdf?t=20240320122026759,2026-07-05,scanned,recorder_pdf,raw/ord_24-09_LDC_Amendments_Subdivisions.pdf,yes,4-0 Pass,2024-03-19,3,high,Ordinance,council_motion,keyword,5,archive,
24-10,2024-05-07,2024-05-07,"Ordinance 24-10 — Fire Station, Library and Laub Plaza Rezone",https://www.loganutah.gov/departments/admin/council/24-10%20Fire%20Station%2C%20Library%20and%20Laub%20Plaza%20Rezone.pdf?t=20240516102022719,2026-07-05,scanned,recorder_pdf,raw/ord_24-10_Fire_Station_Library_and_Laub_Plaza_Rezone.pdf,yes,5-0 Pass,2024-05-07,4,high,Ordinance,council_motion,keyword,5,archive,
24-11,2024-06-04,2024-06-04,Ordinance 24-11 — Amending Section 6A.16.030 of the LMC Penalties for Violation of Title 6A,https://www.loganutah.gov/departments/admin/council/24-11%20Amending%20Section%206A.16.030%20of%20the%20LMC%20Penalties%20for%20Violation%20of%20Title%206A.pdf?t=20240605104634527,,na,recorder_listing,,no,5-0 Pass,2024-06-04,7,high,Ordinance,council_motion,,5,archive,
24-12,2024-06-18,2024-06-18,Ordinance 24-12 — Adopting Salary Schedules for Elected and Executive Municipal Officers,https://www.loganutah.gov/departments/admin/council/24-12%20Adopting%20Salary%20Schedules%20for%20Elected%20and%20Executive%20Municipal%20Officers.pdf?t=20240619121731795,,na,recorder_listing,,no,5-0 Pass,2024-06-18,5,high,Ordinance,council_motion,,5,archive,
24-13,2024-07-16,2024-07-16,Ordinance 24-13 — LMC amending Section 5.10 Regulating Alcoholic Beverages,https://www.loganutah.gov/departments/admin/council/24-13%20LMC%20amending%20Section%205.10%20Regulating%20Alcoholic%20Beverages.pdf?t=20240717123815204,,na,recorder_listing,,no,5-0 Pass,2024-07-16,5,high,Ordinance,council_motion,,5,archive,
24-14,2024-08-06,2024-08-06,"Ordinance 24-14 — (from motion) remove workshop item, Ordinance 24-14 a proposed ordinance f",meeting_minutes/minutes/2024/2024-08-05/2024-08-06_city-council-meeting.md,,na,minutes_motion_text,,no,5-0 Pass,2024-08-06,1,within_source,Ordinance,council_motion,,5,votes,no_archive_pdf
24-15,2024-09-03,2024-09-03,Ordinance 24-15 — Wireless Towers Code Amendment,https://www.loganutah.gov/departments/admin/council/24-15%20Wireless%20Towers%20Code%20Amendment.pdf?t=20240909104434043,2026-07-05,scanned,recorder_pdf,raw/ord_24-15_Wireless_Towers_Code_Amendment.pdf,yes,4-0 Pass,2024-09-03,3,high,Ordinance,council_motion,keyword,5,archive,
24-16,2024-10-01,2024-10-01,Ordinance 24-16 — TEA Rezone 351 S 100 E - DENIED,https://www.loganutah.gov/departments/admin/council/24-16%20TEA%20Rezone%20351%20S%20100%20E%20-%20DENIED.pdf?t=20241003182828602,2026-07-05,scanned,recorder_pdf,raw/ord_24-16_TEA_Rezone_351_S_100_E_-_DENIED.pdf,yes,2-3 Pass,2024-10-01,2,high,Ordinance,council_motion,keyword,10,archive,
24-17,2024-09-17,2024-09-17,Ordinance 24-17 — Ville 364 Downzone,https://www.loganutah.gov/departments/admin/council/24-17%20Ville%20364%20Downzone.pdf?t=20240923110436587,2026-07-05,scanned,recorder_pdf,raw/ord_24-17_Ville_364_Downzone.pdf,yes,5-0 Pass,2024-09-17,3,high,Ordinance,council_motion,keyword,5,archive,
24-18,2024-10-01,2024-10-01,Ordinance 24-18 — LDC Amendments Chapter 17.36 and 17.37,https://www.loganutah.gov/departments/admin/council/24-18%20LDC%20Amendments%20Chapter%2017.36%20and%2017.37.pdf?t=20241003182914347,2026-07-05,scanned,recorder_pdf,raw/ord_24-18_LDC_Amendments_Chapter_17.36_and_17.37.pdf,yes,5-0 Pass,2024-10-01,3,high,Ordinance,council_motion,keyword,10,archive,
24-19,2024-09-17,2024-09-17,Ordinance 24-19 — LMC Chapter 5.16 Home Occupations,https://www.loganutah.gov/departments/admin/council/24-19%20LMC%20Chapter%205.16%20Home%20Occupations.pdf?t=20240923110524318,2026-07-05,scanned,recorder_pdf,raw/ord_24-19_LMC_Chapter_5.16_Home_Occupations.pdf,yes,5-0 Pass,2024-09-17,5,high,Ordinance,council_motion,keyword,5,archive,
24-20,2024-11-05,2024-11-05,Ordinance 24-20 — (from motion) adopt Ordinance 24-20 as presented,meeting_minutes/minutes/2024/2024-11-04/2024-11-05_city-council-meeting.md,,na,minutes_motion_text,,no,5-0 Pass,2024-11-05,6,within_source,Ordinance,council_motion,,5,votes,no_archive_pdf
24-21,2024-12-03,2024-12-03,Ordinance 24-21 — Logan Providence Boundary Adjustment,https://www.loganutah.gov/departments/admin/council/24-21%20Logan%20Providence%20Boundary%20Adjustment.pdf?t=20250219170336695,2026-07-05,scanned,recorder_pdf,raw/ord_24-21_Logan_Providence_Boundary_Adjustment.pdf,yes,5-0 Pass,2024-12-03,8,high,Ordinance,council_motion,keyword,5,archive,
24-22,2024-11-19,2024-11-19,Ordinance 24-22 — LDC Definitions Receiving Center Chapter 17.62,https://www.loganutah.gov/departments/admin/council/24-22%20LDC%20Definitions%20Receiving%20Center%20Chapter%2017.62.pdf?t=20241121120521152,2026-07-05,scanned,recorder_pdf,raw/ord_24-22_LDC_Definitions_Receiving_Center_Chapter_17.62.pdf,yes,5-0 Pass,2024-11-19,5,high,Ordinance,council_motion,keyword,5,archive,
24-23,2024-12-03,2024-12-03,Ordinance 24-23 — Jed Willets Rezone 1354 N 220 W,https://www.loganutah.gov/departments/admin/council/24-23%20Jed%20Willets%20Rezone%201354%20N%20220%20W.pdf?t=20241204171433432,2026-07-05,scanned,recorder_pdf,raw/ord_24-23_Jed_Willets_Rezone_1354_N_220_W.pdf,yes,5-0 Pass,2024-12-03,9,high,Ordinance,council_motion,keyword,10,archive,
24-24,2024-12-03,2024-12-03,"Ordinance 24-24 — LMC Section 2.19.010 Police Officer, Firefighter and Fire Officer Residency Requirements",https://www.loganutah.gov/departments/admin/council/24-24%20LMC%20Section%202.19.010%20Police%20Officer%2C%20Firefighter%20and%20Fire%20Officer%20Residency%20Requirements.pdf?t=20241204131643659,,na,recorder_listing,,no,5-0 Pass,2024-12-03,5,high,Ordinance,council_motion,,5,archive,
24-25,2024-12-03,2024-12-03,Ordinance 24-25 — Taylor Annexation 1000 West Airport Properties,https://www.loganutah.gov/departments/admin/council/24-25%20Taylor%20Annexation%201000%20West%20Airport%20Properties.pdf?t=20250203163736281,2026-07-05,text,recorder_pdf,raw/ord_24-25_Taylor_Annexation_1000_West_Airport_Properties.pdf,yes,5-0 Pass,2024-12-03,7,high,Ordinance,council_motion,keyword,5,archive,
24-26,2024-12-03,2024-12-03,Ordinance 24-26 — Vacation of Public Right of Way 600 S 100 W,https://www.loganutah.gov/departments/admin/council/24-26%20Vacation%20of%20Public%20Right%20of%20Way%20600%20S%20100%20W.pdf?t=20250122143936505,2026-07-05,scanned,recorder_pdf,raw/ord_24-26_Vacation_of_Public_Right_of_Way_600_S_100_W.pdf,yes,5-0 Pass,2024-12-03,10,high,Ordinance,council_motion,keyword,5,archive,
25-01,2025-02-18,2025-02-18,"Ordinance 25-01 — Impact Fee Facilities Plan for Water, Wastewater, Parks, Power and Transportation",https://www.loganutah.gov/departments/admin/council/25-01%20Impact%20Fee%20Facilities%20Plan%20for%20Water%2C%20Wastewater%2C%20Parks%2C%20Power%20and%20Transportation.pdf?t=20250219125041011,2026-07-05,scanned,recorder_pdf,raw/ord_25-01_Impact_Fee_Facilities_Plan_for_Water_Wastewater_Parks_Power_and_Transporta.pdf,yes,4-0 Pass,2025-02-18,4,high,Ordinance,council_motion,keyword,5,archive,
25-02,2025-03-18,2025-03-18,Ordinance 25-02 — LMC Itinerant or Transiet Merchants,https://www.loganutah.gov/departments/admin/council/25-02%20LMC%20Itinerant%20or%20Transiet%20Merchants.pdf?t=20250319113937899,,na,recorder_listing,,no,5-0 Pass,2025-03-18,6,high,Ordinance,council_motion,,5,archive,
