candidate,office,seat,election_year,filing_date,reporting_period,date,vendor_raw,vendor_normalized,purpose,amount,in_kind,is_incremental,source_filing,document_id,line_no,extraction_confidence,extract_method,needs_review,geometry,verified,cell_confidence,transcriber_note
Mary Bishop,Recorder,,2014,,,2014-12-11,Service Press,Service Press,Stationery,431.67,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,7,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y590,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SLC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note); DATE 12/11/2014 POSTDATES the report period ending 3/31/14 - a filer date error, retained verbatim, never corrected"
Mary Bishop,Recorder,,2014,,,2014-03-31,Mary Bishop,Mary Bishop,Loan Payback,1100.00,False,,raw/clerk_legacy/BishopM_2014_April.pdf,9fa1d4aa,8,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot-90):x230,y640,w2600,h50@300dpi",1,date=high;vendor=high;amount=high,"vendor city/state printed SLC, UT (street discarded per PRIVACY; the form prints 'SIC' for SLC on this row - kept verbatim in this note)"
Lee Gardner,Assessor,,2020,,,2006-04-23,GoDaddy.Com,GoDaddy.Com,Web Site,111.37,False,,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,1,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x200,y590,w1300,h85@200dpi",1,date=high;vendor=high;amount=high,superscript cents
Lee Gardner,Assessor,,2020,,,2006-04-26,Sutherlands,Sutherlands,Rope,44.71,False,,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x200,y675,w1300,h85@200dpi",1,date=high;vendor=high;amount=high,
Lee Gardner,Assessor,,2020,,,2006-04-28,Kinkos,Kinkos,Brochures,273.39,False,,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x200,y760,w1300,h85@200dpi",1,date=high;vendor=high;amount=high,
Lee Gardner,Assessor,,2020,,,2006-04-29,A-1 Pioneer Moving & Storage (In-kind),A-1 Pioneer Moving & Storage (In-kind),Trailer,140.00,True,,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x200,y845,w1300,h90@200dpi",1,date=high;vendor=high;amount=high,
Lee Gardner,Assessor,,2020,,,2006-05-31,Wells Fargo,Wells Fargo,Misc Bank Charges,22.00,False,,raw/clerk_legacy/lgardner_june202006amend.pdf,217aa8a4,5,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x200,y935,w1300,h85@200dpi",1,date=high;vendor=high;amount=high,
Joe Hatch,County Council,,,,,,Wells-Fargo,Wells-Fargo,Bank service fee monthly $3.00,36.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,1,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x230,y630,w1300,h90@200dpi",1,amount=high;vendor=high,"date printed as a RANGE '1/5 - 12/5' (Jan-Dec 2005) - not a single date, left BLANK"
Joe Hatch,County Council,,,,,2005-08-15,Demo Hispanic Caucus,Demo Hispanic Caucus,Contribution,30.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y720,w1300,h90@200dpi",1,date=high;amount=high;vendor=high,single-digit year
Joe Hatch,County Council,,,,,2005-10-11,Benns for City Council,Benns for City Council,Contribution,100.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,3,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x230,y810,w1300,h90@200dpi",1,date=high;amount=high;vendor=medium,hand renders N as W: glyphs 'BEWWS' read as BENNS - medium confidence on the surname
Joe Hatch,County Council,,,,,2005-10-17,Remington for City Council,Remington for City Council,Contribution,50.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y900,w1300,h90@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,,,,2005-10-19,Flo Winerter,Flo Winerter,Contribution for Cetrell funeral,50.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,5,low,vision-fullpage-200dpi/claude-opus-5,1,"p4:x230,y990,w1300,h90@200dpi",1,date=high;amount=high;vendor=low,"surname not confidently resolvable at 450 dpi (the hand uses one glyph for both N and W); LOW confidence, needs_review=1"
Joe Hatch,County Council,,,,,2005-10-13,Wilde for Mayor,Wilde for Mayor,Contribution,100.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1080,w1300,h90@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,,,,2005-10-30,House for City Council,House for City Council,Contribution,100.00,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,7,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1170,w1300,h90@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,,,,,Key Bank,Key Bank,Interest on loan to Demo. Party,100.24,False,,raw/clerk_legacy/jhatch_jan3106.pdf,69c420fb,8,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x230,y1260,w1300,h90@200dpi",1,amount=high;vendor=high,date printed as a RANGE '1/5 | 4/5' - left BLANK
Joe Hatch,County Council,,2004,,,,Wells Fargo Bank,Wells Fargo Bank,Monthly banking fees,46.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,1,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x230,y590,w1310,h84@200dpi",1,amount=high;vendor=high,date printed as a RANGE - left BLANK
Joe Hatch,County Council,,2004,,,2004-02-10,Democratic Womens Forum,Democratic Womens Forum,Luncheon,28.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y674,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-03-04,Utah Democratic Party,Utah Democratic Party,Contribution,270.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y758,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-03-10,Citizens for Global Solution,Citizens for Global Solution,Contribution,35.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y842,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-04-30,Salt Lake County Demo Party,Salt Lake County Demo Party,Contribution,50.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,5,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y926,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-05-13,American Express,American Express,"Kerry button, bumper sticks, signs",1845.75,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1010,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-05-20,Diana Blass for Council,Diana Blass for Council,Contribution,50.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,7,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x230,y1094,w1310,h84@200dpi",1,date=high;amount=high;vendor=medium,; surname glyphs ambiguous (the same hand writes this donor 'DINA BLAES' in filing 2)
Joe Hatch,County Council,,2004,,,2004-07-21,Eli Raindancer,Eli Raindancer,Convention cost gift,75.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,8,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1178,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-14,Utah Demo Party,Utah Demo Party,Contribution,50.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,9,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1262,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-20,Joe Hatch,Joe Hatch,Partial repayment of loan ($1000 outstanding),1000.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,10,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1346,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-07,Joe Hatch,Joe Hatch,Repayment for postage & Kerry button,500.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,11,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1430,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-14,Anchor Printing,Anchor Printing,Envelops,92.74,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,12,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1514,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-20,Wilson for Council,Wilson for Council,Contribution,700.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,13,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1598,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-24,Utah Demo Party,Utah Demo Party,Contribution,1000.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,14,medium,vision-fullpage-200dpi/claude-opus-5,0,"p4:x230,y1682,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-29,Utah Citizens for Health,Utah Citizens for Health,Contribution,100.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,15,medium,vision-fullpage-200dpi/claude-opus-5,0,"p5:x230,y560,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-24,Committee to Elect Chris Cage,Committee to Elect Chris Cage,Contribution,100.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,16,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x230,y644,w1310,h84@200dpi",1,date=high;amount=high;vendor=medium,surname glyphs ambiguous (CAGE / CABE)
Joe Hatch,County Council,,2004,,,2004-10-29,Corroon for Mayor,Corroon for Mayor,Contribution,500.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,17,medium,vision-fullpage-200dpi/claude-opus-5,0,"p5:x230,y728,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-10-25,Utah Demo Party on behalf of Chris Cage,Utah Demo Party on behalf of Chris Cage,Contribution,250.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,18,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x230,y812,w1310,h84@200dpi",1,date=high;amount=high;vendor=medium,surname glyphs ambiguous (CAGE / CABE)
Joe Hatch,County Council,,2004,,,2004-12-02,Joe Hatch,Joe Hatch,Partial repayment of loan (500 balance),500.00,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,19,medium,vision-fullpage-200dpi/claude-opus-5,0,"p5:x230,y896,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Joe Hatch,County Council,,2004,,,2004-01-04,Key Bank,Key Bank,Payment of interest of Demo loan,76.24,False,,raw/clerk_legacy/hatch_january312005.pdf,289fef21,20,medium,vision-fullpage-200dpi/claude-opus-5,0,"p5:x230,y980,w1310,h84@200dpi",1,date=high;amount=high;vendor=high,
Jeff S. Allen,County Council,,2006,,,,Post Net,Post Net,Mailings,93.60,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,1,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y600,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/8' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Post Net,Post Net,Mailings,24.30,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,2,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y678,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/9' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,SLCo Repub. Party,SLCo Repub. Party,Convention booth,200.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,3,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y756,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/6' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Mike Dobson,Mike Dobson,DM design,120.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,4,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y834,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/20' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,M&M Caps,M&M Caps,Hats,485.03,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,5,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y912,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/24' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Village Inn,Village Inn,Meet & greet,130.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,6,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y990,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/27' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Village Inn,Village Inn,Cttee dinner,29.52,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,7,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1068,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/27' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Garden Restaurant,Garden Restaurant,Lunch w/ Mayor Applegarth,19.58,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,8,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1146,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/27' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Domain Names,Domain Names,Rsrv. domain,9.25,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,9,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1224,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '5/02' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,FedEx Kinko's,FedEx Kinko's,Picture mounting,79.95,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,10,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1302,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '5/02' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Johanna's Kitchen,Johanna's Kitchen,Meet & greet,100.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,11,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1380,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/19' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Winger's,Winger's,Meet & greet,100.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,12,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1458,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/12' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Costco,Costco,Meet & greet,86.67,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,13,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1536,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/7' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Albertsons,Albertsons,Meet & greet,5.37,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,14,medium,vision-fullpage-200dpi/claude-opus-5,1,"p4:x130,y1614,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/7' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Dollar Tree,Dollar Tree,Meet & greets,18.12,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,15,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y600,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/7' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Costco,Costco,Meet & greets,22.34,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,16,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y678,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/20' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Cookie Tree,Cookie Tree,Meet & greets,52.74,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,17,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y756,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/12' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Ritz Camera,Ritz Camera,Photos convent. booth,31.96,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,18,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y834,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/27' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,PostNet,PostNet,Mailers,111.51,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,19,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y912,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/3' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,PostNet,PostNet,Mailers,24.30,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,20,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y990,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/4' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Home Depot,Home Depot,Sign ties,13.85,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,21,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1068,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/7' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Universal Signs,Universal Signs,Banner,149.24,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,22,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1146,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/27' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Cookie Tree,Cookie Tree,Cookies - convention,98.19,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,23,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1224,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/26' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Oriental Trading,Oriental Trading,Convent. handouts,619.03,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,24,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1302,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/03' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Chad Bennion,Chad Bennion,Mailers,180.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,25,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1380,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/25' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,W. Jordan,W. Jordan,Booths,200.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,26,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1458,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '6/16' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Riverton,Riverton,Booths,100.00,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,27,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1536,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '6/16' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jeff S. Allen,County Council,,2006,,,,Authent. Concepts,Authent. Concepts,Shirts,982.50,False,,raw/clerk_legacy/20_june_allen_jeff06.pdf,f8e1c223,28,medium,vision-fullpage-200dpi/claude-opus-5,1,"p5:x130,y1614,w1480,h78@200dpi",1,amount=high;vendor=high,"date cell prints '4/27' with NO YEAR - left BLANK (report dated 6/20/06, year NOT inferred)"
Jim Bradley,County Council,,2008,,,2007-02-12,Paypal,Paypal,Bank Fee,10.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,1,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y300,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-03-05,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,2,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y338,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-04-05,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,3,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y376,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-04-09,Network Solutions,Network Solutions,Website Address Registration,34.99,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,4,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y414,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-04-19,Utah Outdoor Sign,Utah Outdoor Sign,Billboards,2800.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,5,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y452,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-05-04,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,6,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y490,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-05-11,Kelly Ann Booth,Kelly Ann Booth,Convention Brochure,35.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,7,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y528,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-06-06,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,8,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y566,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-07-05,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,9,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y604,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-08-03,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,10,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y642,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-08-09,Peter Corroon for Mayor,Peter Corroon for Mayor,Donation,150.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,11,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y680,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-08-22,Utah Outdoor Sign,Utah Outdoor Sign,Billboards,1200.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,12,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y718,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-08-28,Network Solutions,Network Solutions,Web Address Registration 5 yr,99.95,True,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,13,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y756,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,'in kind' column names Kerri Nakamura on this row
Jim Bradley,County Council,,2008,,,2007-08-31,Jim Bradley,Jim Bradley,Loan Repayment,1988.26,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,14,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y794,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-09-04,Paypal,Paypal,Bank Fee,20.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,15,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y832,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
Jim Bradley,County Council,,2008,,,2007-10-04,Young Democrats,Young Democrats,Donation,250.00,False,,raw/clerk_legacy/08_jbradley_jan31.pdf,1d733db5,16,medium,vision-fullpage-200dpi/claude-opus-5,0,"p6(landscape,rot+90):x260,y870,w2000,h38@300dpi",1,date=high;amount=high;vendor=high,
